state,date,cases,deaths,incidence
AL,2020-06-07 00:00:00,20500,692,418.0955848086499
AK,2020-06-07 00:00:00,543,10,74.22646590435312
AZ,2020-06-07 00:00:00,26989,1051,370.7933692160308
AR,2020-06-07 00:00:00,9426,154,312.3463286548762
CA,2020-06-07 00:00:00,130615,4632,330.56859392598585
CO,2020-06-07 00:00:00,27987,1527,485.99206492535865
CT,2020-06-07 00:00:00,43968,4071,1233.2247025274546
DE,2020-06-07 00:00:00,9942,398,1020.9866045571615
DC,2020-06-07 00:00:00,9332,489,1322.283134655522
FL,2020-06-07 00:00:00,63938,2700,297.69430550341497
GA,2020-06-07 00:00:00,51898,2180,488.80034260667577
HI,2020-06-07 00:00:00,675,17,47.67380102156127
ID,2020-06-07 00:00:00,3139,83,175.6511374796104
IL,2020-06-07 00:00:00,127757,5904,1008.1976378927699
IN,2020-06-07 00:00:00,37397,2303,555.4929214275412
IA,2020-06-07 00:00:00,21712,605,688.1622277794154
KS,2020-06-07 00:00:00,10406,233,357.18772504439966
KY,2020-06-07 00:00:00,11287,470,252.63711108668878
LA,2020-06-07 00:00:00,42816,2936,921.0130627427243
ME,2020-06-07 00:00:00,2570,99,191.190080136169
MD,2020-06-07 00:00:00,57973,2749,958.9161186169298
MA,2020-06-07 00:00:00,103436,7316,1500.7030102126905
MI,2020-06-07 00:00:00,64648,5898,644.9776941834654
MN,2020-06-07 00:00:00,27886,1197,494.46488707064566
MS,2020-06-07 00:00:00,17270,817,580.2800867832893
MO,2020-06-07 00:00:00,15023,815,244.77680226961516
MT,2020-06-07 00:00:00,545,18,50.99281609464267
NE,2020-06-07 00:00:00,15664,187,809.7567834707053
NV,2020-06-07 00:00:00,9669,438,313.91267195557634
NH,2020-06-07 00:00:00,5043,286,370.8876371523066
NJ,2020-06-07 00:00:00,164164,12176,1848.237878271012
NM,2020-06-07 00:00:00,8940,396,426.35808642478713
NY,2020-06-07 00:00:00,378097,30374,1943.5876033184875
NC,2020-06-07 00:00:00,35625,1032,339.67119256481925
ND,2020-06-07 00:00:00,2861,72,375.4287708874081
OH,2020-06-07 00:00:00,38476,2379,329.16135545080465
OK,2020-06-07 00:00:00,7150,348,180.6937680362075
OR,2020-06-07 00:00:00,4662,163,110.53320773675553
PA,2020-06-07 00:00:00,79908,5943,624.1842576180935
PR,2020-06-07 00:00:00,4985,142,169.9388561018447
RI,2020-06-07 00:00:00,15441,772,1457.5767844955594
SC,2020-06-07 00:00:00,14286,546,277.467344272764
SD,2020-06-07 00:00:00,5438,65,614.7001273937191
TN,2020-06-07 00:00:00,26493,418,387.9385706089785
TX,2020-06-07 00:00:00,75408,1841,260.0645243370946
UT,2020-06-07 00:00:00,12066,121,376.3617614454088
VT,2020-06-07 00:00:00,1063,55,170.35556716544681
VA,2020-06-07 00:00:00,50681,1472,578.7228638352277
