state,date,total,covid
Alaska,2020-03-01 00:00:00,708,37
Alaska,2020-03-02 00:00:00,1489,80
Alaska,2020-03-03 00:00:00,1366,56
Alaska,2020-03-04 00:00:00,1712,75
Alaska,2020-03-05 00:00:00,1551,115
Alaska,2020-03-06 00:00:00,1722,90
Alaska,2020-03-07 00:00:00,655,82
Alaska,2020-03-08 00:00:00,904,79
Alaska,2020-03-09 00:00:00,1430,119
Alaska,2020-03-10 00:00:00,1260,99
Alaska,2020-03-11 00:00:00,1679,217
Alaska,2020-03-12 00:00:00,1521,192
Alaska,2020-03-13 00:00:00,1600,210
Alaska,2020-03-14 00:00:00,544,110
Alaska,2020-03-15 00:00:00,542,132
Alaska,2020-03-16 00:00:00,1270,216
Alaska,2020-03-17 00:00:00,1419,243
Alaska,2020-03-18 00:00:00,1347,337
Alaska,2020-03-19 00:00:00,1676,320
Alaska,2020-03-20 00:00:00,1572,359
Alaska,2020-03-21 00:00:00,736,153
Alaska,2020-03-22 00:00:00,672,148
Alaska,2020-03-23 00:00:00,1360,255
Alaska,2020-03-24 00:00:00,1493,333
Alaska,2020-03-25 00:00:00,1597,334
Alaska,2020-03-26 00:00:00,1628,351
Alaska,2020-03-27 00:00:00,1735,350
Alaska,2020-03-28 00:00:00,730,167
Alaska,2020-03-29 00:00:00,657,145
Alaska,2020-03-30 00:00:00,1412,243
Alaska,2020-03-31 00:00:00,1571,303
Alaska,2020-04-01 00:00:00,1754,393
Alaska,2020-04-02 00:00:00,1549,294
Alaska,2020-04-03 00:00:00,1845,310
Alaska,2020-04-04 00:00:00,809,120
Alaska,2020-04-05 00:00:00,599,160
Alaska,2020-04-06 00:00:00,1571,249
Alaska,2020-04-07 00:00:00,1641,283
Alaska,2020-04-08 00:00:00,1644,284
Alaska,2020-04-09 00:00:00,1767,286
Alaska,2020-04-10 00:00:00,1585,270
Alaska,2020-04-11 00:00:00,770,123
Alaska,2020-04-12 00:00:00,665,118
Alaska,2020-04-13 00:00:00,1479,242
Alaska,2020-04-14 00:00:00,959,267
Alaska,2020-04-15 00:00:00,1968,309
Alaska,2020-04-16 00:00:00,1658,289
Alaska,2020-04-17 00:00:00,1679,262
Alaska,2020-04-18 00:00:00,781,114
Alaska,2020-04-19 00:00:00,686,86
Alaska,2020-04-20 00:00:00,1728,224
Alaska,2020-04-21 00:00:00,1552,280
Alaska,2020-04-22 00:00:00,1618,216
Alaska,2020-04-23 00:00:00,1690,267
Alaska,2020-04-24 00:00:00,1790,267
Alaska,2020-04-25 00:00:00,625,93
Alaska,2020-04-26 00:00:00,379,51
Alaska,2020-04-27 00:00:00,1713,223
Alaska,2020-04-28 00:00:00,1631,263
Alaska,2020-04-29 00:00:00,1779,304
Alaska,2020-04-30 00:00:00,1745,241
Alaska,2020-05-01 00:00:00,1816,265
Alaska,2020-05-02 00:00:00,839,81
Alaska,2020-05-03 00:00:00,579,56
Alaska,2020-05-04 00:00:00,1484,161
Alaska,2020-05-05 00:00:00,1444,204
Alaska,2020-05-06 00:00:00,1882,270
Alaska,2020-05-07 00:00:00,1519,209
Alaska,2020-05-08 00:00:00,1851,228
Alaska,2020-05-09 00:00:00,531,67
Alaska,2020-05-10 00:00:00,351,45
Alaska,2020-05-11 00:00:00,1366,132
Alaska,2020-05-12 00:00:00,1685,181
Alaska,2020-05-13 00:00:00,1606,193
Alaska,2020-05-14 00:00:00,1331,199
Alaska,2020-05-15 00:00:00,1703,234
Alaska,2020-05-16 00:00:00,606,65
Alaska,2020-05-17 00:00:00,467,70
Alaska,2020-05-18 00:00:00,1417,160
Alaska,2020-05-19 00:00:00,1384,188
Alaska,2020-05-20 00:00:00,1851,204
Alaska,2020-05-21 00:00:00,1650,173
Alaska,2020-05-22 00:00:00,1341,159
Alaska,2020-05-23 00:00:00,463,81
Alaska,2020-05-24 00:00:00,457,54
Alaska,2020-05-25 00:00:00,644,74
Alaska,2020-05-26 00:00:00,1157,122
Alaska,2020-05-27 00:00:00,1422,193
Alaska,2020-05-28 00:00:00,1424,159
Alaska,2020-05-29 00:00:00,1690,176
Alaska,2020-05-30 00:00:00,482,47
Alaska,2020-05-31 00:00:00,430,35
Alaska,2020-06-01 00:00:00,1215,170
