state,date,total,covid
Alabama,2020-03-01 00:00:00,572,96
Alabama,2020-03-02 00:00:00,1348,253
Alabama,2020-03-03 00:00:00,1270,225
Alabama,2020-03-04 00:00:00,1468,211
Alabama,2020-03-05 00:00:00,1355,251
Alabama,2020-03-06 00:00:00,1322,293
Alabama,2020-03-07 00:00:00,462,111
Alabama,2020-03-08 00:00:00,520,110
Alabama,2020-03-09 00:00:00,983,320
Alabama,2020-03-10 00:00:00,1276,437
Alabama,2020-03-11 00:00:00,1675,619
Alabama,2020-03-12 00:00:00,1619,833
Alabama,2020-03-13 00:00:00,1422,779
Alabama,2020-03-14 00:00:00,663,373
Alabama,2020-03-15 00:00:00,677,412
Alabama,2020-03-16 00:00:00,1542,904
Alabama,2020-03-17 00:00:00,1577,908
Alabama,2020-03-18 00:00:00,1691,894
Alabama,2020-03-19 00:00:00,1583,881
Alabama,2020-03-20 00:00:00,1448,786
Alabama,2020-03-21 00:00:00,801,449
Alabama,2020-03-22 00:00:00,467,289
Alabama,2020-03-23 00:00:00,1426,802
Alabama,2020-03-24 00:00:00,1398,837
Alabama,2020-03-25 00:00:00,1558,847
Alabama,2020-03-26 00:00:00,1696,894
Alabama,2020-03-27 00:00:00,1613,844
Alabama,2020-03-28 00:00:00,534,269
Alabama,2020-03-29 00:00:00,452,264
Alabama,2020-03-30 00:00:00,1420,711
Alabama,2020-03-31 00:00:00,1524,750
Alabama,2020-04-01 00:00:00,1435,685
Alabama,2020-04-02 00:00:00,1581,764
Alabama,2020-04-03 00:00:00,1584,738
Alabama,2020-04-04 00:00:00,514,239
Alabama,2020-04-05 00:00:00,488,237
Alabama,2020-04-06 00:00:00,1400,648
Alabama,2020-04-07 00:00:00,1212,563
Alabama,2020-04-08 00:00:00,1260,580
Alabama,2020-04-09 00:00:00,1252,602
Alabama,2020-04-10 00:00:00,1157,541
Alabama,2020-04-11 00:00:00,674,250
Alabama,2020-04-12 00:00:00,598,222
Alabama,2020-04-13 00:00:00,1306,506
Alabama,2020-04-14 00:00:00,1169,507
Alabama,2020-04-15 00:00:00,1503,582
Alabama,2020-04-16 00:00:00,1537,577
Alabama,2020-04-17 00:00:00,1232,468
Alabama,2020-04-18 00:00:00,534,183
Alabama,2020-04-19 00:00:00,481,181
Alabama,2020-04-20 00:00:00,1192,444
Alabama,2020-04-21 00:00:00,1226,506
Alabama,2020-04-22 00:00:00,1347,479
Alabama,2020-04-23 00:00:00,1117,427
Alabama,2020-04-24 00:00:00,1262,487
Alabama,2020-04-25 00:00:00,381,122
Alabama,2020-04-26 00:00:00,407,146
Alabama,2020-04-27 00:00:00,1219,437
Alabama,2020-04-28 00:00:00,1187,480
Alabama,2020-04-29 00:00:00,1460,477
Alabama,2020-04-30 00:00:00,1454,451
Alabama,2020-05-01 00:00:00,1414,384
Alabama,2020-05-02 00:00:00,453,116
Alabama,2020-05-03 00:00:00,334,113
Alabama,2020-05-04 00:00:00,1136,335
Alabama,2020-05-05 00:00:00,1203,387
Alabama,2020-05-06 00:00:00,1468,430
Alabama,2020-05-07 00:00:00,1144,306
Alabama,2020-05-08 00:00:00,1312,338
Alabama,2020-05-09 00:00:00,571,183
Alabama,2020-05-10 00:00:00,359,133
Alabama,2020-05-11 00:00:00,1059,289
Alabama,2020-05-12 00:00:00,1266,333
Alabama,2020-05-13 00:00:00,1365,370
Alabama,2020-05-14 00:00:00,1201,351
Alabama,2020-05-15 00:00:00,1389,401
Alabama,2020-05-16 00:00:00,532,152
Alabama,2020-05-17 00:00:00,387,109
Alabama,2020-05-18 00:00:00,1034,279
Alabama,2020-05-19 00:00:00,1312,348
Alabama,2020-05-20 00:00:00,1395,366
Alabama,2020-05-21 00:00:00,1284,341
Alabama,2020-05-22 00:00:00,1253,271
Alabama,2020-05-23 00:00:00,551,170
Alabama,2020-05-24 00:00:00,433,124
Alabama,2020-05-25 00:00:00,599,164
Alabama,2020-05-26 00:00:00,1089,265
Alabama,2020-05-27 00:00:00,1211,297
Alabama,2020-05-28 00:00:00,1310,330
Alabama,2020-05-29 00:00:00,1217,249
Alabama,2020-05-30 00:00:00,313,64
Alabama,2020-05-31 00:00:00,362,67
Alabama,2020-06-01 00:00:00,1020,204
