state,date,total,covid
Arizona,2020-03-01 00:00:00,2075,374
Arizona,2020-03-02 00:00:00,3900,771
Arizona,2020-03-03 00:00:00,4405,906
Arizona,2020-03-04 00:00:00,4575,1053
Arizona,2020-03-05 00:00:00,5051,1029
Arizona,2020-03-06 00:00:00,4669,1235
Arizona,2020-03-07 00:00:00,2218,635
Arizona,2020-03-08 00:00:00,1737,497
Arizona,2020-03-09 00:00:00,4113,1527
Arizona,2020-03-10 00:00:00,4631,1633
Arizona,2020-03-11 00:00:00,4833,2215
Arizona,2020-03-12 00:00:00,5816,3698
Arizona,2020-03-13 00:00:00,4589,2883
Arizona,2020-03-14 00:00:00,1994,1264
Arizona,2020-03-15 00:00:00,2763,1952
Arizona,2020-03-16 00:00:00,4756,2870
Arizona,2020-03-17 00:00:00,5357,3331
Arizona,2020-03-18 00:00:00,5387,3523
Arizona,2020-03-19 00:00:00,5070,3310
Arizona,2020-03-20 00:00:00,4470,2932
Arizona,2020-03-21 00:00:00,2125,1448
Arizona,2020-03-22 00:00:00,2047,1460
Arizona,2020-03-23 00:00:00,4380,2842
Arizona,2020-03-24 00:00:00,4888,3285
Arizona,2020-03-25 00:00:00,4639,3031
Arizona,2020-03-26 00:00:00,4967,3163
Arizona,2020-03-27 00:00:00,4962,3285
Arizona,2020-03-28 00:00:00,1865,1358
Arizona,2020-03-29 00:00:00,1765,1229
Arizona,2020-03-30 00:00:00,3850,2182
Arizona,2020-03-31 00:00:00,4540,2591
Arizona,2020-04-01 00:00:00,4638,2789
Arizona,2020-04-02 00:00:00,4844,2878
Arizona,2020-04-03 00:00:00,4930,2954
Arizona,2020-04-04 00:00:00,2108,1382
Arizona,2020-04-05 00:00:00,1739,1124
Arizona,2020-04-06 00:00:00,4157,2357
Arizona,2020-04-07 00:00:00,4246,2511
Arizona,2020-04-08 00:00:00,4195,2416
Arizona,2020-04-09 00:00:00,3889,2039
Arizona,2020-04-10 00:00:00,3715,2092
Arizona,2020-04-11 00:00:00,1757,841
Arizona,2020-04-12 00:00:00,1511,936
Arizona,2020-04-13 00:00:00,3308,1700
Arizona,2020-04-14 00:00:00,3127,1641
Arizona,2020-04-15 00:00:00,4204,2169
Arizona,2020-04-16 00:00:00,3649,2039
Arizona,2020-04-17 00:00:00,3833,2128
Arizona,2020-04-18 00:00:00,1715,951
Arizona,2020-04-19 00:00:00,1395,832
Arizona,2020-04-20 00:00:00,3417,1850
Arizona,2020-04-21 00:00:00,4128,2151
Arizona,2020-04-22 00:00:00,4181,1919
Arizona,2020-04-23 00:00:00,4716,2201
Arizona,2020-04-24 00:00:00,3772,1717
Arizona,2020-04-25 00:00:00,1845,726
Arizona,2020-04-26 00:00:00,1580,621
Arizona,2020-04-27 00:00:00,3931,1895
Arizona,2020-04-28 00:00:00,4401,2186
Arizona,2020-04-29 00:00:00,3987,1865
Arizona,2020-04-30 00:00:00,4168,1942
Arizona,2020-05-01 00:00:00,4104,1881
Arizona,2020-05-02 00:00:00,1536,744
Arizona,2020-05-03 00:00:00,1458,744
Arizona,2020-05-04 00:00:00,3995,1664
Arizona,2020-05-05 00:00:00,4178,1949
Arizona,2020-05-06 00:00:00,4241,1878
Arizona,2020-05-07 00:00:00,4511,1872
Arizona,2020-05-08 00:00:00,4060,1719
Arizona,2020-05-09 00:00:00,1603,763
Arizona,2020-05-10 00:00:00,1445,613
Arizona,2020-05-11 00:00:00,3627,1485
Arizona,2020-05-12 00:00:00,4152,1785
Arizona,2020-05-13 00:00:00,3759,1560
Arizona,2020-05-14 00:00:00,3971,1646
Arizona,2020-05-15 00:00:00,3863,1553
Arizona,2020-05-16 00:00:00,1688,695
Arizona,2020-05-17 00:00:00,1636,612
Arizona,2020-05-18 00:00:00,3684,1352
Arizona,2020-05-19 00:00:00,3645,1433
Arizona,2020-05-20 00:00:00,3848,1737
Arizona,2020-05-21 00:00:00,4018,1517
Arizona,2020-05-22 00:00:00,3682,1299
Arizona,2020-05-23 00:00:00,1504,546
Arizona,2020-05-24 00:00:00,1283,511
Arizona,2020-05-25 00:00:00,1709,642
Arizona,2020-05-26 00:00:00,3496,1244
Arizona,2020-05-27 00:00:00,4067,1498
Arizona,2020-05-28 00:00:00,4015,1395
Arizona,2020-05-29 00:00:00,3588,963
Arizona,2020-05-30 00:00:00,1815,436
Arizona,2020-05-31 00:00:00,2117,427
Arizona,2020-06-01 00:00:00,3836,957
