state,date,total,covid
California,2020-02-01 00:00:00,4174,350
California,2020-02-02 00:00:00,4278,288
California,2020-02-03 00:00:00,5113,448
California,2020-02-04 00:00:00,5442,608
California,2020-02-05 00:00:00,6047,588
California,2020-02-06 00:00:00,6391,511
California,2020-02-07 00:00:00,7149,631
California,2020-02-08 00:00:00,5392,486
California,2020-02-09 00:00:00,5753,512
California,2020-02-10 00:00:00,10161,782
California,2020-02-11 00:00:00,10353,841
California,2020-02-12 00:00:00,10258,592
California,2020-02-13 00:00:00,11269,780
California,2020-02-14 00:00:00,9564,705
California,2020-02-15 00:00:00,5524,419
California,2020-02-16 00:00:00,5011,336
California,2020-02-17 00:00:00,6496,551
California,2020-02-18 00:00:00,10550,686
California,2020-02-19 00:00:00,11305,546
California,2020-02-20 00:00:00,12288,647
California,2020-02-21 00:00:00,11601,785
California,2020-02-22 00:00:00,5861,405
California,2020-02-23 00:00:00,5976,429
California,2020-02-24 00:00:00,11445,1134
California,2020-02-25 00:00:00,11835,1424
California,2020-02-26 00:00:00,12324,2002
California,2020-02-27 00:00:00,12603,2271
California,2020-02-28 00:00:00,11675,2621
California,2020-02-29 00:00:00,6623,1208
California,2020-03-01 00:00:00,6218,1240
California,2020-03-02 00:00:00,11506,2535
California,2020-03-03 00:00:00,11907,2554
California,2020-03-04 00:00:00,12396,3165
California,2020-03-05 00:00:00,12575,3198
California,2020-03-06 00:00:00,11856,3549
California,2020-03-07 00:00:00,6291,2339
California,2020-03-08 00:00:00,6137,2208
California,2020-03-09 00:00:00,10619,4199
California,2020-03-10 00:00:00,11333,4739
California,2020-03-11 00:00:00,12711,6120
California,2020-03-12 00:00:00,13671,7681
California,2020-03-13 00:00:00,11946,7142
California,2020-03-14 00:00:00,5585,3608
California,2020-03-15 00:00:00,6612,4439
California,2020-03-16 00:00:00,11266,7040
California,2020-03-17 00:00:00,13283,8151
California,2020-03-18 00:00:00,12374,8046
California,2020-03-19 00:00:00,13088,8420
California,2020-03-20 00:00:00,12015,7935
California,2020-03-21 00:00:00,5516,3602
California,2020-03-22 00:00:00,5859,3954
California,2020-03-23 00:00:00,11140,7577
California,2020-03-24 00:00:00,11835,7964
California,2020-03-25 00:00:00,12365,8265
California,2020-03-26 00:00:00,12773,8254
California,2020-03-27 00:00:00,11763,7848
California,2020-03-28 00:00:00,5273,3357
California,2020-03-29 00:00:00,5128,3127
California,2020-03-30 00:00:00,10689,6590
California,2020-03-31 00:00:00,11097,6892
California,2020-04-01 00:00:00,12243,7489
California,2020-04-02 00:00:00,12279,7796
California,2020-04-03 00:00:00,11377,6686
California,2020-04-04 00:00:00,5050,3196
California,2020-04-05 00:00:00,5072,3273
California,2020-04-06 00:00:00,10474,6369
California,2020-04-07 00:00:00,11078,6565
California,2020-04-08 00:00:00,11105,6263
California,2020-04-09 00:00:00,10474,6354
California,2020-04-10 00:00:00,9574,5520
California,2020-04-11 00:00:00,5117,2757
California,2020-04-12 00:00:00,5386,2966
