state,date,total,covid
Colorado,2020-03-01 00:00:00,1057,184
Colorado,2020-03-02 00:00:00,2283,395
Colorado,2020-03-03 00:00:00,2545,501
Colorado,2020-03-04 00:00:00,2748,487
Colorado,2020-03-05 00:00:00,2915,650
Colorado,2020-03-06 00:00:00,2471,684
Colorado,2020-03-07 00:00:00,981,295
Colorado,2020-03-08 00:00:00,933,280
Colorado,2020-03-09 00:00:00,2366,889
Colorado,2020-03-10 00:00:00,2385,938
Colorado,2020-03-11 00:00:00,3111,1395
Colorado,2020-03-12 00:00:00,2962,1630
Colorado,2020-03-13 00:00:00,2954,1681
Colorado,2020-03-14 00:00:00,1236,710
Colorado,2020-03-15 00:00:00,1236,776
Colorado,2020-03-16 00:00:00,2572,1579
Colorado,2020-03-17 00:00:00,2836,1695
Colorado,2020-03-18 00:00:00,3030,1834
Colorado,2020-03-19 00:00:00,2941,1810
Colorado,2020-03-20 00:00:00,2789,1699
Colorado,2020-03-21 00:00:00,1104,754
Colorado,2020-03-22 00:00:00,1139,724
Colorado,2020-03-23 00:00:00,2452,1534
Colorado,2020-03-24 00:00:00,2564,1632
Colorado,2020-03-25 00:00:00,2726,1661
Colorado,2020-03-26 00:00:00,2983,1665
Colorado,2020-03-27 00:00:00,2827,1603
Colorado,2020-03-28 00:00:00,1134,728
Colorado,2020-03-29 00:00:00,1159,668
Colorado,2020-03-30 00:00:00,2652,1539
Colorado,2020-03-31 00:00:00,2708,1591
Colorado,2020-04-01 00:00:00,2885,1655
Colorado,2020-04-02 00:00:00,2786,1567
Colorado,2020-04-03 00:00:00,2683,1487
Colorado,2020-04-04 00:00:00,882,519
Colorado,2020-04-05 00:00:00,945,596
Colorado,2020-04-06 00:00:00,2367,1329
Colorado,2020-04-07 00:00:00,2271,1245
Colorado,2020-04-08 00:00:00,2304,1184
Colorado,2020-04-09 00:00:00,2545,1379
Colorado,2020-04-10 00:00:00,2346,1204
Colorado,2020-04-11 00:00:00,1207,554
Colorado,2020-04-12 00:00:00,976,478
Colorado,2020-04-13 00:00:00,2162,1055
Colorado,2020-04-14 00:00:00,2058,1107
Colorado,2020-04-15 00:00:00,2554,1248
Colorado,2020-04-16 00:00:00,2780,1370
Colorado,2020-04-17 00:00:00,2249,1055
Colorado,2020-04-18 00:00:00,979,520
Colorado,2020-04-19 00:00:00,945,519
Colorado,2020-04-20 00:00:00,2077,1030
Colorado,2020-04-21 00:00:00,2193,1065
Colorado,2020-04-22 00:00:00,2221,1001
Colorado,2020-04-23 00:00:00,2268,1053
Colorado,2020-04-24 00:00:00,2192,982
Colorado,2020-04-25 00:00:00,943,405
Colorado,2020-04-26 00:00:00,827,380
Colorado,2020-04-27 00:00:00,2108,1076
Colorado,2020-04-28 00:00:00,2236,1037
Colorado,2020-04-29 00:00:00,2351,1089
Colorado,2020-04-30 00:00:00,2527,1088
Colorado,2020-05-01 00:00:00,2533,1053
Colorado,2020-05-02 00:00:00,849,344
Colorado,2020-05-03 00:00:00,880,364
Colorado,2020-05-04 00:00:00,2177,876
Colorado,2020-05-05 00:00:00,2075,924
Colorado,2020-05-06 00:00:00,2408,988
Colorado,2020-05-07 00:00:00,2452,942
Colorado,2020-05-08 00:00:00,2300,922
Colorado,2020-05-09 00:00:00,879,393
Colorado,2020-05-10 00:00:00,838,448
Colorado,2020-05-11 00:00:00,2068,833
Colorado,2020-05-12 00:00:00,2062,911
Colorado,2020-05-13 00:00:00,2236,879
Colorado,2020-05-14 00:00:00,2419,1013
Colorado,2020-05-15 00:00:00,2463,964
Colorado,2020-05-16 00:00:00,907,391
Colorado,2020-05-17 00:00:00,982,410
Colorado,2020-05-18 00:00:00,2158,875
Colorado,2020-05-19 00:00:00,2405,905
Colorado,2020-05-20 00:00:00,2334,927
Colorado,2020-05-21 00:00:00,2672,945
Colorado,2020-05-22 00:00:00,2423,863
Colorado,2020-05-23 00:00:00,1024,450
Colorado,2020-05-24 00:00:00,882,364
Colorado,2020-05-25 00:00:00,1216,503
Colorado,2020-05-26 00:00:00,2114,806
Colorado,2020-05-27 00:00:00,2223,787
Colorado,2020-05-28 00:00:00,2479,859
Colorado,2020-05-29 00:00:00,2143,646
Colorado,2020-05-30 00:00:00,906,293
Colorado,2020-05-31 00:00:00,911,239
Colorado,2020-06-01 00:00:00,1960,611
