state,date,total,covid
Connecticut,2020-02-01 00:00:00,200,30
Connecticut,2020-02-02 00:00:00,186,27
Connecticut,2020-02-03 00:00:00,423,19
Connecticut,2020-02-04 00:00:00,469,32
Connecticut,2020-02-05 00:00:00,465,19
Connecticut,2020-02-06 00:00:00,446,22
Connecticut,2020-02-07 00:00:00,490,23
Connecticut,2020-02-08 00:00:00,163,16
Connecticut,2020-02-09 00:00:00,228,12
Connecticut,2020-02-10 00:00:00,473,20
Connecticut,2020-02-11 00:00:00,567,31
Connecticut,2020-02-12 00:00:00,535,12
Connecticut,2020-02-13 00:00:00,517,19
Connecticut,2020-02-14 00:00:00,480,16
Connecticut,2020-02-15 00:00:00,225,9
Connecticut,2020-02-16 00:00:00,206,11
Connecticut,2020-02-17 00:00:00,350,13
Connecticut,2020-02-18 00:00:00,500,31
Connecticut,2020-02-19 00:00:00,660,23
Connecticut,2020-02-20 00:00:00,573,22
Connecticut,2020-02-21 00:00:00,562,26
Connecticut,2020-02-22 00:00:00,203,7
Connecticut,2020-02-23 00:00:00,236,13
Connecticut,2020-02-24 00:00:00,448,36
Connecticut,2020-02-25 00:00:00,583,58
Connecticut,2020-02-26 00:00:00,610,111
Connecticut,2020-02-27 00:00:00,634,86
Connecticut,2020-02-28 00:00:00,639,111
Connecticut,2020-02-29 00:00:00,239,69
Connecticut,2020-03-01 00:00:00,239,58
Connecticut,2020-03-02 00:00:00,579,123
Connecticut,2020-03-03 00:00:00,569,94
Connecticut,2020-03-04 00:00:00,590,93
Connecticut,2020-03-05 00:00:00,587,154
Connecticut,2020-03-06 00:00:00,561,176
Connecticut,2020-03-07 00:00:00,242,110
Connecticut,2020-03-08 00:00:00,231,94
Connecticut,2020-03-09 00:00:00,567,246
Connecticut,2020-03-10 00:00:00,564,284
Connecticut,2020-03-11 00:00:00,656,335
Connecticut,2020-03-12 00:00:00,674,394
Connecticut,2020-03-13 00:00:00,604,368
Connecticut,2020-03-14 00:00:00,256,181
Connecticut,2020-03-15 00:00:00,342,246
Connecticut,2020-03-16 00:00:00,577,416
Connecticut,2020-03-17 00:00:00,601,332
Connecticut,2020-03-18 00:00:00,627,440
Connecticut,2020-03-19 00:00:00,690,416
Connecticut,2020-03-20 00:00:00,556,391
Connecticut,2020-03-21 00:00:00,227,156
Connecticut,2020-03-22 00:00:00,248,178
Connecticut,2020-03-23 00:00:00,621,410
Connecticut,2020-03-24 00:00:00,637,433
Connecticut,2020-03-25 00:00:00,525,363
Connecticut,2020-03-26 00:00:00,592,386
Connecticut,2020-03-27 00:00:00,617,399
Connecticut,2020-03-28 00:00:00,237,166
Connecticut,2020-03-29 00:00:00,207,139
Connecticut,2020-03-30 00:00:00,535,301
Connecticut,2020-03-31 00:00:00,596,405
Connecticut,2020-04-01 00:00:00,627,428
Connecticut,2020-04-02 00:00:00,573,393
Connecticut,2020-04-03 00:00:00,547,350
Connecticut,2020-04-04 00:00:00,234,162
Connecticut,2020-04-05 00:00:00,176,132
