state,date,total,covid
District of Columbia,2020-03-01 00:00:00,697,148
District of Columbia,2020-03-02 00:00:00,1405,286
District of Columbia,2020-03-03 00:00:00,1686,337
District of Columbia,2020-03-04 00:00:00,1587,361
District of Columbia,2020-03-05 00:00:00,1803,386
District of Columbia,2020-03-06 00:00:00,1680,411
District of Columbia,2020-03-07 00:00:00,729,202
District of Columbia,2020-03-08 00:00:00,764,257
District of Columbia,2020-03-09 00:00:00,1740,658
District of Columbia,2020-03-10 00:00:00,1787,702
District of Columbia,2020-03-11 00:00:00,2055,931
District of Columbia,2020-03-12 00:00:00,2045,1151
District of Columbia,2020-03-13 00:00:00,1806,1019
District of Columbia,2020-03-14 00:00:00,664,469
District of Columbia,2020-03-15 00:00:00,1069,760
District of Columbia,2020-03-16 00:00:00,1737,1054
District of Columbia,2020-03-17 00:00:00,1790,1111
District of Columbia,2020-03-18 00:00:00,1796,1198
District of Columbia,2020-03-19 00:00:00,1891,1237
District of Columbia,2020-03-20 00:00:00,1726,1077
District of Columbia,2020-03-21 00:00:00,772,547
District of Columbia,2020-03-22 00:00:00,718,556
District of Columbia,2020-03-23 00:00:00,1616,1121
District of Columbia,2020-03-24 00:00:00,1657,1083
District of Columbia,2020-03-25 00:00:00,1691,1121
District of Columbia,2020-03-26 00:00:00,1843,1145
District of Columbia,2020-03-27 00:00:00,1762,1081
District of Columbia,2020-03-28 00:00:00,632,448
District of Columbia,2020-03-29 00:00:00,532,354
District of Columbia,2020-03-30 00:00:00,1422,787
District of Columbia,2020-03-31 00:00:00,1505,801
District of Columbia,2020-04-01 00:00:00,1736,1088
District of Columbia,2020-04-02 00:00:00,1837,1108
District of Columbia,2020-04-03 00:00:00,1641,978
District of Columbia,2020-04-04 00:00:00,672,490
District of Columbia,2020-04-05 00:00:00,699,530
District of Columbia,2020-04-06 00:00:00,1652,1002
District of Columbia,2020-04-07 00:00:00,1497,936
District of Columbia,2020-04-08 00:00:00,1589,994
District of Columbia,2020-04-09 00:00:00,1374,912
District of Columbia,2020-04-10 00:00:00,1397,852
District of Columbia,2020-04-11 00:00:00,997,443
District of Columbia,2020-04-12 00:00:00,737,462
District of Columbia,2020-04-13 00:00:00,1602,905
District of Columbia,2020-04-14 00:00:00,1169,739
District of Columbia,2020-04-15 00:00:00,2028,1089
District of Columbia,2020-04-16 00:00:00,1910,1070
District of Columbia,2020-04-17 00:00:00,1547,881
District of Columbia,2020-04-18 00:00:00,654,445
District of Columbia,2020-04-19 00:00:00,638,453
District of Columbia,2020-04-20 00:00:00,1603,912
District of Columbia,2020-04-21 00:00:00,1638,904
District of Columbia,2020-04-22 00:00:00,1582,896
District of Columbia,2020-04-23 00:00:00,1388,834
District of Columbia,2020-04-24 00:00:00,1493,821
District of Columbia,2020-04-25 00:00:00,720,416
District of Columbia,2020-04-26 00:00:00,582,378
District of Columbia,2020-04-27 00:00:00,1562,860
District of Columbia,2020-04-28 00:00:00,1617,945
District of Columbia,2020-04-29 00:00:00,1751,958
District of Columbia,2020-04-30 00:00:00,1874,951
District of Columbia,2020-05-01 00:00:00,1697,844
District of Columbia,2020-05-02 00:00:00,491,258
District of Columbia,2020-05-03 00:00:00,446,265
District of Columbia,2020-05-04 00:00:00,1410,615
District of Columbia,2020-05-05 00:00:00,1344,624
District of Columbia,2020-05-06 00:00:00,1415,666
District of Columbia,2020-05-07 00:00:00,1547,651
District of Columbia,2020-05-08 00:00:00,1459,597
District of Columbia,2020-05-09 00:00:00,475,268
District of Columbia,2020-05-10 00:00:00,450,242
District of Columbia,2020-05-11 00:00:00,1330,529
District of Columbia,2020-05-12 00:00:00,1345,598
District of Columbia,2020-05-13 00:00:00,1296,574
District of Columbia,2020-05-14 00:00:00,1309,542
District of Columbia,2020-05-15 00:00:00,1481,574
District of Columbia,2020-05-16 00:00:00,388,199
District of Columbia,2020-05-17 00:00:00,450,224
District of Columbia,2020-05-18 00:00:00,1187,447
District of Columbia,2020-05-19 00:00:00,1249,498
District of Columbia,2020-05-20 00:00:00,1205,476
District of Columbia,2020-05-21 00:00:00,1376,490
District of Columbia,2020-05-22 00:00:00,1402,432
District of Columbia,2020-05-23 00:00:00,459,231
District of Columbia,2020-05-24 00:00:00,474,222
District of Columbia,2020-05-25 00:00:00,701,328
District of Columbia,2020-05-26 00:00:00,1303,515
District of Columbia,2020-05-27 00:00:00,1232,522
District of Columbia,2020-05-28 00:00:00,1436,550
District of Columbia,2020-05-29 00:00:00,1343,483
District of Columbia,2020-05-30 00:00:00,502,198
District of Columbia,2020-05-31 00:00:00,521,184
District of Columbia,2020-06-01 00:00:00,1257,389
