state,date,total,covid
Delaware,2020-03-01 00:00:00,157,20
Delaware,2020-03-02 00:00:00,510,75
Delaware,2020-03-03 00:00:00,547,49
Delaware,2020-03-04 00:00:00,414,63
Delaware,2020-03-05 00:00:00,569,97
Delaware,2020-03-06 00:00:00,445,86
Delaware,2020-03-07 00:00:00,89,5
Delaware,2020-03-08 00:00:00,105,13
Delaware,2020-03-09 00:00:00,354,80
Delaware,2020-03-10 00:00:00,350,96
Delaware,2020-03-11 00:00:00,557,213
Delaware,2020-03-12 00:00:00,569,346
Delaware,2020-03-13 00:00:00,496,303
Delaware,2020-03-14 00:00:00,82,55
Delaware,2020-03-15 00:00:00,165,108
Delaware,2020-03-16 00:00:00,571,333
Delaware,2020-03-17 00:00:00,617,383
Delaware,2020-03-18 00:00:00,513,334
Delaware,2020-03-19 00:00:00,511,324
Delaware,2020-03-20 00:00:00,592,393
Delaware,2020-03-21 00:00:00,149,103
Delaware,2020-03-22 00:00:00,117,96
Delaware,2020-03-23 00:00:00,558,389
Delaware,2020-03-24 00:00:00,460,324
Delaware,2020-03-25 00:00:00,473,311
Delaware,2020-03-26 00:00:00,590,378
Delaware,2020-03-27 00:00:00,531,334
Delaware,2020-03-28 00:00:00,122,87
Delaware,2020-03-29 00:00:00,104,77
Delaware,2020-03-30 00:00:00,416,246
Delaware,2020-03-31 00:00:00,485,305
Delaware,2020-04-01 00:00:00,494,292
Delaware,2020-04-02 00:00:00,474,321
Delaware,2020-04-03 00:00:00,554,300
Delaware,2020-04-04 00:00:00,103,63
Delaware,2020-04-05 00:00:00,116,74
Delaware,2020-04-06 00:00:00,635,424
Delaware,2020-04-07 00:00:00,547,306
Delaware,2020-04-08 00:00:00,353,182
Delaware,2020-04-09 00:00:00,597,362
Delaware,2020-04-10 00:00:00,540,344
Delaware,2020-04-11 00:00:00,207,130
Delaware,2020-04-12 00:00:00,131,78
Delaware,2020-04-13 00:00:00,410,254
Delaware,2020-04-14 00:00:00,451,241
Delaware,2020-04-15 00:00:00,469,274
Delaware,2020-04-16 00:00:00,561,295
Delaware,2020-04-17 00:00:00,472,258
Delaware,2020-04-18 00:00:00,95,55
Delaware,2020-04-19 00:00:00,104,53
Delaware,2020-04-20 00:00:00,411,215
Delaware,2020-04-21 00:00:00,431,212
Delaware,2020-04-22 00:00:00,403,182
Delaware,2020-04-23 00:00:00,433,209
Delaware,2020-04-24 00:00:00,537,212
Delaware,2020-04-25 00:00:00,140,60
Delaware,2020-04-26 00:00:00,111,47
Delaware,2020-04-27 00:00:00,399,220
Delaware,2020-04-28 00:00:00,399,202
Delaware,2020-04-29 00:00:00,369,176
Delaware,2020-04-30 00:00:00,439,208
Delaware,2020-05-01 00:00:00,515,234
Delaware,2020-05-02 00:00:00,95,28
Delaware,2020-05-03 00:00:00,123,67
Delaware,2020-05-04 00:00:00,411,192
Delaware,2020-05-05 00:00:00,580,238
Delaware,2020-05-06 00:00:00,436,207
Delaware,2020-05-07 00:00:00,550,187
Delaware,2020-05-08 00:00:00,469,174
Delaware,2020-05-09 00:00:00,81,38
Delaware,2020-05-10 00:00:00,76,27
Delaware,2020-05-11 00:00:00,359,143
Delaware,2020-05-12 00:00:00,380,156
Delaware,2020-05-13 00:00:00,347,124
Delaware,2020-05-14 00:00:00,531,232
Delaware,2020-05-15 00:00:00,528,206
Delaware,2020-05-16 00:00:00,69,29
Delaware,2020-05-17 00:00:00,84,37
Delaware,2020-05-18 00:00:00,450,165
Delaware,2020-05-19 00:00:00,452,162
Delaware,2020-05-20 00:00:00,354,127
Delaware,2020-05-21 00:00:00,486,202
Delaware,2020-05-22 00:00:00,369,128
Delaware,2020-05-23 00:00:00,145,64
Delaware,2020-05-24 00:00:00,88,39
Delaware,2020-05-25 00:00:00,232,98
Delaware,2020-05-26 00:00:00,385,111
Delaware,2020-05-27 00:00:00,351,136
Delaware,2020-05-28 00:00:00,437,167
Delaware,2020-05-29 00:00:00,409,95
Delaware,2020-05-30 00:00:00,213,40
Delaware,2020-05-31 00:00:00,138,13
Delaware,2020-06-01 00:00:00,464,112
