state,date,total,covid
Florida,2020-02-01 00:00:00,1710,108
Florida,2020-02-02 00:00:00,1594,104
Florida,2020-02-03 00:00:00,2226,170
Florida,2020-02-04 00:00:00,2550,169
Florida,2020-02-05 00:00:00,2351,129
Florida,2020-02-06 00:00:00,3255,139
Florida,2020-02-07 00:00:00,3658,179
Florida,2020-02-08 00:00:00,1670,108
Florida,2020-02-09 00:00:00,1811,79
Florida,2020-02-10 00:00:00,3840,173
Florida,2020-02-11 00:00:00,4156,235
Florida,2020-02-12 00:00:00,4194,202
Florida,2020-02-13 00:00:00,4819,206
Florida,2020-02-14 00:00:00,4503,202
Florida,2020-02-15 00:00:00,1784,125
Florida,2020-02-16 00:00:00,1771,100
Florida,2020-02-17 00:00:00,2706,167
Florida,2020-02-18 00:00:00,4491,256
Florida,2020-02-19 00:00:00,4507,141
Florida,2020-02-20 00:00:00,5053,171
Florida,2020-02-21 00:00:00,4803,208
Florida,2020-02-22 00:00:00,1946,81
Florida,2020-02-23 00:00:00,2016,148
Florida,2020-02-24 00:00:00,4402,257
Florida,2020-02-25 00:00:00,4305,343
Florida,2020-02-26 00:00:00,4622,556
Florida,2020-02-27 00:00:00,5079,630
Florida,2020-02-28 00:00:00,4905,720
Florida,2020-02-29 00:00:00,2028,382
Florida,2020-03-01 00:00:00,2135,550
Florida,2020-03-02 00:00:00,4675,1013
Florida,2020-03-03 00:00:00,4879,1104
Florida,2020-03-04 00:00:00,4906,999
Florida,2020-03-05 00:00:00,5311,1141
Florida,2020-03-06 00:00:00,4983,1286
Florida,2020-03-07 00:00:00,2082,711
Florida,2020-03-08 00:00:00,1701,677
Florida,2020-03-09 00:00:00,4159,1639
Florida,2020-03-10 00:00:00,4514,1684
Florida,2020-03-11 00:00:00,4968,2259
Florida,2020-03-12 00:00:00,5411,3057
Florida,2020-03-13 00:00:00,5173,2873
Florida,2020-03-14 00:00:00,2004,1302
Florida,2020-03-15 00:00:00,2256,1562
Florida,2020-03-16 00:00:00,4512,2735
Florida,2020-03-17 00:00:00,4941,3098
Florida,2020-03-18 00:00:00,4888,3125
Florida,2020-03-19 00:00:00,4771,2993
Florida,2020-03-20 00:00:00,4698,3032
Florida,2020-03-21 00:00:00,1878,1212
Florida,2020-03-22 00:00:00,1713,1145
Florida,2020-03-23 00:00:00,4376,2936
Florida,2020-03-24 00:00:00,4580,3104
