state,date,total,covid
Georgia,2020-02-01 00:00:00,988,46
Georgia,2020-02-02 00:00:00,863,48
Georgia,2020-02-03 00:00:00,976,45
Georgia,2020-02-04 00:00:00,1048,63
Georgia,2020-02-05 00:00:00,1239,57
Georgia,2020-02-06 00:00:00,1220,43
Georgia,2020-02-07 00:00:00,1375,60
Georgia,2020-02-08 00:00:00,958,33
Georgia,2020-02-09 00:00:00,868,36
Georgia,2020-02-10 00:00:00,1644,61
Georgia,2020-02-11 00:00:00,1626,93
Georgia,2020-02-12 00:00:00,1634,91
Georgia,2020-02-13 00:00:00,1823,71
Georgia,2020-02-14 00:00:00,1549,57
Georgia,2020-02-15 00:00:00,1037,42
Georgia,2020-02-16 00:00:00,800,36
Georgia,2020-02-17 00:00:00,1143,54
Georgia,2020-02-18 00:00:00,1644,89
Georgia,2020-02-19 00:00:00,1766,57
Georgia,2020-02-20 00:00:00,1893,68
Georgia,2020-02-21 00:00:00,1789,70
Georgia,2020-02-22 00:00:00,1032,35
Georgia,2020-02-23 00:00:00,918,42
Georgia,2020-02-24 00:00:00,1612,87
Georgia,2020-02-25 00:00:00,1491,97
Georgia,2020-02-26 00:00:00,1991,194
Georgia,2020-02-27 00:00:00,1814,201
Georgia,2020-02-28 00:00:00,1866,275
Georgia,2020-02-29 00:00:00,1050,137
Georgia,2020-03-01 00:00:00,948,151
Georgia,2020-03-02 00:00:00,1782,291
Georgia,2020-03-03 00:00:00,1695,335
Georgia,2020-03-04 00:00:00,1916,314
Georgia,2020-03-05 00:00:00,2036,338
Georgia,2020-03-06 00:00:00,1698,384
Georgia,2020-03-07 00:00:00,996,214
Georgia,2020-03-08 00:00:00,727,232
Georgia,2020-03-09 00:00:00,1382,471
Georgia,2020-03-10 00:00:00,1427,479
Georgia,2020-03-11 00:00:00,1853,733
Georgia,2020-03-12 00:00:00,1731,916
Georgia,2020-03-13 00:00:00,1634,898
Georgia,2020-03-14 00:00:00,655,431
Georgia,2020-03-15 00:00:00,639,424
Georgia,2020-03-16 00:00:00,1428,865
Georgia,2020-03-17 00:00:00,1581,861
Georgia,2020-03-18 00:00:00,1585,910
Georgia,2020-03-19 00:00:00,1621,869
Georgia,2020-03-20 00:00:00,1427,836
Georgia,2020-03-21 00:00:00,668,417
Georgia,2020-03-22 00:00:00,547,352
Georgia,2020-03-23 00:00:00,1360,785
Georgia,2020-03-24 00:00:00,1484,857
Georgia,2020-03-25 00:00:00,1600,905
Georgia,2020-03-26 00:00:00,1605,848
Georgia,2020-03-27 00:00:00,1475,833
Georgia,2020-03-28 00:00:00,583,354
Georgia,2020-03-29 00:00:00,538,347
Georgia,2020-03-30 00:00:00,1354,733
Georgia,2020-03-31 00:00:00,1417,771
Georgia,2020-04-01 00:00:00,1610,843
Georgia,2020-04-02 00:00:00,1434,820
Georgia,2020-04-03 00:00:00,1334,669
Georgia,2020-04-04 00:00:00,603,346
Georgia,2020-04-05 00:00:00,559,361
Georgia,2020-04-06 00:00:00,1365,720
Georgia,2020-04-07 00:00:00,1380,737
Georgia,2020-04-08 00:00:00,1436,748
Georgia,2020-04-09 00:00:00,1362,695
Georgia,2020-04-10 00:00:00,1208,638
Georgia,2020-04-11 00:00:00,737,342
Georgia,2020-04-12 00:00:00,640,377
Georgia,2020-04-13 00:00:00,1490,752
Georgia,2020-04-14 00:00:00,1449,714
Georgia,2020-04-15 00:00:00,1769,857
Georgia,2020-04-16 00:00:00,1646,750
Georgia,2020-04-17 00:00:00,1369,639
Georgia,2020-04-18 00:00:00,624,360
Georgia,2020-04-19 00:00:00,558,299
Georgia,2020-04-20 00:00:00,1455,673
Georgia,2020-04-21 00:00:00,1605,772
Georgia,2020-04-22 00:00:00,1542,699
Georgia,2020-04-23 00:00:00,1445,728
Georgia,2020-04-24 00:00:00,1386,591
Georgia,2020-04-25 00:00:00,697,291
Georgia,2020-04-26 00:00:00,493,244
Georgia,2020-04-27 00:00:00,1469,614
Georgia,2020-04-28 00:00:00,1441,669
Georgia,2020-04-29 00:00:00,1745,728
Georgia,2020-04-30 00:00:00,1654,733
Georgia,2020-05-01 00:00:00,1659,630
Georgia,2020-05-02 00:00:00,583,286
Georgia,2020-05-03 00:00:00,505,234
Georgia,2020-05-04 00:00:00,1518,605
Georgia,2020-05-05 00:00:00,1544,738
Georgia,2020-05-06 00:00:00,1638,649
Georgia,2020-05-07 00:00:00,1720,595
Georgia,2020-05-08 00:00:00,1562,560
Georgia,2020-05-09 00:00:00,601,328
Georgia,2020-05-10 00:00:00,571,298
Georgia,2020-05-11 00:00:00,1435,514
Georgia,2020-05-12 00:00:00,1483,611
Georgia,2020-05-13 00:00:00,1773,692
Georgia,2020-05-14 00:00:00,1853,704
Georgia,2020-05-15 00:00:00,1889,797
Georgia,2020-05-16 00:00:00,693,304
Georgia,2020-05-17 00:00:00,598,188
Georgia,2020-05-18 00:00:00,1485,469
Georgia,2020-05-19 00:00:00,1547,467
Georgia,2020-05-20 00:00:00,1772,630
Georgia,2020-05-21 00:00:00,1829,621
Georgia,2020-05-22 00:00:00,1545,518
Georgia,2020-05-23 00:00:00,669,331
Georgia,2020-05-24 00:00:00,561,239
Georgia,2020-05-25 00:00:00,763,355
Georgia,2020-05-26 00:00:00,1445,472
Georgia,2020-05-27 00:00:00,1469,485
Georgia,2020-05-28 00:00:00,1566,478
Georgia,2020-05-29 00:00:00,1518,382
Georgia,2020-05-30 00:00:00,763,257
Georgia,2020-05-31 00:00:00,718,229
Georgia,2020-06-01 00:00:00,1576,453
Georgia,2020-06-02 00:00:00,1561,371
Georgia,2020-06-03 00:00:00,1877,489
Georgia,2020-06-04 00:00:00,1729,426
Georgia,2020-06-05 00:00:00,1646,447
Georgia,2020-06-06 00:00:00,692,217
Georgia,2020-06-07 00:00:00,604,207
Georgia,2020-06-08 00:00:00,1491,411
Georgia,2020-06-09 00:00:00,1559,325
Georgia,2020-06-10 00:00:00,1920,396
Georgia,2020-06-11 00:00:00,1559,396
Georgia,2020-06-12 00:00:00,1542,394
Georgia,2020-06-13 00:00:00,690,229
Georgia,2020-06-14 00:00:00,561,187
Georgia,2020-06-15 00:00:00,1504,359
Georgia,2020-06-16 00:00:00,1549,342
Georgia,2020-06-17 00:00:00,1847,411
Georgia,2020-06-18 00:00:00,1813,377
Georgia,2020-06-19 00:00:00,1600,375
Georgia,2020-06-20 00:00:00,771,211
Georgia,2020-06-21 00:00:00,579,191
Georgia,2020-06-22 00:00:00,1527,419
