state,date,total,covid
Hawaii,2020-02-01 00:00:00,117,22
Hawaii,2020-02-02 00:00:00,129,10
Hawaii,2020-02-03 00:00:00,170,21
Hawaii,2020-02-04 00:00:00,181,22
Hawaii,2020-02-05 00:00:00,210,31
Hawaii,2020-02-06 00:00:00,176,24
Hawaii,2020-02-07 00:00:00,253,21
Hawaii,2020-02-08 00:00:00,124,16
Hawaii,2020-02-09 00:00:00,118,10
Hawaii,2020-02-10 00:00:00,310,13
Hawaii,2020-02-11 00:00:00,257,26
Hawaii,2020-02-12 00:00:00,286,22
Hawaii,2020-02-13 00:00:00,407,21
Hawaii,2020-02-14 00:00:00,370,26
Hawaii,2020-02-15 00:00:00,137,38
Hawaii,2020-02-16 00:00:00,126,9
Hawaii,2020-02-17 00:00:00,172,16
Hawaii,2020-02-18 00:00:00,401,30
Hawaii,2020-02-19 00:00:00,368,20
Hawaii,2020-02-20 00:00:00,417,32
Hawaii,2020-02-21 00:00:00,403,23
Hawaii,2020-02-22 00:00:00,122,13
Hawaii,2020-02-23 00:00:00,135,10
Hawaii,2020-02-24 00:00:00,392,39
Hawaii,2020-02-25 00:00:00,400,47
Hawaii,2020-02-26 00:00:00,410,58
Hawaii,2020-02-27 00:00:00,415,56
Hawaii,2020-02-28 00:00:00,384,62
Hawaii,2020-02-29 00:00:00,122,33
Hawaii,2020-03-01 00:00:00,168,33
Hawaii,2020-03-02 00:00:00,374,74
Hawaii,2020-03-03 00:00:00,400,92
Hawaii,2020-03-04 00:00:00,401,97
Hawaii,2020-03-05 00:00:00,410,85
Hawaii,2020-03-06 00:00:00,438,109
Hawaii,2020-03-07 00:00:00,143,40
Hawaii,2020-03-08 00:00:00,170,48
Hawaii,2020-03-09 00:00:00,361,117
Hawaii,2020-03-10 00:00:00,406,150
Hawaii,2020-03-11 00:00:00,458,214
Hawaii,2020-03-12 00:00:00,483,245
Hawaii,2020-03-13 00:00:00,473,222
Hawaii,2020-03-14 00:00:00,158,93
Hawaii,2020-03-15 00:00:00,236,131
Hawaii,2020-03-16 00:00:00,431,230
Hawaii,2020-03-17 00:00:00,465,268
Hawaii,2020-03-18 00:00:00,464,242
Hawaii,2020-03-19 00:00:00,490,285
Hawaii,2020-03-20 00:00:00,464,252
Hawaii,2020-03-21 00:00:00,190,102
Hawaii,2020-03-22 00:00:00,191,107
Hawaii,2020-03-23 00:00:00,427,223
Hawaii,2020-03-24 00:00:00,387,215
Hawaii,2020-03-25 00:00:00,422,206
Hawaii,2020-03-26 00:00:00,431,205
Hawaii,2020-03-27 00:00:00,495,206
Hawaii,2020-03-28 00:00:00,160,80
Hawaii,2020-03-29 00:00:00,171,97
Hawaii,2020-03-30 00:00:00,370,178
Hawaii,2020-03-31 00:00:00,424,188
Hawaii,2020-04-01 00:00:00,400,183
Hawaii,2020-04-02 00:00:00,461,180
Hawaii,2020-04-03 00:00:00,449,196
Hawaii,2020-04-04 00:00:00,117,64
Hawaii,2020-04-05 00:00:00,131,68
Hawaii,2020-04-06 00:00:00,393,159
Hawaii,2020-04-07 00:00:00,331,147
Hawaii,2020-04-08 00:00:00,304,142
Hawaii,2020-04-09 00:00:00,322,127
Hawaii,2020-04-10 00:00:00,305,130
Hawaii,2020-04-11 00:00:00,164,82
Hawaii,2020-04-12 00:00:00,139,65
Hawaii,2020-04-13 00:00:00,425,169
Hawaii,2020-04-14 00:00:00,391,158
Hawaii,2020-04-15 00:00:00,530,192
Hawaii,2020-04-16 00:00:00,520,165
Hawaii,2020-04-17 00:00:00,447,137
Hawaii,2020-04-18 00:00:00,144,60
Hawaii,2020-04-19 00:00:00,210,103
Hawaii,2020-04-20 00:00:00,399,153
Hawaii,2020-04-21 00:00:00,484,186
Hawaii,2020-04-22 00:00:00,358,120
Hawaii,2020-04-23 00:00:00,305,108
Hawaii,2020-04-24 00:00:00,411,132
Hawaii,2020-04-25 00:00:00,155,64
Hawaii,2020-04-26 00:00:00,161,69
Hawaii,2020-04-27 00:00:00,425,129
Hawaii,2020-04-28 00:00:00,376,136
Hawaii,2020-04-29 00:00:00,474,141
