state,date,total,covid
Iowa,2020-02-01 00:00:00,388,16
Iowa,2020-02-02 00:00:00,360,11
Iowa,2020-02-03 00:00:00,609,33
Iowa,2020-02-04 00:00:00,805,43
Iowa,2020-02-05 00:00:00,732,47
Iowa,2020-02-06 00:00:00,849,32
Iowa,2020-02-07 00:00:00,709,43
Iowa,2020-02-08 00:00:00,320,13
Iowa,2020-02-09 00:00:00,318,11
Iowa,2020-02-10 00:00:00,716,40
Iowa,2020-02-11 00:00:00,812,36
Iowa,2020-02-12 00:00:00,812,36
Iowa,2020-02-13 00:00:00,846,25
Iowa,2020-02-14 00:00:00,708,28
Iowa,2020-02-15 00:00:00,403,22
Iowa,2020-02-16 00:00:00,318,11
Iowa,2020-02-17 00:00:00,537,29
Iowa,2020-02-18 00:00:00,798,42
Iowa,2020-02-19 00:00:00,882,27
Iowa,2020-02-20 00:00:00,893,39
Iowa,2020-02-21 00:00:00,778,42
Iowa,2020-02-22 00:00:00,404,7
Iowa,2020-02-23 00:00:00,353,16
Iowa,2020-02-24 00:00:00,737,42
Iowa,2020-02-25 00:00:00,809,79
Iowa,2020-02-26 00:00:00,900,110
Iowa,2020-02-27 00:00:00,891,95
Iowa,2020-02-28 00:00:00,809,114
Iowa,2020-02-29 00:00:00,391,69
Iowa,2020-03-01 00:00:00,328,64
Iowa,2020-03-02 00:00:00,850,118
Iowa,2020-03-03 00:00:00,905,128
Iowa,2020-03-04 00:00:00,895,113
Iowa,2020-03-05 00:00:00,931,128
Iowa,2020-03-06 00:00:00,790,153
Iowa,2020-03-07 00:00:00,341,67
Iowa,2020-03-08 00:00:00,404,74
Iowa,2020-03-09 00:00:00,741,224
Iowa,2020-03-10 00:00:00,879,252
Iowa,2020-03-11 00:00:00,1064,421
Iowa,2020-03-12 00:00:00,1045,522
Iowa,2020-03-13 00:00:00,902,448
Iowa,2020-03-14 00:00:00,379,183
Iowa,2020-03-15 00:00:00,442,234
Iowa,2020-03-16 00:00:00,916,469
Iowa,2020-03-17 00:00:00,1018,486
Iowa,2020-03-18 00:00:00,981,509
Iowa,2020-03-19 00:00:00,983,515
Iowa,2020-03-20 00:00:00,843,469
Iowa,2020-03-21 00:00:00,385,197
Iowa,2020-03-22 00:00:00,357,194
Iowa,2020-03-23 00:00:00,943,518
Iowa,2020-03-24 00:00:00,857,461
Iowa,2020-03-25 00:00:00,839,456
Iowa,2020-03-26 00:00:00,919,492
Iowa,2020-03-27 00:00:00,892,469
Iowa,2020-03-28 00:00:00,418,197
Iowa,2020-03-29 00:00:00,334,152
Iowa,2020-03-30 00:00:00,818,442
Iowa,2020-03-31 00:00:00,914,454
Iowa,2020-04-01 00:00:00,873,456
Iowa,2020-04-02 00:00:00,971,484
Iowa,2020-04-03 00:00:00,909,412
Iowa,2020-04-04 00:00:00,326,134
Iowa,2020-04-05 00:00:00,304,165
Iowa,2020-04-06 00:00:00,839,413
Iowa,2020-04-07 00:00:00,798,404
Iowa,2020-04-08 00:00:00,713,323
Iowa,2020-04-09 00:00:00,858,440
Iowa,2020-04-10 00:00:00,760,395
Iowa,2020-04-11 00:00:00,440,165
Iowa,2020-04-12 00:00:00,336,109
Iowa,2020-04-13 00:00:00,776,362
Iowa,2020-04-14 00:00:00,820,366
Iowa,2020-04-15 00:00:00,925,381
Iowa,2020-04-16 00:00:00,914,404
Iowa,2020-04-17 00:00:00,731,340
Iowa,2020-04-18 00:00:00,392,151
Iowa,2020-04-19 00:00:00,305,134
Iowa,2020-04-20 00:00:00,800,344
Iowa,2020-04-21 00:00:00,936,366
Iowa,2020-04-22 00:00:00,832,336
Iowa,2020-04-23 00:00:00,870,382
Iowa,2020-04-24 00:00:00,797,326
Iowa,2020-04-25 00:00:00,356,150
Iowa,2020-04-26 00:00:00,334,119
Iowa,2020-04-27 00:00:00,850,326
Iowa,2020-04-28 00:00:00,920,386
Iowa,2020-04-29 00:00:00,791,341
Iowa,2020-04-30 00:00:00,942,354
Iowa,2020-05-01 00:00:00,776,298
Iowa,2020-05-02 00:00:00,395,136
Iowa,2020-05-03 00:00:00,324,130
Iowa,2020-05-04 00:00:00,835,335
Iowa,2020-05-05 00:00:00,1051,386
Iowa,2020-05-06 00:00:00,899,324
Iowa,2020-05-07 00:00:00,1002,353
Iowa,2020-05-08 00:00:00,797,337
Iowa,2020-05-09 00:00:00,418,132
Iowa,2020-05-10 00:00:00,323,121
Iowa,2020-05-11 00:00:00,809,307
Iowa,2020-05-12 00:00:00,911,326
Iowa,2020-05-13 00:00:00,809,301
Iowa,2020-05-14 00:00:00,827,313
Iowa,2020-05-15 00:00:00,877,379
Iowa,2020-05-16 00:00:00,409,125
Iowa,2020-05-17 00:00:00,309,95
Iowa,2020-05-18 00:00:00,871,347
Iowa,2020-05-19 00:00:00,929,337
Iowa,2020-05-20 00:00:00,827,295
Iowa,2020-05-21 00:00:00,882,316
Iowa,2020-05-22 00:00:00,703,235
Iowa,2020-05-23 00:00:00,328,120
Iowa,2020-05-24 00:00:00,265,94
Iowa,2020-05-25 00:00:00,470,183
Iowa,2020-05-26 00:00:00,865,259
Iowa,2020-05-27 00:00:00,944,303
Iowa,2020-05-28 00:00:00,1010,367
Iowa,2020-05-29 00:00:00,1011,243
Iowa,2020-05-30 00:00:00,477,107
Iowa,2020-05-31 00:00:00,495,103
Iowa,2020-06-01 00:00:00,992,244
Iowa,2020-06-02 00:00:00,1069,243
Iowa,2020-06-03 00:00:00,1082,272
Iowa,2020-06-04 00:00:00,1120,295
Iowa,2020-06-05 00:00:00,1011,212
Iowa,2020-06-06 00:00:00,459,107
Iowa,2020-06-07 00:00:00,401,89
Iowa,2020-06-08 00:00:00,886,211
Iowa,2020-06-09 00:00:00,1032,215
Iowa,2020-06-10 00:00:00,1070,242
Iowa,2020-06-11 00:00:00,1027,291
Iowa,2020-06-12 00:00:00,970,276
Iowa,2020-06-13 00:00:00,433,111
Iowa,2020-06-14 00:00:00,357,87
Iowa,2020-06-15 00:00:00,1023,231
Iowa,2020-06-16 00:00:00,1060,245
Iowa,2020-06-17 00:00:00,1027,257
Iowa,2020-06-18 00:00:00,1018,251
Iowa,2020-06-19 00:00:00,964,267
Iowa,2020-06-20 00:00:00,395,90
Iowa,2020-06-21 00:00:00,337,94
Iowa,2020-06-22 00:00:00,861,218
Iowa,2020-06-23 00:00:00,1064,269
Iowa,2020-06-24 00:00:00,1083,255
Iowa,2020-06-25 00:00:00,1262,344
Iowa,2020-06-26 00:00:00,1047,300
Iowa,2020-06-27 00:00:00,501,112
Iowa,2020-06-28 00:00:00,422,113
Iowa,2020-06-29 00:00:00,1081,293
Iowa,2020-06-30 00:00:00,1169,280
Iowa,2020-07-01 00:00:00,1164,292
Iowa,2020-07-02 00:00:00,1052,288
Iowa,2020-07-03 00:00:00,706,184
Iowa,2020-07-04 00:00:00,406,115
Iowa,2020-07-05 00:00:00,369,97
Iowa,2020-07-06 00:00:00,1003,260
Iowa,2020-07-07 00:00:00,1306,326
Iowa,2020-07-08 00:00:00,1206,310
Iowa,2020-07-09 00:00:00,1298,297
Iowa,2020-07-10 00:00:00,1184,260
Iowa,2020-07-11 00:00:00,701,204
Iowa,2020-07-12 00:00:00,514,136
Iowa,2020-07-13 00:00:00,1091,268
Iowa,2020-07-14 00:00:00,1264,313
Iowa,2020-07-15 00:00:00,1250,299
Iowa,2020-07-16 00:00:00,1259,333
Iowa,2020-07-17 00:00:00,1128,268
Iowa,2020-07-18 00:00:00,528,117
Iowa,2020-07-19 00:00:00,385,106
Iowa,2020-07-20 00:00:00,960,266
Iowa,2020-07-21 00:00:00,1143,281
Iowa,2020-07-22 00:00:00,1190,276
Iowa,2020-07-23 00:00:00,1200,324
Iowa,2020-07-24 00:00:00,579,160
Iowa,2020-07-25 00:00:00,110,18
Iowa,2020-07-26 00:00:00,108,23
Iowa,2020-07-27 00:00:00,352,80
Iowa,2020-07-28 00:00:00,498,104
Iowa,2020-07-29 00:00:00,1007,225
Iowa,2020-07-30 00:00:00,1169,324
Iowa,2020-07-31 00:00:00,1151,303
Iowa,2020-08-01 00:00:00,490,132
Iowa,2020-08-02 00:00:00,427,141
Iowa,2020-08-03 00:00:00,970,239
Iowa,2020-08-04 00:00:00,659,135
Iowa,2020-08-05 00:00:00,337,57
Iowa,2020-08-06 00:00:00,399,70
Iowa,2020-08-07 00:00:00,600,135
Iowa,2020-08-08 00:00:00,465,134
Iowa,2020-08-09 00:00:00,454,114
Iowa,2020-08-10 00:00:00,1032,217
Iowa,2020-08-11 00:00:00,1208,255
Iowa,2020-08-12 00:00:00,1183,248
Iowa,2020-08-13 00:00:00,1060,252
Iowa,2020-08-14 00:00:00,996,230
Iowa,2020-08-15 00:00:00,467,116
Iowa,2020-08-16 00:00:00,448,103
Iowa,2020-08-17 00:00:00,1040,224
Iowa,2020-08-18 00:00:00,1090,214
Iowa,2020-08-19 00:00:00,1140,234
Iowa,2020-08-20 00:00:00,1130,253
Iowa,2020-08-21 00:00:00,1013,207
Iowa,2020-08-22 00:00:00,469,116
Iowa,2020-08-23 00:00:00,476,116
Iowa,2020-08-24 00:00:00,1049,200
Iowa,2020-08-25 00:00:00,1166,243
Iowa,2020-08-26 00:00:00,1131,212
Iowa,2020-08-27 00:00:00,1133,238
Iowa,2020-08-28 00:00:00,1064,206
Iowa,2020-08-29 00:00:00,536,109
Iowa,2020-08-30 00:00:00,477,104
Iowa,2020-08-31 00:00:00,1082,226
Iowa,2020-09-01 00:00:00,1131,242
Iowa,2020-09-02 00:00:00,1236,294
Iowa,2020-09-03 00:00:00,1104,235
Iowa,2020-09-04 00:00:00,1008,158
Iowa,2020-09-05 00:00:00,530,102
Iowa,2020-09-06 00:00:00,463,78
Iowa,2020-09-07 00:00:00,603,140
Iowa,2020-09-08 00:00:00,1213,239
Iowa,2020-09-09 00:00:00,1350,223
Iowa,2020-09-10 00:00:00,1467,317
Iowa,2020-09-11 00:00:00,1293,204
Iowa,2020-09-12 00:00:00,624,128
Iowa,2020-09-13 00:00:00,610,132
Iowa,2020-09-14 00:00:00,1214,209
Iowa,2020-09-15 00:00:00,1417,265
Iowa,2020-09-16 00:00:00,1633,374
Iowa,2020-09-17 00:00:00,1465,286
Iowa,2020-09-18 00:00:00,1343,275
Iowa,2020-09-19 00:00:00,649,100
Iowa,2020-09-20 00:00:00,516,93
Iowa,2020-09-21 00:00:00,1333,241
Iowa,2020-09-22 00:00:00,1353,255
Iowa,2020-09-23 00:00:00,1410,259
Iowa,2020-09-24 00:00:00,1478,229
Iowa,2020-09-25 00:00:00,1407,276
Iowa,2020-09-26 00:00:00,729,116
Iowa,2020-09-27 00:00:00,606,107
Iowa,2020-09-28 00:00:00,1284,206
Iowa,2020-09-29 00:00:00,1395,267
Iowa,2020-09-30 00:00:00,1602,272
Iowa,2020-10-01 00:00:00,1612,314
Iowa,2020-10-02 00:00:00,1299,359
Iowa,2020-10-03 00:00:00,726,189
Iowa,2020-10-04 00:00:00,589,148
Iowa,2020-10-05 00:00:00,1258,324
Iowa,2020-10-06 00:00:00,1489,309
Iowa,2020-10-07 00:00:00,1520,281
Iowa,2020-10-08 00:00:00,1479,344
Iowa,2020-10-09 00:00:00,1277,248
Iowa,2020-10-10 00:00:00,662,147
Iowa,2020-10-11 00:00:00,668,140
Iowa,2020-10-12 00:00:00,1285,298
