state,date,total,covid
Idaho,2020-03-01 00:00:00,384,56
Idaho,2020-03-02 00:00:00,634,126
Idaho,2020-03-03 00:00:00,584,97
Idaho,2020-03-04 00:00:00,602,97
Idaho,2020-03-05 00:00:00,521,116
Idaho,2020-03-06 00:00:00,469,120
Idaho,2020-03-07 00:00:00,482,101
Idaho,2020-03-08 00:00:00,288,63
Idaho,2020-03-09 00:00:00,252,72
Idaho,2020-03-10 00:00:00,298,87
Idaho,2020-03-11 00:00:00,449,192
Idaho,2020-03-12 00:00:00,383,169
Idaho,2020-03-13 00:00:00,274,186
Idaho,2020-03-14 00:00:00,177,106
Idaho,2020-03-15 00:00:00,190,132
Idaho,2020-03-16 00:00:00,356,187
Idaho,2020-03-17 00:00:00,322,214
Idaho,2020-03-18 00:00:00,442,247
Idaho,2020-03-19 00:00:00,356,256
Idaho,2020-03-20 00:00:00,341,233
Idaho,2020-03-21 00:00:00,121,74
Idaho,2020-03-22 00:00:00,126,97
Idaho,2020-03-23 00:00:00,274,155
Idaho,2020-03-24 00:00:00,340,238
Idaho,2020-03-25 00:00:00,428,258
Idaho,2020-03-26 00:00:00,340,200
Idaho,2020-03-27 00:00:00,326,227
Idaho,2020-03-28 00:00:00,188,123
Idaho,2020-03-29 00:00:00,146,103
Idaho,2020-03-30 00:00:00,315,181
Idaho,2020-03-31 00:00:00,342,217
Idaho,2020-04-01 00:00:00,472,248
Idaho,2020-04-02 00:00:00,405,268
Idaho,2020-04-03 00:00:00,359,207
Idaho,2020-04-04 00:00:00,190,111
Idaho,2020-04-05 00:00:00,144,96
Idaho,2020-04-06 00:00:00,228,135
Idaho,2020-04-07 00:00:00,295,180
Idaho,2020-04-08 00:00:00,285,135
Idaho,2020-04-09 00:00:00,271,161
Idaho,2020-04-10 00:00:00,264,141
Idaho,2020-04-11 00:00:00,301,106
Idaho,2020-04-12 00:00:00,148,81
Idaho,2020-04-13 00:00:00,309,153
Idaho,2020-04-14 00:00:00,222,134
Idaho,2020-04-15 00:00:00,392,213
Idaho,2020-04-16 00:00:00,300,155
Idaho,2020-04-17 00:00:00,219,121
Idaho,2020-04-18 00:00:00,172,83
Idaho,2020-04-19 00:00:00,118,75
Idaho,2020-04-20 00:00:00,239,137
Idaho,2020-04-21 00:00:00,292,160
Idaho,2020-04-22 00:00:00,336,143
Idaho,2020-04-23 00:00:00,273,135
Idaho,2020-04-24 00:00:00,220,103
Idaho,2020-04-25 00:00:00,143,58
Idaho,2020-04-26 00:00:00,133,68
Idaho,2020-04-27 00:00:00,213,109
Idaho,2020-04-28 00:00:00,294,163
Idaho,2020-04-29 00:00:00,315,155
Idaho,2020-04-30 00:00:00,309,149
Idaho,2020-05-01 00:00:00,269,110
Idaho,2020-05-02 00:00:00,144,67
Idaho,2020-05-03 00:00:00,105,54
Idaho,2020-05-04 00:00:00,243,112
Idaho,2020-05-05 00:00:00,226,124
Idaho,2020-05-06 00:00:00,341,122
Idaho,2020-05-07 00:00:00,332,134
Idaho,2020-05-08 00:00:00,229,95
Idaho,2020-05-09 00:00:00,170,60
Idaho,2020-05-10 00:00:00,117,51
Idaho,2020-05-11 00:00:00,268,107
Idaho,2020-05-12 00:00:00,301,127
Idaho,2020-05-13 00:00:00,352,155
Idaho,2020-05-14 00:00:00,219,115
Idaho,2020-05-15 00:00:00,393,179
Idaho,2020-05-16 00:00:00,118,40
Idaho,2020-05-17 00:00:00,123,62
Idaho,2020-05-18 00:00:00,246,103
Idaho,2020-05-19 00:00:00,270,118
Idaho,2020-05-20 00:00:00,318,116
Idaho,2020-05-21 00:00:00,255,112
Idaho,2020-05-22 00:00:00,236,88
Idaho,2020-05-23 00:00:00,141,55
Idaho,2020-05-24 00:00:00,95,46
Idaho,2020-05-25 00:00:00,176,57
Idaho,2020-05-26 00:00:00,198,86
Idaho,2020-05-27 00:00:00,335,113
Idaho,2020-05-28 00:00:00,256,97
Idaho,2020-05-29 00:00:00,234,71
Idaho,2020-05-30 00:00:00,85,18
Idaho,2020-05-31 00:00:00,143,30
Idaho,2020-06-01 00:00:00,240,59
