state,date,total,covid
Illinois,2020-03-01 00:00:00,2984,441
Illinois,2020-03-02 00:00:00,7613,1279
Illinois,2020-03-03 00:00:00,7781,1206
Illinois,2020-03-04 00:00:00,7914,1219
Illinois,2020-03-05 00:00:00,8713,1243
Illinois,2020-03-06 00:00:00,7746,1566
Illinois,2020-03-07 00:00:00,2911,463
Illinois,2020-03-08 00:00:00,3087,838
Illinois,2020-03-09 00:00:00,6443,1754
Illinois,2020-03-10 00:00:00,8115,2552
Illinois,2020-03-11 00:00:00,8338,3301
Illinois,2020-03-12 00:00:00,8816,4473
Illinois,2020-03-13 00:00:00,8404,4254
Illinois,2020-03-14 00:00:00,3267,1708
Illinois,2020-03-15 00:00:00,3012,1737
Illinois,2020-03-16 00:00:00,7382,4003
Illinois,2020-03-17 00:00:00,9100,4198
Illinois,2020-03-18 00:00:00,8939,4754
Illinois,2020-03-19 00:00:00,7742,4277
Illinois,2020-03-20 00:00:00,7962,4229
Illinois,2020-03-21 00:00:00,2865,1721
Illinois,2020-03-22 00:00:00,2420,1449
Illinois,2020-03-23 00:00:00,7299,4194
Illinois,2020-03-24 00:00:00,7825,4376
Illinois,2020-03-25 00:00:00,7301,3893
Illinois,2020-03-26 00:00:00,7884,4242
Illinois,2020-03-27 00:00:00,8028,4308
Illinois,2020-03-28 00:00:00,2810,1467
Illinois,2020-03-29 00:00:00,2801,1495
Illinois,2020-03-30 00:00:00,7281,3462
Illinois,2020-03-31 00:00:00,7443,3368
Illinois,2020-04-01 00:00:00,7621,3857
Illinois,2020-04-02 00:00:00,7954,3935
Illinois,2020-04-03 00:00:00,8070,3563
Illinois,2020-04-04 00:00:00,2491,1116
Illinois,2020-04-05 00:00:00,2619,1385
Illinois,2020-04-06 00:00:00,6820,3432
Illinois,2020-04-07 00:00:00,6769,3004
Illinois,2020-04-08 00:00:00,6604,2843
Illinois,2020-04-09 00:00:00,7399,3448
Illinois,2020-04-10 00:00:00,7190,3182
Illinois,2020-04-11 00:00:00,2482,1122
Illinois,2020-04-12 00:00:00,2370,1049
Illinois,2020-04-13 00:00:00,6474,2988
Illinois,2020-04-14 00:00:00,6511,2736
Illinois,2020-04-15 00:00:00,6983,2611
Illinois,2020-04-16 00:00:00,7165,2729
Illinois,2020-04-17 00:00:00,6984,2855
Illinois,2020-04-18 00:00:00,2397,1132
Illinois,2020-04-19 00:00:00,2574,1338
Illinois,2020-04-20 00:00:00,6418,2762
Illinois,2020-04-21 00:00:00,6686,2985
Illinois,2020-04-22 00:00:00,7188,3053
Illinois,2020-04-23 00:00:00,7637,3065
Illinois,2020-04-24 00:00:00,6928,2608
Illinois,2020-04-25 00:00:00,2701,1005
Illinois,2020-04-26 00:00:00,2658,1007
Illinois,2020-04-27 00:00:00,6509,2571
Illinois,2020-04-28 00:00:00,6701,2214
Illinois,2020-04-29 00:00:00,7035,2567
Illinois,2020-04-30 00:00:00,7376,2558
Illinois,2020-05-01 00:00:00,7711,2701
Illinois,2020-05-02 00:00:00,2331,727
Illinois,2020-05-03 00:00:00,2284,790
Illinois,2020-05-04 00:00:00,6791,2177
Illinois,2020-05-05 00:00:00,6796,2287
Illinois,2020-05-06 00:00:00,6405,2258
Illinois,2020-05-07 00:00:00,7385,2328
Illinois,2020-05-08 00:00:00,6315,2124
Illinois,2020-05-09 00:00:00,2453,780
Illinois,2020-05-10 00:00:00,2554,829
Illinois,2020-05-11 00:00:00,6103,2330
Illinois,2020-05-12 00:00:00,6630,2388
Illinois,2020-05-13 00:00:00,6006,1910
Illinois,2020-05-14 00:00:00,6988,2268
Illinois,2020-05-15 00:00:00,6940,2187
Illinois,2020-05-16 00:00:00,2157,681
Illinois,2020-05-17 00:00:00,2302,572
Illinois,2020-05-18 00:00:00,6066,1764
Illinois,2020-05-19 00:00:00,6616,1697
Illinois,2020-05-20 00:00:00,6595,1620
Illinois,2020-05-21 00:00:00,6602,1837
Illinois,2020-05-22 00:00:00,6833,1780
Illinois,2020-05-23 00:00:00,2448,797
Illinois,2020-05-24 00:00:00,2266,788
Illinois,2020-05-25 00:00:00,2878,927
Illinois,2020-05-26 00:00:00,6898,1988
Illinois,2020-05-27 00:00:00,6004,1543
Illinois,2020-05-28 00:00:00,6809,2078
Illinois,2020-05-29 00:00:00,6578,1687
Illinois,2020-05-30 00:00:00,2363,578
Illinois,2020-05-31 00:00:00,2381,480
Illinois,2020-06-01 00:00:00,6177,1471
