state,date,total,covid
Indiana,2020-02-01 00:00:00,804,26
Indiana,2020-02-02 00:00:00,579,17
Indiana,2020-02-03 00:00:00,708,34
Indiana,2020-02-04 00:00:00,705,33
Indiana,2020-02-05 00:00:00,916,35
Indiana,2020-02-06 00:00:00,1177,47
Indiana,2020-02-07 00:00:00,1075,46
Indiana,2020-02-08 00:00:00,742,20
Indiana,2020-02-09 00:00:00,688,14
Indiana,2020-02-10 00:00:00,1137,34
Indiana,2020-02-11 00:00:00,1288,56
Indiana,2020-02-12 00:00:00,1200,39
Indiana,2020-02-13 00:00:00,1343,46
Indiana,2020-02-14 00:00:00,1125,32
Indiana,2020-02-15 00:00:00,806,36
Indiana,2020-02-16 00:00:00,627,17
Indiana,2020-02-17 00:00:00,903,32
Indiana,2020-02-18 00:00:00,1312,47
Indiana,2020-02-19 00:00:00,1322,27
Indiana,2020-02-20 00:00:00,1334,36
Indiana,2020-02-21 00:00:00,1197,40
Indiana,2020-02-22 00:00:00,853,30
Indiana,2020-02-23 00:00:00,751,35
Indiana,2020-02-24 00:00:00,1132,67
Indiana,2020-02-25 00:00:00,1310,90
Indiana,2020-02-26 00:00:00,1298,125
Indiana,2020-02-27 00:00:00,1304,153
Indiana,2020-02-28 00:00:00,1237,168
Indiana,2020-02-29 00:00:00,851,106
Indiana,2020-03-01 00:00:00,725,105
Indiana,2020-03-02 00:00:00,1206,165
Indiana,2020-03-03 00:00:00,1367,192
Indiana,2020-03-04 00:00:00,1320,164
Indiana,2020-03-05 00:00:00,1303,209
Indiana,2020-03-06 00:00:00,1201,296
Indiana,2020-03-07 00:00:00,832,142
Indiana,2020-03-08 00:00:00,687,138
Indiana,2020-03-09 00:00:00,1164,341
Indiana,2020-03-10 00:00:00,1349,401
Indiana,2020-03-11 00:00:00,1390,512
Indiana,2020-03-12 00:00:00,1360,637
Indiana,2020-03-13 00:00:00,1077,604
Indiana,2020-03-14 00:00:00,563,329
Indiana,2020-03-15 00:00:00,630,381
Indiana,2020-03-16 00:00:00,1201,657
Indiana,2020-03-17 00:00:00,1244,682
Indiana,2020-03-18 00:00:00,1256,712
Indiana,2020-03-19 00:00:00,1254,730
Indiana,2020-03-20 00:00:00,1136,655
Indiana,2020-03-21 00:00:00,561,328
Indiana,2020-03-22 00:00:00,481,303
Indiana,2020-03-23 00:00:00,1181,675
Indiana,2020-03-24 00:00:00,1191,689
