state,date,total,covid
Kansas,2020-02-01 00:00:00,680,40
Kansas,2020-02-02 00:00:00,638,25
Kansas,2020-02-03 00:00:00,846,41
Kansas,2020-02-04 00:00:00,1014,82
Kansas,2020-02-05 00:00:00,951,51
Kansas,2020-02-06 00:00:00,1183,46
Kansas,2020-02-07 00:00:00,1284,47
Kansas,2020-02-08 00:00:00,656,32
Kansas,2020-02-09 00:00:00,744,21
Kansas,2020-02-10 00:00:00,1385,54
Kansas,2020-02-11 00:00:00,1549,89
Kansas,2020-02-12 00:00:00,1391,50
Kansas,2020-02-13 00:00:00,1643,63
Kansas,2020-02-14 00:00:00,1442,43
Kansas,2020-02-15 00:00:00,762,42
Kansas,2020-02-16 00:00:00,557,30
Kansas,2020-02-17 00:00:00,972,49
Kansas,2020-02-18 00:00:00,1475,115
Kansas,2020-02-19 00:00:00,1512,45
Kansas,2020-02-20 00:00:00,1667,61
Kansas,2020-02-21 00:00:00,1583,52
Kansas,2020-02-22 00:00:00,715,20
Kansas,2020-02-23 00:00:00,793,66
Kansas,2020-02-24 00:00:00,1435,66
Kansas,2020-02-25 00:00:00,1110,64
Kansas,2020-02-26 00:00:00,1714,171
Kansas,2020-02-27 00:00:00,1786,189
Kansas,2020-02-28 00:00:00,1629,251
Kansas,2020-02-29 00:00:00,817,139
Kansas,2020-03-01 00:00:00,764,163
Kansas,2020-03-02 00:00:00,1542,259
Kansas,2020-03-03 00:00:00,1545,315
Kansas,2020-03-04 00:00:00,1587,310
Kansas,2020-03-05 00:00:00,1738,338
Kansas,2020-03-06 00:00:00,1565,376
Kansas,2020-03-07 00:00:00,816,239
Kansas,2020-03-08 00:00:00,556,181
Kansas,2020-03-09 00:00:00,1130,448
Kansas,2020-03-10 00:00:00,1244,425
Kansas,2020-03-11 00:00:00,1485,667
Kansas,2020-03-12 00:00:00,1662,942
Kansas,2020-03-13 00:00:00,1496,867
Kansas,2020-03-14 00:00:00,607,358
Kansas,2020-03-15 00:00:00,527,356
Kansas,2020-03-16 00:00:00,1250,735
Kansas,2020-03-17 00:00:00,1598,981
Kansas,2020-03-18 00:00:00,1489,962
Kansas,2020-03-19 00:00:00,1581,1020
Kansas,2020-03-20 00:00:00,1519,1056
Kansas,2020-03-21 00:00:00,568,340
Kansas,2020-03-22 00:00:00,474,329
Kansas,2020-03-23 00:00:00,1350,933
Kansas,2020-03-24 00:00:00,1226,835
Kansas,2020-03-25 00:00:00,1333,841
Kansas,2020-03-26 00:00:00,1590,971
Kansas,2020-03-27 00:00:00,1467,954
Kansas,2020-03-28 00:00:00,599,411
Kansas,2020-03-29 00:00:00,443,267
Kansas,2020-03-30 00:00:00,1205,789
Kansas,2020-03-31 00:00:00,1367,829
Kansas,2020-04-01 00:00:00,1346,819
Kansas,2020-04-02 00:00:00,1372,822
Kansas,2020-04-03 00:00:00,1404,797
Kansas,2020-04-04 00:00:00,614,347
Kansas,2020-04-05 00:00:00,512,348
Kansas,2020-04-06 00:00:00,1306,762
Kansas,2020-04-07 00:00:00,1193,702
Kansas,2020-04-08 00:00:00,1112,666
Kansas,2020-04-09 00:00:00,1316,809
Kansas,2020-04-10 00:00:00,1244,790
Kansas,2020-04-11 00:00:00,675,378
Kansas,2020-04-12 00:00:00,541,365
Kansas,2020-04-13 00:00:00,1317,784
Kansas,2020-04-14 00:00:00,1270,711
Kansas,2020-04-15 00:00:00,1498,746
Kansas,2020-04-16 00:00:00,1576,922
Kansas,2020-04-17 00:00:00,1273,689
Kansas,2020-04-18 00:00:00,771,443
Kansas,2020-04-19 00:00:00,566,350
Kansas,2020-04-20 00:00:00,1306,676
Kansas,2020-04-21 00:00:00,1446,806
Kansas,2020-04-22 00:00:00,1314,667
Kansas,2020-04-23 00:00:00,1345,782
Kansas,2020-04-24 00:00:00,1325,741
Kansas,2020-04-25 00:00:00,706,335
Kansas,2020-04-26 00:00:00,433,217
Kansas,2020-04-27 00:00:00,1392,715
Kansas,2020-04-28 00:00:00,1364,714
Kansas,2020-04-29 00:00:00,1441,774
Kansas,2020-04-30 00:00:00,1531,715
Kansas,2020-05-01 00:00:00,1482,634
Kansas,2020-05-02 00:00:00,711,341
Kansas,2020-05-03 00:00:00,492,279
Kansas,2020-05-04 00:00:00,1332,653
Kansas,2020-05-05 00:00:00,1507,774
Kansas,2020-05-06 00:00:00,1340,666
Kansas,2020-05-07 00:00:00,1566,567
Kansas,2020-05-08 00:00:00,1432,605
Kansas,2020-05-09 00:00:00,618,327
Kansas,2020-05-10 00:00:00,542,300
Kansas,2020-05-11 00:00:00,1300,563
Kansas,2020-05-12 00:00:00,1291,613
Kansas,2020-05-13 00:00:00,1297,570
Kansas,2020-05-14 00:00:00,1536,664
Kansas,2020-05-15 00:00:00,1743,850
Kansas,2020-05-16 00:00:00,592,300
Kansas,2020-05-17 00:00:00,455,244
Kansas,2020-05-18 00:00:00,1310,511
Kansas,2020-05-19 00:00:00,1573,602
Kansas,2020-05-20 00:00:00,1396,658
Kansas,2020-05-21 00:00:00,1727,701
Kansas,2020-05-22 00:00:00,1397,576
Kansas,2020-05-23 00:00:00,686,354
Kansas,2020-05-24 00:00:00,493,248
Kansas,2020-05-25 00:00:00,789,366
Kansas,2020-05-26 00:00:00,1305,516
Kansas,2020-05-27 00:00:00,1207,496
Kansas,2020-05-28 00:00:00,1483,507
Kansas,2020-05-29 00:00:00,1469,427
Kansas,2020-05-30 00:00:00,679,245
Kansas,2020-05-31 00:00:00,657,240
Kansas,2020-06-01 00:00:00,1517,541
Kansas,2020-06-02 00:00:00,1512,403
Kansas,2020-06-03 00:00:00,1486,390
Kansas,2020-06-04 00:00:00,1752,418
Kansas,2020-06-05 00:00:00,1695,493
Kansas,2020-06-06 00:00:00,801,274
Kansas,2020-06-07 00:00:00,571,202
Kansas,2020-06-08 00:00:00,1417,416
Kansas,2020-06-09 00:00:00,1429,356
Kansas,2020-06-10 00:00:00,1615,359
Kansas,2020-06-11 00:00:00,1509,443
Kansas,2020-06-12 00:00:00,1574,471
Kansas,2020-06-13 00:00:00,755,242
Kansas,2020-06-14 00:00:00,580,206
Kansas,2020-06-15 00:00:00,1559,359
Kansas,2020-06-16 00:00:00,1404,334
Kansas,2020-06-17 00:00:00,1574,358
Kansas,2020-06-18 00:00:00,1682,425
Kansas,2020-06-19 00:00:00,1488,401
Kansas,2020-06-20 00:00:00,776,213
Kansas,2020-06-21 00:00:00,638,263
Kansas,2020-06-22 00:00:00,1453,448
Kansas,2020-06-23 00:00:00,1386,425
Kansas,2020-06-24 00:00:00,1314,291
Kansas,2020-06-25 00:00:00,1548,459
Kansas,2020-06-26 00:00:00,1610,443
Kansas,2020-06-27 00:00:00,793,207
Kansas,2020-06-28 00:00:00,608,229
Kansas,2020-06-29 00:00:00,1465,409
Kansas,2020-06-30 00:00:00,1360,409
Kansas,2020-07-01 00:00:00,1227,336
Kansas,2020-07-02 00:00:00,1272,336
Kansas,2020-07-03 00:00:00,847,230
Kansas,2020-07-04 00:00:00,528,225
Kansas,2020-07-05 00:00:00,538,206
Kansas,2020-07-06 00:00:00,1143,401
Kansas,2020-07-07 00:00:00,1211,383
Kansas,2020-07-08 00:00:00,1351,357
Kansas,2020-07-09 00:00:00,1430,346
Kansas,2020-07-10 00:00:00,1351,353
Kansas,2020-07-11 00:00:00,837,342
Kansas,2020-07-12 00:00:00,583,270
Kansas,2020-07-13 00:00:00,1375,368
Kansas,2020-07-14 00:00:00,1418,440
Kansas,2020-07-15 00:00:00,1337,342
Kansas,2020-07-16 00:00:00,1384,420
Kansas,2020-07-17 00:00:00,1273,310
Kansas,2020-07-18 00:00:00,735,243
Kansas,2020-07-19 00:00:00,567,231
Kansas,2020-07-20 00:00:00,1052,275
Kansas,2020-07-21 00:00:00,1314,333
Kansas,2020-07-22 00:00:00,1442,381
