state,date,total,covid
Louisiana,2020-02-01 00:00:00,295,26
Louisiana,2020-02-02 00:00:00,322,17
Louisiana,2020-02-03 00:00:00,580,33
Louisiana,2020-02-04 00:00:00,646,44
Louisiana,2020-02-05 00:00:00,726,38
Louisiana,2020-02-06 00:00:00,648,38
Louisiana,2020-02-07 00:00:00,659,36
Louisiana,2020-02-08 00:00:00,321,15
Louisiana,2020-02-09 00:00:00,327,12
Louisiana,2020-02-10 00:00:00,625,35
Louisiana,2020-02-11 00:00:00,668,32
Louisiana,2020-02-12 00:00:00,766,24
Louisiana,2020-02-13 00:00:00,759,23
Louisiana,2020-02-14 00:00:00,663,26
Louisiana,2020-02-15 00:00:00,356,18
Louisiana,2020-02-16 00:00:00,265,10
Louisiana,2020-02-17 00:00:00,574,22
Louisiana,2020-02-18 00:00:00,700,36
Louisiana,2020-02-19 00:00:00,751,26
Louisiana,2020-02-20 00:00:00,758,16
Louisiana,2020-02-21 00:00:00,712,21
Louisiana,2020-02-22 00:00:00,323,14
Louisiana,2020-02-23 00:00:00,367,24
Louisiana,2020-02-24 00:00:00,625,37
Louisiana,2020-02-25 00:00:00,532,52
Louisiana,2020-02-26 00:00:00,786,91
Louisiana,2020-02-27 00:00:00,866,87
Louisiana,2020-02-28 00:00:00,763,119
Louisiana,2020-02-29 00:00:00,320,53
Louisiana,2020-03-01 00:00:00,320,63
Louisiana,2020-03-02 00:00:00,745,116
Louisiana,2020-03-03 00:00:00,796,129
Louisiana,2020-03-04 00:00:00,786,130
Louisiana,2020-03-05 00:00:00,836,144
Louisiana,2020-03-06 00:00:00,745,199
Louisiana,2020-03-07 00:00:00,305,72
Louisiana,2020-03-08 00:00:00,245,65
Louisiana,2020-03-09 00:00:00,634,235
Louisiana,2020-03-10 00:00:00,671,261
Louisiana,2020-03-11 00:00:00,961,452
Louisiana,2020-03-12 00:00:00,842,524
Louisiana,2020-03-13 00:00:00,784,502
Louisiana,2020-03-14 00:00:00,359,243
Louisiana,2020-03-15 00:00:00,322,217
Louisiana,2020-03-16 00:00:00,920,580
Louisiana,2020-03-17 00:00:00,907,530
Louisiana,2020-03-18 00:00:00,914,589
Louisiana,2020-03-19 00:00:00,849,561
Louisiana,2020-03-20 00:00:00,744,485
Louisiana,2020-03-21 00:00:00,321,200
Louisiana,2020-03-22 00:00:00,319,234
Louisiana,2020-03-23 00:00:00,848,516
Louisiana,2020-03-24 00:00:00,776,509
Louisiana,2020-03-25 00:00:00,886,590
Louisiana,2020-03-26 00:00:00,876,569
Louisiana,2020-03-27 00:00:00,768,504
Louisiana,2020-03-28 00:00:00,337,230
Louisiana,2020-03-29 00:00:00,345,225
Louisiana,2020-03-30 00:00:00,779,508
Louisiana,2020-03-31 00:00:00,842,511
Louisiana,2020-04-01 00:00:00,821,486
Louisiana,2020-04-02 00:00:00,890,564
Louisiana,2020-04-03 00:00:00,799,492
Louisiana,2020-04-04 00:00:00,330,202
Louisiana,2020-04-05 00:00:00,299,195
Louisiana,2020-04-06 00:00:00,927,593
Louisiana,2020-04-07 00:00:00,785,469
Louisiana,2020-04-08 00:00:00,750,426
Louisiana,2020-04-09 00:00:00,878,514
Louisiana,2020-04-10 00:00:00,692,427
Louisiana,2020-04-11 00:00:00,399,197
Louisiana,2020-04-12 00:00:00,355,161
Louisiana,2020-04-13 00:00:00,774,432
Louisiana,2020-04-14 00:00:00,815,446
Louisiana,2020-04-15 00:00:00,914,502
Louisiana,2020-04-16 00:00:00,996,548
Louisiana,2020-04-17 00:00:00,728,413
Louisiana,2020-04-18 00:00:00,349,171
Louisiana,2020-04-19 00:00:00,324,189
Louisiana,2020-04-20 00:00:00,808,397
Louisiana,2020-04-21 00:00:00,922,473
Louisiana,2020-04-22 00:00:00,852,428
Louisiana,2020-04-23 00:00:00,912,459
Louisiana,2020-04-24 00:00:00,798,398
Louisiana,2020-04-25 00:00:00,356,140
Louisiana,2020-04-26 00:00:00,290,124
Louisiana,2020-04-27 00:00:00,774,392
Louisiana,2020-04-28 00:00:00,843,422
Louisiana,2020-04-29 00:00:00,933,469
Louisiana,2020-04-30 00:00:00,896,456
Louisiana,2020-05-01 00:00:00,855,406
Louisiana,2020-05-02 00:00:00,385,190
Louisiana,2020-05-03 00:00:00,265,143
Louisiana,2020-05-04 00:00:00,840,401
Louisiana,2020-05-05 00:00:00,871,401
Louisiana,2020-05-06 00:00:00,790,403
Louisiana,2020-05-07 00:00:00,933,401
Louisiana,2020-05-08 00:00:00,850,395
Louisiana,2020-05-09 00:00:00,353,161
Louisiana,2020-05-10 00:00:00,263,140
Louisiana,2020-05-11 00:00:00,740,328
Louisiana,2020-05-12 00:00:00,756,311
Louisiana,2020-05-13 00:00:00,682,291
Louisiana,2020-05-14 00:00:00,866,397
Louisiana,2020-05-15 00:00:00,980,389
Louisiana,2020-05-16 00:00:00,321,153
Louisiana,2020-05-17 00:00:00,265,111
Louisiana,2020-05-18 00:00:00,712,274
Louisiana,2020-05-19 00:00:00,849,309
Louisiana,2020-05-20 00:00:00,871,361
Louisiana,2020-05-21 00:00:00,832,320
Louisiana,2020-05-22 00:00:00,719,286
Louisiana,2020-05-23 00:00:00,283,123
Louisiana,2020-05-24 00:00:00,230,104
Louisiana,2020-05-25 00:00:00,459,183
Louisiana,2020-05-26 00:00:00,675,244
Louisiana,2020-05-27 00:00:00,766,284
Louisiana,2020-05-28 00:00:00,883,312
Louisiana,2020-05-29 00:00:00,803,207
Louisiana,2020-05-30 00:00:00,321,92
Louisiana,2020-05-31 00:00:00,337,96
Louisiana,2020-06-01 00:00:00,960,296
Louisiana,2020-06-02 00:00:00,899,234
Louisiana,2020-06-03 00:00:00,908,265
Louisiana,2020-06-04 00:00:00,1039,291
Louisiana,2020-06-05 00:00:00,836,235
Louisiana,2020-06-06 00:00:00,406,100
Louisiana,2020-06-07 00:00:00,332,84
Louisiana,2020-06-08 00:00:00,830,234
Louisiana,2020-06-09 00:00:00,849,193
Louisiana,2020-06-10 00:00:00,812,207
Louisiana,2020-06-11 00:00:00,887,241
Louisiana,2020-06-12 00:00:00,822,219
Louisiana,2020-06-13 00:00:00,330,100
Louisiana,2020-06-14 00:00:00,290,88
