state,date,total,covid
Maryland,2020-03-01 00:00:00,717,130
Maryland,2020-03-02 00:00:00,2056,258
Maryland,2020-03-03 00:00:00,2132,264
Maryland,2020-03-04 00:00:00,2241,335
Maryland,2020-03-05 00:00:00,2507,381
Maryland,2020-03-06 00:00:00,1892,471
Maryland,2020-03-07 00:00:00,930,191
Maryland,2020-03-08 00:00:00,604,182
Maryland,2020-03-09 00:00:00,2068,575
Maryland,2020-03-10 00:00:00,1990,591
Maryland,2020-03-11 00:00:00,2433,1057
Maryland,2020-03-12 00:00:00,2664,1448
Maryland,2020-03-13 00:00:00,2638,1370
Maryland,2020-03-14 00:00:00,905,515
Maryland,2020-03-15 00:00:00,981,617
Maryland,2020-03-16 00:00:00,2324,1219
Maryland,2020-03-17 00:00:00,2392,1272
Maryland,2020-03-18 00:00:00,2536,1491
Maryland,2020-03-19 00:00:00,2406,1499
Maryland,2020-03-20 00:00:00,2332,1359
Maryland,2020-03-21 00:00:00,884,499
Maryland,2020-03-22 00:00:00,576,382
Maryland,2020-03-23 00:00:00,2329,1439
Maryland,2020-03-24 00:00:00,1958,1159
Maryland,2020-03-25 00:00:00,2238,1338
Maryland,2020-03-26 00:00:00,2240,1218
Maryland,2020-03-27 00:00:00,2319,1244
Maryland,2020-03-28 00:00:00,657,336
Maryland,2020-03-29 00:00:00,710,423
Maryland,2020-03-30 00:00:00,1991,1038
Maryland,2020-03-31 00:00:00,2176,1007
Maryland,2020-04-01 00:00:00,2494,1312
Maryland,2020-04-02 00:00:00,2184,1181
Maryland,2020-04-03 00:00:00,2176,1106
Maryland,2020-04-04 00:00:00,794,308
Maryland,2020-04-05 00:00:00,647,394
Maryland,2020-04-06 00:00:00,2203,1196
Maryland,2020-04-07 00:00:00,2188,1198
Maryland,2020-04-08 00:00:00,1738,915
Maryland,2020-04-09 00:00:00,1754,796
Maryland,2020-04-10 00:00:00,1791,937
Maryland,2020-04-11 00:00:00,747,303
Maryland,2020-04-12 00:00:00,685,362
Maryland,2020-04-13 00:00:00,1785,796
Maryland,2020-04-14 00:00:00,1632,849
Maryland,2020-04-15 00:00:00,2163,1016
Maryland,2020-04-16 00:00:00,2085,956
Maryland,2020-04-17 00:00:00,2033,863
Maryland,2020-04-18 00:00:00,686,304
Maryland,2020-04-19 00:00:00,587,314
Maryland,2020-04-20 00:00:00,1869,787
Maryland,2020-04-21 00:00:00,1782,750
Maryland,2020-04-22 00:00:00,1937,868
Maryland,2020-04-23 00:00:00,2113,1020
Maryland,2020-04-24 00:00:00,2074,767
Maryland,2020-04-25 00:00:00,781,177
Maryland,2020-04-26 00:00:00,595,253
Maryland,2020-04-27 00:00:00,2010,748
Maryland,2020-04-28 00:00:00,2006,805
Maryland,2020-04-29 00:00:00,2209,856
Maryland,2020-04-30 00:00:00,2280,753
Maryland,2020-05-01 00:00:00,1924,691
Maryland,2020-05-02 00:00:00,735,222
Maryland,2020-05-03 00:00:00,585,169
Maryland,2020-05-04 00:00:00,1955,707
Maryland,2020-05-05 00:00:00,1992,574
Maryland,2020-05-06 00:00:00,2220,771
Maryland,2020-05-07 00:00:00,2269,767
Maryland,2020-05-08 00:00:00,1998,620
Maryland,2020-05-09 00:00:00,502,195
Maryland,2020-05-10 00:00:00,641,266
Maryland,2020-05-11 00:00:00,2008,655
Maryland,2020-05-12 00:00:00,2008,700
Maryland,2020-05-13 00:00:00,2177,718
Maryland,2020-05-14 00:00:00,2048,642
Maryland,2020-05-15 00:00:00,2241,639
Maryland,2020-05-16 00:00:00,638,123
Maryland,2020-05-17 00:00:00,696,214
Maryland,2020-05-18 00:00:00,1758,471
Maryland,2020-05-19 00:00:00,1880,441
Maryland,2020-05-20 00:00:00,2004,576
Maryland,2020-05-21 00:00:00,2193,431
Maryland,2020-05-22 00:00:00,2374,493
Maryland,2020-05-23 00:00:00,610,198
Maryland,2020-05-24 00:00:00,550,155
Maryland,2020-05-25 00:00:00,852,195
Maryland,2020-05-26 00:00:00,1908,447
Maryland,2020-05-27 00:00:00,2061,425
Maryland,2020-05-28 00:00:00,2248,493
Maryland,2020-05-29 00:00:00,1876,371
Maryland,2020-05-30 00:00:00,610,72
Maryland,2020-05-31 00:00:00,663,107
Maryland,2020-06-01 00:00:00,1867,358
