state,date,total,covid
Maine,2020-02-01 00:00:00,201,19
Maine,2020-02-02 00:00:00,233,10
Maine,2020-02-03 00:00:00,337,6
Maine,2020-02-04 00:00:00,374,10
Maine,2020-02-05 00:00:00,372,8
Maine,2020-02-06 00:00:00,382,8
Maine,2020-02-07 00:00:00,360,19
Maine,2020-02-08 00:00:00,191,7
Maine,2020-02-09 00:00:00,258,3
Maine,2020-02-10 00:00:00,349,21
Maine,2020-02-11 00:00:00,353,13
Maine,2020-02-12 00:00:00,394,12
Maine,2020-02-13 00:00:00,415,18
Maine,2020-02-14 00:00:00,378,9
Maine,2020-02-15 00:00:00,214,2
Maine,2020-02-16 00:00:00,279,14
Maine,2020-02-17 00:00:00,343,8
Maine,2020-02-18 00:00:00,376,11
Maine,2020-02-19 00:00:00,484,5
Maine,2020-02-20 00:00:00,467,9
Maine,2020-02-21 00:00:00,448,14
Maine,2020-02-22 00:00:00,214,7
Maine,2020-02-23 00:00:00,230,3
Maine,2020-02-24 00:00:00,400,9
Maine,2020-02-25 00:00:00,430,25
Maine,2020-02-26 00:00:00,423,30
Maine,2020-02-27 00:00:00,426,41
Maine,2020-02-28 00:00:00,451,42
Maine,2020-02-29 00:00:00,230,22
Maine,2020-03-01 00:00:00,243,22
Maine,2020-03-02 00:00:00,353,52
Maine,2020-03-03 00:00:00,514,65
Maine,2020-03-04 00:00:00,414,67
Maine,2020-03-05 00:00:00,525,74
Maine,2020-03-06 00:00:00,443,80
Maine,2020-03-07 00:00:00,191,34
Maine,2020-03-08 00:00:00,248,43
Maine,2020-03-09 00:00:00,404,96
Maine,2020-03-10 00:00:00,437,120
Maine,2020-03-11 00:00:00,462,184
Maine,2020-03-12 00:00:00,520,252
Maine,2020-03-13 00:00:00,536,280
Maine,2020-03-14 00:00:00,239,148
Maine,2020-03-15 00:00:00,343,202
Maine,2020-03-16 00:00:00,536,309
Maine,2020-03-17 00:00:00,485,262
Maine,2020-03-18 00:00:00,534,316
Maine,2020-03-19 00:00:00,585,332
Maine,2020-03-20 00:00:00,475,266
Maine,2020-03-21 00:00:00,241,149
Maine,2020-03-22 00:00:00,263,150
Maine,2020-03-23 00:00:00,450,274
Maine,2020-03-24 00:00:00,492,259
Maine,2020-03-25 00:00:00,518,292
Maine,2020-03-26 00:00:00,506,307
Maine,2020-03-27 00:00:00,499,271
Maine,2020-03-28 00:00:00,187,109
Maine,2020-03-29 00:00:00,269,177
Maine,2020-03-30 00:00:00,448,252
Maine,2020-03-31 00:00:00,464,244
Maine,2020-04-01 00:00:00,515,296
Maine,2020-04-02 00:00:00,516,289
Maine,2020-04-03 00:00:00,504,251
Maine,2020-04-04 00:00:00,207,111
Maine,2020-04-05 00:00:00,303,182
Maine,2020-04-06 00:00:00,435,240
Maine,2020-04-07 00:00:00,458,256
Maine,2020-04-08 00:00:00,482,232
Maine,2020-04-09 00:00:00,478,253
Maine,2020-04-10 00:00:00,418,208
Maine,2020-04-11 00:00:00,339,145
Maine,2020-04-12 00:00:00,301,139
Maine,2020-04-13 00:00:00,538,244
Maine,2020-04-14 00:00:00,478,242
Maine,2020-04-15 00:00:00,606,288
Maine,2020-04-16 00:00:00,553,249
Maine,2020-04-17 00:00:00,489,252
Maine,2020-04-18 00:00:00,223,112
Maine,2020-04-19 00:00:00,318,157
Maine,2020-04-20 00:00:00,496,243
Maine,2020-04-21 00:00:00,482,218
Maine,2020-04-22 00:00:00,522,241
Maine,2020-04-23 00:00:00,523,265
Maine,2020-04-24 00:00:00,489,215
Maine,2020-04-25 00:00:00,251,127
Maine,2020-04-26 00:00:00,287,114
Maine,2020-04-27 00:00:00,502,224
Maine,2020-04-28 00:00:00,534,240
Maine,2020-04-29 00:00:00,494,225
Maine,2020-04-30 00:00:00,565,239
Maine,2020-05-01 00:00:00,527,206
Maine,2020-05-02 00:00:00,253,128
Maine,2020-05-03 00:00:00,288,142
Maine,2020-05-04 00:00:00,492,206
Maine,2020-05-05 00:00:00,593,275
Maine,2020-05-06 00:00:00,541,228
Maine,2020-05-07 00:00:00,525,205
Maine,2020-05-08 00:00:00,518,219
Maine,2020-05-09 00:00:00,236,101
Maine,2020-05-10 00:00:00,293,129
Maine,2020-05-11 00:00:00,500,193
Maine,2020-05-12 00:00:00,464,207
Maine,2020-05-13 00:00:00,513,214
Maine,2020-05-14 00:00:00,476,174
Maine,2020-05-15 00:00:00,638,243
Maine,2020-05-16 00:00:00,233,118
