state,date,total,covid
Minnesota,2020-02-01 00:00:00,429,14
Minnesota,2020-02-02 00:00:00,383,16
Minnesota,2020-02-03 00:00:00,788,23
Minnesota,2020-02-04 00:00:00,743,42
Minnesota,2020-02-05 00:00:00,872,32
Minnesota,2020-02-06 00:00:00,843,30
Minnesota,2020-02-07 00:00:00,985,21
Minnesota,2020-02-08 00:00:00,396,7
Minnesota,2020-02-09 00:00:00,454,7
Minnesota,2020-02-10 00:00:00,1105,24
Minnesota,2020-02-11 00:00:00,966,44
Minnesota,2020-02-12 00:00:00,1106,24
Minnesota,2020-02-13 00:00:00,1098,26
Minnesota,2020-02-14 00:00:00,1028,25
Minnesota,2020-02-15 00:00:00,541,55
Minnesota,2020-02-16 00:00:00,370,14
Minnesota,2020-02-17 00:00:00,694,16
Minnesota,2020-02-18 00:00:00,1151,42
Minnesota,2020-02-19 00:00:00,1201,29
Minnesota,2020-02-20 00:00:00,1277,36
Minnesota,2020-02-21 00:00:00,1124,22
Minnesota,2020-02-22 00:00:00,461,13
Minnesota,2020-02-23 00:00:00,412,12
Minnesota,2020-02-24 00:00:00,1078,40
Minnesota,2020-02-25 00:00:00,1113,64
Minnesota,2020-02-26 00:00:00,1350,108
Minnesota,2020-02-27 00:00:00,1322,109
Minnesota,2020-02-28 00:00:00,1249,122
Minnesota,2020-02-29 00:00:00,510,52
Minnesota,2020-03-01 00:00:00,517,40
Minnesota,2020-03-02 00:00:00,1171,134
Minnesota,2020-03-03 00:00:00,1205,138
Minnesota,2020-03-04 00:00:00,1176,163
Minnesota,2020-03-05 00:00:00,1333,173
Minnesota,2020-03-06 00:00:00,1187,207
Minnesota,2020-03-07 00:00:00,491,90
Minnesota,2020-03-08 00:00:00,415,74
Minnesota,2020-03-09 00:00:00,996,255
Minnesota,2020-03-10 00:00:00,1073,309
Minnesota,2020-03-11 00:00:00,1345,509
Minnesota,2020-03-12 00:00:00,1448,671
Minnesota,2020-03-13 00:00:00,1376,632
Minnesota,2020-03-14 00:00:00,481,247
Minnesota,2020-03-15 00:00:00,817,410
Minnesota,2020-03-16 00:00:00,1219,573
Minnesota,2020-03-17 00:00:00,1390,691
Minnesota,2020-03-18 00:00:00,1342,647
Minnesota,2020-03-19 00:00:00,1266,654
Minnesota,2020-03-20 00:00:00,1198,615
Minnesota,2020-03-21 00:00:00,520,240
Minnesota,2020-03-22 00:00:00,413,236
