state,date,total,covid
Missouri,2020-03-01 00:00:00,876,137
Missouri,2020-03-02 00:00:00,2411,424
Missouri,2020-03-03 00:00:00,2578,454
Missouri,2020-03-04 00:00:00,2705,463
Missouri,2020-03-05 00:00:00,2954,502
Missouri,2020-03-06 00:00:00,2668,462
Missouri,2020-03-07 00:00:00,991,198
Missouri,2020-03-08 00:00:00,790,220
Missouri,2020-03-09 00:00:00,2183,730
Missouri,2020-03-10 00:00:00,2290,804
Missouri,2020-03-11 00:00:00,2800,1048
Missouri,2020-03-12 00:00:00,2773,1483
Missouri,2020-03-13 00:00:00,2879,1517
Missouri,2020-03-14 00:00:00,808,421
Missouri,2020-03-15 00:00:00,845,509
Missouri,2020-03-16 00:00:00,2438,1342
Missouri,2020-03-17 00:00:00,2582,1441
Missouri,2020-03-18 00:00:00,2824,1598
Missouri,2020-03-19 00:00:00,2649,1473
Missouri,2020-03-20 00:00:00,2566,1446
Missouri,2020-03-21 00:00:00,919,482
Missouri,2020-03-22 00:00:00,749,420
Missouri,2020-03-23 00:00:00,2481,1401
Missouri,2020-03-24 00:00:00,2517,1438
Missouri,2020-03-25 00:00:00,2681,1382
Missouri,2020-03-26 00:00:00,2810,1379
Missouri,2020-03-27 00:00:00,2654,1233
Missouri,2020-03-28 00:00:00,870,438
Missouri,2020-03-29 00:00:00,784,421
Missouri,2020-03-30 00:00:00,2401,1198
Missouri,2020-03-31 00:00:00,2645,1327
Missouri,2020-04-01 00:00:00,2547,1217
Missouri,2020-04-02 00:00:00,2818,1403
Missouri,2020-04-03 00:00:00,2592,1228
Missouri,2020-04-04 00:00:00,752,367
Missouri,2020-04-05 00:00:00,586,317
Missouri,2020-04-06 00:00:00,2451,1172
Missouri,2020-04-07 00:00:00,2127,1037
Missouri,2020-04-08 00:00:00,1999,813
Missouri,2020-04-09 00:00:00,2293,1096
Missouri,2020-04-10 00:00:00,2084,986
Missouri,2020-04-11 00:00:00,998,386
Missouri,2020-04-12 00:00:00,610,241
Missouri,2020-04-13 00:00:00,2134,937
Missouri,2020-04-14 00:00:00,1910,818
Missouri,2020-04-15 00:00:00,2453,961
Missouri,2020-04-16 00:00:00,2540,1091
Missouri,2020-04-17 00:00:00,2000,756
Missouri,2020-04-18 00:00:00,771,268
Missouri,2020-04-19 00:00:00,639,240
Missouri,2020-04-20 00:00:00,2150,840
Missouri,2020-04-21 00:00:00,2184,877
Missouri,2020-04-22 00:00:00,2170,764
Missouri,2020-04-23 00:00:00,2099,864
Missouri,2020-04-24 00:00:00,1850,669
Missouri,2020-04-25 00:00:00,722,265
Missouri,2020-04-26 00:00:00,629,208
Missouri,2020-04-27 00:00:00,1974,692
Missouri,2020-04-28 00:00:00,2059,681
Missouri,2020-04-29 00:00:00,2182,688
Missouri,2020-04-30 00:00:00,2454,777
Missouri,2020-05-01 00:00:00,2419,692
Missouri,2020-05-02 00:00:00,681,238
Missouri,2020-05-03 00:00:00,611,226
Missouri,2020-05-04 00:00:00,2120,639
Missouri,2020-05-05 00:00:00,2013,687
Missouri,2020-05-06 00:00:00,2172,646
Missouri,2020-05-07 00:00:00,2293,680
Missouri,2020-05-08 00:00:00,2144,591
Missouri,2020-05-09 00:00:00,606,214
Missouri,2020-05-10 00:00:00,561,218
Missouri,2020-05-11 00:00:00,2078,574
Missouri,2020-05-12 00:00:00,2010,588
Missouri,2020-05-13 00:00:00,2147,557
Missouri,2020-05-14 00:00:00,2151,640
Missouri,2020-05-15 00:00:00,2239,685
Missouri,2020-05-16 00:00:00,586,198
Missouri,2020-05-17 00:00:00,535,162
Missouri,2020-05-18 00:00:00,1897,522
Missouri,2020-05-19 00:00:00,2129,587
Missouri,2020-05-20 00:00:00,2046,557
Missouri,2020-05-21 00:00:00,2363,614
Missouri,2020-05-22 00:00:00,2212,489
Missouri,2020-05-23 00:00:00,552,178
Missouri,2020-05-24 00:00:00,506,196
Missouri,2020-05-25 00:00:00,861,320
Missouri,2020-05-26 00:00:00,2026,524
Missouri,2020-05-27 00:00:00,2058,498
Missouri,2020-05-28 00:00:00,2351,582
Missouri,2020-05-29 00:00:00,1975,414
Missouri,2020-05-30 00:00:00,722,174
Missouri,2020-05-31 00:00:00,632,140
Missouri,2020-06-01 00:00:00,1951,423
