state,date,total,covid
Mississippi,2020-02-01 00:00:00,283,17
Mississippi,2020-02-02 00:00:00,215,21
Mississippi,2020-02-03 00:00:00,237,13
Mississippi,2020-02-04 00:00:00,268,20
Mississippi,2020-02-05 00:00:00,356,25
Mississippi,2020-02-06 00:00:00,338,16
Mississippi,2020-02-07 00:00:00,275,20
Mississippi,2020-02-08 00:00:00,274,11
Mississippi,2020-02-09 00:00:00,230,12
Mississippi,2020-02-10 00:00:00,337,13
Mississippi,2020-02-11 00:00:00,318,19
Mississippi,2020-02-12 00:00:00,354,18
Mississippi,2020-02-13 00:00:00,292,9
Mississippi,2020-02-14 00:00:00,315,11
Mississippi,2020-02-15 00:00:00,277,13
Mississippi,2020-02-16 00:00:00,231,7
Mississippi,2020-02-17 00:00:00,229,13
Mississippi,2020-02-18 00:00:00,322,9
Mississippi,2020-02-19 00:00:00,367,11
Mississippi,2020-02-20 00:00:00,338,18
Mississippi,2020-02-21 00:00:00,316,16
Mississippi,2020-02-22 00:00:00,325,13
Mississippi,2020-02-23 00:00:00,227,10
Mississippi,2020-02-24 00:00:00,367,24
Mississippi,2020-02-25 00:00:00,349,28
Mississippi,2020-02-26 00:00:00,391,36
Mississippi,2020-02-27 00:00:00,348,55
Mississippi,2020-02-28 00:00:00,284,56
Mississippi,2020-02-29 00:00:00,318,46
Mississippi,2020-03-01 00:00:00,190,41
Mississippi,2020-03-02 00:00:00,390,78
Mississippi,2020-03-03 00:00:00,324,54
Mississippi,2020-03-04 00:00:00,464,67
Mississippi,2020-03-05 00:00:00,342,65
Mississippi,2020-03-06 00:00:00,290,75
Mississippi,2020-03-07 00:00:00,203,50
Mississippi,2020-03-08 00:00:00,122,25
Mississippi,2020-03-09 00:00:00,188,35
Mississippi,2020-03-10 00:00:00,203,43
Mississippi,2020-03-11 00:00:00,334,98
Mississippi,2020-03-12 00:00:00,256,140
Mississippi,2020-03-13 00:00:00,194,124
Mississippi,2020-03-14 00:00:00,105,71
Mississippi,2020-03-15 00:00:00,122,66
Mississippi,2020-03-16 00:00:00,223,141
Mississippi,2020-03-17 00:00:00,226,132
Mississippi,2020-03-18 00:00:00,304,159
Mississippi,2020-03-19 00:00:00,277,170
Mississippi,2020-03-20 00:00:00,230,135
Mississippi,2020-03-21 00:00:00,123,85
Mississippi,2020-03-22 00:00:00,119,74
Mississippi,2020-03-23 00:00:00,185,115
Mississippi,2020-03-24 00:00:00,225,132
Mississippi,2020-03-25 00:00:00,270,172
Mississippi,2020-03-26 00:00:00,253,169
Mississippi,2020-03-27 00:00:00,207,139
Mississippi,2020-03-28 00:00:00,128,92
Mississippi,2020-03-29 00:00:00,85,55
Mississippi,2020-03-30 00:00:00,207,131
Mississippi,2020-03-31 00:00:00,201,113
Mississippi,2020-04-01 00:00:00,325,171
Mississippi,2020-04-02 00:00:00,283,147
Mississippi,2020-04-03 00:00:00,234,107
Mississippi,2020-04-04 00:00:00,107,71
Mississippi,2020-04-05 00:00:00,101,66
Mississippi,2020-04-06 00:00:00,248,137
Mississippi,2020-04-07 00:00:00,271,146
Mississippi,2020-04-08 00:00:00,257,121
Mississippi,2020-04-09 00:00:00,236,118
Mississippi,2020-04-10 00:00:00,259,127
Mississippi,2020-04-11 00:00:00,129,76
Mississippi,2020-04-12 00:00:00,159,53
Mississippi,2020-04-13 00:00:00,238,85
Mississippi,2020-04-14 00:00:00,275,90
Mississippi,2020-04-15 00:00:00,353,153
Mississippi,2020-04-16 00:00:00,226,106
Mississippi,2020-04-17 00:00:00,249,98
Mississippi,2020-04-18 00:00:00,111,48
Mississippi,2020-04-19 00:00:00,113,31
Mississippi,2020-04-20 00:00:00,205,81
Mississippi,2020-04-21 00:00:00,250,72
Mississippi,2020-04-22 00:00:00,310,130
Mississippi,2020-04-23 00:00:00,277,112
Mississippi,2020-04-24 00:00:00,241,107
Mississippi,2020-04-25 00:00:00,147,54
Mississippi,2020-04-26 00:00:00,95,37
Mississippi,2020-04-27 00:00:00,271,119
Mississippi,2020-04-28 00:00:00,201,82
Mississippi,2020-04-29 00:00:00,245,77
Mississippi,2020-04-30 00:00:00,279,102
Mississippi,2020-05-01 00:00:00,219,90
Mississippi,2020-05-02 00:00:00,103,47
Mississippi,2020-05-03 00:00:00,109,55
Mississippi,2020-05-04 00:00:00,210,87
Mississippi,2020-05-05 00:00:00,220,84
Mississippi,2020-05-06 00:00:00,306,115
Mississippi,2020-05-07 00:00:00,203,67
Mississippi,2020-05-08 00:00:00,242,70
Mississippi,2020-05-09 00:00:00,106,40
Mississippi,2020-05-10 00:00:00,91,26
Mississippi,2020-05-11 00:00:00,245,102
Mississippi,2020-05-12 00:00:00,206,73
Mississippi,2020-05-13 00:00:00,328,130
Mississippi,2020-05-14 00:00:00,237,76
Mississippi,2020-05-15 00:00:00,269,110
Mississippi,2020-05-16 00:00:00,74,30
Mississippi,2020-05-17 00:00:00,84,29
Mississippi,2020-05-18 00:00:00,190,70
Mississippi,2020-05-19 00:00:00,281,68
Mississippi,2020-05-20 00:00:00,274,81
Mississippi,2020-05-21 00:00:00,232,92
Mississippi,2020-05-22 00:00:00,209,51
Mississippi,2020-05-23 00:00:00,155,55
Mississippi,2020-05-24 00:00:00,78,30
Mississippi,2020-05-25 00:00:00,96,38
Mississippi,2020-05-26 00:00:00,303,75
Mississippi,2020-05-27 00:00:00,333,97
Mississippi,2020-05-28 00:00:00,282,110
Mississippi,2020-05-29 00:00:00,266,56
Mississippi,2020-05-30 00:00:00,145,25
Mississippi,2020-05-31 00:00:00,159,27
Mississippi,2020-06-01 00:00:00,214,45
Mississippi,2020-06-02 00:00:00,260,58
Mississippi,2020-06-03 00:00:00,356,63
Mississippi,2020-06-04 00:00:00,248,73
Mississippi,2020-06-05 00:00:00,251,61
Mississippi,2020-06-06 00:00:00,147,26
Mississippi,2020-06-07 00:00:00,116,24
Mississippi,2020-06-08 00:00:00,181,46
Mississippi,2020-06-09 00:00:00,225,60
Mississippi,2020-06-10 00:00:00,313,66
Mississippi,2020-06-11 00:00:00,239,41
Mississippi,2020-06-12 00:00:00,178,41
Mississippi,2020-06-13 00:00:00,97,21
Mississippi,2020-06-14 00:00:00,74,18
Mississippi,2020-06-15 00:00:00,233,49
Mississippi,2020-06-16 00:00:00,200,50
Mississippi,2020-06-17 00:00:00,299,57
Mississippi,2020-06-18 00:00:00,281,70
Mississippi,2020-06-19 00:00:00,195,24
Mississippi,2020-06-20 00:00:00,80,17
Mississippi,2020-06-21 00:00:00,88,21
Mississippi,2020-06-22 00:00:00,198,47
Mississippi,2020-06-23 00:00:00,202,40
Mississippi,2020-06-24 00:00:00,337,59
Mississippi,2020-06-25 00:00:00,293,76
Mississippi,2020-06-26 00:00:00,192,40
Mississippi,2020-06-27 00:00:00,117,27
Mississippi,2020-06-28 00:00:00,114,16
Mississippi,2020-06-29 00:00:00,197,26
Mississippi,2020-06-30 00:00:00,302,52
Mississippi,2020-07-01 00:00:00,299,50
Mississippi,2020-07-02 00:00:00,263,64
Mississippi,2020-07-03 00:00:00,128,35
Mississippi,2020-07-04 00:00:00,88,28
Mississippi,2020-07-05 00:00:00,98,22
Mississippi,2020-07-06 00:00:00,169,58
Mississippi,2020-07-07 00:00:00,280,117
Mississippi,2020-07-08 00:00:00,310,70
Mississippi,2020-07-09 00:00:00,246,74
Mississippi,2020-07-10 00:00:00,228,56
Mississippi,2020-07-11 00:00:00,158,55
Mississippi,2020-07-12 00:00:00,105,32
Mississippi,2020-07-13 00:00:00,265,92
Mississippi,2020-07-14 00:00:00,229,57
Mississippi,2020-07-15 00:00:00,334,68
Mississippi,2020-07-16 00:00:00,280,69
Mississippi,2020-07-17 00:00:00,297,82
Mississippi,2020-07-18 00:00:00,117,26
Mississippi,2020-07-19 00:00:00,56,18
Mississippi,2020-07-20 00:00:00,229,59
Mississippi,2020-07-21 00:00:00,298,51
Mississippi,2020-07-22 00:00:00,348,53
Mississippi,2020-07-23 00:00:00,304,77
Mississippi,2020-07-24 00:00:00,108,25
Mississippi,2020-07-25 00:00:00,29,4
Mississippi,2020-07-26 00:00:00,29,11
Mississippi,2020-07-27 00:00:00,70,23
Mississippi,2020-07-28 00:00:00,154,26
Mississippi,2020-07-29 00:00:00,336,56
Mississippi,2020-07-30 00:00:00,298,77
Mississippi,2020-07-31 00:00:00,239,43
Mississippi,2020-08-01 00:00:00,107,27
Mississippi,2020-08-02 00:00:00,110,27
