state,date,total,covid
Montana,2020-02-01 00:00:00,97,4
Montana,2020-02-02 00:00:00,50,1
Montana,2020-02-03 00:00:00,138,9
Montana,2020-02-04 00:00:00,170,10
Montana,2020-02-05 00:00:00,247,9
Montana,2020-02-06 00:00:00,140,10
Montana,2020-02-07 00:00:00,168,10
Montana,2020-02-08 00:00:00,92,5
Montana,2020-02-09 00:00:00,38,2
Montana,2020-02-10 00:00:00,161,12
Montana,2020-02-11 00:00:00,193,19
Montana,2020-02-12 00:00:00,214,11
Montana,2020-02-13 00:00:00,177,13
Montana,2020-02-14 00:00:00,126,24
Montana,2020-02-15 00:00:00,62,6
Montana,2020-02-16 00:00:00,51,2
Montana,2020-02-17 00:00:00,134,8
Montana,2020-02-18 00:00:00,190,10
Montana,2020-02-19 00:00:00,218,11
Montana,2020-02-20 00:00:00,167,12
Montana,2020-02-21 00:00:00,189,10
Montana,2020-02-22 00:00:00,89,2
Montana,2020-02-23 00:00:00,33,3
Montana,2020-02-24 00:00:00,151,18
Montana,2020-02-25 00:00:00,242,15
Montana,2020-02-26 00:00:00,226,21
Montana,2020-02-27 00:00:00,158,24
Montana,2020-02-28 00:00:00,158,27
Montana,2020-02-29 00:00:00,96,7
Montana,2020-03-01 00:00:00,74,13
Montana,2020-03-02 00:00:00,166,23
Montana,2020-03-03 00:00:00,209,35
Montana,2020-03-04 00:00:00,239,36
Montana,2020-03-05 00:00:00,185,39
Montana,2020-03-06 00:00:00,167,34
Montana,2020-03-07 00:00:00,78,18
Montana,2020-03-08 00:00:00,67,12
Montana,2020-03-09 00:00:00,137,35
Montana,2020-03-10 00:00:00,202,49
Montana,2020-03-11 00:00:00,340,119
Montana,2020-03-12 00:00:00,228,113
Montana,2020-03-13 00:00:00,215,122
Montana,2020-03-14 00:00:00,95,56
Montana,2020-03-15 00:00:00,103,48
Montana,2020-03-16 00:00:00,208,123
Montana,2020-03-17 00:00:00,248,132
Montana,2020-03-18 00:00:00,300,154
Montana,2020-03-19 00:00:00,256,153
Montana,2020-03-20 00:00:00,241,135
Montana,2020-03-21 00:00:00,77,47
Montana,2020-03-22 00:00:00,72,45
Montana,2020-03-23 00:00:00,225,109
Montana,2020-03-24 00:00:00,236,120
Montana,2020-03-25 00:00:00,340,143
Montana,2020-03-26 00:00:00,236,128
Montana,2020-03-27 00:00:00,207,115
Montana,2020-03-28 00:00:00,139,73
Montana,2020-03-29 00:00:00,80,47
Montana,2020-03-30 00:00:00,214,111
Montana,2020-03-31 00:00:00,292,130
Montana,2020-04-01 00:00:00,295,131
Montana,2020-04-02 00:00:00,200,91
Montana,2020-04-03 00:00:00,205,97
Montana,2020-04-04 00:00:00,67,31
Montana,2020-04-05 00:00:00,51,33
Montana,2020-04-06 00:00:00,260,134
Montana,2020-04-07 00:00:00,236,101
Montana,2020-04-08 00:00:00,270,113
Montana,2020-04-09 00:00:00,260,117
Montana,2020-04-10 00:00:00,242,102
Montana,2020-04-11 00:00:00,184,33
Montana,2020-04-12 00:00:00,122,39
Montana,2020-04-13 00:00:00,266,108
Montana,2020-04-14 00:00:00,231,101
Montana,2020-04-15 00:00:00,374,137
Montana,2020-04-16 00:00:00,244,123
Montana,2020-04-17 00:00:00,249,106
Montana,2020-04-18 00:00:00,114,39
Montana,2020-04-19 00:00:00,94,45
Montana,2020-04-20 00:00:00,211,100
Montana,2020-04-21 00:00:00,282,114
Montana,2020-04-22 00:00:00,352,120
Montana,2020-04-23 00:00:00,272,109
Montana,2020-04-24 00:00:00,228,91
Montana,2020-04-25 00:00:00,98,46
Montana,2020-04-26 00:00:00,70,21
Montana,2020-04-27 00:00:00,190,78
Montana,2020-04-28 00:00:00,278,105
Montana,2020-04-29 00:00:00,303,119
Montana,2020-04-30 00:00:00,182,63
Montana,2020-05-01 00:00:00,286,93
Montana,2020-05-02 00:00:00,64,26
Montana,2020-05-03 00:00:00,98,29
Montana,2020-05-04 00:00:00,177,74
Montana,2020-05-05 00:00:00,380,142
Montana,2020-05-06 00:00:00,363,125
Montana,2020-05-07 00:00:00,242,90
Montana,2020-05-08 00:00:00,267,87
Montana,2020-05-09 00:00:00,83,31
Montana,2020-05-10 00:00:00,94,32
Montana,2020-05-11 00:00:00,203,77
Montana,2020-05-12 00:00:00,279,85
Montana,2020-05-13 00:00:00,300,72
Montana,2020-05-14 00:00:00,293,96
Montana,2020-05-15 00:00:00,327,129
Montana,2020-05-16 00:00:00,77,30
Montana,2020-05-17 00:00:00,61,24
Montana,2020-05-18 00:00:00,222,75
Montana,2020-05-19 00:00:00,255,70
Montana,2020-05-20 00:00:00,271,75
Montana,2020-05-21 00:00:00,222,68
Montana,2020-05-22 00:00:00,193,71
Montana,2020-05-23 00:00:00,124,45
Montana,2020-05-24 00:00:00,115,36
Montana,2020-05-25 00:00:00,117,38
Montana,2020-05-26 00:00:00,256,73
Montana,2020-05-27 00:00:00,279,77
Montana,2020-05-28 00:00:00,284,73
Montana,2020-05-29 00:00:00,263,60
Montana,2020-05-30 00:00:00,70,16
Montana,2020-05-31 00:00:00,115,24
Montana,2020-06-01 00:00:00,182,48
Montana,2020-06-02 00:00:00,239,40
Montana,2020-06-03 00:00:00,295,48
Montana,2020-06-04 00:00:00,248,55
Montana,2020-06-05 00:00:00,232,42
Montana,2020-06-06 00:00:00,127,25
Montana,2020-06-07 00:00:00,74,16
Montana,2020-06-08 00:00:00,192,47
Montana,2020-06-09 00:00:00,246,51
Montana,2020-06-10 00:00:00,303,50
Montana,2020-06-11 00:00:00,196,43
Montana,2020-06-12 00:00:00,217,38
Montana,2020-06-13 00:00:00,99,26
Montana,2020-06-14 00:00:00,100,22
Montana,2020-06-15 00:00:00,220,52
Montana,2020-06-16 00:00:00,237,45
Montana,2020-06-17 00:00:00,303,46
Montana,2020-06-18 00:00:00,231,45
Montana,2020-06-19 00:00:00,233,48
Montana,2020-06-20 00:00:00,66,12
Montana,2020-06-21 00:00:00,91,24
Montana,2020-06-22 00:00:00,166,46
Montana,2020-06-23 00:00:00,224,40
Montana,2020-06-24 00:00:00,313,49
Montana,2020-06-25 00:00:00,207,51
Montana,2020-06-26 00:00:00,234,56
Montana,2020-06-27 00:00:00,80,25
Montana,2020-06-28 00:00:00,84,21
Montana,2020-06-29 00:00:00,196,38
Montana,2020-06-30 00:00:00,209,38
Montana,2020-07-01 00:00:00,308,47
Montana,2020-07-02 00:00:00,193,43
Montana,2020-07-03 00:00:00,173,37
Montana,2020-07-04 00:00:00,81,25
Montana,2020-07-05 00:00:00,44,15
Montana,2020-07-06 00:00:00,173,47
Montana,2020-07-07 00:00:00,294,69
Montana,2020-07-08 00:00:00,381,97
Montana,2020-07-09 00:00:00,298,56
Montana,2020-07-10 00:00:00,316,93
Montana,2020-07-11 00:00:00,227,73
Montana,2020-07-12 00:00:00,116,31
