state,date,total,covid
North Carolina,2020-03-01 00:00:00,1180,237
North Carolina,2020-03-02 00:00:00,3507,719
North Carolina,2020-03-03 00:00:00,3666,695
North Carolina,2020-03-04 00:00:00,3665,724
North Carolina,2020-03-05 00:00:00,4122,885
North Carolina,2020-03-06 00:00:00,3979,1006
North Carolina,2020-03-07 00:00:00,1279,354
North Carolina,2020-03-08 00:00:00,861,298
North Carolina,2020-03-09 00:00:00,2528,847
North Carolina,2020-03-10 00:00:00,2588,946
North Carolina,2020-03-11 00:00:00,3357,1359
North Carolina,2020-03-12 00:00:00,3673,1967
North Carolina,2020-03-13 00:00:00,3617,1804
North Carolina,2020-03-14 00:00:00,1181,712
North Carolina,2020-03-15 00:00:00,1203,801
North Carolina,2020-03-16 00:00:00,2819,1635
North Carolina,2020-03-17 00:00:00,3280,1904
North Carolina,2020-03-18 00:00:00,3186,1848
North Carolina,2020-03-19 00:00:00,3289,1867
North Carolina,2020-03-20 00:00:00,3386,1942
North Carolina,2020-03-21 00:00:00,1033,592
North Carolina,2020-03-22 00:00:00,864,562
North Carolina,2020-03-23 00:00:00,2932,1769
North Carolina,2020-03-24 00:00:00,2798,1610
North Carolina,2020-03-25 00:00:00,3098,1718
North Carolina,2020-03-26 00:00:00,3244,1569
North Carolina,2020-03-27 00:00:00,3529,1739
North Carolina,2020-03-28 00:00:00,839,487
North Carolina,2020-03-29 00:00:00,778,464
North Carolina,2020-03-30 00:00:00,2739,1422
North Carolina,2020-03-31 00:00:00,2956,1466
North Carolina,2020-04-01 00:00:00,2988,1476
North Carolina,2020-04-02 00:00:00,3218,1619
North Carolina,2020-04-03 00:00:00,3327,1431
North Carolina,2020-04-04 00:00:00,832,456
North Carolina,2020-04-05 00:00:00,746,403
North Carolina,2020-04-06 00:00:00,2731,1325
North Carolina,2020-04-07 00:00:00,2517,1142
North Carolina,2020-04-08 00:00:00,2344,1038
North Carolina,2020-04-09 00:00:00,2492,1176
North Carolina,2020-04-10 00:00:00,2348,1146
North Carolina,2020-04-11 00:00:00,1244,440
North Carolina,2020-04-12 00:00:00,700,324
North Carolina,2020-04-13 00:00:00,2628,1083
North Carolina,2020-04-14 00:00:00,2221,947
North Carolina,2020-04-15 00:00:00,3111,1234
North Carolina,2020-04-16 00:00:00,2910,1277
North Carolina,2020-04-17 00:00:00,2632,986
North Carolina,2020-04-18 00:00:00,743,324
North Carolina,2020-04-19 00:00:00,592,300
North Carolina,2020-04-20 00:00:00,2436,959
North Carolina,2020-04-21 00:00:00,2540,1060
North Carolina,2020-04-22 00:00:00,2308,875
North Carolina,2020-04-23 00:00:00,2175,948
North Carolina,2020-04-24 00:00:00,2006,828
North Carolina,2020-04-25 00:00:00,753,340
North Carolina,2020-04-26 00:00:00,563,214
North Carolina,2020-04-27 00:00:00,2382,845
North Carolina,2020-04-28 00:00:00,2508,967
North Carolina,2020-04-29 00:00:00,2720,927
North Carolina,2020-04-30 00:00:00,2900,970
North Carolina,2020-05-01 00:00:00,3146,912
North Carolina,2020-05-02 00:00:00,664,255
North Carolina,2020-05-03 00:00:00,597,233
North Carolina,2020-05-04 00:00:00,2561,767
North Carolina,2020-05-05 00:00:00,2514,823
North Carolina,2020-05-06 00:00:00,2541,750
North Carolina,2020-05-07 00:00:00,2738,799
North Carolina,2020-05-08 00:00:00,2763,725
North Carolina,2020-05-09 00:00:00,714,263
North Carolina,2020-05-10 00:00:00,534,197
North Carolina,2020-05-11 00:00:00,2495,695
North Carolina,2020-05-12 00:00:00,2476,759
North Carolina,2020-05-13 00:00:00,2577,729
North Carolina,2020-05-14 00:00:00,2707,782
North Carolina,2020-05-15 00:00:00,3070,911
North Carolina,2020-05-16 00:00:00,694,265
North Carolina,2020-05-17 00:00:00,575,195
North Carolina,2020-05-18 00:00:00,2430,613
North Carolina,2020-05-19 00:00:00,2515,650
North Carolina,2020-05-20 00:00:00,2648,734
North Carolina,2020-05-21 00:00:00,3025,750
North Carolina,2020-05-22 00:00:00,3059,641
North Carolina,2020-05-23 00:00:00,743,294
North Carolina,2020-05-24 00:00:00,548,193
North Carolina,2020-05-25 00:00:00,1038,357
North Carolina,2020-05-26 00:00:00,2327,567
North Carolina,2020-05-27 00:00:00,2185,635
North Carolina,2020-05-28 00:00:00,2760,642
North Carolina,2020-05-29 00:00:00,2460,472
North Carolina,2020-05-30 00:00:00,681,177
North Carolina,2020-05-31 00:00:00,706,161
North Carolina,2020-06-01 00:00:00,2325,471
