state,date,total,covid
North Dakota,2020-03-01 00:00:00,205,7
North Dakota,2020-03-02 00:00:00,404,35
North Dakota,2020-03-03 00:00:00,476,71
North Dakota,2020-03-04 00:00:00,468,66
North Dakota,2020-03-05 00:00:00,386,64
North Dakota,2020-03-06 00:00:00,381,72
North Dakota,2020-03-07 00:00:00,228,28
North Dakota,2020-03-08 00:00:00,244,18
North Dakota,2020-03-09 00:00:00,429,111
North Dakota,2020-03-10 00:00:00,511,115
North Dakota,2020-03-11 00:00:00,520,194
North Dakota,2020-03-12 00:00:00,594,315
North Dakota,2020-03-13 00:00:00,515,256
North Dakota,2020-03-14 00:00:00,212,102
North Dakota,2020-03-15 00:00:00,273,128
North Dakota,2020-03-16 00:00:00,452,229
North Dakota,2020-03-17 00:00:00,530,315
North Dakota,2020-03-18 00:00:00,529,313
North Dakota,2020-03-19 00:00:00,488,270
North Dakota,2020-03-20 00:00:00,479,275
North Dakota,2020-03-21 00:00:00,238,134
North Dakota,2020-03-22 00:00:00,258,168
North Dakota,2020-03-23 00:00:00,432,247
North Dakota,2020-03-24 00:00:00,503,235
North Dakota,2020-03-25 00:00:00,467,217
North Dakota,2020-03-26 00:00:00,476,274
North Dakota,2020-03-27 00:00:00,446,239
North Dakota,2020-03-28 00:00:00,313,132
North Dakota,2020-03-29 00:00:00,273,152
North Dakota,2020-03-30 00:00:00,529,268
North Dakota,2020-03-31 00:00:00,539,219
North Dakota,2020-04-01 00:00:00,565,235
North Dakota,2020-04-02 00:00:00,561,265
North Dakota,2020-04-03 00:00:00,484,210
North Dakota,2020-04-04 00:00:00,328,130
North Dakota,2020-04-05 00:00:00,209,116
North Dakota,2020-04-06 00:00:00,478,224
North Dakota,2020-04-07 00:00:00,557,267
North Dakota,2020-04-08 00:00:00,446,203
North Dakota,2020-04-09 00:00:00,427,216
North Dakota,2020-04-10 00:00:00,536,215
North Dakota,2020-04-11 00:00:00,310,86
North Dakota,2020-04-12 00:00:00,263,98
North Dakota,2020-04-13 00:00:00,413,138
North Dakota,2020-04-14 00:00:00,414,165
North Dakota,2020-04-15 00:00:00,513,203
North Dakota,2020-04-16 00:00:00,558,255
North Dakota,2020-04-17 00:00:00,515,239
North Dakota,2020-04-18 00:00:00,330,97
North Dakota,2020-04-19 00:00:00,213,103
North Dakota,2020-04-20 00:00:00,525,245
North Dakota,2020-04-21 00:00:00,497,203
North Dakota,2020-04-22 00:00:00,497,181
North Dakota,2020-04-23 00:00:00,454,176
North Dakota,2020-04-24 00:00:00,429,167
North Dakota,2020-04-25 00:00:00,297,113
North Dakota,2020-04-26 00:00:00,204,76
North Dakota,2020-04-27 00:00:00,451,167
North Dakota,2020-04-28 00:00:00,428,150
North Dakota,2020-04-29 00:00:00,555,196
North Dakota,2020-04-30 00:00:00,463,152
North Dakota,2020-05-01 00:00:00,411,157
North Dakota,2020-05-02 00:00:00,232,79
North Dakota,2020-05-03 00:00:00,158,56
North Dakota,2020-05-04 00:00:00,433,145
North Dakota,2020-05-05 00:00:00,464,179
North Dakota,2020-05-06 00:00:00,533,169
North Dakota,2020-05-07 00:00:00,443,138
North Dakota,2020-05-08 00:00:00,405,127
North Dakota,2020-05-09 00:00:00,275,92
North Dakota,2020-05-10 00:00:00,178,74
North Dakota,2020-05-11 00:00:00,408,100
North Dakota,2020-05-12 00:00:00,468,139
North Dakota,2020-05-13 00:00:00,482,157
North Dakota,2020-05-14 00:00:00,405,131
North Dakota,2020-05-15 00:00:00,507,157
North Dakota,2020-05-16 00:00:00,263,67
North Dakota,2020-05-17 00:00:00,178,70
North Dakota,2020-05-18 00:00:00,374,105
North Dakota,2020-05-19 00:00:00,476,137
North Dakota,2020-05-20 00:00:00,473,130
North Dakota,2020-05-21 00:00:00,420,124
North Dakota,2020-05-22 00:00:00,430,125
North Dakota,2020-05-23 00:00:00,278,72
North Dakota,2020-05-24 00:00:00,206,62
North Dakota,2020-05-25 00:00:00,268,65
North Dakota,2020-05-26 00:00:00,405,105
North Dakota,2020-05-27 00:00:00,459,90
North Dakota,2020-05-28 00:00:00,418,113
North Dakota,2020-05-29 00:00:00,428,94
North Dakota,2020-05-30 00:00:00,328,43
North Dakota,2020-05-31 00:00:00,356,57
North Dakota,2020-06-01 00:00:00,434,69
