state,date,total,covid
Nebraska,2020-03-01 00:00:00,213,26
Nebraska,2020-03-02 00:00:00,449,83
Nebraska,2020-03-03 00:00:00,443,61
Nebraska,2020-03-04 00:00:00,543,89
Nebraska,2020-03-05 00:00:00,552,66
Nebraska,2020-03-06 00:00:00,438,87
Nebraska,2020-03-07 00:00:00,186,65
Nebraska,2020-03-08 00:00:00,254,73
Nebraska,2020-03-09 00:00:00,413,112
Nebraska,2020-03-10 00:00:00,471,137
Nebraska,2020-03-11 00:00:00,635,268
Nebraska,2020-03-12 00:00:00,712,325
Nebraska,2020-03-13 00:00:00,596,289
Nebraska,2020-03-14 00:00:00,240,111
Nebraska,2020-03-15 00:00:00,256,102
Nebraska,2020-03-16 00:00:00,519,241
Nebraska,2020-03-17 00:00:00,624,334
Nebraska,2020-03-18 00:00:00,537,255
Nebraska,2020-03-19 00:00:00,561,304
Nebraska,2020-03-20 00:00:00,490,239
Nebraska,2020-03-21 00:00:00,247,116
Nebraska,2020-03-22 00:00:00,254,119
Nebraska,2020-03-23 00:00:00,430,242
Nebraska,2020-03-24 00:00:00,476,238
Nebraska,2020-03-25 00:00:00,547,272
Nebraska,2020-03-26 00:00:00,511,257
Nebraska,2020-03-27 00:00:00,418,243
Nebraska,2020-03-28 00:00:00,287,131
Nebraska,2020-03-29 00:00:00,229,118
Nebraska,2020-03-30 00:00:00,488,259
Nebraska,2020-03-31 00:00:00,606,285
Nebraska,2020-04-01 00:00:00,587,273
Nebraska,2020-04-02 00:00:00,523,249
Nebraska,2020-04-03 00:00:00,482,223
Nebraska,2020-04-04 00:00:00,202,96
Nebraska,2020-04-05 00:00:00,194,97
Nebraska,2020-04-06 00:00:00,579,282
Nebraska,2020-04-07 00:00:00,444,221
Nebraska,2020-04-08 00:00:00,420,196
Nebraska,2020-04-09 00:00:00,558,260
Nebraska,2020-04-10 00:00:00,464,221
Nebraska,2020-04-11 00:00:00,338,99
Nebraska,2020-04-12 00:00:00,214,87
Nebraska,2020-04-13 00:00:00,452,194
Nebraska,2020-04-14 00:00:00,451,207
Nebraska,2020-04-15 00:00:00,596,249
Nebraska,2020-04-16 00:00:00,690,303
Nebraska,2020-04-17 00:00:00,392,160
Nebraska,2020-04-18 00:00:00,264,111
Nebraska,2020-04-19 00:00:00,179,77
Nebraska,2020-04-20 00:00:00,410,169
Nebraska,2020-04-21 00:00:00,481,188
Nebraska,2020-04-22 00:00:00,423,172
Nebraska,2020-04-23 00:00:00,444,195
Nebraska,2020-04-24 00:00:00,428,188
Nebraska,2020-04-25 00:00:00,194,78
Nebraska,2020-04-26 00:00:00,191,87
Nebraska,2020-04-27 00:00:00,420,163
Nebraska,2020-04-28 00:00:00,507,207
Nebraska,2020-04-29 00:00:00,452,170
Nebraska,2020-04-30 00:00:00,515,210
Nebraska,2020-05-01 00:00:00,439,160
Nebraska,2020-05-02 00:00:00,170,62
Nebraska,2020-05-03 00:00:00,209,78
Nebraska,2020-05-04 00:00:00,369,156
Nebraska,2020-05-05 00:00:00,487,183
Nebraska,2020-05-06 00:00:00,454,161
Nebraska,2020-05-07 00:00:00,520,165
Nebraska,2020-05-08 00:00:00,378,146
Nebraska,2020-05-09 00:00:00,200,84
Nebraska,2020-05-10 00:00:00,144,58
Nebraska,2020-05-11 00:00:00,373,145
Nebraska,2020-05-12 00:00:00,469,135
Nebraska,2020-05-13 00:00:00,447,161
Nebraska,2020-05-14 00:00:00,419,157
Nebraska,2020-05-15 00:00:00,531,207
Nebraska,2020-05-16 00:00:00,222,77
Nebraska,2020-05-17 00:00:00,195,66
Nebraska,2020-05-18 00:00:00,363,138
Nebraska,2020-05-19 00:00:00,437,141
Nebraska,2020-05-20 00:00:00,374,139
Nebraska,2020-05-21 00:00:00,423,132
Nebraska,2020-05-22 00:00:00,337,111
Nebraska,2020-05-23 00:00:00,233,76
Nebraska,2020-05-24 00:00:00,163,58
Nebraska,2020-05-25 00:00:00,227,76
Nebraska,2020-05-26 00:00:00,382,116
Nebraska,2020-05-27 00:00:00,415,111
Nebraska,2020-05-28 00:00:00,357,120
Nebraska,2020-05-29 00:00:00,419,97
Nebraska,2020-05-30 00:00:00,168,55
Nebraska,2020-05-31 00:00:00,217,51
Nebraska,2020-06-01 00:00:00,305,97
