state,date,total,covid
New Hampshire,2020-02-01 00:00:00,209,13
New Hampshire,2020-02-02 00:00:00,205,16
New Hampshire,2020-02-03 00:00:00,208,12
New Hampshire,2020-02-04 00:00:00,354,15
New Hampshire,2020-02-05 00:00:00,302,12
New Hampshire,2020-02-06 00:00:00,390,20
New Hampshire,2020-02-07 00:00:00,334,14
New Hampshire,2020-02-08 00:00:00,278,15
New Hampshire,2020-02-09 00:00:00,289,5
New Hampshire,2020-02-10 00:00:00,371,16
New Hampshire,2020-02-11 00:00:00,470,19
New Hampshire,2020-02-12 00:00:00,424,15
New Hampshire,2020-02-13 00:00:00,444,17
New Hampshire,2020-02-14 00:00:00,374,17
New Hampshire,2020-02-15 00:00:00,233,10
New Hampshire,2020-02-16 00:00:00,287,9
New Hampshire,2020-02-17 00:00:00,388,11
New Hampshire,2020-02-18 00:00:00,404,27
New Hampshire,2020-02-19 00:00:00,411,13
New Hampshire,2020-02-20 00:00:00,465,12
New Hampshire,2020-02-21 00:00:00,352,8
New Hampshire,2020-02-22 00:00:00,238,12
New Hampshire,2020-02-23 00:00:00,280,10
New Hampshire,2020-02-24 00:00:00,399,24
New Hampshire,2020-02-25 00:00:00,460,28
New Hampshire,2020-02-26 00:00:00,546,61
New Hampshire,2020-02-27 00:00:00,458,60
New Hampshire,2020-02-28 00:00:00,391,62
New Hampshire,2020-02-29 00:00:00,292,39
New Hampshire,2020-03-01 00:00:00,252,40
New Hampshire,2020-03-02 00:00:00,448,92
New Hampshire,2020-03-03 00:00:00,529,102
New Hampshire,2020-03-04 00:00:00,478,80
New Hampshire,2020-03-05 00:00:00,629,119
New Hampshire,2020-03-06 00:00:00,448,87
New Hampshire,2020-03-07 00:00:00,251,62
New Hampshire,2020-03-08 00:00:00,304,70
New Hampshire,2020-03-09 00:00:00,352,123
New Hampshire,2020-03-10 00:00:00,428,140
New Hampshire,2020-03-11 00:00:00,525,179
New Hampshire,2020-03-12 00:00:00,500,237
New Hampshire,2020-03-13 00:00:00,497,260
New Hampshire,2020-03-14 00:00:00,245,146
New Hampshire,2020-03-15 00:00:00,309,163
New Hampshire,2020-03-16 00:00:00,518,318
New Hampshire,2020-03-17 00:00:00,483,279
