state,date,total,covid
New Jersey,2020-02-01 00:00:00,212,6
New Jersey,2020-02-02 00:00:00,125,5
New Jersey,2020-02-03 00:00:00,348,14
New Jersey,2020-02-04 00:00:00,378,26
New Jersey,2020-02-05 00:00:00,333,14
New Jersey,2020-02-06 00:00:00,440,20
New Jersey,2020-02-07 00:00:00,369,33
New Jersey,2020-02-08 00:00:00,144,12
New Jersey,2020-02-09 00:00:00,137,8
New Jersey,2020-02-10 00:00:00,400,14
New Jersey,2020-02-11 00:00:00,363,19
New Jersey,2020-02-12 00:00:00,405,14
New Jersey,2020-02-13 00:00:00,422,8
New Jersey,2020-02-14 00:00:00,408,17
New Jersey,2020-02-15 00:00:00,169,20
New Jersey,2020-02-16 00:00:00,168,5
New Jersey,2020-02-17 00:00:00,272,4
New Jersey,2020-02-18 00:00:00,361,8
New Jersey,2020-02-19 00:00:00,331,7
New Jersey,2020-02-20 00:00:00,392,2
New Jersey,2020-02-21 00:00:00,337,7
New Jersey,2020-02-22 00:00:00,125,2
New Jersey,2020-02-23 00:00:00,146,1
New Jersey,2020-02-24 00:00:00,380,8
New Jersey,2020-02-25 00:00:00,391,28
New Jersey,2020-02-26 00:00:00,368,21
New Jersey,2020-02-27 00:00:00,411,18
New Jersey,2020-02-28 00:00:00,354,23
New Jersey,2020-02-29 00:00:00,156,26
New Jersey,2020-03-01 00:00:00,264,14
New Jersey,2020-03-02 00:00:00,297,65
New Jersey,2020-03-03 00:00:00,344,69
New Jersey,2020-03-04 00:00:00,449,87
New Jersey,2020-03-05 00:00:00,504,86
New Jersey,2020-03-06 00:00:00,407,104
New Jersey,2020-03-07 00:00:00,193,57
New Jersey,2020-03-08 00:00:00,109,24
New Jersey,2020-03-09 00:00:00,351,105
New Jersey,2020-03-10 00:00:00,463,193
New Jersey,2020-03-11 00:00:00,494,239
New Jersey,2020-03-12 00:00:00,542,338
New Jersey,2020-03-13 00:00:00,510,357
New Jersey,2020-03-14 00:00:00,209,148
New Jersey,2020-03-15 00:00:00,395,249
New Jersey,2020-03-16 00:00:00,475,311
New Jersey,2020-03-17 00:00:00,381,266
New Jersey,2020-03-18 00:00:00,426,291
New Jersey,2020-03-19 00:00:00,560,363
New Jersey,2020-03-20 00:00:00,411,304
New Jersey,2020-03-21 00:00:00,184,146
New Jersey,2020-03-22 00:00:00,192,137
New Jersey,2020-03-23 00:00:00,405,256
New Jersey,2020-03-24 00:00:00,436,301
New Jersey,2020-03-25 00:00:00,481,343
New Jersey,2020-03-26 00:00:00,493,350
New Jersey,2020-03-27 00:00:00,385,276
New Jersey,2020-03-28 00:00:00,222,182
New Jersey,2020-03-29 00:00:00,164,114
New Jersey,2020-03-30 00:00:00,433,260
New Jersey,2020-03-31 00:00:00,357,263
New Jersey,2020-04-01 00:00:00,483,307
New Jersey,2020-04-02 00:00:00,451,271
New Jersey,2020-04-03 00:00:00,416,269
New Jersey,2020-04-04 00:00:00,152,126
New Jersey,2020-04-05 00:00:00,121,83
New Jersey,2020-04-06 00:00:00,445,271
New Jersey,2020-04-07 00:00:00,375,248
New Jersey,2020-04-08 00:00:00,410,228
New Jersey,2020-04-09 00:00:00,455,235
New Jersey,2020-04-10 00:00:00,383,223
New Jersey,2020-04-11 00:00:00,170,116
New Jersey,2020-04-12 00:00:00,154,96
New Jersey,2020-04-13 00:00:00,424,215
New Jersey,2020-04-14 00:00:00,399,224
New Jersey,2020-04-15 00:00:00,493,262
New Jersey,2020-04-16 00:00:00,527,290
New Jersey,2020-04-17 00:00:00,407,216
New Jersey,2020-04-18 00:00:00,182,119
New Jersey,2020-04-19 00:00:00,139,75
New Jersey,2020-04-20 00:00:00,487,201
New Jersey,2020-04-21 00:00:00,463,241
New Jersey,2020-04-22 00:00:00,452,209
New Jersey,2020-04-23 00:00:00,588,246
New Jersey,2020-04-24 00:00:00,472,216
New Jersey,2020-04-25 00:00:00,112,50
New Jersey,2020-04-26 00:00:00,157,85
New Jersey,2020-04-27 00:00:00,454,173
New Jersey,2020-04-28 00:00:00,450,230
New Jersey,2020-04-29 00:00:00,499,249
New Jersey,2020-04-30 00:00:00,526,224
New Jersey,2020-05-01 00:00:00,388,175
New Jersey,2020-05-02 00:00:00,170,107
New Jersey,2020-05-03 00:00:00,150,75
New Jersey,2020-05-04 00:00:00,417,185
New Jersey,2020-05-05 00:00:00,446,210
New Jersey,2020-05-06 00:00:00,466,186
New Jersey,2020-05-07 00:00:00,619,207
New Jersey,2020-05-08 00:00:00,410,176
New Jersey,2020-05-09 00:00:00,160,75
New Jersey,2020-05-10 00:00:00,155,80
