state,date,total,covid
Nevada,2020-02-01 00:00:00,327,13
Nevada,2020-02-02 00:00:00,321,31
Nevada,2020-02-03 00:00:00,279,21
Nevada,2020-02-04 00:00:00,278,27
Nevada,2020-02-05 00:00:00,321,27
Nevada,2020-02-06 00:00:00,348,19
Nevada,2020-02-07 00:00:00,532,20
Nevada,2020-02-08 00:00:00,448,25
Nevada,2020-02-09 00:00:00,384,13
Nevada,2020-02-10 00:00:00,510,32
Nevada,2020-02-11 00:00:00,579,14
Nevada,2020-02-12 00:00:00,720,42
Nevada,2020-02-13 00:00:00,657,28
Nevada,2020-02-14 00:00:00,691,19
Nevada,2020-02-15 00:00:00,339,14
Nevada,2020-02-16 00:00:00,363,5
Nevada,2020-02-17 00:00:00,495,38
Nevada,2020-02-18 00:00:00,625,27
Nevada,2020-02-19 00:00:00,797,26
Nevada,2020-02-20 00:00:00,777,32
Nevada,2020-02-21 00:00:00,705,26
Nevada,2020-02-22 00:00:00,480,5
Nevada,2020-02-23 00:00:00,430,9
Nevada,2020-02-24 00:00:00,508,34
Nevada,2020-02-25 00:00:00,632,62
Nevada,2020-02-26 00:00:00,713,87
Nevada,2020-02-27 00:00:00,762,91
Nevada,2020-02-28 00:00:00,706,113
Nevada,2020-02-29 00:00:00,430,58
Nevada,2020-03-01 00:00:00,408,64
Nevada,2020-03-02 00:00:00,685,138
Nevada,2020-03-03 00:00:00,796,176
Nevada,2020-03-04 00:00:00,868,179
Nevada,2020-03-05 00:00:00,953,274
Nevada,2020-03-06 00:00:00,831,281
Nevada,2020-03-07 00:00:00,495,121
Nevada,2020-03-08 00:00:00,512,187
Nevada,2020-03-09 00:00:00,680,289
Nevada,2020-03-10 00:00:00,885,419
Nevada,2020-03-11 00:00:00,1002,472
Nevada,2020-03-12 00:00:00,1270,785
Nevada,2020-03-13 00:00:00,1116,676
Nevada,2020-03-14 00:00:00,590,304
Nevada,2020-03-15 00:00:00,790,481
Nevada,2020-03-16 00:00:00,1007,623
Nevada,2020-03-17 00:00:00,988,637
Nevada,2020-03-18 00:00:00,1060,681
Nevada,2020-03-19 00:00:00,954,644
Nevada,2020-03-20 00:00:00,920,546
Nevada,2020-03-21 00:00:00,625,359
Nevada,2020-03-22 00:00:00,439,276
Nevada,2020-03-23 00:00:00,835,574
Nevada,2020-03-24 00:00:00,859,557
Nevada,2020-03-25 00:00:00,863,542
Nevada,2020-03-26 00:00:00,903,596
Nevada,2020-03-27 00:00:00,796,476
Nevada,2020-03-28 00:00:00,445,256
Nevada,2020-03-29 00:00:00,462,287
Nevada,2020-03-30 00:00:00,729,525
Nevada,2020-03-31 00:00:00,825,492
Nevada,2020-04-01 00:00:00,927,613
Nevada,2020-04-02 00:00:00,1022,581
Nevada,2020-04-03 00:00:00,964,568
Nevada,2020-04-04 00:00:00,547,277
Nevada,2020-04-05 00:00:00,418,277
Nevada,2020-04-06 00:00:00,776,452
Nevada,2020-04-07 00:00:00,796,496
Nevada,2020-04-08 00:00:00,902,495
Nevada,2020-04-09 00:00:00,768,440
Nevada,2020-04-10 00:00:00,762,435
Nevada,2020-04-11 00:00:00,559,235
Nevada,2020-04-12 00:00:00,508,268
Nevada,2020-04-13 00:00:00,836,476
Nevada,2020-04-14 00:00:00,767,411
Nevada,2020-04-15 00:00:00,1086,587
Nevada,2020-04-16 00:00:00,973,502
Nevada,2020-04-17 00:00:00,993,527
Nevada,2020-04-18 00:00:00,517,290
Nevada,2020-04-19 00:00:00,462,252
Nevada,2020-04-20 00:00:00,841,432
Nevada,2020-04-21 00:00:00,933,524
Nevada,2020-04-22 00:00:00,976,475
Nevada,2020-04-23 00:00:00,1022,495
Nevada,2020-04-24 00:00:00,1105,542
Nevada,2020-04-25 00:00:00,538,234
Nevada,2020-04-26 00:00:00,538,238
Nevada,2020-04-27 00:00:00,745,338
Nevada,2020-04-28 00:00:00,917,498
Nevada,2020-04-29 00:00:00,945,499
Nevada,2020-04-30 00:00:00,858,445
Nevada,2020-05-01 00:00:00,1232,550
Nevada,2020-05-02 00:00:00,625,318
Nevada,2020-05-03 00:00:00,543,302
Nevada,2020-05-04 00:00:00,818,388
Nevada,2020-05-05 00:00:00,898,471
Nevada,2020-05-06 00:00:00,974,463
Nevada,2020-05-07 00:00:00,996,434
Nevada,2020-05-08 00:00:00,1027,472
Nevada,2020-05-09 00:00:00,469,257
Nevada,2020-05-10 00:00:00,462,236
Nevada,2020-05-11 00:00:00,849,374
Nevada,2020-05-12 00:00:00,1000,450
Nevada,2020-05-13 00:00:00,996,510
Nevada,2020-05-14 00:00:00,1166,552
Nevada,2020-05-15 00:00:00,1047,498
Nevada,2020-05-16 00:00:00,601,198
Nevada,2020-05-17 00:00:00,573,260
Nevada,2020-05-18 00:00:00,935,419
Nevada,2020-05-19 00:00:00,967,419
Nevada,2020-05-20 00:00:00,991,484
Nevada,2020-05-21 00:00:00,958,398
Nevada,2020-05-22 00:00:00,939,342
Nevada,2020-05-23 00:00:00,487,202
Nevada,2020-05-24 00:00:00,494,232
Nevada,2020-05-25 00:00:00,507,218
Nevada,2020-05-26 00:00:00,831,342
Nevada,2020-05-27 00:00:00,1052,463
Nevada,2020-05-28 00:00:00,1024,384
Nevada,2020-05-29 00:00:00,914,321
Nevada,2020-05-30 00:00:00,534,196
Nevada,2020-05-31 00:00:00,607,213
