state,date,total,covid
New York,2020-02-01 00:00:00,1226,106
New York,2020-02-02 00:00:00,1092,109
New York,2020-02-03 00:00:00,1986,160
New York,2020-02-04 00:00:00,2096,167
New York,2020-02-05 00:00:00,2297,149
New York,2020-02-06 00:00:00,2444,140
New York,2020-02-07 00:00:00,2520,184
New York,2020-02-08 00:00:00,1218,71
New York,2020-02-09 00:00:00,1329,77
New York,2020-02-10 00:00:00,2920,170
New York,2020-02-11 00:00:00,2853,202
New York,2020-02-12 00:00:00,3026,170
New York,2020-02-13 00:00:00,3562,211
New York,2020-02-14 00:00:00,3136,196
New York,2020-02-15 00:00:00,1222,123
New York,2020-02-16 00:00:00,1109,67
New York,2020-02-17 00:00:00,2117,143
New York,2020-02-18 00:00:00,3229,200
New York,2020-02-19 00:00:00,3246,152
New York,2020-02-20 00:00:00,3540,153
New York,2020-02-21 00:00:00,3248,179
New York,2020-02-22 00:00:00,1249,53
New York,2020-02-23 00:00:00,1184,75
New York,2020-02-24 00:00:00,3273,227
New York,2020-02-25 00:00:00,3223,302
New York,2020-02-26 00:00:00,3793,471
New York,2020-02-27 00:00:00,3747,458
New York,2020-02-28 00:00:00,3428,517
New York,2020-02-29 00:00:00,1296,244
New York,2020-03-01 00:00:00,1403,301
New York,2020-03-02 00:00:00,3291,641
New York,2020-03-03 00:00:00,3648,743
New York,2020-03-04 00:00:00,3644,822
New York,2020-03-05 00:00:00,3816,871
New York,2020-03-06 00:00:00,3404,889
New York,2020-03-07 00:00:00,1416,400
New York,2020-03-08 00:00:00,1206,427
New York,2020-03-09 00:00:00,3186,1189
New York,2020-03-10 00:00:00,3558,1442
New York,2020-03-11 00:00:00,4083,1866
New York,2020-03-12 00:00:00,4337,2397
New York,2020-03-13 00:00:00,4134,2313
New York,2020-03-14 00:00:00,1687,1052
New York,2020-03-15 00:00:00,2068,1369
New York,2020-03-16 00:00:00,3784,2376
New York,2020-03-17 00:00:00,4177,2532
New York,2020-03-18 00:00:00,4091,2515
New York,2020-03-19 00:00:00,4217,2608
New York,2020-03-20 00:00:00,3797,2352
New York,2020-03-21 00:00:00,1565,948
New York,2020-03-22 00:00:00,1504,980
New York,2020-03-23 00:00:00,3735,2305
New York,2020-03-24 00:00:00,3792,2399
New York,2020-03-25 00:00:00,3980,2461
New York,2020-03-26 00:00:00,3901,2316
New York,2020-03-27 00:00:00,3913,2321
New York,2020-03-28 00:00:00,1532,903
New York,2020-03-29 00:00:00,1453,933
New York,2020-03-30 00:00:00,3475,2033
New York,2020-03-31 00:00:00,3757,2059
New York,2020-04-01 00:00:00,3897,2180
New York,2020-04-02 00:00:00,3980,2205
New York,2020-04-03 00:00:00,3730,2018
New York,2020-04-04 00:00:00,1496,918
New York,2020-04-05 00:00:00,1399,858
New York,2020-04-06 00:00:00,3562,1903
New York,2020-04-07 00:00:00,3605,1986
New York,2020-04-08 00:00:00,3537,1843
New York,2020-04-09 00:00:00,3270,1747
New York,2020-04-10 00:00:00,2964,1573
New York,2020-04-11 00:00:00,1668,798
New York,2020-04-12 00:00:00,1491,736
New York,2020-04-13 00:00:00,3617,1853
New York,2020-04-14 00:00:00,3273,1704
New York,2020-04-15 00:00:00,4703,2372
New York,2020-04-16 00:00:00,4409,2175
New York,2020-04-17 00:00:00,3894,1852
New York,2020-04-18 00:00:00,1677,852
New York,2020-04-19 00:00:00,1518,800
New York,2020-04-20 00:00:00,3886,1823
New York,2020-04-21 00:00:00,3886,1900
New York,2020-04-22 00:00:00,3822,1799
New York,2020-04-23 00:00:00,3986,1905
New York,2020-04-24 00:00:00,3667,1709
New York,2020-04-25 00:00:00,1535,671
New York,2020-04-26 00:00:00,1460,640
New York,2020-04-27 00:00:00,3599,1637
New York,2020-04-28 00:00:00,3743,1682
New York,2020-04-29 00:00:00,4068,1716
New York,2020-04-30 00:00:00,4232,1796
New York,2020-05-01 00:00:00,4129,1666
New York,2020-05-02 00:00:00,1421,633
New York,2020-05-03 00:00:00,1340,616
New York,2020-05-04 00:00:00,3684,1482
New York,2020-05-05 00:00:00,3880,1701
New York,2020-05-06 00:00:00,3920,1584
New York,2020-05-07 00:00:00,4373,1748
New York,2020-05-08 00:00:00,4242,1584
New York,2020-05-09 00:00:00,1476,686
New York,2020-05-10 00:00:00,1322,591
New York,2020-05-11 00:00:00,3725,1383
New York,2020-05-12 00:00:00,3733,1478
New York,2020-05-13 00:00:00,3954,1407
New York,2020-05-14 00:00:00,4073,1536
New York,2020-05-15 00:00:00,4409,1727
New York,2020-05-16 00:00:00,1601,635
New York,2020-05-17 00:00:00,1460,578
New York,2020-05-18 00:00:00,3719,1288
New York,2020-05-19 00:00:00,3808,1359
New York,2020-05-20 00:00:00,3865,1473
New York,2020-05-21 00:00:00,4269,1447
New York,2020-05-22 00:00:00,3962,1262
New York,2020-05-23 00:00:00,1434,594
New York,2020-05-24 00:00:00,1252,512
New York,2020-05-25 00:00:00,1877,748
New York,2020-05-26 00:00:00,3591,1225
New York,2020-05-27 00:00:00,3688,1241
New York,2020-05-28 00:00:00,4080,1273
New York,2020-05-29 00:00:00,3860,1083
New York,2020-05-30 00:00:00,1773,459
New York,2020-05-31 00:00:00,1756,377
New York,2020-06-01 00:00:00,4048,1028
New York,2020-06-02 00:00:00,3913,869
New York,2020-06-03 00:00:00,4181,1023
New York,2020-06-04 00:00:00,4310,1058
New York,2020-06-05 00:00:00,3896,896
New York,2020-06-06 00:00:00,1613,362
New York,2020-06-07 00:00:00,1537,408
New York,2020-06-08 00:00:00,3664,839
New York,2020-06-09 00:00:00,3838,880
New York,2020-06-10 00:00:00,4222,908
New York,2020-06-11 00:00:00,4241,1007
New York,2020-06-12 00:00:00,4157,955
New York,2020-06-13 00:00:00,1584,439
New York,2020-06-14 00:00:00,1439,370
New York,2020-06-15 00:00:00,4073,966
New York,2020-06-16 00:00:00,3746,915
New York,2020-06-17 00:00:00,3851,936
New York,2020-06-18 00:00:00,4024,845
New York,2020-06-19 00:00:00,3808,853
New York,2020-06-20 00:00:00,1532,406
New York,2020-06-21 00:00:00,1342,364
New York,2020-06-22 00:00:00,3434,845
New York,2020-06-23 00:00:00,3851,1015
New York,2020-06-24 00:00:00,3905,967
New York,2020-06-25 00:00:00,4108,1054
