state,date,total,covid
Ohio,2020-02-01 00:00:00,1153,61
Ohio,2020-02-02 00:00:00,1093,70
Ohio,2020-02-03 00:00:00,5462,115
Ohio,2020-02-04 00:00:00,1787,121
Ohio,2020-02-05 00:00:00,2032,127
Ohio,2020-02-06 00:00:00,2060,115
Ohio,2020-02-07 00:00:00,2587,127
Ohio,2020-02-08 00:00:00,1839,61
Ohio,2020-02-09 00:00:00,1354,47
Ohio,2020-02-10 00:00:00,2920,102
Ohio,2020-02-11 00:00:00,3057,192
Ohio,2020-02-12 00:00:00,2990,120
Ohio,2020-02-13 00:00:00,3409,130
Ohio,2020-02-14 00:00:00,3022,125
Ohio,2020-02-15 00:00:00,1356,94
Ohio,2020-02-16 00:00:00,1208,50
Ohio,2020-02-17 00:00:00,2180,113
Ohio,2020-02-18 00:00:00,3356,211
Ohio,2020-02-19 00:00:00,3142,99
Ohio,2020-02-20 00:00:00,3552,101
Ohio,2020-02-21 00:00:00,3226,111
Ohio,2020-02-22 00:00:00,1421,39
Ohio,2020-02-23 00:00:00,1382,73
Ohio,2020-02-24 00:00:00,3321,158
Ohio,2020-02-25 00:00:00,2863,202
Ohio,2020-02-26 00:00:00,3419,359
Ohio,2020-02-27 00:00:00,3548,388
Ohio,2020-02-28 00:00:00,3506,496
Ohio,2020-02-29 00:00:00,1410,257
Ohio,2020-03-01 00:00:00,1465,303
Ohio,2020-03-02 00:00:00,5479,492
Ohio,2020-03-03 00:00:00,3580,656
Ohio,2020-03-04 00:00:00,3383,591
Ohio,2020-03-05 00:00:00,3689,702
Ohio,2020-03-06 00:00:00,3415,797
Ohio,2020-03-07 00:00:00,1390,402
Ohio,2020-03-08 00:00:00,1233,403
Ohio,2020-03-09 00:00:00,5007,1078
Ohio,2020-03-10 00:00:00,3332,1358
Ohio,2020-03-11 00:00:00,3938,1857
Ohio,2020-03-12 00:00:00,4091,2347
Ohio,2020-03-13 00:00:00,3732,2224
Ohio,2020-03-14 00:00:00,1465,922
Ohio,2020-03-15 00:00:00,1670,1128
Ohio,2020-03-16 00:00:00,3608,2226
Ohio,2020-03-17 00:00:00,3771,2299
Ohio,2020-03-18 00:00:00,3801,2396
Ohio,2020-03-19 00:00:00,3738,2288
Ohio,2020-03-20 00:00:00,3617,2267
Ohio,2020-03-21 00:00:00,1364,934
Ohio,2020-03-22 00:00:00,1391,956
Ohio,2020-03-23 00:00:00,3413,2137
Ohio,2020-03-24 00:00:00,3251,2055
Ohio,2020-03-25 00:00:00,3333,2134
Ohio,2020-03-26 00:00:00,3497,2037
Ohio,2020-03-27 00:00:00,3711,2205
Ohio,2020-03-28 00:00:00,1199,821
Ohio,2020-03-29 00:00:00,1266,789
Ohio,2020-03-30 00:00:00,3192,1973
Ohio,2020-03-31 00:00:00,3261,1852
Ohio,2020-04-01 00:00:00,3534,1990
Ohio,2020-04-02 00:00:00,3585,2196
Ohio,2020-04-03 00:00:00,3383,1832
Ohio,2020-04-04 00:00:00,1316,848
Ohio,2020-04-05 00:00:00,1270,837
Ohio,2020-04-06 00:00:00,3249,1874
Ohio,2020-04-07 00:00:00,2956,1709
Ohio,2020-04-08 00:00:00,2842,1591
Ohio,2020-04-09 00:00:00,3120,1787
Ohio,2020-04-10 00:00:00,2645,1615
Ohio,2020-04-11 00:00:00,1409,765
Ohio,2020-04-12 00:00:00,1346,814
Ohio,2020-04-13 00:00:00,3269,1757
Ohio,2020-04-14 00:00:00,3034,1659
Ohio,2020-04-15 00:00:00,3762,1858
Ohio,2020-04-16 00:00:00,3410,1872
Ohio,2020-04-17 00:00:00,3130,1602
Ohio,2020-04-18 00:00:00,5558,793
Ohio,2020-04-19 00:00:00,1297,780
Ohio,2020-04-20 00:00:00,3335,1715
Ohio,2020-04-21 00:00:00,3235,1856
Ohio,2020-04-22 00:00:00,3000,1543
Ohio,2020-04-23 00:00:00,3360,1854
Ohio,2020-04-24 00:00:00,3064,1547
Ohio,2020-04-25 00:00:00,1389,644
Ohio,2020-04-26 00:00:00,1293,692
Ohio,2020-04-27 00:00:00,3096,1535
Ohio,2020-04-28 00:00:00,3436,1756
Ohio,2020-04-29 00:00:00,3421,1667
Ohio,2020-04-30 00:00:00,3645,1638
Ohio,2020-05-01 00:00:00,6287,1579
Ohio,2020-05-02 00:00:00,1190,622
Ohio,2020-05-03 00:00:00,1290,691
Ohio,2020-05-04 00:00:00,3456,1512
Ohio,2020-05-05 00:00:00,3276,1589
Ohio,2020-05-06 00:00:00,3270,1549
Ohio,2020-05-07 00:00:00,3492,1433
Ohio,2020-05-08 00:00:00,5209,1434
Ohio,2020-05-09 00:00:00,1273,693
Ohio,2020-05-10 00:00:00,1318,745
Ohio,2020-05-11 00:00:00,3162,1398
Ohio,2020-05-12 00:00:00,3180,1476
Ohio,2020-05-13 00:00:00,3282,1480
Ohio,2020-05-14 00:00:00,3460,1544
Ohio,2020-05-15 00:00:00,3808,1698
Ohio,2020-05-16 00:00:00,1230,597
Ohio,2020-05-17 00:00:00,1208,569
Ohio,2020-05-18 00:00:00,3232,1254
Ohio,2020-05-19 00:00:00,7966,1433
Ohio,2020-05-20 00:00:00,3302,1418
Ohio,2020-05-21 00:00:00,3868,1490
Ohio,2020-05-22 00:00:00,3653,1250
Ohio,2020-05-23 00:00:00,1263,724
Ohio,2020-05-24 00:00:00,1288,609
Ohio,2020-05-25 00:00:00,1452,752
Ohio,2020-05-26 00:00:00,3169,1204
Ohio,2020-05-27 00:00:00,2884,1182
Ohio,2020-05-28 00:00:00,3611,1373
Ohio,2020-05-29 00:00:00,3443,1018
Ohio,2020-05-30 00:00:00,1488,534
Ohio,2020-05-31 00:00:00,1640,494
Ohio,2020-06-01 00:00:00,3485,1104
Ohio,2020-06-02 00:00:00,3362,907
Ohio,2020-06-03 00:00:00,3586,1048
Ohio,2020-06-04 00:00:00,3934,1101
Ohio,2020-06-05 00:00:00,3856,1078
Ohio,2020-06-06 00:00:00,1372,496
Ohio,2020-06-07 00:00:00,1469,535
Ohio,2020-06-08 00:00:00,3389,1034
Ohio,2020-06-09 00:00:00,5212,1009
Ohio,2020-06-10 00:00:00,3722,897
Ohio,2020-06-11 00:00:00,3445,978
Ohio,2020-06-12 00:00:00,3427,990
Ohio,2020-06-13 00:00:00,1399,490
Ohio,2020-06-14 00:00:00,1197,465
Ohio,2020-06-15 00:00:00,3303,867
Ohio,2020-06-16 00:00:00,3273,868
Ohio,2020-06-17 00:00:00,3245,787
Ohio,2020-06-18 00:00:00,9494,939
Ohio,2020-06-19 00:00:00,3269,835
Ohio,2020-06-20 00:00:00,1262,454
Ohio,2020-06-21 00:00:00,1326,487
Ohio,2020-06-22 00:00:00,2987,933
Ohio,2020-06-23 00:00:00,3341,1041
Ohio,2020-06-24 00:00:00,3093,853
Ohio,2020-06-25 00:00:00,3532,1105
Ohio,2020-06-26 00:00:00,3202,889
Ohio,2020-06-27 00:00:00,1366,466
Ohio,2020-06-28 00:00:00,1324,532
Ohio,2020-06-29 00:00:00,3183,961
Ohio,2020-06-30 00:00:00,3054,918
Ohio,2020-07-01 00:00:00,2884,866
Ohio,2020-07-02 00:00:00,2912,896
Ohio,2020-07-03 00:00:00,1969,579
Ohio,2020-07-04 00:00:00,1206,467
Ohio,2020-07-05 00:00:00,1320,482
Ohio,2020-07-06 00:00:00,3037,1018
Ohio,2020-07-07 00:00:00,3354,1116
Ohio,2020-07-08 00:00:00,3371,981
Ohio,2020-07-09 00:00:00,3828,1003
Ohio,2020-07-10 00:00:00,3934,1115
Ohio,2020-07-11 00:00:00,1721,759
Ohio,2020-07-12 00:00:00,1694,768
Ohio,2020-07-13 00:00:00,3409,909
Ohio,2020-07-14 00:00:00,3462,1153
Ohio,2020-07-15 00:00:00,3634,1066
Ohio,2020-07-16 00:00:00,3171,1086
Ohio,2020-07-17 00:00:00,12739,808
Ohio,2020-07-18 00:00:00,8827,505
Ohio,2020-07-19 00:00:00,1382,532
Ohio,2020-07-20 00:00:00,2933,865
Ohio,2020-07-21 00:00:00,3434,925
Ohio,2020-07-22 00:00:00,3320,835
Ohio,2020-07-23 00:00:00,3699,1074
Ohio,2020-07-24 00:00:00,1297,306
Ohio,2020-07-25 00:00:00,285,88
Ohio,2020-07-26 00:00:00,350,102
Ohio,2020-07-27 00:00:00,1059,345
Ohio,2020-07-28 00:00:00,1424,481
Ohio,2020-07-29 00:00:00,2639,711
Ohio,2020-07-30 00:00:00,3477,889
Ohio,2020-07-31 00:00:00,3440,961
Ohio,2020-08-01 00:00:00,1477,431
Ohio,2020-08-02 00:00:00,1334,481
Ohio,2020-08-03 00:00:00,3537,867
Ohio,2020-08-04 00:00:00,1401,416
Ohio,2020-08-05 00:00:00,945,250
Ohio,2020-08-06 00:00:00,1106,377
Ohio,2020-08-07 00:00:00,1911,490
Ohio,2020-08-08 00:00:00,1617,518
Ohio,2020-08-09 00:00:00,4839,471
Ohio,2020-08-10 00:00:00,3032,690
Ohio,2020-08-11 00:00:00,3825,1033
Ohio,2020-08-12 00:00:00,3652,757
Ohio,2020-08-13 00:00:00,4001,872
Ohio,2020-08-14 00:00:00,3575,729
Ohio,2020-08-15 00:00:00,1551,504
Ohio,2020-08-16 00:00:00,1652,447
Ohio,2020-08-17 00:00:00,3596,1009
Ohio,2020-08-18 00:00:00,3669,896
Ohio,2020-08-19 00:00:00,3848,841
Ohio,2020-08-20 00:00:00,4156,863
Ohio,2020-08-21 00:00:00,10157,759
Ohio,2020-08-22 00:00:00,1570,414
Ohio,2020-08-23 00:00:00,1571,497
Ohio,2020-08-24 00:00:00,3503,943
Ohio,2020-08-25 00:00:00,2892,686
Ohio,2020-08-26 00:00:00,2419,427
Ohio,2020-08-27 00:00:00,2906,539
Ohio,2020-08-28 00:00:00,2755,488
Ohio,2020-08-29 00:00:00,1131,214
Ohio,2020-08-30 00:00:00,1052,249
Ohio,2020-08-31 00:00:00,2553,412
Ohio,2020-09-01 00:00:00,3180,558
Ohio,2020-09-02 00:00:00,2497,498
Ohio,2020-09-03 00:00:00,2444,466
Ohio,2020-09-04 00:00:00,2762,380
Ohio,2020-09-05 00:00:00,1125,231
Ohio,2020-09-06 00:00:00,1013,215
Ohio,2020-09-07 00:00:00,1182,267
Ohio,2020-09-08 00:00:00,3034,516
Ohio,2020-09-09 00:00:00,7627,468
Ohio,2020-09-10 00:00:00,3616,573
Ohio,2020-09-11 00:00:00,3568,528
Ohio,2020-09-12 00:00:00,1256,285
Ohio,2020-09-13 00:00:00,1339,249
Ohio,2020-09-14 00:00:00,2764,474
Ohio,2020-09-15 00:00:00,3548,588
Ohio,2020-09-16 00:00:00,3131,571
Ohio,2020-09-17 00:00:00,2804,471
Ohio,2020-09-18 00:00:00,3777,498
Ohio,2020-09-19 00:00:00,1323,237
Ohio,2020-09-20 00:00:00,1131,181
Ohio,2020-09-21 00:00:00,3124,475
Ohio,2020-09-22 00:00:00,2836,410
Ohio,2020-09-23 00:00:00,2650,326
Ohio,2020-09-24 00:00:00,2435,350
Ohio,2020-09-25 00:00:00,2946,287
Ohio,2020-09-26 00:00:00,1091,159
Ohio,2020-09-27 00:00:00,984,154
Ohio,2020-09-28 00:00:00,2571,322
Ohio,2020-09-29 00:00:00,2732,400
Ohio,2020-09-30 00:00:00,2853,311
Ohio,2020-10-01 00:00:00,4522,361
Ohio,2020-10-02 00:00:00,2828,627
Ohio,2020-10-03 00:00:00,1076,261
Ohio,2020-10-04 00:00:00,997,237
Ohio,2020-10-05 00:00:00,2256,382
Ohio,2020-10-06 00:00:00,9766,428
Ohio,2020-10-07 00:00:00,2583,407
Ohio,2020-10-08 00:00:00,2392,438
Ohio,2020-10-09 00:00:00,2145,364
Ohio,2020-10-10 00:00:00,843,147
Ohio,2020-10-11 00:00:00,4816,139
Ohio,2020-10-12 00:00:00,1782,358
Ohio,2020-10-13 00:00:00,1998,397
Ohio,2020-10-14 00:00:00,2630,353
Ohio,2020-10-15 00:00:00,2721,443
Ohio,2020-10-16 00:00:00,2360,346
Ohio,2020-10-17 00:00:00,799,133
Ohio,2020-10-18 00:00:00,897,132
Ohio,2020-10-19 00:00:00,2479,320
Ohio,2020-10-20 00:00:00,6723,395
Ohio,2020-10-21 00:00:00,2501,392
Ohio,2020-10-22 00:00:00,2380,415
Ohio,2020-10-23 00:00:00,2573,321
Ohio,2020-10-24 00:00:00,1013,194
Ohio,2020-10-25 00:00:00,962,170
Ohio,2020-10-26 00:00:00,2038,312
Ohio,2020-10-27 00:00:00,2645,332
Ohio,2020-10-28 00:00:00,2667,379
Ohio,2020-10-29 00:00:00,3102,387
Ohio,2020-10-30 00:00:00,2752,305
Ohio,2020-10-31 00:00:00,1009,162
Ohio,2020-11-01 00:00:00,2967,151
Ohio,2020-11-02 00:00:00,2714,357
Ohio,2020-11-03 00:00:00,2829,373
Ohio,2020-11-04 00:00:00,2569,293
Ohio,2020-11-05 00:00:00,2157,302
Ohio,2020-11-06 00:00:00,2043,263
Ohio,2020-11-07 00:00:00,1144,173
Ohio,2020-11-08 00:00:00,1092,184
Ohio,2020-11-09 00:00:00,2577,417
Ohio,2020-11-10 00:00:00,2612,333
Ohio,2020-11-11 00:00:00,3740,375
Ohio,2020-11-12 00:00:00,2377,431
Ohio,2020-11-13 00:00:00,2481,414
Ohio,2020-11-14 00:00:00,1001,175
Ohio,2020-11-15 00:00:00,1080,205
Ohio,2020-11-16 00:00:00,1852,457
Ohio,2020-11-17 00:00:00,1879,403
Ohio,2020-11-18 00:00:00,2534,417
Ohio,2020-11-19 00:00:00,3124,416
Ohio,2020-11-20 00:00:00,2815,373
Ohio,2020-11-21 00:00:00,976,174
Ohio,2020-11-22 00:00:00,1062,214
Ohio,2020-11-23 00:00:00,2191,430
