state,date,total,covid
Oklahoma,2020-03-01 00:00:00,418,75
Oklahoma,2020-03-02 00:00:00,1052,174
Oklahoma,2020-03-03 00:00:00,981,132
Oklahoma,2020-03-04 00:00:00,1122,209
Oklahoma,2020-03-05 00:00:00,1185,196
Oklahoma,2020-03-06 00:00:00,857,182
Oklahoma,2020-03-07 00:00:00,425,72
Oklahoma,2020-03-08 00:00:00,478,108
Oklahoma,2020-03-09 00:00:00,928,268
Oklahoma,2020-03-10 00:00:00,967,309
Oklahoma,2020-03-11 00:00:00,1191,464
Oklahoma,2020-03-12 00:00:00,1214,657
Oklahoma,2020-03-13 00:00:00,1069,607
Oklahoma,2020-03-14 00:00:00,490,269
Oklahoma,2020-03-15 00:00:00,498,277
Oklahoma,2020-03-16 00:00:00,1003,674
Oklahoma,2020-03-17 00:00:00,1147,652
Oklahoma,2020-03-18 00:00:00,1131,704
Oklahoma,2020-03-19 00:00:00,1301,791
Oklahoma,2020-03-20 00:00:00,1134,663
Oklahoma,2020-03-21 00:00:00,518,296
Oklahoma,2020-03-22 00:00:00,427,287
Oklahoma,2020-03-23 00:00:00,1000,662
Oklahoma,2020-03-24 00:00:00,1148,708
Oklahoma,2020-03-25 00:00:00,1245,732
Oklahoma,2020-03-26 00:00:00,1265,757
Oklahoma,2020-03-27 00:00:00,1026,655
Oklahoma,2020-03-28 00:00:00,543,289
Oklahoma,2020-03-29 00:00:00,431,248
Oklahoma,2020-03-30 00:00:00,1128,691
Oklahoma,2020-03-31 00:00:00,1135,674
Oklahoma,2020-04-01 00:00:00,1055,585
Oklahoma,2020-04-02 00:00:00,1247,692
Oklahoma,2020-04-03 00:00:00,1053,552
Oklahoma,2020-04-04 00:00:00,449,244
Oklahoma,2020-04-05 00:00:00,380,231
Oklahoma,2020-04-06 00:00:00,1062,611
Oklahoma,2020-04-07 00:00:00,1024,612
Oklahoma,2020-04-08 00:00:00,933,473
Oklahoma,2020-04-09 00:00:00,1198,669
Oklahoma,2020-04-10 00:00:00,1045,565
Oklahoma,2020-04-11 00:00:00,763,252
Oklahoma,2020-04-12 00:00:00,445,177
Oklahoma,2020-04-13 00:00:00,1017,507
Oklahoma,2020-04-14 00:00:00,965,494
Oklahoma,2020-04-15 00:00:00,1051,512
Oklahoma,2020-04-16 00:00:00,1303,628
Oklahoma,2020-04-17 00:00:00,827,445
Oklahoma,2020-04-18 00:00:00,519,238
Oklahoma,2020-04-19 00:00:00,375,180
Oklahoma,2020-04-20 00:00:00,1061,552
Oklahoma,2020-04-21 00:00:00,1072,488
Oklahoma,2020-04-22 00:00:00,1147,557
Oklahoma,2020-04-23 00:00:00,1180,526
Oklahoma,2020-04-24 00:00:00,927,398
Oklahoma,2020-04-25 00:00:00,560,223
Oklahoma,2020-04-26 00:00:00,397,144
Oklahoma,2020-04-27 00:00:00,1062,524
Oklahoma,2020-04-28 00:00:00,1033,473
Oklahoma,2020-04-29 00:00:00,811,384
Oklahoma,2020-04-30 00:00:00,1037,430
Oklahoma,2020-05-01 00:00:00,947,336
Oklahoma,2020-05-02 00:00:00,466,176
Oklahoma,2020-05-03 00:00:00,401,167
Oklahoma,2020-05-04 00:00:00,826,379
Oklahoma,2020-05-05 00:00:00,1067,476
Oklahoma,2020-05-06 00:00:00,890,366
Oklahoma,2020-05-07 00:00:00,1054,391
Oklahoma,2020-05-08 00:00:00,866,325
Oklahoma,2020-05-09 00:00:00,441,145
Oklahoma,2020-05-10 00:00:00,342,139
Oklahoma,2020-05-11 00:00:00,808,318
Oklahoma,2020-05-12 00:00:00,918,382
Oklahoma,2020-05-13 00:00:00,832,342
Oklahoma,2020-05-14 00:00:00,1018,425
Oklahoma,2020-05-15 00:00:00,1077,459
Oklahoma,2020-05-16 00:00:00,434,181
Oklahoma,2020-05-17 00:00:00,404,172
Oklahoma,2020-05-18 00:00:00,856,366
Oklahoma,2020-05-19 00:00:00,983,370
Oklahoma,2020-05-20 00:00:00,942,378
Oklahoma,2020-05-21 00:00:00,1036,403
Oklahoma,2020-05-22 00:00:00,832,300
Oklahoma,2020-05-23 00:00:00,515,177
Oklahoma,2020-05-24 00:00:00,388,147
Oklahoma,2020-05-25 00:00:00,527,216
Oklahoma,2020-05-26 00:00:00,1016,326
Oklahoma,2020-05-27 00:00:00,914,326
Oklahoma,2020-05-28 00:00:00,996,357
Oklahoma,2020-05-29 00:00:00,942,284
Oklahoma,2020-05-30 00:00:00,439,128
Oklahoma,2020-05-31 00:00:00,368,75
Oklahoma,2020-06-01 00:00:00,842,247
