state,date,total,covid
Oregon,2020-02-01 00:00:00,111,5
Oregon,2020-02-02 00:00:00,125,2
Oregon,2020-02-03 00:00:00,226,14
Oregon,2020-02-04 00:00:00,248,9
Oregon,2020-02-05 00:00:00,291,13
Oregon,2020-02-06 00:00:00,261,13
Oregon,2020-02-07 00:00:00,326,12
Oregon,2020-02-08 00:00:00,105,3
Oregon,2020-02-09 00:00:00,138,7
Oregon,2020-02-10 00:00:00,359,13
Oregon,2020-02-11 00:00:00,404,12
Oregon,2020-02-12 00:00:00,438,17
Oregon,2020-02-13 00:00:00,520,11
Oregon,2020-02-14 00:00:00,489,21
Oregon,2020-02-15 00:00:00,142,5
Oregon,2020-02-16 00:00:00,104,4
Oregon,2020-02-17 00:00:00,249,13
Oregon,2020-02-18 00:00:00,486,21
Oregon,2020-02-19 00:00:00,484,15
Oregon,2020-02-20 00:00:00,518,17
Oregon,2020-02-21 00:00:00,529,17
Oregon,2020-02-22 00:00:00,116,7
Oregon,2020-02-23 00:00:00,195,12
Oregon,2020-02-24 00:00:00,472,20
Oregon,2020-02-25 00:00:00,493,37
Oregon,2020-02-26 00:00:00,524,32
Oregon,2020-02-27 00:00:00,555,55
Oregon,2020-02-28 00:00:00,566,89
Oregon,2020-02-29 00:00:00,140,46
Oregon,2020-03-01 00:00:00,155,37
Oregon,2020-03-02 00:00:00,483,122
Oregon,2020-03-03 00:00:00,566,119
Oregon,2020-03-04 00:00:00,552,108
Oregon,2020-03-05 00:00:00,601,123
Oregon,2020-03-06 00:00:00,520,102
Oregon,2020-03-07 00:00:00,150,36
Oregon,2020-03-08 00:00:00,143,52
Oregon,2020-03-09 00:00:00,469,156
Oregon,2020-03-10 00:00:00,465,160
Oregon,2020-03-11 00:00:00,707,320
Oregon,2020-03-12 00:00:00,664,329
Oregon,2020-03-13 00:00:00,598,295
Oregon,2020-03-14 00:00:00,182,104
Oregon,2020-03-15 00:00:00,198,117
Oregon,2020-03-16 00:00:00,506,278
Oregon,2020-03-17 00:00:00,587,325
Oregon,2020-03-18 00:00:00,599,320
Oregon,2020-03-19 00:00:00,599,308
Oregon,2020-03-20 00:00:00,611,325
Oregon,2020-03-21 00:00:00,163,95
Oregon,2020-03-22 00:00:00,143,92
Oregon,2020-03-23 00:00:00,529,285
Oregon,2020-03-24 00:00:00,549,296
Oregon,2020-03-25 00:00:00,574,298
Oregon,2020-03-26 00:00:00,647,331
Oregon,2020-03-27 00:00:00,565,267
Oregon,2020-03-28 00:00:00,188,111
Oregon,2020-03-29 00:00:00,188,109
Oregon,2020-03-30 00:00:00,519,239
Oregon,2020-03-31 00:00:00,554,266
Oregon,2020-04-01 00:00:00,545,251
Oregon,2020-04-02 00:00:00,605,287
Oregon,2020-04-03 00:00:00,568,240
Oregon,2020-04-04 00:00:00,165,90
Oregon,2020-04-05 00:00:00,137,83
Oregon,2020-04-06 00:00:00,432,177
Oregon,2020-04-07 00:00:00,560,261
Oregon,2020-04-08 00:00:00,433,198
