state,date,total,covid
Pennsylvania,2020-02-01 00:00:00,614,31
Pennsylvania,2020-02-02 00:00:00,648,37
Pennsylvania,2020-02-03 00:00:00,947,65
Pennsylvania,2020-02-04 00:00:00,1118,75
Pennsylvania,2020-02-05 00:00:00,1080,53
Pennsylvania,2020-02-06 00:00:00,1209,65
Pennsylvania,2020-02-07 00:00:00,1151,52
Pennsylvania,2020-02-08 00:00:00,608,24
Pennsylvania,2020-02-09 00:00:00,754,25
Pennsylvania,2020-02-10 00:00:00,1234,51
Pennsylvania,2020-02-11 00:00:00,1392,73
Pennsylvania,2020-02-12 00:00:00,1292,59
Pennsylvania,2020-02-13 00:00:00,1701,51
Pennsylvania,2020-02-14 00:00:00,1494,59
Pennsylvania,2020-02-15 00:00:00,650,34
Pennsylvania,2020-02-16 00:00:00,616,19
Pennsylvania,2020-02-17 00:00:00,991,48
Pennsylvania,2020-02-18 00:00:00,1637,59
Pennsylvania,2020-02-19 00:00:00,1525,36
Pennsylvania,2020-02-20 00:00:00,1804,38
Pennsylvania,2020-02-21 00:00:00,1654,40
Pennsylvania,2020-02-22 00:00:00,646,18
Pennsylvania,2020-02-23 00:00:00,711,25
Pennsylvania,2020-02-24 00:00:00,1457,62
Pennsylvania,2020-02-25 00:00:00,1521,96
Pennsylvania,2020-02-26 00:00:00,1871,194
Pennsylvania,2020-02-27 00:00:00,1823,212
Pennsylvania,2020-02-28 00:00:00,1719,237
Pennsylvania,2020-02-29 00:00:00,705,92
Pennsylvania,2020-03-01 00:00:00,726,105
Pennsylvania,2020-03-02 00:00:00,1644,264
Pennsylvania,2020-03-03 00:00:00,1648,262
Pennsylvania,2020-03-04 00:00:00,1674,279
Pennsylvania,2020-03-05 00:00:00,1863,322
Pennsylvania,2020-03-06 00:00:00,1731,426
Pennsylvania,2020-03-07 00:00:00,642,162
Pennsylvania,2020-03-08 00:00:00,603,157
Pennsylvania,2020-03-09 00:00:00,1373,441
Pennsylvania,2020-03-10 00:00:00,1440,542
Pennsylvania,2020-03-11 00:00:00,1896,896
Pennsylvania,2020-03-12 00:00:00,1907,1053
Pennsylvania,2020-03-13 00:00:00,1945,1015
Pennsylvania,2020-03-14 00:00:00,624,408
Pennsylvania,2020-03-15 00:00:00,861,531
Pennsylvania,2020-03-16 00:00:00,1710,1010
Pennsylvania,2020-03-17 00:00:00,1936,1141
Pennsylvania,2020-03-18 00:00:00,1900,1132
Pennsylvania,2020-03-19 00:00:00,1858,1075
Pennsylvania,2020-03-20 00:00:00,1724,967
Pennsylvania,2020-03-21 00:00:00,646,405
Pennsylvania,2020-03-22 00:00:00,693,422
Pennsylvania,2020-03-23 00:00:00,1697,1000
Pennsylvania,2020-03-24 00:00:00,1676,953
Pennsylvania,2020-03-25 00:00:00,1766,1051
Pennsylvania,2020-03-26 00:00:00,1796,982
Pennsylvania,2020-03-27 00:00:00,1856,974
Pennsylvania,2020-03-28 00:00:00,603,355
Pennsylvania,2020-03-29 00:00:00,593,348
Pennsylvania,2020-03-30 00:00:00,1553,815
Pennsylvania,2020-03-31 00:00:00,1517,794
Pennsylvania,2020-04-01 00:00:00,1698,915
Pennsylvania,2020-04-02 00:00:00,1771,928
Pennsylvania,2020-04-03 00:00:00,1736,822
Pennsylvania,2020-04-04 00:00:00,590,326
Pennsylvania,2020-04-05 00:00:00,661,319
Pennsylvania,2020-04-06 00:00:00,1576,759
Pennsylvania,2020-04-07 00:00:00,1514,818
Pennsylvania,2020-04-08 00:00:00,1366,668
Pennsylvania,2020-04-09 00:00:00,1405,706
Pennsylvania,2020-04-10 00:00:00,1356,674
Pennsylvania,2020-04-11 00:00:00,624,295
Pennsylvania,2020-04-12 00:00:00,649,312
Pennsylvania,2020-04-13 00:00:00,1561,728
Pennsylvania,2020-04-14 00:00:00,1434,660
Pennsylvania,2020-04-15 00:00:00,1995,909
Pennsylvania,2020-04-16 00:00:00,1861,830
Pennsylvania,2020-04-17 00:00:00,1626,705
Pennsylvania,2020-04-18 00:00:00,577,288
Pennsylvania,2020-04-19 00:00:00,609,305
Pennsylvania,2020-04-20 00:00:00,1643,704
Pennsylvania,2020-04-21 00:00:00,1588,684
