state,date,total,covid
Puerto Rico,2020-02-01 00:00:00,129,16
Puerto Rico,2020-02-02 00:00:00,133,13
Puerto Rico,2020-02-03 00:00:00,178,22
Puerto Rico,2020-02-04 00:00:00,177,9
Puerto Rico,2020-02-05 00:00:00,198,18
Puerto Rico,2020-02-06 00:00:00,218,27
Puerto Rico,2020-02-07 00:00:00,144,14
Puerto Rico,2020-02-08 00:00:00,97,10
Puerto Rico,2020-02-09 00:00:00,137,6
Puerto Rico,2020-02-10 00:00:00,196,19
Puerto Rico,2020-02-11 00:00:00,237,33
Puerto Rico,2020-02-12 00:00:00,224,21
Puerto Rico,2020-02-13 00:00:00,244,20
Puerto Rico,2020-02-14 00:00:00,198,20
Puerto Rico,2020-02-15 00:00:00,130,14
Puerto Rico,2020-02-16 00:00:00,111,14
Puerto Rico,2020-02-17 00:00:00,209,14
Puerto Rico,2020-02-18 00:00:00,223,13
Puerto Rico,2020-02-19 00:00:00,268,11
Puerto Rico,2020-02-20 00:00:00,269,17
Puerto Rico,2020-02-21 00:00:00,254,18
Puerto Rico,2020-02-22 00:00:00,144,16
Puerto Rico,2020-02-23 00:00:00,144,13
Puerto Rico,2020-02-24 00:00:00,270,34
Puerto Rico,2020-02-25 00:00:00,313,52
Puerto Rico,2020-02-26 00:00:00,319,56
Puerto Rico,2020-02-27 00:00:00,309,61
Puerto Rico,2020-02-28 00:00:00,267,75
Puerto Rico,2020-02-29 00:00:00,164,41
Puerto Rico,2020-03-01 00:00:00,128,37
Puerto Rico,2020-03-02 00:00:00,253,78
Puerto Rico,2020-03-03 00:00:00,307,75
Puerto Rico,2020-03-04 00:00:00,323,88
Puerto Rico,2020-03-05 00:00:00,277,62
Puerto Rico,2020-03-06 00:00:00,259,71
Puerto Rico,2020-03-07 00:00:00,142,39
Puerto Rico,2020-03-08 00:00:00,176,61
Puerto Rico,2020-03-09 00:00:00,316,156
Puerto Rico,2020-03-10 00:00:00,315,159
Puerto Rico,2020-03-11 00:00:00,391,197
Puerto Rico,2020-03-12 00:00:00,390,264
Puerto Rico,2020-03-13 00:00:00,326,230
Puerto Rico,2020-03-14 00:00:00,219,164
Puerto Rico,2020-03-15 00:00:00,228,179
Puerto Rico,2020-03-16 00:00:00,363,259
Puerto Rico,2020-03-17 00:00:00,391,280
Puerto Rico,2020-03-18 00:00:00,369,273
Puerto Rico,2020-03-19 00:00:00,384,280
Puerto Rico,2020-03-20 00:00:00,327,246
Puerto Rico,2020-03-21 00:00:00,182,131
Puerto Rico,2020-03-22 00:00:00,169,124
Puerto Rico,2020-03-23 00:00:00,317,233
Puerto Rico,2020-03-24 00:00:00,359,247
Puerto Rico,2020-03-25 00:00:00,399,276
Puerto Rico,2020-03-26 00:00:00,361,227
Puerto Rico,2020-03-27 00:00:00,331,218
Puerto Rico,2020-03-28 00:00:00,196,147
Puerto Rico,2020-03-29 00:00:00,210,151
Puerto Rico,2020-03-30 00:00:00,326,208
Puerto Rico,2020-03-31 00:00:00,349,211
Puerto Rico,2020-04-01 00:00:00,401,261
Puerto Rico,2020-04-02 00:00:00,398,230
Puerto Rico,2020-04-03 00:00:00,316,191
Puerto Rico,2020-04-04 00:00:00,205,132
Puerto Rico,2020-04-05 00:00:00,206,126
Puerto Rico,2020-04-06 00:00:00,329,212
Puerto Rico,2020-04-07 00:00:00,374,235
Puerto Rico,2020-04-08 00:00:00,365,214
Puerto Rico,2020-04-09 00:00:00,312,195
Puerto Rico,2020-04-10 00:00:00,224,130
Puerto Rico,2020-04-11 00:00:00,184,97
Puerto Rico,2020-04-12 00:00:00,197,110
Puerto Rico,2020-04-13 00:00:00,367,177
Puerto Rico,2020-04-14 00:00:00,323,193
Puerto Rico,2020-04-15 00:00:00,420,237
Puerto Rico,2020-04-16 00:00:00,370,210
Puerto Rico,2020-04-17 00:00:00,368,199
Puerto Rico,2020-04-18 00:00:00,183,100
Puerto Rico,2020-04-19 00:00:00,181,102
Puerto Rico,2020-04-20 00:00:00,337,189
Puerto Rico,2020-04-21 00:00:00,420,204
Puerto Rico,2020-04-22 00:00:00,404,173
Puerto Rico,2020-04-23 00:00:00,393,200
Puerto Rico,2020-04-24 00:00:00,358,187
Puerto Rico,2020-04-25 00:00:00,218,99
Puerto Rico,2020-04-26 00:00:00,216,113
Puerto Rico,2020-04-27 00:00:00,327,146
