state,date,total,covid
Rhode Island,2020-03-01 00:00:00,356,104
Rhode Island,2020-03-02 00:00:00,633,172
Rhode Island,2020-03-03 00:00:00,621,166
Rhode Island,2020-03-04 00:00:00,654,142
Rhode Island,2020-03-05 00:00:00,693,170
Rhode Island,2020-03-06 00:00:00,617,198
Rhode Island,2020-03-07 00:00:00,333,144
Rhode Island,2020-03-08 00:00:00,274,116
Rhode Island,2020-03-09 00:00:00,470,241
Rhode Island,2020-03-10 00:00:00,594,275
Rhode Island,2020-03-11 00:00:00,691,369
Rhode Island,2020-03-12 00:00:00,666,411
Rhode Island,2020-03-13 00:00:00,604,420
Rhode Island,2020-03-14 00:00:00,252,193
Rhode Island,2020-03-15 00:00:00,285,218
Rhode Island,2020-03-16 00:00:00,583,381
Rhode Island,2020-03-17 00:00:00,623,416
Rhode Island,2020-03-18 00:00:00,560,434
Rhode Island,2020-03-19 00:00:00,642,480
Rhode Island,2020-03-20 00:00:00,672,505
Rhode Island,2020-03-21 00:00:00,280,219
Rhode Island,2020-03-22 00:00:00,281,200
Rhode Island,2020-03-23 00:00:00,533,414
Rhode Island,2020-03-24 00:00:00,556,438
Rhode Island,2020-03-25 00:00:00,557,431
Rhode Island,2020-03-26 00:00:00,566,419
Rhode Island,2020-03-27 00:00:00,599,433
Rhode Island,2020-03-28 00:00:00,267,213
Rhode Island,2020-03-29 00:00:00,229,162
Rhode Island,2020-03-30 00:00:00,560,392
Rhode Island,2020-03-31 00:00:00,526,374
Rhode Island,2020-04-01 00:00:00,604,424
Rhode Island,2020-04-02 00:00:00,606,451
Rhode Island,2020-04-03 00:00:00,575,380
Rhode Island,2020-04-04 00:00:00,277,192
Rhode Island,2020-04-05 00:00:00,283,198
Rhode Island,2020-04-06 00:00:00,615,401
Rhode Island,2020-04-07 00:00:00,613,413
Rhode Island,2020-04-08 00:00:00,529,357
Rhode Island,2020-04-09 00:00:00,630,430
Rhode Island,2020-04-10 00:00:00,573,401
Rhode Island,2020-04-11 00:00:00,328,215
Rhode Island,2020-04-12 00:00:00,237,169
Rhode Island,2020-04-13 00:00:00,414,285
Rhode Island,2020-04-14 00:00:00,549,345
Rhode Island,2020-04-15 00:00:00,504,315
Rhode Island,2020-04-16 00:00:00,621,390
Rhode Island,2020-04-17 00:00:00,430,281
Rhode Island,2020-04-18 00:00:00,294,200
Rhode Island,2020-04-19 00:00:00,257,179
Rhode Island,2020-04-20 00:00:00,477,300
Rhode Island,2020-04-21 00:00:00,541,368
Rhode Island,2020-04-22 00:00:00,471,308
Rhode Island,2020-04-23 00:00:00,544,376
Rhode Island,2020-04-24 00:00:00,532,337
Rhode Island,2020-04-25 00:00:00,297,171
Rhode Island,2020-04-26 00:00:00,214,127
Rhode Island,2020-04-27 00:00:00,468,279
Rhode Island,2020-04-28 00:00:00,535,364
Rhode Island,2020-04-29 00:00:00,504,347
Rhode Island,2020-04-30 00:00:00,605,359
Rhode Island,2020-05-01 00:00:00,567,296
Rhode Island,2020-05-02 00:00:00,213,136
Rhode Island,2020-05-03 00:00:00,225,150
Rhode Island,2020-05-04 00:00:00,484,277
Rhode Island,2020-05-05 00:00:00,526,320
Rhode Island,2020-05-06 00:00:00,520,331
Rhode Island,2020-05-07 00:00:00,609,302
Rhode Island,2020-05-08 00:00:00,518,258
Rhode Island,2020-05-09 00:00:00,240,166
Rhode Island,2020-05-10 00:00:00,219,150
Rhode Island,2020-05-11 00:00:00,459,268
Rhode Island,2020-05-12 00:00:00,521,315
Rhode Island,2020-05-13 00:00:00,444,284
Rhode Island,2020-05-14 00:00:00,602,332
Rhode Island,2020-05-15 00:00:00,607,332
Rhode Island,2020-05-16 00:00:00,246,137
Rhode Island,2020-05-17 00:00:00,217,106
Rhode Island,2020-05-18 00:00:00,440,212
Rhode Island,2020-05-19 00:00:00,521,263
Rhode Island,2020-05-20 00:00:00,515,271
Rhode Island,2020-05-21 00:00:00,552,294
Rhode Island,2020-05-22 00:00:00,527,265
Rhode Island,2020-05-23 00:00:00,324,203
Rhode Island,2020-05-24 00:00:00,202,125
Rhode Island,2020-05-25 00:00:00,315,174
Rhode Island,2020-05-26 00:00:00,482,251
Rhode Island,2020-05-27 00:00:00,507,271
Rhode Island,2020-05-28 00:00:00,562,277
Rhode Island,2020-05-29 00:00:00,548,215
Rhode Island,2020-05-30 00:00:00,223,119
Rhode Island,2020-05-31 00:00:00,235,106
Rhode Island,2020-06-01 00:00:00,493,214
