state,date,total,covid
South Carolina,2020-03-01 00:00:00,1123,234
South Carolina,2020-03-02 00:00:00,2171,429
South Carolina,2020-03-03 00:00:00,2027,412
South Carolina,2020-03-04 00:00:00,2213,419
South Carolina,2020-03-05 00:00:00,2346,526
South Carolina,2020-03-06 00:00:00,1862,522
South Carolina,2020-03-07 00:00:00,946,321
South Carolina,2020-03-08 00:00:00,823,270
South Carolina,2020-03-09 00:00:00,1059,484
South Carolina,2020-03-10 00:00:00,1147,470
South Carolina,2020-03-11 00:00:00,1572,682
South Carolina,2020-03-12 00:00:00,1423,881
South Carolina,2020-03-13 00:00:00,1194,741
South Carolina,2020-03-14 00:00:00,579,400
South Carolina,2020-03-15 00:00:00,801,494
South Carolina,2020-03-16 00:00:00,1376,932
South Carolina,2020-03-17 00:00:00,1402,918
South Carolina,2020-03-18 00:00:00,1372,927
South Carolina,2020-03-19 00:00:00,1471,936
South Carolina,2020-03-20 00:00:00,1308,942
South Carolina,2020-03-21 00:00:00,651,407
South Carolina,2020-03-22 00:00:00,569,391
South Carolina,2020-03-23 00:00:00,1220,839
South Carolina,2020-03-24 00:00:00,1251,897
South Carolina,2020-03-25 00:00:00,1472,939
South Carolina,2020-03-26 00:00:00,1279,817
South Carolina,2020-03-27 00:00:00,1338,910
South Carolina,2020-03-28 00:00:00,513,364
South Carolina,2020-03-29 00:00:00,557,382
South Carolina,2020-03-30 00:00:00,1074,724
South Carolina,2020-03-31 00:00:00,1136,677
South Carolina,2020-04-01 00:00:00,1559,927
South Carolina,2020-04-02 00:00:00,1228,788
South Carolina,2020-04-03 00:00:00,1266,755
South Carolina,2020-04-04 00:00:00,628,402
South Carolina,2020-04-05 00:00:00,600,430
South Carolina,2020-04-06 00:00:00,1139,722
South Carolina,2020-04-07 00:00:00,1166,765
South Carolina,2020-04-08 00:00:00,1339,760
South Carolina,2020-04-09 00:00:00,1252,752
South Carolina,2020-04-10 00:00:00,1100,718
South Carolina,2020-04-11 00:00:00,659,378
South Carolina,2020-04-12 00:00:00,559,338
South Carolina,2020-04-13 00:00:00,974,582
South Carolina,2020-04-14 00:00:00,1045,592
South Carolina,2020-04-15 00:00:00,1291,716
South Carolina,2020-04-16 00:00:00,1245,730
South Carolina,2020-04-17 00:00:00,978,575
South Carolina,2020-04-18 00:00:00,527,334
South Carolina,2020-04-19 00:00:00,491,316
South Carolina,2020-04-20 00:00:00,1079,609
South Carolina,2020-04-21 00:00:00,1304,729
South Carolina,2020-04-22 00:00:00,1347,676
South Carolina,2020-04-23 00:00:00,1243,713
South Carolina,2020-04-24 00:00:00,1118,613
South Carolina,2020-04-25 00:00:00,613,289
South Carolina,2020-04-26 00:00:00,455,216
South Carolina,2020-04-27 00:00:00,1194,573
South Carolina,2020-04-28 00:00:00,1210,690
South Carolina,2020-04-29 00:00:00,1300,666
South Carolina,2020-04-30 00:00:00,1228,668
South Carolina,2020-05-01 00:00:00,1119,524
South Carolina,2020-05-02 00:00:00,493,259
South Carolina,2020-05-03 00:00:00,430,236
South Carolina,2020-05-04 00:00:00,1103,547
South Carolina,2020-05-05 00:00:00,1206,623
South Carolina,2020-05-06 00:00:00,1243,578
South Carolina,2020-05-07 00:00:00,1258,538
South Carolina,2020-05-08 00:00:00,1070,515
South Carolina,2020-05-09 00:00:00,565,309
South Carolina,2020-05-10 00:00:00,523,281
South Carolina,2020-05-11 00:00:00,1060,527
South Carolina,2020-05-12 00:00:00,1066,571
South Carolina,2020-05-13 00:00:00,1257,558
South Carolina,2020-05-14 00:00:00,1120,566
South Carolina,2020-05-15 00:00:00,1225,552
South Carolina,2020-05-16 00:00:00,495,227
South Carolina,2020-05-17 00:00:00,479,210
South Carolina,2020-05-18 00:00:00,1072,432
South Carolina,2020-05-19 00:00:00,1098,487
South Carolina,2020-05-20 00:00:00,1257,554
South Carolina,2020-05-21 00:00:00,1292,558
South Carolina,2020-05-22 00:00:00,1056,436
South Carolina,2020-05-23 00:00:00,556,282
South Carolina,2020-05-24 00:00:00,497,236
South Carolina,2020-05-25 00:00:00,656,324
South Carolina,2020-05-26 00:00:00,997,400
South Carolina,2020-05-27 00:00:00,1165,480
South Carolina,2020-05-28 00:00:00,1146,471
South Carolina,2020-05-29 00:00:00,1150,342
South Carolina,2020-05-30 00:00:00,568,196
South Carolina,2020-05-31 00:00:00,624,174
South Carolina,2020-06-01 00:00:00,1014,325
