state,date,total,covid
South Dakota,2020-03-01 00:00:00,241,26
South Dakota,2020-03-02 00:00:00,515,69
South Dakota,2020-03-03 00:00:00,553,84
South Dakota,2020-03-04 00:00:00,666,70
South Dakota,2020-03-05 00:00:00,627,82
South Dakota,2020-03-06 00:00:00,587,90
South Dakota,2020-03-07 00:00:00,395,45
South Dakota,2020-03-08 00:00:00,328,64
South Dakota,2020-03-09 00:00:00,576,106
South Dakota,2020-03-10 00:00:00,518,160
South Dakota,2020-03-11 00:00:00,635,237
South Dakota,2020-03-12 00:00:00,740,341
South Dakota,2020-03-13 00:00:00,614,251
South Dakota,2020-03-14 00:00:00,192,90
South Dakota,2020-03-15 00:00:00,221,127
South Dakota,2020-03-16 00:00:00,556,306
South Dakota,2020-03-17 00:00:00,579,274
South Dakota,2020-03-18 00:00:00,585,278
South Dakota,2020-03-19 00:00:00,630,295
South Dakota,2020-03-20 00:00:00,504,271
South Dakota,2020-03-21 00:00:00,247,136
South Dakota,2020-03-22 00:00:00,187,122
South Dakota,2020-03-23 00:00:00,478,277
South Dakota,2020-03-24 00:00:00,560,339
South Dakota,2020-03-25 00:00:00,534,302
South Dakota,2020-03-26 00:00:00,559,310
South Dakota,2020-03-27 00:00:00,521,321
South Dakota,2020-03-28 00:00:00,256,125
South Dakota,2020-03-29 00:00:00,242,138
South Dakota,2020-03-30 00:00:00,422,224
South Dakota,2020-03-31 00:00:00,437,236
South Dakota,2020-04-01 00:00:00,586,275
South Dakota,2020-04-02 00:00:00,518,243
South Dakota,2020-04-03 00:00:00,405,207
South Dakota,2020-04-04 00:00:00,228,101
South Dakota,2020-04-05 00:00:00,151,75
South Dakota,2020-04-06 00:00:00,501,258
South Dakota,2020-04-07 00:00:00,445,238
South Dakota,2020-04-08 00:00:00,463,228
South Dakota,2020-04-09 00:00:00,496,207
South Dakota,2020-04-10 00:00:00,495,243
South Dakota,2020-04-11 00:00:00,272,91
South Dakota,2020-04-12 00:00:00,194,80
South Dakota,2020-04-13 00:00:00,397,214
South Dakota,2020-04-14 00:00:00,404,184
South Dakota,2020-04-15 00:00:00,490,264
South Dakota,2020-04-16 00:00:00,588,276
South Dakota,2020-04-17 00:00:00,476,229
South Dakota,2020-04-18 00:00:00,260,105
South Dakota,2020-04-19 00:00:00,177,72
South Dakota,2020-04-20 00:00:00,392,193
South Dakota,2020-04-21 00:00:00,432,199
South Dakota,2020-04-22 00:00:00,423,181
South Dakota,2020-04-23 00:00:00,493,192
South Dakota,2020-04-24 00:00:00,448,216
South Dakota,2020-04-25 00:00:00,172,80
South Dakota,2020-04-26 00:00:00,129,38
South Dakota,2020-04-27 00:00:00,372,176
South Dakota,2020-04-28 00:00:00,525,231
South Dakota,2020-04-29 00:00:00,474,214
South Dakota,2020-04-30 00:00:00,465,178
South Dakota,2020-05-01 00:00:00,454,177
South Dakota,2020-05-02 00:00:00,157,57
South Dakota,2020-05-03 00:00:00,136,56
South Dakota,2020-05-04 00:00:00,354,158
South Dakota,2020-05-05 00:00:00,475,194
South Dakota,2020-05-06 00:00:00,480,178
South Dakota,2020-05-07 00:00:00,392,133
South Dakota,2020-05-08 00:00:00,443,160
South Dakota,2020-05-09 00:00:00,237,79
South Dakota,2020-05-10 00:00:00,153,56
South Dakota,2020-05-11 00:00:00,351,158
South Dakota,2020-05-12 00:00:00,408,153
South Dakota,2020-05-13 00:00:00,483,170
South Dakota,2020-05-14 00:00:00,374,160
South Dakota,2020-05-15 00:00:00,408,150
South Dakota,2020-05-16 00:00:00,161,57
South Dakota,2020-05-17 00:00:00,131,58
South Dakota,2020-05-18 00:00:00,314,111
South Dakota,2020-05-19 00:00:00,366,137
South Dakota,2020-05-20 00:00:00,441,128
South Dakota,2020-05-21 00:00:00,403,127
South Dakota,2020-05-22 00:00:00,493,160
South Dakota,2020-05-23 00:00:00,307,104
South Dakota,2020-05-24 00:00:00,136,60
South Dakota,2020-05-25 00:00:00,218,70
South Dakota,2020-05-26 00:00:00,408,131
South Dakota,2020-05-27 00:00:00,440,148
South Dakota,2020-05-28 00:00:00,536,181
South Dakota,2020-05-29 00:00:00,469,111
South Dakota,2020-05-30 00:00:00,154,33
South Dakota,2020-05-31 00:00:00,243,47
South Dakota,2020-06-01 00:00:00,416,82
