state,date,total,covid
Tennessee,2020-02-01 00:00:00,296,28
Tennessee,2020-02-02 00:00:00,259,17
Tennessee,2020-02-03 00:00:00,524,32
Tennessee,2020-02-04 00:00:00,592,33
Tennessee,2020-02-05 00:00:00,695,34
Tennessee,2020-02-06 00:00:00,627,33
Tennessee,2020-02-07 00:00:00,692,26
Tennessee,2020-02-08 00:00:00,300,29
Tennessee,2020-02-09 00:00:00,256,14
Tennessee,2020-02-10 00:00:00,798,33
Tennessee,2020-02-11 00:00:00,835,33
Tennessee,2020-02-12 00:00:00,756,28
Tennessee,2020-02-13 00:00:00,1085,27
Tennessee,2020-02-14 00:00:00,905,37
Tennessee,2020-02-15 00:00:00,319,20
Tennessee,2020-02-16 00:00:00,252,20
Tennessee,2020-02-17 00:00:00,508,28
Tennessee,2020-02-18 00:00:00,1019,34
Tennessee,2020-02-19 00:00:00,912,38
Tennessee,2020-02-20 00:00:00,1132,31
Tennessee,2020-02-21 00:00:00,1026,52
Tennessee,2020-02-22 00:00:00,336,23
Tennessee,2020-02-23 00:00:00,338,22
Tennessee,2020-02-24 00:00:00,937,60
Tennessee,2020-02-25 00:00:00,1134,96
Tennessee,2020-02-26 00:00:00,1220,127
Tennessee,2020-02-27 00:00:00,1098,106
Tennessee,2020-02-28 00:00:00,1070,126
Tennessee,2020-02-29 00:00:00,430,55
Tennessee,2020-03-01 00:00:00,401,60
Tennessee,2020-03-02 00:00:00,931,164
Tennessee,2020-03-03 00:00:00,1177,159
Tennessee,2020-03-04 00:00:00,1128,160
Tennessee,2020-03-05 00:00:00,1212,219
Tennessee,2020-03-06 00:00:00,1146,223
Tennessee,2020-03-07 00:00:00,414,56
Tennessee,2020-03-08 00:00:00,276,69
Tennessee,2020-03-09 00:00:00,1037,337
Tennessee,2020-03-10 00:00:00,1155,418
Tennessee,2020-03-11 00:00:00,1356,576
Tennessee,2020-03-12 00:00:00,1436,745
Tennessee,2020-03-13 00:00:00,1370,741
Tennessee,2020-03-14 00:00:00,415,262
Tennessee,2020-03-15 00:00:00,498,313
Tennessee,2020-03-16 00:00:00,1186,715
Tennessee,2020-03-17 00:00:00,1223,695
Tennessee,2020-03-18 00:00:00,1324,767
Tennessee,2020-03-19 00:00:00,1284,688
Tennessee,2020-03-20 00:00:00,1208,701
Tennessee,2020-03-21 00:00:00,454,275
Tennessee,2020-03-22 00:00:00,420,276
Tennessee,2020-03-23 00:00:00,1126,655
Tennessee,2020-03-24 00:00:00,1199,689
Tennessee,2020-03-25 00:00:00,1171,622
Tennessee,2020-03-26 00:00:00,1291,621
Tennessee,2020-03-27 00:00:00,1189,600
Tennessee,2020-03-28 00:00:00,380,187
Tennessee,2020-03-29 00:00:00,348,195
Tennessee,2020-03-30 00:00:00,1083,542
Tennessee,2020-03-31 00:00:00,1214,573
Tennessee,2020-04-01 00:00:00,1168,554
Tennessee,2020-04-02 00:00:00,1193,528
Tennessee,2020-04-03 00:00:00,1120,469
Tennessee,2020-04-04 00:00:00,330,177
Tennessee,2020-04-05 00:00:00,284,162
Tennessee,2020-04-06 00:00:00,1069,475
Tennessee,2020-04-07 00:00:00,983,416
Tennessee,2020-04-08 00:00:00,841,366
Tennessee,2020-04-09 00:00:00,1049,432
Tennessee,2020-04-10 00:00:00,767,341
Tennessee,2020-04-11 00:00:00,515,167
Tennessee,2020-04-12 00:00:00,382,122
Tennessee,2020-04-13 00:00:00,1164,415
Tennessee,2020-04-14 00:00:00,1011,393
Tennessee,2020-04-15 00:00:00,1393,530
Tennessee,2020-04-16 00:00:00,1358,533
Tennessee,2020-04-17 00:00:00,1122,389
Tennessee,2020-04-18 00:00:00,417,179
Tennessee,2020-04-19 00:00:00,386,190
Tennessee,2020-04-20 00:00:00,1069,406
Tennessee,2020-04-21 00:00:00,1214,489
Tennessee,2020-04-22 00:00:00,960,351
Tennessee,2020-04-23 00:00:00,1062,380
Tennessee,2020-04-24 00:00:00,840,318
Tennessee,2020-04-25 00:00:00,424,148
Tennessee,2020-04-26 00:00:00,295,117
Tennessee,2020-04-27 00:00:00,1023,325
Tennessee,2020-04-28 00:00:00,1061,392
Tennessee,2020-04-29 00:00:00,1214,377
Tennessee,2020-04-30 00:00:00,1290,412
Tennessee,2020-05-01 00:00:00,1296,368
Tennessee,2020-05-02 00:00:00,323,129
Tennessee,2020-05-03 00:00:00,325,97
Tennessee,2020-05-04 00:00:00,1077,319
Tennessee,2020-05-05 00:00:00,1161,372
Tennessee,2020-05-06 00:00:00,1184,333
Tennessee,2020-05-07 00:00:00,1254,328
Tennessee,2020-05-08 00:00:00,1184,307
Tennessee,2020-05-09 00:00:00,327,108
Tennessee,2020-05-10 00:00:00,267,92
Tennessee,2020-05-11 00:00:00,1048,297
Tennessee,2020-05-12 00:00:00,1013,280
Tennessee,2020-05-13 00:00:00,1110,288
Tennessee,2020-05-14 00:00:00,1245,339
Tennessee,2020-05-15 00:00:00,1448,445
