state,date,total,covid
Texas,2020-03-01 00:00:00,2993,645
Texas,2020-03-02 00:00:00,7740,1650
Texas,2020-03-03 00:00:00,7908,1580
Texas,2020-03-04 00:00:00,8168,1553
Texas,2020-03-05 00:00:00,8494,2120
Texas,2020-03-06 00:00:00,7808,2240
Texas,2020-03-07 00:00:00,2961,817
Texas,2020-03-08 00:00:00,2728,854
Texas,2020-03-09 00:00:00,6775,2455
Texas,2020-03-10 00:00:00,7309,2778
Texas,2020-03-11 00:00:00,9383,4420
Texas,2020-03-12 00:00:00,9730,5665
Texas,2020-03-13 00:00:00,8654,5239
Texas,2020-03-14 00:00:00,2884,1875
Texas,2020-03-15 00:00:00,3781,2434
Texas,2020-03-16 00:00:00,7781,5109
Texas,2020-03-17 00:00:00,8378,5384
Texas,2020-03-18 00:00:00,8120,5091
Texas,2020-03-19 00:00:00,8312,5418
Texas,2020-03-20 00:00:00,7843,5021
Texas,2020-03-21 00:00:00,2697,1648
Texas,2020-03-22 00:00:00,2572,1543
Texas,2020-03-23 00:00:00,7370,4719
Texas,2020-03-24 00:00:00,7009,4474
Texas,2020-03-25 00:00:00,7476,4578
Texas,2020-03-26 00:00:00,8592,5108
Texas,2020-03-27 00:00:00,7881,4597
Texas,2020-03-28 00:00:00,2284,1467
Texas,2020-03-29 00:00:00,2523,1623
Texas,2020-03-30 00:00:00,6783,4069
Texas,2020-03-31 00:00:00,7745,4348
Texas,2020-04-01 00:00:00,7274,4033
Texas,2020-04-02 00:00:00,7775,4349
Texas,2020-04-03 00:00:00,7526,4128
Texas,2020-04-04 00:00:00,2494,1542
Texas,2020-04-05 00:00:00,2428,1426
Texas,2020-04-06 00:00:00,6824,3747
Texas,2020-04-07 00:00:00,6698,3850
Texas,2020-04-08 00:00:00,6412,3395
Texas,2020-04-09 00:00:00,6424,3489
Texas,2020-04-10 00:00:00,5868,3253
Texas,2020-04-11 00:00:00,4022,1518
Texas,2020-04-12 00:00:00,2931,1370
Texas,2020-04-13 00:00:00,6340,3159
Texas,2020-04-14 00:00:00,5802,3056
Texas,2020-04-15 00:00:00,7962,3927
Texas,2020-04-16 00:00:00,7969,4113
Texas,2020-04-17 00:00:00,6542,3261
Texas,2020-04-18 00:00:00,2239,1134
Texas,2020-04-19 00:00:00,2202,1129
Texas,2020-04-20 00:00:00,6133,3007
Texas,2020-04-21 00:00:00,6856,3327
Texas,2020-04-22 00:00:00,6511,3177
Texas,2020-04-23 00:00:00,6367,3058
Texas,2020-04-24 00:00:00,6118,2595
Texas,2020-04-25 00:00:00,2624,1048
Texas,2020-04-26 00:00:00,2162,807
Texas,2020-04-27 00:00:00,6076,2742
Texas,2020-04-28 00:00:00,6266,2968
Texas,2020-04-29 00:00:00,6746,2897
Texas,2020-04-30 00:00:00,7130,3196
Texas,2020-05-01 00:00:00,7061,2808
Texas,2020-05-02 00:00:00,2036,863
Texas,2020-05-03 00:00:00,1896,857
Texas,2020-05-04 00:00:00,5894,2254
Texas,2020-05-05 00:00:00,5914,2535
Texas,2020-05-06 00:00:00,6162,2319
Texas,2020-05-07 00:00:00,6898,2609
Texas,2020-05-08 00:00:00,6481,2342
Texas,2020-05-09 00:00:00,2064,1006
Texas,2020-05-10 00:00:00,2031,982
Texas,2020-05-11 00:00:00,5973,2429
Texas,2020-05-12 00:00:00,5990,2482
Texas,2020-05-13 00:00:00,5915,2312
Texas,2020-05-14 00:00:00,6664,2736
Texas,2020-05-15 00:00:00,7623,3111
Texas,2020-05-16 00:00:00,2296,977
Texas,2020-05-17 00:00:00,2228,849
Texas,2020-05-18 00:00:00,6120,2214
Texas,2020-05-19 00:00:00,6250,2269
Texas,2020-05-20 00:00:00,6097,2118
Texas,2020-05-21 00:00:00,7287,2457
Texas,2020-05-22 00:00:00,6815,2164
Texas,2020-05-23 00:00:00,2364,1065
Texas,2020-05-24 00:00:00,2353,1001
Texas,2020-05-25 00:00:00,2691,1127
Texas,2020-05-26 00:00:00,5743,2062
Texas,2020-05-27 00:00:00,5753,2015
Texas,2020-05-28 00:00:00,6863,2390
Texas,2020-05-29 00:00:00,5978,1781
Texas,2020-05-30 00:00:00,2367,695
Texas,2020-05-31 00:00:00,2593,734
Texas,2020-06-01 00:00:00,5560,1408
