state,date,total,covid
Utah,2020-03-01 00:00:00,268,48
Utah,2020-03-02 00:00:00,514,83
Utah,2020-03-03 00:00:00,525,110
Utah,2020-03-04 00:00:00,583,100
Utah,2020-03-05 00:00:00,609,126
Utah,2020-03-06 00:00:00,557,144
Utah,2020-03-07 00:00:00,342,78
Utah,2020-03-08 00:00:00,294,63
Utah,2020-03-09 00:00:00,501,159
Utah,2020-03-10 00:00:00,577,171
Utah,2020-03-11 00:00:00,649,300
Utah,2020-03-12 00:00:00,761,471
Utah,2020-03-13 00:00:00,672,414
Utah,2020-03-14 00:00:00,351,224
Utah,2020-03-15 00:00:00,347,221
Utah,2020-03-16 00:00:00,587,381
Utah,2020-03-17 00:00:00,680,425
Utah,2020-03-18 00:00:00,665,396
Utah,2020-03-19 00:00:00,627,426
Utah,2020-03-20 00:00:00,562,354
Utah,2020-03-21 00:00:00,357,213
Utah,2020-03-22 00:00:00,311,226
Utah,2020-03-23 00:00:00,611,379
Utah,2020-03-24 00:00:00,562,360
Utah,2020-03-25 00:00:00,676,389
Utah,2020-03-26 00:00:00,626,432
Utah,2020-03-27 00:00:00,584,360
Utah,2020-03-28 00:00:00,346,240
Utah,2020-03-29 00:00:00,290,175
Utah,2020-03-30 00:00:00,476,258
Utah,2020-03-31 00:00:00,579,338
Utah,2020-04-01 00:00:00,782,461
Utah,2020-04-02 00:00:00,567,312
Utah,2020-04-03 00:00:00,626,351
Utah,2020-04-04 00:00:00,349,205
Utah,2020-04-05 00:00:00,369,231
Utah,2020-04-06 00:00:00,511,274
Utah,2020-04-07 00:00:00,688,371
Utah,2020-04-08 00:00:00,569,302
Utah,2020-04-09 00:00:00,571,284
Utah,2020-04-10 00:00:00,583,312
Utah,2020-04-11 00:00:00,563,214
Utah,2020-04-12 00:00:00,334,157
Utah,2020-04-13 00:00:00,536,252
Utah,2020-04-14 00:00:00,547,301
Utah,2020-04-15 00:00:00,676,351
Utah,2020-04-16 00:00:00,773,384
Utah,2020-04-17 00:00:00,578,284
Utah,2020-04-18 00:00:00,388,196
Utah,2020-04-19 00:00:00,297,148
Utah,2020-04-20 00:00:00,456,231
Utah,2020-04-21 00:00:00,606,291
Utah,2020-04-22 00:00:00,621,296
Utah,2020-04-23 00:00:00,583,283
Utah,2020-04-24 00:00:00,550,280
Utah,2020-04-25 00:00:00,284,142
Utah,2020-04-26 00:00:00,291,127
Utah,2020-04-27 00:00:00,493,237
Utah,2020-04-28 00:00:00,525,290
Utah,2020-04-29 00:00:00,568,281
Utah,2020-04-30 00:00:00,561,292
Utah,2020-05-01 00:00:00,515,216
Utah,2020-05-02 00:00:00,316,153
Utah,2020-05-03 00:00:00,238,109
Utah,2020-05-04 00:00:00,390,162
Utah,2020-05-05 00:00:00,585,274
Utah,2020-05-06 00:00:00,539,248
Utah,2020-05-07 00:00:00,589,275
Utah,2020-05-08 00:00:00,535,217
Utah,2020-05-09 00:00:00,240,100
Utah,2020-05-10 00:00:00,201,79
Utah,2020-05-11 00:00:00,453,166
Utah,2020-05-12 00:00:00,448,204
Utah,2020-05-13 00:00:00,466,179
Utah,2020-05-14 00:00:00,608,273
Utah,2020-05-15 00:00:00,665,300
Utah,2020-05-16 00:00:00,245,112
Utah,2020-05-17 00:00:00,263,111
Utah,2020-05-18 00:00:00,444,200
Utah,2020-05-19 00:00:00,424,182
Utah,2020-05-20 00:00:00,469,192
Utah,2020-05-21 00:00:00,507,203
Utah,2020-05-22 00:00:00,395,143
Utah,2020-05-23 00:00:00,322,125
Utah,2020-05-24 00:00:00,257,120
Utah,2020-05-25 00:00:00,302,118
Utah,2020-05-26 00:00:00,414,154
Utah,2020-05-27 00:00:00,561,219
Utah,2020-05-28 00:00:00,595,239
Utah,2020-05-29 00:00:00,444,150
Utah,2020-05-30 00:00:00,227,66
Utah,2020-05-31 00:00:00,255,74
Utah,2020-06-01 00:00:00,459,137
