state,date,total,covid
Virginia,2020-02-01 00:00:00,263,18
Virginia,2020-02-02 00:00:00,199,13
Virginia,2020-02-03 00:00:00,374,19
Virginia,2020-02-04 00:00:00,393,32
Virginia,2020-02-05 00:00:00,470,24
Virginia,2020-02-06 00:00:00,394,20
Virginia,2020-02-07 00:00:00,379,32
Virginia,2020-02-08 00:00:00,210,12
Virginia,2020-02-09 00:00:00,191,11
Virginia,2020-02-10 00:00:00,402,17
Virginia,2020-02-11 00:00:00,444,32
Virginia,2020-02-12 00:00:00,484,21
Virginia,2020-02-13 00:00:00,492,17
Virginia,2020-02-14 00:00:00,402,26
Virginia,2020-02-15 00:00:00,226,9
Virginia,2020-02-16 00:00:00,170,20
Virginia,2020-02-17 00:00:00,351,11
Virginia,2020-02-18 00:00:00,398,25
Virginia,2020-02-19 00:00:00,465,17
Virginia,2020-02-20 00:00:00,452,18
Virginia,2020-02-21 00:00:00,423,22
Virginia,2020-02-22 00:00:00,212,7
Virginia,2020-02-23 00:00:00,175,12
Virginia,2020-02-24 00:00:00,379,19
Virginia,2020-02-25 00:00:00,405,59
Virginia,2020-02-26 00:00:00,506,64
Virginia,2020-02-27 00:00:00,512,64
Virginia,2020-02-28 00:00:00,424,64
Virginia,2020-02-29 00:00:00,268,34
Virginia,2020-03-01 00:00:00,209,39
Virginia,2020-03-02 00:00:00,485,68
Virginia,2020-03-03 00:00:00,438,72
Virginia,2020-03-04 00:00:00,548,97
Virginia,2020-03-05 00:00:00,488,93
Virginia,2020-03-06 00:00:00,399,107
Virginia,2020-03-07 00:00:00,216,64
Virginia,2020-03-08 00:00:00,261,63
Virginia,2020-03-09 00:00:00,416,145
Virginia,2020-03-10 00:00:00,416,168
Virginia,2020-03-11 00:00:00,637,320
Virginia,2020-03-12 00:00:00,609,352
Virginia,2020-03-13 00:00:00,491,326
Virginia,2020-03-14 00:00:00,235,151
Virginia,2020-03-15 00:00:00,343,228
Virginia,2020-03-16 00:00:00,553,315
Virginia,2020-03-17 00:00:00,590,353
Virginia,2020-03-18 00:00:00,555,343
Virginia,2020-03-19 00:00:00,547,366
Virginia,2020-03-20 00:00:00,513,339
Virginia,2020-03-21 00:00:00,346,202
Virginia,2020-03-22 00:00:00,223,159
Virginia,2020-03-23 00:00:00,524,321
Virginia,2020-03-24 00:00:00,518,304
Virginia,2020-03-25 00:00:00,574,341
Virginia,2020-03-26 00:00:00,568,321
Virginia,2020-03-27 00:00:00,509,297
Virginia,2020-03-28 00:00:00,297,138
Virginia,2020-03-29 00:00:00,256,146
Virginia,2020-03-30 00:00:00,558,313
Virginia,2020-03-31 00:00:00,615,338
Virginia,2020-04-01 00:00:00,705,366
Virginia,2020-04-02 00:00:00,580,322
Virginia,2020-04-03 00:00:00,532,288
Virginia,2020-04-04 00:00:00,227,129
Virginia,2020-04-05 00:00:00,242,135
Virginia,2020-04-06 00:00:00,572,318
Virginia,2020-04-07 00:00:00,541,275
Virginia,2020-04-08 00:00:00,709,352
Virginia,2020-04-09 00:00:00,630,323
Virginia,2020-04-10 00:00:00,557,267
Virginia,2020-04-11 00:00:00,418,123
Virginia,2020-04-12 00:00:00,371,137
Virginia,2020-04-13 00:00:00,567,258
Virginia,2020-04-14 00:00:00,549,269
Virginia,2020-04-15 00:00:00,816,368
Virginia,2020-04-16 00:00:00,707,381
Virginia,2020-04-17 00:00:00,605,272
Virginia,2020-04-18 00:00:00,323,121
Virginia,2020-04-19 00:00:00,368,131
Virginia,2020-04-20 00:00:00,581,268
Virginia,2020-04-21 00:00:00,636,301
Virginia,2020-04-22 00:00:00,784,333
Virginia,2020-04-23 00:00:00,682,301
Virginia,2020-04-24 00:00:00,683,314
Virginia,2020-04-25 00:00:00,287,106
Virginia,2020-04-26 00:00:00,292,90
Virginia,2020-04-27 00:00:00,632,267
Virginia,2020-04-28 00:00:00,706,345
Virginia,2020-04-29 00:00:00,733,314
Virginia,2020-04-30 00:00:00,816,324
Virginia,2020-05-01 00:00:00,701,266
Virginia,2020-05-02 00:00:00,308,114
Virginia,2020-05-03 00:00:00,313,120
Virginia,2020-05-04 00:00:00,581,222
Virginia,2020-05-05 00:00:00,689,288
Virginia,2020-05-06 00:00:00,734,290
Virginia,2020-05-07 00:00:00,760,316
Virginia,2020-05-08 00:00:00,661,243
Virginia,2020-05-09 00:00:00,299,96
Virginia,2020-05-10 00:00:00,271,93
Virginia,2020-05-11 00:00:00,581,229
Virginia,2020-05-12 00:00:00,633,250
Virginia,2020-05-13 00:00:00,737,245
Virginia,2020-05-14 00:00:00,733,298
Virginia,2020-05-15 00:00:00,999,443
Virginia,2020-05-16 00:00:00,303,93
Virginia,2020-05-17 00:00:00,316,99
Virginia,2020-05-18 00:00:00,595,210
Virginia,2020-05-19 00:00:00,659,213
Virginia,2020-05-20 00:00:00,704,278
Virginia,2020-05-21 00:00:00,616,212
Virginia,2020-05-22 00:00:00,524,197
Virginia,2020-05-23 00:00:00,315,108
Virginia,2020-05-24 00:00:00,303,99
Virginia,2020-05-25 00:00:00,413,150
Virginia,2020-05-26 00:00:00,623,213
Virginia,2020-05-27 00:00:00,665,214
Virginia,2020-05-28 00:00:00,642,217
Virginia,2020-05-29 00:00:00,675,186
Virginia,2020-05-30 00:00:00,310,70
Virginia,2020-05-31 00:00:00,353,63
Virginia,2020-06-01 00:00:00,714,169
Virginia,2020-06-02 00:00:00,686,129
Virginia,2020-06-03 00:00:00,855,203
Virginia,2020-06-04 00:00:00,784,212
Virginia,2020-06-05 00:00:00,716,166
Virginia,2020-06-06 00:00:00,312,69
Virginia,2020-06-07 00:00:00,323,77
Virginia,2020-06-08 00:00:00,658,171
Virginia,2020-06-09 00:00:00,703,154
Virginia,2020-06-10 00:00:00,732,132
Virginia,2020-06-11 00:00:00,706,167
Virginia,2020-06-12 00:00:00,654,164
Virginia,2020-06-13 00:00:00,314,84
Virginia,2020-06-14 00:00:00,344,94
Virginia,2020-06-15 00:00:00,705,161
Virginia,2020-06-16 00:00:00,637,152
Virginia,2020-06-17 00:00:00,700,133
Virginia,2020-06-18 00:00:00,734,181
Virginia,2020-06-19 00:00:00,591,145
Virginia,2020-06-20 00:00:00,376,96
Virginia,2020-06-21 00:00:00,339,94
Virginia,2020-06-22 00:00:00,568,151
Virginia,2020-06-23 00:00:00,611,176
Virginia,2020-06-24 00:00:00,665,140
Virginia,2020-06-25 00:00:00,606,140
Virginia,2020-06-26 00:00:00,558,139
Virginia,2020-06-27 00:00:00,240,49
Virginia,2020-06-28 00:00:00,318,73
Virginia,2020-06-29 00:00:00,547,145
Virginia,2020-06-30 00:00:00,546,125
Virginia,2020-07-01 00:00:00,637,105
Virginia,2020-07-02 00:00:00,556,115
Virginia,2020-07-03 00:00:00,404,94
Virginia,2020-07-04 00:00:00,288,50
Virginia,2020-07-05 00:00:00,303,59
Virginia,2020-07-06 00:00:00,532,126
Virginia,2020-07-07 00:00:00,577,147
Virginia,2020-07-08 00:00:00,722,148
Virginia,2020-07-09 00:00:00,785,162
Virginia,2020-07-10 00:00:00,798,234
Virginia,2020-07-11 00:00:00,630,244
Virginia,2020-07-12 00:00:00,508,168
Virginia,2020-07-13 00:00:00,561,122
Virginia,2020-07-14 00:00:00,619,177
Virginia,2020-07-15 00:00:00,753,192
Virginia,2020-07-16 00:00:00,657,143
Virginia,2020-07-17 00:00:00,606,132
Virginia,2020-07-18 00:00:00,312,56
Virginia,2020-07-19 00:00:00,276,74
Virginia,2020-07-20 00:00:00,504,98
Virginia,2020-07-21 00:00:00,567,125
Virginia,2020-07-22 00:00:00,734,158
Virginia,2020-07-23 00:00:00,597,159
Virginia,2020-07-24 00:00:00,244,63
Virginia,2020-07-25 00:00:00,34,10
Virginia,2020-07-26 00:00:00,42,8
Virginia,2020-07-27 00:00:00,187,51
Virginia,2020-07-28 00:00:00,324,69
Virginia,2020-07-29 00:00:00,718,148
Virginia,2020-07-30 00:00:00,648,162
Virginia,2020-07-31 00:00:00,558,110
Virginia,2020-08-01 00:00:00,247,40
Virginia,2020-08-02 00:00:00,317,45
Virginia,2020-08-03 00:00:00,452,104
Virginia,2020-08-04 00:00:00,268,61
Virginia,2020-08-05 00:00:00,220,49
Virginia,2020-08-06 00:00:00,200,32
Virginia,2020-08-07 00:00:00,364,73
Virginia,2020-08-08 00:00:00,226,52
Virginia,2020-08-09 00:00:00,229,41
Virginia,2020-08-10 00:00:00,527,80
Virginia,2020-08-11 00:00:00,668,122
Virginia,2020-08-12 00:00:00,637,99
Virginia,2020-08-13 00:00:00,632,121
Virginia,2020-08-14 00:00:00,526,99
Virginia,2020-08-15 00:00:00,372,51
Virginia,2020-08-16 00:00:00,244,39
Virginia,2020-08-17 00:00:00,596,102
Virginia,2020-08-18 00:00:00,572,94
Virginia,2020-08-19 00:00:00,707,137
Virginia,2020-08-20 00:00:00,648,104
Virginia,2020-08-21 00:00:00,564,85
Virginia,2020-08-22 00:00:00,378,76
Virginia,2020-08-23 00:00:00,291,49
Virginia,2020-08-24 00:00:00,572,93
Virginia,2020-08-25 00:00:00,432,68
Virginia,2020-08-26 00:00:00,704,112
Virginia,2020-08-27 00:00:00,652,92
Virginia,2020-08-28 00:00:00,565,92
Virginia,2020-08-29 00:00:00,287,39
Virginia,2020-08-30 00:00:00,259,44
Virginia,2020-08-31 00:00:00,670,101
Virginia,2020-09-01 00:00:00,533,97
