state,date,total,covid
Vermont,2020-02-01 00:00:00,49,0
Vermont,2020-02-02 00:00:00,57,2
Vermont,2020-02-03 00:00:00,79,2
Vermont,2020-02-04 00:00:00,119,3
Vermont,2020-02-05 00:00:00,140,1
Vermont,2020-02-06 00:00:00,158,2
Vermont,2020-02-07 00:00:00,102,2
Vermont,2020-02-08 00:00:00,63,1
Vermont,2020-02-09 00:00:00,63,0
Vermont,2020-02-10 00:00:00,125,3
Vermont,2020-02-11 00:00:00,105,1
Vermont,2020-02-12 00:00:00,135,2
Vermont,2020-02-13 00:00:00,111,4
Vermont,2020-02-14 00:00:00,134,3
Vermont,2020-02-15 00:00:00,63,3
Vermont,2020-02-16 00:00:00,57,1
Vermont,2020-02-17 00:00:00,93,4
Vermont,2020-02-18 00:00:00,94,1
Vermont,2020-02-19 00:00:00,124,1
Vermont,2020-02-20 00:00:00,119,1
Vermont,2020-02-21 00:00:00,120,0
Vermont,2020-02-22 00:00:00,43,1
Vermont,2020-02-23 00:00:00,62,0
Vermont,2020-02-24 00:00:00,109,5
Vermont,2020-02-25 00:00:00,115,7
Vermont,2020-02-26 00:00:00,100,14
Vermont,2020-02-27 00:00:00,129,9
Vermont,2020-02-28 00:00:00,110,10
Vermont,2020-02-29 00:00:00,83,7
Vermont,2020-03-01 00:00:00,51,5
Vermont,2020-03-02 00:00:00,108,15
Vermont,2020-03-03 00:00:00,138,14
Vermont,2020-03-04 00:00:00,144,15
Vermont,2020-03-05 00:00:00,118,19
Vermont,2020-03-06 00:00:00,76,18
Vermont,2020-03-07 00:00:00,74,15
Vermont,2020-03-08 00:00:00,58,14
Vermont,2020-03-09 00:00:00,80,18
Vermont,2020-03-10 00:00:00,141,46
Vermont,2020-03-11 00:00:00,148,68
Vermont,2020-03-12 00:00:00,164,53
Vermont,2020-03-13 00:00:00,134,70
Vermont,2020-03-14 00:00:00,73,32
Vermont,2020-03-15 00:00:00,95,56
Vermont,2020-03-16 00:00:00,125,69
Vermont,2020-03-17 00:00:00,137,81
Vermont,2020-03-18 00:00:00,158,96
Vermont,2020-03-19 00:00:00,169,100
Vermont,2020-03-20 00:00:00,124,78
Vermont,2020-03-21 00:00:00,103,62
Vermont,2020-03-22 00:00:00,60,29
Vermont,2020-03-23 00:00:00,144,82
Vermont,2020-03-24 00:00:00,113,70
Vermont,2020-03-25 00:00:00,128,68
Vermont,2020-03-26 00:00:00,146,83
Vermont,2020-03-27 00:00:00,118,62
Vermont,2020-03-28 00:00:00,66,24
Vermont,2020-03-29 00:00:00,57,26
Vermont,2020-03-30 00:00:00,79,48
Vermont,2020-03-31 00:00:00,109,48
Vermont,2020-04-01 00:00:00,189,100
Vermont,2020-04-02 00:00:00,138,70
Vermont,2020-04-03 00:00:00,136,74
Vermont,2020-04-04 00:00:00,61,21
Vermont,2020-04-05 00:00:00,79,42
Vermont,2020-04-06 00:00:00,96,41
Vermont,2020-04-07 00:00:00,115,58
Vermont,2020-04-08 00:00:00,117,65
Vermont,2020-04-09 00:00:00,157,71
Vermont,2020-04-10 00:00:00,116,45
Vermont,2020-04-11 00:00:00,91,45
Vermont,2020-04-12 00:00:00,72,26
Vermont,2020-04-13 00:00:00,127,60
Vermont,2020-04-14 00:00:00,126,55
Vermont,2020-04-15 00:00:00,135,56
Vermont,2020-04-16 00:00:00,163,71
Vermont,2020-04-17 00:00:00,125,52
Vermont,2020-04-18 00:00:00,73,31
Vermont,2020-04-19 00:00:00,64,33
Vermont,2020-04-20 00:00:00,101,41
Vermont,2020-04-21 00:00:00,105,45
Vermont,2020-04-22 00:00:00,153,66
Vermont,2020-04-23 00:00:00,134,52
Vermont,2020-04-24 00:00:00,111,42
Vermont,2020-04-25 00:00:00,46,12
Vermont,2020-04-26 00:00:00,60,26
Vermont,2020-04-27 00:00:00,102,38
Vermont,2020-04-28 00:00:00,155,60
Vermont,2020-04-29 00:00:00,117,64
Vermont,2020-04-30 00:00:00,171,62
Vermont,2020-05-01 00:00:00,174,66
Vermont,2020-05-02 00:00:00,53,19
Vermont,2020-05-03 00:00:00,60,20
Vermont,2020-05-04 00:00:00,103,44
Vermont,2020-05-05 00:00:00,161,68
Vermont,2020-05-06 00:00:00,149,49
Vermont,2020-05-07 00:00:00,106,34
Vermont,2020-05-08 00:00:00,122,44
Vermont,2020-05-09 00:00:00,47,17
Vermont,2020-05-10 00:00:00,62,23
Vermont,2020-05-11 00:00:00,116,39
Vermont,2020-05-12 00:00:00,103,44
Vermont,2020-05-13 00:00:00,125,54
Vermont,2020-05-14 00:00:00,164,68
Vermont,2020-05-15 00:00:00,125,52
Vermont,2020-05-16 00:00:00,45,19
Vermont,2020-05-17 00:00:00,67,29
Vermont,2020-05-18 00:00:00,72,28
Vermont,2020-05-19 00:00:00,108,40
Vermont,2020-05-20 00:00:00,111,46
Vermont,2020-05-21 00:00:00,111,29
Vermont,2020-05-22 00:00:00,92,33
Vermont,2020-05-23 00:00:00,92,35
Vermont,2020-05-24 00:00:00,73,28
Vermont,2020-05-25 00:00:00,70,19
Vermont,2020-05-26 00:00:00,117,43
Vermont,2020-05-27 00:00:00,145,49
Vermont,2020-05-28 00:00:00,173,69
Vermont,2020-05-29 00:00:00,98,29
Vermont,2020-05-30 00:00:00,61,13
Vermont,2020-05-31 00:00:00,83,28
Vermont,2020-06-01 00:00:00,110,32
Vermont,2020-06-02 00:00:00,152,33
Vermont,2020-06-03 00:00:00,132,40
Vermont,2020-06-04 00:00:00,139,37
Vermont,2020-06-05 00:00:00,132,41
Vermont,2020-06-06 00:00:00,62,17
Vermont,2020-06-07 00:00:00,82,21
Vermont,2020-06-08 00:00:00,99,27
Vermont,2020-06-09 00:00:00,117,32
Vermont,2020-06-10 00:00:00,151,33
Vermont,2020-06-11 00:00:00,152,43
Vermont,2020-06-12 00:00:00,92,23
Vermont,2020-06-13 00:00:00,58,17
Vermont,2020-06-14 00:00:00,84,22
Vermont,2020-06-15 00:00:00,130,31
Vermont,2020-06-16 00:00:00,109,25
Vermont,2020-06-17 00:00:00,143,32
Vermont,2020-06-18 00:00:00,141,38
Vermont,2020-06-19 00:00:00,137,34
Vermont,2020-06-20 00:00:00,41,13
Vermont,2020-06-21 00:00:00,81,25
Vermont,2020-06-22 00:00:00,134,37
Vermont,2020-06-23 00:00:00,130,27
Vermont,2020-06-24 00:00:00,121,29
Vermont,2020-06-25 00:00:00,106,25
Vermont,2020-06-26 00:00:00,132,26
Vermont,2020-06-27 00:00:00,62,14
Vermont,2020-06-28 00:00:00,70,14
Vermont,2020-06-29 00:00:00,96,24
Vermont,2020-06-30 00:00:00,98,22
Vermont,2020-07-01 00:00:00,161,34
