state,date,total,covid
Washington,2020-02-01 00:00:00,1223,44
Washington,2020-02-02 00:00:00,856,38
Washington,2020-02-03 00:00:00,907,65
Washington,2020-02-04 00:00:00,1040,67
Washington,2020-02-05 00:00:00,1205,85
Washington,2020-02-06 00:00:00,1144,65
Washington,2020-02-07 00:00:00,1325,76
Washington,2020-02-08 00:00:00,1162,42
Washington,2020-02-09 00:00:00,1023,40
Washington,2020-02-10 00:00:00,1738,69
Washington,2020-02-11 00:00:00,1779,73
Washington,2020-02-12 00:00:00,1891,67
Washington,2020-02-13 00:00:00,1892,63
Washington,2020-02-14 00:00:00,1676,90
Washington,2020-02-15 00:00:00,1126,75
Washington,2020-02-16 00:00:00,964,40
Washington,2020-02-17 00:00:00,1143,66
Washington,2020-02-18 00:00:00,1743,76
Washington,2020-02-19 00:00:00,1926,71
Washington,2020-02-20 00:00:00,1993,128
Washington,2020-02-21 00:00:00,1710,85
Washington,2020-02-22 00:00:00,1228,46
Washington,2020-02-23 00:00:00,881,45
Washington,2020-02-24 00:00:00,1735,113
Washington,2020-02-25 00:00:00,1910,124
Washington,2020-02-26 00:00:00,2141,196
Washington,2020-02-27 00:00:00,2078,284
Washington,2020-02-28 00:00:00,1842,296
Washington,2020-02-29 00:00:00,1296,249
Washington,2020-03-01 00:00:00,926,193
Washington,2020-03-02 00:00:00,1907,529
Washington,2020-03-03 00:00:00,2063,532
Washington,2020-03-04 00:00:00,2103,536
Washington,2020-03-05 00:00:00,2033,586
Washington,2020-03-06 00:00:00,1935,583
Washington,2020-03-07 00:00:00,1096,292
Washington,2020-03-08 00:00:00,773,253
Washington,2020-03-09 00:00:00,997,385
Washington,2020-03-10 00:00:00,1144,453
Washington,2020-03-11 00:00:00,1679,784
Washington,2020-03-12 00:00:00,1549,838
Washington,2020-03-13 00:00:00,1428,807
Washington,2020-03-14 00:00:00,531,316
Washington,2020-03-15 00:00:00,667,391
Washington,2020-03-16 00:00:00,1299,716
Washington,2020-03-17 00:00:00,1343,789
Washington,2020-03-18 00:00:00,1471,828
Washington,2020-03-19 00:00:00,1353,801
Washington,2020-03-20 00:00:00,1226,700
Washington,2020-03-21 00:00:00,521,327
Washington,2020-03-22 00:00:00,525,336
Washington,2020-03-23 00:00:00,1211,727
Washington,2020-03-24 00:00:00,1206,684
Washington,2020-03-25 00:00:00,1517,814
Washington,2020-03-26 00:00:00,1398,677
Washington,2020-03-27 00:00:00,1232,640
Washington,2020-03-28 00:00:00,442,268
Washington,2020-03-29 00:00:00,468,307
Washington,2020-03-30 00:00:00,1109,596
Washington,2020-03-31 00:00:00,1114,551
Washington,2020-04-01 00:00:00,1266,627
Washington,2020-04-02 00:00:00,1325,706
Washington,2020-04-03 00:00:00,1201,652
Washington,2020-04-04 00:00:00,437,254
Washington,2020-04-05 00:00:00,453,299
Washington,2020-04-06 00:00:00,1047,556
Washington,2020-04-07 00:00:00,1128,562
Washington,2020-04-08 00:00:00,1140,590
Washington,2020-04-09 00:00:00,1056,534
Washington,2020-04-10 00:00:00,903,466
Washington,2020-04-11 00:00:00,608,290
Washington,2020-04-12 00:00:00,570,311
Washington,2020-04-13 00:00:00,1176,505
Washington,2020-04-14 00:00:00,1027,504
Washington,2020-04-15 00:00:00,1478,751
Washington,2020-04-16 00:00:00,1437,699
Washington,2020-04-17 00:00:00,1177,529
Washington,2020-04-18 00:00:00,492,246
Washington,2020-04-19 00:00:00,476,269
Washington,2020-04-20 00:00:00,1198,573
Washington,2020-04-21 00:00:00,1200,586
Washington,2020-04-22 00:00:00,1295,605
Washington,2020-04-23 00:00:00,1258,575
Washington,2020-04-24 00:00:00,1299,551
Washington,2020-04-25 00:00:00,518,255
Washington,2020-04-26 00:00:00,446,232
Washington,2020-04-27 00:00:00,1156,526
Washington,2020-04-28 00:00:00,1226,584
Washington,2020-04-29 00:00:00,1392,620
Washington,2020-04-30 00:00:00,1533,633
Washington,2020-05-01 00:00:00,1475,582
Washington,2020-05-02 00:00:00,490,226
Washington,2020-05-03 00:00:00,452,245
Washington,2020-05-04 00:00:00,1168,503
Washington,2020-05-05 00:00:00,1298,562
Washington,2020-05-06 00:00:00,1346,540
Washington,2020-05-07 00:00:00,1466,610
Washington,2020-05-08 00:00:00,1349,527
Washington,2020-05-09 00:00:00,462,222
Washington,2020-05-10 00:00:00,453,221
Washington,2020-05-11 00:00:00,1223,462
