state,date,total,covid
Wisconsin,2020-02-01 00:00:00,641,20
Wisconsin,2020-02-02 00:00:00,418,26
Wisconsin,2020-02-03 00:00:00,964,41
Wisconsin,2020-02-04 00:00:00,1174,43
Wisconsin,2020-02-05 00:00:00,1302,119
Wisconsin,2020-02-06 00:00:00,1190,60
Wisconsin,2020-02-07 00:00:00,1423,108
Wisconsin,2020-02-08 00:00:00,639,22
Wisconsin,2020-02-09 00:00:00,489,19
Wisconsin,2020-02-10 00:00:00,1421,46
Wisconsin,2020-02-11 00:00:00,1410,36
Wisconsin,2020-02-12 00:00:00,1570,55
Wisconsin,2020-02-13 00:00:00,1492,49
Wisconsin,2020-02-14 00:00:00,1622,51
Wisconsin,2020-02-15 00:00:00,611,32
Wisconsin,2020-02-16 00:00:00,481,6
Wisconsin,2020-02-17 00:00:00,1392,31
Wisconsin,2020-02-18 00:00:00,1573,17
Wisconsin,2020-02-19 00:00:00,1747,38
Wisconsin,2020-02-20 00:00:00,1722,32
Wisconsin,2020-02-21 00:00:00,1646,50
Wisconsin,2020-02-22 00:00:00,723,15
Wisconsin,2020-02-23 00:00:00,620,13
Wisconsin,2020-02-24 00:00:00,1713,60
Wisconsin,2020-02-25 00:00:00,1692,152
Wisconsin,2020-02-26 00:00:00,1824,150
Wisconsin,2020-02-27 00:00:00,1854,147
Wisconsin,2020-02-28 00:00:00,1752,165
Wisconsin,2020-02-29 00:00:00,693,82
Wisconsin,2020-03-01 00:00:00,644,57
Wisconsin,2020-03-02 00:00:00,1550,166
Wisconsin,2020-03-03 00:00:00,1762,223
Wisconsin,2020-03-04 00:00:00,1813,225
Wisconsin,2020-03-05 00:00:00,1858,250
Wisconsin,2020-03-06 00:00:00,1906,324
Wisconsin,2020-03-07 00:00:00,711,94
Wisconsin,2020-03-08 00:00:00,641,122
Wisconsin,2020-03-09 00:00:00,1567,469
Wisconsin,2020-03-10 00:00:00,1756,542
Wisconsin,2020-03-11 00:00:00,2180,818
Wisconsin,2020-03-12 00:00:00,2195,1159
Wisconsin,2020-03-13 00:00:00,2373,1239
Wisconsin,2020-03-14 00:00:00,761,521
Wisconsin,2020-03-15 00:00:00,779,504
Wisconsin,2020-03-16 00:00:00,1897,1128
Wisconsin,2020-03-17 00:00:00,2074,1107
Wisconsin,2020-03-18 00:00:00,1974,1157
Wisconsin,2020-03-19 00:00:00,2041,1159
Wisconsin,2020-03-20 00:00:00,1897,1160
Wisconsin,2020-03-21 00:00:00,794,491
Wisconsin,2020-03-22 00:00:00,713,354
Wisconsin,2020-03-23 00:00:00,1698,960
Wisconsin,2020-03-24 00:00:00,1806,1078
Wisconsin,2020-03-25 00:00:00,2064,1237
Wisconsin,2020-03-26 00:00:00,1997,1164
Wisconsin,2020-03-27 00:00:00,2132,1242
Wisconsin,2020-03-28 00:00:00,712,396
Wisconsin,2020-03-29 00:00:00,603,317
Wisconsin,2020-03-30 00:00:00,1742,929
Wisconsin,2020-03-31 00:00:00,1773,896
Wisconsin,2020-04-01 00:00:00,1941,1073
Wisconsin,2020-04-02 00:00:00,1995,1076
Wisconsin,2020-04-03 00:00:00,2051,1117
Wisconsin,2020-04-04 00:00:00,657,324
Wisconsin,2020-04-05 00:00:00,592,356
Wisconsin,2020-04-06 00:00:00,1725,937
Wisconsin,2020-04-07 00:00:00,1633,733
Wisconsin,2020-04-08 00:00:00,1607,823
Wisconsin,2020-04-09 00:00:00,1640,851
Wisconsin,2020-04-10 00:00:00,1711,971
Wisconsin,2020-04-11 00:00:00,778,354
Wisconsin,2020-04-12 00:00:00,612,299
Wisconsin,2020-04-13 00:00:00,2199,920
Wisconsin,2020-04-14 00:00:00,1750,745
Wisconsin,2020-04-15 00:00:00,2064,948
Wisconsin,2020-04-16 00:00:00,1943,855
Wisconsin,2020-04-17 00:00:00,1762,796
Wisconsin,2020-04-18 00:00:00,678,323
Wisconsin,2020-04-19 00:00:00,530,255
Wisconsin,2020-04-20 00:00:00,1838,784
Wisconsin,2020-04-21 00:00:00,1956,924
Wisconsin,2020-04-22 00:00:00,1722,700
Wisconsin,2020-04-23 00:00:00,1570,702
Wisconsin,2020-04-24 00:00:00,1842,717
Wisconsin,2020-04-25 00:00:00,774,271
Wisconsin,2020-04-26 00:00:00,625,255
Wisconsin,2020-04-27 00:00:00,1813,730
Wisconsin,2020-04-28 00:00:00,1939,759
Wisconsin,2020-04-29 00:00:00,1864,749
Wisconsin,2020-04-30 00:00:00,1895,687
Wisconsin,2020-05-01 00:00:00,2010,800
Wisconsin,2020-05-02 00:00:00,572,227
Wisconsin,2020-05-03 00:00:00,541,210
Wisconsin,2020-05-04 00:00:00,1878,764
Wisconsin,2020-05-05 00:00:00,1888,716
Wisconsin,2020-05-06 00:00:00,1832,736
Wisconsin,2020-05-07 00:00:00,2077,811
Wisconsin,2020-05-08 00:00:00,1959,905
Wisconsin,2020-05-09 00:00:00,726,321
Wisconsin,2020-05-10 00:00:00,442,204
Wisconsin,2020-05-11 00:00:00,1683,606
Wisconsin,2020-05-12 00:00:00,1581,658
Wisconsin,2020-05-13 00:00:00,1748,655
Wisconsin,2020-05-14 00:00:00,1811,721
Wisconsin,2020-05-15 00:00:00,2154,809
Wisconsin,2020-05-16 00:00:00,606,274
Wisconsin,2020-05-17 00:00:00,502,215
Wisconsin,2020-05-18 00:00:00,1692,645
Wisconsin,2020-05-19 00:00:00,1634,591
Wisconsin,2020-05-20 00:00:00,1837,761
Wisconsin,2020-05-21 00:00:00,1876,746
Wisconsin,2020-05-22 00:00:00,1969,660
Wisconsin,2020-05-23 00:00:00,703,238
Wisconsin,2020-05-24 00:00:00,497,186
Wisconsin,2020-05-25 00:00:00,709,264
Wisconsin,2020-05-26 00:00:00,1694,581
Wisconsin,2020-05-27 00:00:00,1896,733
Wisconsin,2020-05-28 00:00:00,2152,723
Wisconsin,2020-05-29 00:00:00,2029,738
Wisconsin,2020-05-30 00:00:00,896,186
Wisconsin,2020-05-31 00:00:00,752,150
Wisconsin,2020-06-01 00:00:00,1807,303
Wisconsin,2020-06-02 00:00:00,2059,508
Wisconsin,2020-06-03 00:00:00,2123,541
Wisconsin,2020-06-04 00:00:00,2095,571
Wisconsin,2020-06-05 00:00:00,2109,462
Wisconsin,2020-06-06 00:00:00,886,216
Wisconsin,2020-06-07 00:00:00,556,136
Wisconsin,2020-06-08 00:00:00,1643,438
Wisconsin,2020-06-09 00:00:00,1911,394
Wisconsin,2020-06-10 00:00:00,1708,366
Wisconsin,2020-06-11 00:00:00,1848,519
Wisconsin,2020-06-12 00:00:00,1846,430
Wisconsin,2020-06-13 00:00:00,708,181
Wisconsin,2020-06-14 00:00:00,558,158
Wisconsin,2020-06-15 00:00:00,1711,444
Wisconsin,2020-06-16 00:00:00,1510,312
Wisconsin,2020-06-17 00:00:00,1822,460
Wisconsin,2020-06-18 00:00:00,1802,447
Wisconsin,2020-06-19 00:00:00,1862,431
Wisconsin,2020-06-20 00:00:00,711,192
Wisconsin,2020-06-21 00:00:00,553,171
Wisconsin,2020-06-22 00:00:00,1572,379
Wisconsin,2020-06-23 00:00:00,1748,422
Wisconsin,2020-06-24 00:00:00,2060,441
Wisconsin,2020-06-25 00:00:00,2353,573
Wisconsin,2020-06-26 00:00:00,2105,550
Wisconsin,2020-06-27 00:00:00,740,152
Wisconsin,2020-06-28 00:00:00,547,137
Wisconsin,2020-06-29 00:00:00,2006,534
Wisconsin,2020-06-30 00:00:00,1968,552
Wisconsin,2020-07-01 00:00:00,2115,605
Wisconsin,2020-07-02 00:00:00,1881,493
Wisconsin,2020-07-03 00:00:00,1497,388
Wisconsin,2020-07-04 00:00:00,754,188
Wisconsin,2020-07-05 00:00:00,740,234
Wisconsin,2020-07-06 00:00:00,1997,630
Wisconsin,2020-07-07 00:00:00,2381,710
Wisconsin,2020-07-08 00:00:00,2609,777
Wisconsin,2020-07-09 00:00:00,2710,682
Wisconsin,2020-07-10 00:00:00,2579,615
Wisconsin,2020-07-11 00:00:00,1314,421
Wisconsin,2020-07-12 00:00:00,978,247
Wisconsin,2020-07-13 00:00:00,2238,477
Wisconsin,2020-07-14 00:00:00,2496,695
Wisconsin,2020-07-15 00:00:00,2933,816
Wisconsin,2020-07-16 00:00:00,2130,562
Wisconsin,2020-07-17 00:00:00,2157,537
Wisconsin,2020-07-18 00:00:00,1039,278
Wisconsin,2020-07-19 00:00:00,695,174
Wisconsin,2020-07-20 00:00:00,1918,556
Wisconsin,2020-07-21 00:00:00,2397,594
Wisconsin,2020-07-22 00:00:00,2347,525
Wisconsin,2020-07-23 00:00:00,2579,618
Wisconsin,2020-07-24 00:00:00,1034,240
Wisconsin,2020-07-25 00:00:00,242,47
Wisconsin,2020-07-26 00:00:00,182,41
Wisconsin,2020-07-27 00:00:00,850,291
Wisconsin,2020-07-28 00:00:00,1175,310
Wisconsin,2020-07-29 00:00:00,2401,559
Wisconsin,2020-07-30 00:00:00,2488,703
Wisconsin,2020-07-31 00:00:00,2267,481
Wisconsin,2020-08-01 00:00:00,928,259
Wisconsin,2020-08-02 00:00:00,812,232
Wisconsin,2020-08-03 00:00:00,2309,471
Wisconsin,2020-08-04 00:00:00,1197,260
Wisconsin,2020-08-05 00:00:00,793,251
Wisconsin,2020-08-06 00:00:00,910,209
Wisconsin,2020-08-07 00:00:00,1415,318
Wisconsin,2020-08-08 00:00:00,1183,301
Wisconsin,2020-08-09 00:00:00,933,227
Wisconsin,2020-08-10 00:00:00,2446,465
Wisconsin,2020-08-11 00:00:00,2649,512
Wisconsin,2020-08-12 00:00:00,2541,465
Wisconsin,2020-08-13 00:00:00,2954,642
Wisconsin,2020-08-14 00:00:00,2542,506
Wisconsin,2020-08-15 00:00:00,1629,396
Wisconsin,2020-08-16 00:00:00,956,189
Wisconsin,2020-08-17 00:00:00,2587,505
Wisconsin,2020-08-18 00:00:00,2841,564
Wisconsin,2020-08-19 00:00:00,2692,583
Wisconsin,2020-08-20 00:00:00,2919,566
Wisconsin,2020-08-21 00:00:00,2349,471
Wisconsin,2020-08-22 00:00:00,1192,251
Wisconsin,2020-08-23 00:00:00,1207,247
Wisconsin,2020-08-24 00:00:00,2631,423
Wisconsin,2020-08-25 00:00:00,2723,462
Wisconsin,2020-08-26 00:00:00,2762,381
Wisconsin,2020-08-27 00:00:00,2934,406
Wisconsin,2020-08-28 00:00:00,2985,341
Wisconsin,2020-08-29 00:00:00,1261,109
Wisconsin,2020-08-30 00:00:00,1091,116
Wisconsin,2020-08-31 00:00:00,2755,412
Wisconsin,2020-09-01 00:00:00,2922,472
Wisconsin,2020-09-02 00:00:00,2689,488
Wisconsin,2020-09-03 00:00:00,2904,457
Wisconsin,2020-09-04 00:00:00,2909,414
Wisconsin,2020-09-05 00:00:00,1120,158
Wisconsin,2020-09-06 00:00:00,1139,157
Wisconsin,2020-09-07 00:00:00,1283,346
Wisconsin,2020-09-08 00:00:00,2897,461
Wisconsin,2020-09-09 00:00:00,3973,657
Wisconsin,2020-09-10 00:00:00,3648,797
Wisconsin,2020-09-11 00:00:00,3454,580
Wisconsin,2020-09-12 00:00:00,1405,280
Wisconsin,2020-09-13 00:00:00,1791,236
Wisconsin,2020-09-14 00:00:00,2880,593
Wisconsin,2020-09-15 00:00:00,3549,621
Wisconsin,2020-09-16 00:00:00,4152,849
Wisconsin,2020-09-17 00:00:00,3814,806
Wisconsin,2020-09-18 00:00:00,3669,694
Wisconsin,2020-09-19 00:00:00,1618,179
Wisconsin,2020-09-20 00:00:00,1829,227
Wisconsin,2020-09-21 00:00:00,3067,492
Wisconsin,2020-09-22 00:00:00,3214,617
Wisconsin,2020-09-23 00:00:00,4161,675
Wisconsin,2020-09-24 00:00:00,3427,555
Wisconsin,2020-09-25 00:00:00,3773,599
Wisconsin,2020-09-26 00:00:00,1660,160
Wisconsin,2020-09-27 00:00:00,1483,193
Wisconsin,2020-09-28 00:00:00,3375,547
Wisconsin,2020-09-29 00:00:00,3557,740
Wisconsin,2020-09-30 00:00:00,4094,787
Wisconsin,2020-10-01 00:00:00,3811,643
Wisconsin,2020-10-02 00:00:00,3371,885
Wisconsin,2020-10-03 00:00:00,1594,347
Wisconsin,2020-10-04 00:00:00,1075,185
Wisconsin,2020-10-05 00:00:00,3029,655
Wisconsin,2020-10-06 00:00:00,4032,814
Wisconsin,2020-10-07 00:00:00,3852,744
Wisconsin,2020-10-08 00:00:00,3354,712
Wisconsin,2020-10-09 00:00:00,3040,535
Wisconsin,2020-10-10 00:00:00,1230,172
Wisconsin,2020-10-11 00:00:00,973,158
Wisconsin,2020-10-12 00:00:00,2855,642
Wisconsin,2020-10-13 00:00:00,3102,760
Wisconsin,2020-10-14 00:00:00,3777,644
Wisconsin,2020-10-15 00:00:00,3910,910
Wisconsin,2020-10-16 00:00:00,3284,633
Wisconsin,2020-10-17 00:00:00,1340,247
Wisconsin,2020-10-18 00:00:00,1441,160
Wisconsin,2020-10-19 00:00:00,3181,661
Wisconsin,2020-10-20 00:00:00,3631,564
