state,date,total,covid
West Virginia,2020-03-01 00:00:00,187,41
West Virginia,2020-03-02 00:00:00,526,79
West Virginia,2020-03-03 00:00:00,641,112
West Virginia,2020-03-04 00:00:00,601,114
West Virginia,2020-03-05 00:00:00,543,112
West Virginia,2020-03-06 00:00:00,475,109
West Virginia,2020-03-07 00:00:00,262,95
West Virginia,2020-03-08 00:00:00,209,74
West Virginia,2020-03-09 00:00:00,509,152
West Virginia,2020-03-10 00:00:00,532,165
West Virginia,2020-03-11 00:00:00,624,284
West Virginia,2020-03-12 00:00:00,608,328
West Virginia,2020-03-13 00:00:00,577,343
West Virginia,2020-03-14 00:00:00,208,120
West Virginia,2020-03-15 00:00:00,358,232
West Virginia,2020-03-16 00:00:00,540,328
West Virginia,2020-03-17 00:00:00,648,372
West Virginia,2020-03-18 00:00:00,590,360
West Virginia,2020-03-19 00:00:00,631,396
West Virginia,2020-03-20 00:00:00,561,317
West Virginia,2020-03-21 00:00:00,376,200
West Virginia,2020-03-22 00:00:00,240,149
West Virginia,2020-03-23 00:00:00,582,330
West Virginia,2020-03-24 00:00:00,637,381
West Virginia,2020-03-25 00:00:00,591,357
West Virginia,2020-03-26 00:00:00,636,363
West Virginia,2020-03-27 00:00:00,533,343
West Virginia,2020-03-28 00:00:00,274,145
West Virginia,2020-03-29 00:00:00,242,133
West Virginia,2020-03-30 00:00:00,508,313
West Virginia,2020-03-31 00:00:00,498,291
West Virginia,2020-04-01 00:00:00,560,286
West Virginia,2020-04-02 00:00:00,582,340
West Virginia,2020-04-03 00:00:00,571,318
West Virginia,2020-04-04 00:00:00,269,139
West Virginia,2020-04-05 00:00:00,256,153
West Virginia,2020-04-06 00:00:00,537,287
West Virginia,2020-04-07 00:00:00,513,266
West Virginia,2020-04-08 00:00:00,531,260
West Virginia,2020-04-09 00:00:00,509,276
West Virginia,2020-04-10 00:00:00,475,266
West Virginia,2020-04-11 00:00:00,355,111
West Virginia,2020-04-12 00:00:00,238,111
West Virginia,2020-04-13 00:00:00,575,239
West Virginia,2020-04-14 00:00:00,458,231
West Virginia,2020-04-15 00:00:00,589,290
West Virginia,2020-04-16 00:00:00,512,274
West Virginia,2020-04-17 00:00:00,477,247
West Virginia,2020-04-18 00:00:00,221,102
West Virginia,2020-04-19 00:00:00,309,156
West Virginia,2020-04-20 00:00:00,503,245
West Virginia,2020-04-21 00:00:00,568,269
West Virginia,2020-04-22 00:00:00,555,246
West Virginia,2020-04-23 00:00:00,476,236
West Virginia,2020-04-24 00:00:00,535,242
West Virginia,2020-04-25 00:00:00,251,106
West Virginia,2020-04-26 00:00:00,196,85
West Virginia,2020-04-27 00:00:00,543,258
West Virginia,2020-04-28 00:00:00,516,246
West Virginia,2020-04-29 00:00:00,544,248
West Virginia,2020-04-30 00:00:00,463,202
West Virginia,2020-05-01 00:00:00,548,225
West Virginia,2020-05-02 00:00:00,221,94
West Virginia,2020-05-03 00:00:00,218,113
West Virginia,2020-05-04 00:00:00,476,210
West Virginia,2020-05-05 00:00:00,525,222
West Virginia,2020-05-06 00:00:00,447,178
West Virginia,2020-05-07 00:00:00,532,221
West Virginia,2020-05-08 00:00:00,483,216
West Virginia,2020-05-09 00:00:00,241,90
West Virginia,2020-05-10 00:00:00,191,94
West Virginia,2020-05-11 00:00:00,494,197
West Virginia,2020-05-12 00:00:00,471,191
West Virginia,2020-05-13 00:00:00,483,182
West Virginia,2020-05-14 00:00:00,495,211
West Virginia,2020-05-15 00:00:00,630,249
West Virginia,2020-05-16 00:00:00,250,91
West Virginia,2020-05-17 00:00:00,314,118
West Virginia,2020-05-18 00:00:00,475,184
West Virginia,2020-05-19 00:00:00,530,159
West Virginia,2020-05-20 00:00:00,534,197
West Virginia,2020-05-21 00:00:00,472,185
West Virginia,2020-05-22 00:00:00,456,161
West Virginia,2020-05-23 00:00:00,292,104
West Virginia,2020-05-24 00:00:00,206,83
West Virginia,2020-05-25 00:00:00,306,104
West Virginia,2020-05-26 00:00:00,515,179
West Virginia,2020-05-27 00:00:00,523,164
West Virginia,2020-05-28 00:00:00,518,178
West Virginia,2020-05-29 00:00:00,490,142
West Virginia,2020-05-30 00:00:00,245,69
West Virginia,2020-05-31 00:00:00,262,52
West Virginia,2020-06-01 00:00:00,475,131
