state,date,total,covid
Wyoming,2020-03-01 00:00:00,171,10
Wyoming,2020-03-02 00:00:00,418,39
Wyoming,2020-03-03 00:00:00,384,39
Wyoming,2020-03-04 00:00:00,487,38
Wyoming,2020-03-05 00:00:00,491,42
Wyoming,2020-03-06 00:00:00,361,27
Wyoming,2020-03-07 00:00:00,145,31
Wyoming,2020-03-08 00:00:00,91,12
Wyoming,2020-03-09 00:00:00,414,81
Wyoming,2020-03-10 00:00:00,404,90
Wyoming,2020-03-11 00:00:00,582,168
Wyoming,2020-03-12 00:00:00,559,232
Wyoming,2020-03-13 00:00:00,559,259
Wyoming,2020-03-14 00:00:00,249,122
Wyoming,2020-03-15 00:00:00,258,101
Wyoming,2020-03-16 00:00:00,518,255
Wyoming,2020-03-17 00:00:00,638,266
Wyoming,2020-03-18 00:00:00,748,324
Wyoming,2020-03-19 00:00:00,570,267
Wyoming,2020-03-20 00:00:00,485,209
Wyoming,2020-03-21 00:00:00,235,89
Wyoming,2020-03-22 00:00:00,109,40
Wyoming,2020-03-23 00:00:00,484,187
Wyoming,2020-03-24 00:00:00,545,233
Wyoming,2020-03-25 00:00:00,658,282
Wyoming,2020-03-26 00:00:00,522,198
Wyoming,2020-03-27 00:00:00,604,256
Wyoming,2020-03-28 00:00:00,195,79
Wyoming,2020-03-29 00:00:00,113,44
Wyoming,2020-03-30 00:00:00,476,190
Wyoming,2020-03-31 00:00:00,473,174
Wyoming,2020-04-01 00:00:00,743,283
Wyoming,2020-04-02 00:00:00,551,223
Wyoming,2020-04-03 00:00:00,545,257
Wyoming,2020-04-04 00:00:00,161,64
Wyoming,2020-04-05 00:00:00,175,89
Wyoming,2020-04-06 00:00:00,474,185
Wyoming,2020-04-07 00:00:00,479,183
Wyoming,2020-04-08 00:00:00,518,159
Wyoming,2020-04-09 00:00:00,603,226
Wyoming,2020-04-10 00:00:00,447,137
Wyoming,2020-04-11 00:00:00,170,66
Wyoming,2020-04-12 00:00:00,132,49
Wyoming,2020-04-13 00:00:00,450,181
Wyoming,2020-04-14 00:00:00,427,156
Wyoming,2020-04-15 00:00:00,573,171
Wyoming,2020-04-16 00:00:00,617,186
Wyoming,2020-04-17 00:00:00,388,135
Wyoming,2020-04-18 00:00:00,218,75
Wyoming,2020-04-19 00:00:00,97,24
Wyoming,2020-04-20 00:00:00,420,162
Wyoming,2020-04-21 00:00:00,459,176
Wyoming,2020-04-22 00:00:00,554,131
Wyoming,2020-04-23 00:00:00,528,138
Wyoming,2020-04-24 00:00:00,366,124
Wyoming,2020-04-25 00:00:00,206,68
Wyoming,2020-04-26 00:00:00,103,22
Wyoming,2020-04-27 00:00:00,367,99
Wyoming,2020-04-28 00:00:00,385,109
Wyoming,2020-04-29 00:00:00,713,201
Wyoming,2020-04-30 00:00:00,489,154
Wyoming,2020-05-01 00:00:00,409,103
Wyoming,2020-05-02 00:00:00,142,45
Wyoming,2020-05-03 00:00:00,86,26
Wyoming,2020-05-04 00:00:00,370,101
Wyoming,2020-05-05 00:00:00,458,121
Wyoming,2020-05-06 00:00:00,534,136
Wyoming,2020-05-07 00:00:00,457,109
Wyoming,2020-05-08 00:00:00,475,105
Wyoming,2020-05-09 00:00:00,140,36
Wyoming,2020-05-10 00:00:00,84,20
Wyoming,2020-05-11 00:00:00,324,73
Wyoming,2020-05-12 00:00:00,456,117
Wyoming,2020-05-13 00:00:00,628,121
Wyoming,2020-05-14 00:00:00,605,148
Wyoming,2020-05-15 00:00:00,483,103
Wyoming,2020-05-16 00:00:00,227,72
Wyoming,2020-05-17 00:00:00,121,45
Wyoming,2020-05-18 00:00:00,451,121
Wyoming,2020-05-19 00:00:00,448,111
Wyoming,2020-05-20 00:00:00,537,120
Wyoming,2020-05-21 00:00:00,470,134
Wyoming,2020-05-22 00:00:00,468,92
Wyoming,2020-05-23 00:00:00,137,27
Wyoming,2020-05-24 00:00:00,120,25
Wyoming,2020-05-25 00:00:00,145,31
Wyoming,2020-05-26 00:00:00,360,78
Wyoming,2020-05-27 00:00:00,478,109
Wyoming,2020-05-28 00:00:00,453,100
Wyoming,2020-05-29 00:00:00,428,84
Wyoming,2020-05-30 00:00:00,160,39
Wyoming,2020-05-31 00:00:00,102,32
Wyoming,2020-06-01 00:00:00,394,57
