,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10556,AL,2020-04-13,203.0,6.0,3.6469131229352314,,,
6344,AL,2020-04-14,171.0,15.0,4.670608037064767,,,
6292,AL,2020-04-15,266.0,4.0,2.6018912308867357,,,
16848,AL,2020-04-16,158.0,15.0,5.758283877850161,,,
16900,AL,2020-04-17,92.0,15.0,4.819896875533843,,,
8216,AL,2020-04-18,231.0,5.0,3.007103802877296,,,
8268,AL,2020-04-19,190.0,4.0,3.7535480092653017,4.036892136630477,187.28571428571428,9.142857142857142
4524,AL,2020-04-20,185.0,6.0,4.0734526691458655,4.09782635751771,184.71428571428572,9.142857142857142
4472,AL,2020-04-21,241.0,20.0,5.075820603438274,4.15571386699964,194.71428571428572,9.857142857142858
19240,AL,2020-04-22,288.0,13.0,5.886245741802398,4.62490736855902,197.85714285714286,11.142857142857142
19292,AL,2020-04-23,207.0,6.0,5.097147580763661,4.530459326118091,204.85714285714286,9.857142857142858
30576,AL,2020-04-24,193.0,7.0,4.137433601121984,4.4329645726306826,219.28571428571428,8.714285714285714
30524,AL,2020-04-25,182.0,0.0,0.0,4.003378315076783,212.28571428571428,8.0
9360,AL,2020-04-26,201.0,10.0,8.42415604352152,4.670608034256243,213.85714285714286,8.857142857142858
9412,AL,2020-04-27,146.0,9.0,2.5165833243937925,4.4481981278630895,208.28571428571428,9.285714285714286
17732,AL,2020-04-28,199.0,14.0,4.499992215653265,4.365936929608089,202.28571428571428,8.428571428571429
17784,AL,2020-04-29,159.0,14.0,3.454970326710111,4.018611870309191,183.85714285714286,8.571428571428571
13520,AL,2020-04-30,208.0,16.0,3.7535480092652733,3.8266690743808494,184.0,10.0
2756,AL,2020-05-01,253.0,17.0,4.393357329026429,3.8632296069386274,192.57142857142858,11.428571428571429
21268,AL,2020-05-02,260.0,-1.0,6.760651812142612,4.829037008673287,203.71428571428572,11.285714285714286
21216,AL,2020-05-03,277.0,2.0,5.9075727191277565,4.469525105188462,214.57142857142858,10.142857142857142
24336,AL,2020-05-04,226.0,8.0,4.777242920883083,4.792476476115504,226.0,10.0
24388,AL,2020-05-05,317.0,17.0,6.931267630745566,5.139801535414405,242.85714285714286,10.428571428571429
15028,AL,2020-05-06,249.0,28.0,5.417052240644267,5.420098951690712,255.71428571428572,12.428571428571429
14976,AL,2020-05-07,346.0,26.0,7.571076950506637,5.965460229010907,275.42857142857144,13.857142857142858
22828,AL,2020-05-08,322.0,14.0,7.229845313300814,6.370672798192962,285.2857142857143,13.428571428571429
22776,AL,2020-05-09,283.0,7.0,6.035534583079965,6.267084622612584,288.57142857142856,14.571428571428571
11856,AL,2020-05-10,262.0,3.0,4.713261988906993,6.096468804009618,286.42857142857144,14.714285714285714
11908,AL,2020-05-11,280.0,10.0,5.8649187644769825,6.251851067380175,294.14285714285717,15.0
28964,AL,2020-05-12,304.0,32.0,6.398093197611331,6.175683291218141,292.2857142857143,17.142857142857142
28912,AL,2020-05-13,256.0,15.0,5.033166648787528,6.120842492381464,293.2857142857143,15.285714285714286
17628,AL,2020-05-14,339.0,23.0,-1.7947994809415206,4.782860145031727,292.2857142857143,14.857142857142858
17680,AL,2020-05-15,333.0,10.0,5.547414588680567,4.542512898657407,293.85714285714283,14.285714285714286
7176,AL,2020-05-16,334.0,2.0,6.138866879385603,4.557274655272498,301.14285714285717,13.571428571428571
7124,AL,2020-05-17,309.0,3.0,1.978305937875092,4.1665666479822265,307.85714285714283,13.571428571428571
