,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10559,AR,2020-04-13,130.0,2.0,5.021191358104616,,,
6347,AR,2020-04-14,88.0,3.0,3.398960301895386,,,
6295,AR,2020-04-15,71.0,1.0,2.742342975358966,,,
16851,AR,2020-04-16,51.0,4.0,1.9698519945910178,,,
16903,AR,2020-04-17,75.0,0.0,2.896841168516204,,,
8219,AR,2020-04-18,49.0,1.0,1.8926028967639184,,,
8271,AR,2020-04-19,37.0,1.0,1.429108309801336,2.7644141435759204,71.57142857142857,1.7142857142857142
4527,AR,2020-04-20,192.0,2.0,7.4159133914014745,3.1065172911897574,80.42857142857143,1.7142857142857142
4475,AR,2020-04-21,17.0,1.0,0.6566173315303416,2.714754009709037,70.28571428571429,1.4285714285714286
19243,AR,2020-04-22,286.0,0.0,11.046620989275112,3.9010794402684863,101.0,1.2857142857142858
19295,AR,2020-04-23,323.0,3.0,12.475729299076448,5.401919055194976,139.85714285714286,1.1428571428571428
30579,AR,2020-04-24,211.0,2.0,8.149779820758923,6.152338862658222,159.28571428571428,1.4285714285714286
30527,AR,2020-04-25,101.0,1.0,3.9010794402684894,6.439264083158875,166.71428571428572,1.4285714285714286
9363,AR,2020-04-26,90.0,3.0,3.476209402219439,6.731707096361461,174.28571428571428,1.7142857142857142
9415,AR,2020-04-27,68.0,0.0,2.6264693261213665,6.047500801321446,156.57142857142858,1.4285714285714286
17735,AR,2020-04-28,58.0,6.0,2.2402238369858622,6.273730302100806,162.42857142857142,2.142857142857143
17787,AR,2020-04-29,66.0,0.0,2.54922022829426,5.059815907674969,131.0,2.142857142857143
13523,AR,2020-04-30,88.0,4.0,3.398960304392361,3.7631346227201,97.42857142857143,2.2857142857142856
2759,AR,2020-05-01,56.0,3.0,2.1629747391587557,2.907876753920076,75.28571428571429,2.4285714285714284
21271,AR,2020-05-02,35.0,8.0,1.3518592119742152,2.543702435592323,65.85714285714286,3.4285714285714284
21219,AR,2020-05-03,65.0,4.0,2.510595679380714,2.4057576180439333,62.285714285714285,3.5714285714285716
24339,AR,2020-05-04,54.0,4.0,2.0857256413316634,2.328508520216833,60.285714285714285,4.142857142857143
24391,AR,2020-05-05,34.0,3.0,1.3132346630606833,2.196081495370379,56.857142857142854,3.7142857142857144
15031,AR,2020-05-06,86.0,4.0,3.3217112065652543,2.306437349409092,59.714285714285715,4.285714285714286
14979,AR,2020-05-07,92.0,0.0,3.5534585000465313,2.328508520216831,60.285714285714285,3.7142857142857144
22831,AR,2020-05-08,44.0,1.0,1.6994801521961733,2.262295007793605,58.57142857142857,3.4285714285714284
22779,AR,2020-05-09,0.0,0.0,0.0,2.06917226322586,53.57142857142857,2.2857142857142856
11859,AR,2020-05-10,265.0,3.0,10.235505462090572,3.1727308036129824,82.14285714285714,2.142857142857143
11911,AR,2020-05-11,31.0,3.0,1.1973610163200306,3.0458215714684633,78.85714285714286,2.0
28967,AR,2020-05-12,121.0,1.0,4.673570418539498,3.5258695365368657,91.28571428571429,1.7142857142857142
28915,AR,2020-05-13,72.0,2.0,2.780967521775551,3.448620438709765,89.28571428571429,1.4285714285714286
17631,AR,2020-05-14,130.0,1.0,-18.938852203609997,0.2354331953302611,94.71428571428571,1.5714285714285714
17683,AR,2020-05-15,97.0,0.0,3.214257784799827,0.4518299999879259,102.28571428571429,1.4285714285714286
7179,AR,2020-05-16,115.0,0.0,3.8107179922884598,0.996218284600563,118.71428571428571,1.4285714285714286
7127,AR,2020-05-17,181.0,0.0,5.997738753080029,0.3908230404561997,106.71428571428571,1.0
30059,AR,2020-05-18,54.0,2.0,1.7893806224658704,0.4753972699056054,110.0,0.8571428571428571
30007,AR,2020-05-19,110.0,2.0,3.6450346013193666,0.3284635817313009,108.42857142857143,1.0
18463,AR,2020-05-20,80.0,5.0,2.6509342555049784,0.30988740083550476,109.57142857142857,1.4285714285714286
18515,AR,2020-05-21,455.0,3.0,15.077188578184689,5.169321798234746,156.0,1.7142857142857142
3591,AR,2020-05-22,154.0,3.0,5.103048441847108,5.439149034955785,164.14285714285714,2.142857142857143
3539,AR,2020-05-23,163.0,2.0,5.401278545591396,5.66637197114192,171.0,2.4285714285714284
7803,AR,2020-05-24,147.0,1.0,4.871091694490474,5.505422391343411,166.14285714285714,2.5714285714285716
7855,AR,2020-05-25,107.0,1.0,3.545624566737928,5.756314383382277,173.71428571428572,2.4285714285714284
29175,AR,2020-05-26,151.0,2.0,5.003638407265669,5.950400641374606,179.57142857142858,2.4285714285714284
29123,AR,2020-05-27,97.0,1.0,3.214257784799827,6.03087543127387,182.0,1.8571428571428572
6139,AR,2020-05-28,261.0,5.0,8.648673008585064,5.112516064188209,154.28571428571428,2.142857142857143
6087,AR,2020-05-29,239.0,7.0,7.919666088321151,5.514890013684501,166.42857142857142,2.7142857142857144
25795,AR,2020-05-30,236.0,1.0,7.820256053739797,5.860458229134273,176.85714285714286,2.5714285714285716
25847,AR,2020-05-31,240.0,0.0,7.952802766514907,6.300702667994906,190.14285714285714,2.4285714285714284
13107,AR,2020-06-01,190.0,0.0,6.295968856824402,6.693608995150116,202.0,2.2857142857142856
25743,AR,2020-06-02,375.0,3.0,12.426254322679654,7.753982697352114,234.0,2.4285714285714284
25691,AR,2020-06-03,249.0,6.0,8.25103287025928,8.473521995274893,255.71428571428572,3.142857142857143
22051,AR,2020-06-04,358.0,9.0,11.862930793384862,8.932701678817722,269.57142857142856,3.7142857142857144
22103,AR,2020-06-05,226.0,1.0,7.488889271801611,8.871162133600645,267.7142857142857,2.857142857142857
471,AR,2020-06-06,450.0,2.0,14.91150518721571,9.884197724097204,298.2857142857143,3.0
419,AR,2020-06-07,325.0,0.0,10.76942041298895,10.286571673593496,310.42857142857144,3.0
23663,AR,2020-06-08,314.0,1.0,10.40491695285715,10.87356425874103,328.14285714285717,3.142857142857143
23507,AR,2020-06-09,340.0,6.0,11.26647058589623,10.707880867771971,323.14285714285717,3.5714285714285716
3799,AR,2020-06-10,288.0,4.0,9.543363319817956,10.89249950342321,328.7142857142857,3.2857142857142856
3851,AR,2020-06-11,448.0,6.0,14.845231830828027,11.318542508772234,341.57142857142856,2.857142857142857
18203,AR,2020-06-12,731.0,5.0,24.22291175967689,13.709117149897272,413.7142857142857,3.4285714285714284
18151,AR,2020-06-13,548.0,1.0,18.15889965020915,14.173030644610622,427.7142857142857,3.2857142857142856
29019,AR,2020-06-14,406.0,2.0,13.45349134668794,14.556469349424763,439.2857142857143,3.5714285714285716
29071,AR,2020-06-15,416.0,3.0,13.784858128625956,15.039318088820307,453.85714285714283,3.857142857142857
7959,AR,2020-06-16,274.0,6.0,9.079449825104632,14.726886551564364,444.42857142857144,3.857142857142857
7907,AR,2020-06-17,415.0,9.0,13.751721450432171,15.328080570223538,462.57142857142856,4.571428571428571
16435,AR,2020-06-18,322.0,11.0,10.670010378407596,14.731620362734905,444.57142857142856,5.285714285714286
16383,AR,2020-06-19,703.0,6.0,23.295084770250128,14.599073649959653,440.57142857142856,5.428571428571429
28707,AR,2020-06-20,511.0,10.0,16.932842557038157,14.423922636649511,435.2857142857143,6.714285714285714
28759,AR,2020-06-21,419.0,1.0,13.884268163207423,14.48546218186658,437.14285714285717,6.571428571428571
12171,AR,2020-06-22,522.0,2.0,17.29734601717007,14.987246165944311,452.2857142857143,6.428571428571429
12119,AR,2020-06-23,595.0,10.0,19.716323525318444,16.50679955168914,498.14285714285717,7.0
7335,AR,2020-06-24,697.0,3.0,23.096264701087307,17.841734301782733,538.4285714285714,6.142857142857143
7387,AR,2020-06-25,687.0,0.0,22.76489791914912,19.569575379031523,590.5714285714286,4.571428571428571
17579,AR,2020-06-26,678.0,9.0,22.46666781540489,19.451230099767916,587.0,5.0
17527,AR,2020-06-27,570.0,10.0,18.887906570473092,19.73052495883005,595.4285714285714,5.0
9103,AR,2020-06-28,508.0,5.0,16.833432522456746,20.151834153008526,608.1428571428571,5.571428571428571
8947,AR,2020-06-29,439.0,1.0,14.547001727083625,19.758927825853316,596.2857142857143,5.428571428571429
21011,AR,2020-06-30,520.0,5.0,17.2310726607825,19.40389198806247,585.5714285714286,4.714285714285714
26315,AR,2020-07-01,420.0,7.0,13.917404841401208,18.0926262938216,546.0,5.285714285714286
13679,AR,2020-07-02,878.0,2.0,29.094003454167364,18.996784227395633,573.2857142857143,5.571428571428571
13731,AR,2020-07-03,547.0,2.0,18.125762972015423,18.37665496405428,554.5714285714286,4.571428571428571
1615,AR,2020-07-04,587.0,5.0,19.451230099767827,18.457129753953527,557.0,3.857142857142857
1563,AR,2020-07-05,605.0,1.0,20.04769030725663,18.91630943749637,570.8571428571429,3.2857142857142856
23143,AR,2020-07-06,439.0,5.0,14.547001727083625,18.91630943749637,570.8571428571429,3.857142857142857
23195,AR,2020-07-07,259.0,9.0,8.58239965219741,17.680784721984214,533.5714285714286,4.428571428571429
15187,AR,2020-07-08,734.0,4.0,24.322321794258414,19.167201429535243,578.4285714285714,4.0
15343,AR,2020-07-09,806.0,4.0,26.708162624212832,18.826367025256022,568.1428571428571,4.285714285714286
19087,AR,2020-07-10,751.0,4.0,24.88564532355315,19.792064504047126,597.2857142857143,4.571428571428571
19035,AR,2020-07-11,1061.0,6.0,35.15801556363499,22.035890998885293,665.0,4.714285714285714
4683,AR,2020-07-12,503.0,2.0,16.667749131487767,21.55304225948974,650.4285714285714,4.857142857142857
