,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10558,AZ,2020-04-13,163.0,7.0,2.239405650821972,,,
6346,AZ,2020-04-14,104.0,9.0,1.4288232391780298,,,
6294,AZ,2020-04-15,155.0,11.0,2.1294961734327345,,,
16850,AZ,2020-04-16,273.0,8.0,3.7506610024816283,,,
16902,AZ,2020-04-17,274.0,19.0,3.764399687472384,,,
8218,AZ,2020-04-18,213.0,11.0,2.926339903035114,,,
8270,AZ,2020-04-19,209.0,4.0,2.8713851630720058,2.7300729742134098,198.71428571428572,9.857142857142858
4526,AZ,2020-04-20,135.0,7.0,1.8547224737546486,2.6751182346323636,194.71428571428572,9.857142857142858
4474,AZ,2020-04-21,188.0,17.0,2.582872778265724,2.8399824545020342,206.71428571428572,11.0
19242,AZ,2020-04-22,217.0,23.0,2.9812946429982077,2.9616679501542444,215.57142857142858,12.714285714285714
19294,AZ,2020-04-23,299.0,18.0,4.107866812241781,3.0126973515485522,219.28571428571428,14.142857142857142
30578,AZ,2020-04-24,273.0,17.0,3.750661002481621,3.0107346822641574,219.14285714285714,13.857142857142858
30526,AZ,2020-04-25,241.0,7.0,3.3110230827768135,3.0656894222272575,223.14285714285714,13.285714285714286
9362,AZ,2020-04-26,248.0,2.0,3.4071938777122313,3.1422335243187183,228.71428571428572,13.0
9414,AZ,2020-04-27,191.0,0.0,2.624088833238062,3.25214300424492,236.71428571428572,12.0
17734,AZ,2020-04-28,230.0,0.0,3.1598975478782876,3.334575114189572,242.71428571428572,9.571428571428571
17786,AZ,2020-04-29,254.0,33.0,3.489625987656879,3.4071938777122392,248.0,11.0
13522,AZ,2020-04-30,446.0,12.0,6.127453505885711,3.6957062625185153,269.0,10.142857142857142
2758,AZ,2020-05-01,314.0,10.0,4.313947087103401,3.7761757031787693,274.85714285714283,9.142857142857142
21270,AZ,2020-05-02,395.0,0.0,5.426780571356204,4.078426772975825,296.85714285714283,8.142857142857142
21218,AZ,2020-05-03,276.0,32.0,3.791877057453945,4.133381512938927,300.85714285714283,12.428571428571429
24338,AZ,2020-05-04,284.0,0.0,3.901786537380133,4.315909756387795,314.14285714285717,12.428571428571429
24390,AZ,2020-05-05,381.0,33.0,5.2344389814853685,4.612272818331663,335.7142857142857,17.142857142857142
15030,AZ,2020-05-06,402.0,31.0,5.5229513662915934,4.902747872422337,356.85714285714283,16.857142857142858
14978,AZ,2020-05-07,238.0,24.0,3.2698070278044895,4.494512661267876,327.14285714285717,18.571428571428573
22830,AZ,2020-05-08,581.0,67.0,7.982175979640374,5.018545360201729,365.2857142857143,26.714285714285715
22778,AZ,2020-05-09,434.0,15.0,5.962589285996415,5.095089462293188,370.85714285714283,28.857142857142858
11858,AZ,2020-05-10,159.0,4.0,2.1844509135332544,4.865457156018804,354.14285714285717,24.857142857142858
11910,AZ,2020-05-11,264.0,6.0,3.6270128375646493,4.826203770330878,351.2857142857143,25.714285714285715
28966,AZ,2020-05-12,353.0,20.0,4.849755801743612,4.77124903036777,347.2857142857143,23.857142857142858
28914,AZ,2020-05-13,480.0,33.0,6.594568795572087,4.9243372345506975,358.42857142857144,24.142857142857142
17630,AZ,2020-05-14,458.0,29.0,6.292317725775007,5.356124477117914,389.85714285714283,24.857142857142858
17682,AZ,2020-05-15,495.0,27.0,6.800649070433707,5.187334918659819,377.57142857142856,19.142857142857142
7178,AZ,2020-05-16,497.0,28.0,6.828126440415218,5.310983083576791,386.57142857142856,21.0
7126,AZ,2020-05-17,279.0,1.0,3.8330931124262975,5.5465033977043685,403.7142857142857,20.571428571428573
30058,AZ,2020-05-18,263.0,7.0,3.6132741525738936,5.544540728419975,403.57142857142856,20.714285714285715
30006,AZ,2020-05-19,368.0,18.0,5.055836076605317,5.573980767685932,405.7142857142857,20.428571428571427
18462,AZ,2020-05-20,330.0,42.0,4.533766046955691,5.279580375026447,384.2857142857143,21.714285714285715
18514,AZ,2020-05-21,442.0,17.0,6.07249876592266,5.248177666476112,382.0,20.0
