,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10560,CA,2020-04-13,1201.0,62.0,2.8973220652820544,,,
6348,CA,2020-04-14,1137.0,87.0,3.634404884717938,,,
6296,CA,2020-04-15,1812.0,92.0,3.392111223219544,,,
16852,CA,2020-04-16,1222.0,82.0,2.5275054312036502,,,
16904,CA,2020-04-17,1718.0,68.0,3.774680159617958,,,
8220,CA,2020-04-18,1345.0,104.0,3.402313062790796,,,
8272,CA,2020-04-19,665.0,34.0,2.3974319932708568,3.1465384028718284,1300.0,75.57142857142857
4528,CA,2020-04-20,2255.0,40.0,5.751286324282773,3.5542475827290736,1450.5714285714287,72.42857142857143
4476,CA,2020-04-21,2191.0,89.0,4.537267570243486,3.6832279663755805,1601.142857142857,72.71428571428571
19244,CA,2020-04-22,1996.0,124.0,4.792313526974425,3.8832568669119922,1627.4285714285713,77.28571428571429
19296,CA,2020-04-23,1849.0,90.0,5.654368860725015,4.329951642557901,1717.0,78.42857142857143
30580,CA,2020-04-24,1870.0,83.0,4.575524463753126,4.444357971720068,1738.7142857142858,80.57142857142857
30528,CA,2020-04-25,966.0,75.0,2.583615541684452,4.327401182990591,1684.5714285714287,76.42857142857143
9364,CA,2020-04-26,1302.0,31.0,3.0350468850982253,4.418489024680214,1775.5714285714287,76.0
9416,CA,2020-04-27,1577.0,40.0,3.5910470707716797,4.109883417035773,1678.7142857142858,76.0
17736,CA,2020-04-28,1515.0,92.0,3.055450561636704,3.8981952729490894,1582.142857142857,76.42857142857143
17788,CA,2020-04-29,2395.0,82.0,6.587837062360279,4.154698635147069,1639.142857142857,70.42857142857143
13524,CA,2020-04-30,1486.0,90.0,3.5272855815889415,3.8508295952704867,1587.2857142857142,70.42857142857143
2760,CA,2020-05-01,1834.0,97.0,4.835671339618685,3.8879934346798524,1582.142857142857,72.42857142857143
21272,CA,2020-05-02,1337.0,60.0,3.3691570884157613,4.000213655641468,1635.142857142857,70.28571428571429
21220,CA,2020-05-03,1367.0,42.0,3.9685150867334755,4.133566255875075,1644.4285714285713,71.85714285714286
24340,CA,2020-05-04,1360.0,45.0,2.5020008355305663,3.9779882222692016,1613.4285714285713,72.57142857142857
24392,CA,2020-05-05,2587.0,113.0,6.55978200711985,4.478607000195366,1766.5714285714287,75.57142857142857
15032,CA,2020-05-06,1878.0,81.0,5.5089926653883765,4.324486372056522,1692.7142857142858,75.42857142857143
14980,CA,2020-05-07,1923.0,70.0,3.90730405711804,4.378774725703536,1755.142857142857,72.57142857142857
22832,CA,2020-05-08,2122.0,92.0,4.159799554281705,4.282221613512539,1796.2857142857142,71.85714285714286
22780,CA,2020-05-09,2128.0,70.0,7.087727137552918,4.813445906246419,1909.2857142857142,73.28571428571429
11860,CA,2020-05-10,1190.0,41.0,2.6575788691364153,4.626169303732553,1884.0,73.14285714285714
11912,CA,2020-05-11,1502.0,59.0,4.409744591878024,4.898704126067904,1904.2857142857142,75.14285714285714
28968,CA,2020-05-12,1686.0,93.0,4.205707826493239,4.562407814549816,1775.5714285714287,72.28571428571429
28916,CA,2020-05-13,2031.0,79.0,4.641836412503153,4.438528349851928,1797.4285714285713,72.0
17632,CA,2020-05-14,1779.0,106.0,3.819844057889213,4.426034064247809,1776.857142857143,77.14285714285714
17684,CA,2020-05-15,1943.0,82.0,4.611231314421389,4.4905243156963355,1751.2857142857142,75.71428571428571
7180,CA,2020-05-16,2068.0,67.0,5.142712420913398,4.212665070462118,1742.7142857142858,75.28571428571429
7128,CA,2020-05-17,1587.0,36.0,3.6469727355001,4.354007051371217,1799.4285714285713,74.57142857142857
30060,CA,2020-05-18,1446.0,33.0,3.267343373720081,4.1908068773486535,1791.4285714285713,70.85714285714286
30008,CA,2020-05-19,2145.0,116.0,5.808329235234396,4.419752792883104,1857.0,74.14285714285714
18464,CA,2020-05-20,2275.0,91.0,5.681786114641,4.568317036045654,1891.857142857143,75.85714285714286
18516,CA,2020-05-21,2306.0,88.0,5.147774145737145,4.758021334309644,1967.142857142857,73.28571428571429
3592,CA,2020-05-22,2241.0,61.0,5.621045416756232,4.90228049178605,2009.7142857142858,70.28571428571429
3540,CA,2020-05-23,2067.0,66.0,5.7880823359394356,4.994476193932627,2009.5714285714287,70.14285714285714
7804,CA,2020-05-24,1785.0,19.0,3.7482072319747886,5.008938264857583,2037.857142857143,67.71428571428571
7856,CA,2020-05-25,2114.0,14.0,6.023452540243028,5.402668145789432,2133.285714285714,65.0
29176,CA,2020-05-26,2471.0,28.0,7.55968602424619,5.652861972791117,2179.8571428571427,52.42857142857143
29124,CA,2020-05-27,2663.0,103.0,4.208824190934564,5.442438840833055,2235.285714285714,54.142857142857146
6140,CA,2020-05-28,2160.0,88.0,6.9927728439880354,5.706010083440325,2214.4285714285716,54.142857142857146
6088,CA,2020-05-29,3142.0,77.0,7.109192514933966,5.9186025260371435,2343.1428571428573,56.42857142857143
25796,CA,2020-05-30,3655.0,62.0,8.28351267404014,6.275092574337244,2570.0,55.857142857142854
25848,CA,2020-05-31,2333.0,35.0,5.203453118798166,6.482984843883441,2648.285714285714,58.142857142857146
13108,CA,2020-06-01,2433.0,48.0,7.04085922981352,6.628328656679225,2693.8571428571427,63.0
25744,CA,2020-06-02,2420.0,90.0,6.281600506253483,6.445745011251696,2686.5714285714284,71.85714285714286
25692,CA,2020-06-03,2219.0,69.0,5.398329524511951,6.615674344619895,2623.1428571428573,67.0
22052,CA,2020-06-04,3029.0,79.0,7.13703200146449,6.6362827956879595,2747.285714285714,65.71428571428571
22104,CA,2020-06-05,3125.0,69.0,9.03517881036447,6.911423695035174,2744.8571428571427,64.57142857142857
472,CA,2020-06-06,2806.0,71.0,7.225612185879925,6.760295053869429,2623.5714285714284,65.85714285714286
420,CA,2020-06-07,2535.0,26.0,5.11740379679469,6.748002293583219,2652.4285714285716,64.57142857142857
23664,CA,2020-06-08,2254.0,28.0,8.101290580385694,6.8994924865221,2626.8571428571427,61.714285714285715
23508,CA,2020-06-09,2810.0,93.0,7.149686313523773,7.023504744703571,2682.5714285714284,62.142857142857146
3800,CA,2020-06-10,3098.0,113.0,7.779871054078683,7.363724963213103,2808.1428571428573,68.42857142857143
3852,CA,2020-06-11,3009.0,65.0,9.268018152256332,7.668151556183367,2805.285714285714,66.42857142857143
18204,CA,2020-06-12,3803.0,39.0,8.306290435746917,7.564024645523716,2902.1428571428573,62.142857142857146
18152,CA,2020-06-13,3249.0,85.0,8.501166841460702,7.746246739178113,2965.4285714285716,64.14285714285714
29020,CA,2020-06-14,2550.0,23.0,5.7754280238800675,7.84025020019031,2967.5714285714284,63.714285714285715
29072,CA,2020-06-15,2315.0,19.0,8.67073462305575,7.921599349143174,2976.285714285714,62.42857142857143
7960,CA,2020-06-16,3763.0,64.0,8.187339902389283,8.069835576123962,3112.4285714285716,58.285714285714285
7908,CA,2020-06-17,4544.0,80.0,9.710919074332878,8.345699579017419,3319.0,53.57142857142857
16436,CA,2020-06-18,4659.0,93.0,10.852338022085007,8.572030988992944,3554.714285714286,57.57142857142857
16384,CA,2020-06-19,4226.0,70.0,9.556536467209185,8.750637564916124,3615.1428571428573,62.0
28708,CA,2020-06-20,4702.0,82.0,11.011782354032562,9.109296923854961,3822.714285714286,61.57142857142857
28760,CA,2020-06-21,4178.0,23.0,8.435364418752158,9.489287837408117,4055.285714285714,61.57142857142857
