,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10561,CO,2020-04-13,384.0,17.0,6.776295641716615,,,
6349,CO,2020-04-14,259.0,21.0,4.570470358283387,,,
6297,CO,2020-04-15,6.0,1.0,0.10587947009457821,,,
16853,CO,2020-04-16,330.0,27.0,5.823379031564997,,,
16905,CO,2020-04-17,405.0,17.0,7.146874266011622,,,
8221,CO,2020-04-18,356.0,17.0,6.282190712839821,,,
8273,CO,2020-04-19,683.0,31.0,12.052629935026971,6.108245630791141,346.14285714285717,18.714285714285715
4529,CO,2020-04-20,0.0,0.0,0.0,5.140203396260197,291.2857142857143,16.285714285714285
4477,CO,2020-04-21,743.0,63.0,13.111426122584248,6.360339934017462,360.42857142857144,22.285714285714285
19245,CO,2020-04-22,418.0,23.0,7.376280106649006,7.398968596382381,419.2857142857143,25.428571428571427
19297,CO,2020-04-23,387.0,46.0,6.829235409744456,7.542662364693732,427.42857142857144,28.142857142857142
30581,CO,2020-04-24,978.0,122.0,17.25837785718352,8.987162877718289,509.2857142857143,43.142857142857146
30529,CO,2020-04-25,712.0,10.0,12.56438142567967,9.884618693838267,560.1428571428571,42.142857142857146
9365,CO,2020-04-26,473.0,4.0,8.346843278576443,9.35522060005962,530.1428571428571,38.285714285714285
9417,CO,2020-04-27,438.0,18.0,7.729212169168164,10.459393767083643,592.7142857142857,40.857142857142854
17737,CO,2020-04-28,437.0,30.0,7.71156556604214,9.687985116149056,549.0,36.142857142857146
17789,CO,2020-04-29,442.0,30.0,7.799798581671922,9.748487755438045,552.4285714285714,37.142857142857146
13525,CO,2020-04-30,526.0,11.0,9.282113244252116,10.098898874653425,572.2857142857143,32.142857142857146
2761,CO,2020-05-01,509.0,44.0,8.98212099111089,8.916576465214478,505.2857142857143,21.0
21273,CO,2020-05-02,432.0,11.0,7.6233325504123854,8.210712340176295,465.2857142857143,21.142857142857142
21221,CO,2020-05-03,410.0,10.0,7.235107281641319,8.051892912042705,456.2857142857143,22.0
24341,CO,2020-05-04,283.0,9.0,4.99398868464516,7.661146699967991,434.14285714285717,20.714285714285715
24393,CO,2020-05-05,449.0,52.0,7.923324803553612,7.691398019612486,435.85714285714283,23.857142857142858
15033,CO,2020-05-06,465.0,16.0,8.205670453568871,7.749379715597764,439.14285714285717,21.857142857142858
14981,CO,2020-05-07,538.0,25.0,9.49387248176356,7.779631035242256,440.85714285714283,23.857142857142858
22833,CO,2020-05-08,457.0,16.0,8.064497628561242,7.64854198344945,433.42857142857144,19.857142857142858
22781,CO,2020-05-09,548.0,7.0,9.670338513023125,7.940971406679556,450.0,19.285714285714285
11861,CO,2020-05-10,328.0,4.0,5.78808582531309,7.734254055775523,438.2857142857143,18.428571428571427
11913,CO,2020-05-11,176.0,16.0,3.1058021501680173,7.464513122278788,423.0,19.428571428571427
28969,CO,2020-05-12,278.0,23.0,4.905755669015377,7.033431817344755,398.57142857142856,15.285714285714286
28917,CO,2020-05-13,318.0,52.0,5.611619794053524,6.662853151699705,377.57142857142856,20.428571428571427
17633,CO,2020-05-14,363.0,24.0,0.5360403541615142,5.383162847756556,352.57142857142856,20.285714285714285
17685,CO,2020-05-15,394.0,64.0,6.841779168206358,5.208488781991572,343.57142857142856,27.142857142857142
7181,CO,2020-05-16,401.0,42.0,6.963333620433389,4.821773797335895,322.57142857142856,32.142857142857146
7129,CO,2020-05-17,305.0,23.0,5.296301132748567,4.751518841255249,319.2857142857143,34.857142857142854
30061,CO,2020-05-18,264.0,9.0,4.584339341133159,4.962738439964555,331.85714285714283,33.857142857142854
30009,CO,2020-05-19,280.0,33.0,4.8621780890807145,4.956513071402461,332.14285714285717,35.285714285714285
18465,CO,2020-05-20,315.0,42.0,5.46995035021564,4.93627457942562,331.7142857142857,33.857142857142854
18517,CO,2020-05-21,394.0,11.0,6.841779168206415,5.837094410003464,336.14285714285717,32.0
3593,CO,2020-05-22,296.0,14.0,5.140016837028156,5.593985505549434,322.14285714285717,24.857142857142858
3541,CO,2020-05-23,477.0,3.0,8.283067673183837,5.782518941656641,333.0,19.285714285714285
7805,CO,2020-05-24,210.0,5.0,3.646633566810465,5.546852146522626,319.42857142857144,16.714285714285715
7857,CO,2020-05-25,95.0,1.0,1.42392358323076,5.095364181107998,295.2857142857143,15.571428571428571
29177,CO,2020-05-26,296.0,19.0,5.140016837028156,5.135055430814775,297.57142857142856,13.571428571428571
29125,CO,2020-05-27,202.0,40.0,3.5077141928367155,4.854735979760643,281.42857142857144,13.285714285714286
6141,CO,2020-05-28,354.0,29.0,6.1298173765910065,4.753027152387014,275.7142857142857,15.857142857142858
6089,CO,2020-05-29,491.0,15.0,8.526176577637898,5.236764258188406,303.57142857142856,16.0
25797,CO,2020-05-30,486.0,7.0,8.439351968904191,5.259090586148456,304.85714285714283,16.571428571428573
25849,CO,2020-05-31,280.0,2.0,4.8621780890807145,5.432739803615634,314.85714285714283,16.142857142857142
13109,CO,2020-06-01,199.0,13.0,3.4556194275966163,5.7229820670964715,329.7142857142857,17.857142857142858
25745,CO,2020-06-02,211.0,16.0,3.6639984885572403,5.512122303029197,317.57142857142856,17.428571428571427
25693,CO,2020-06-03,272.0,20.0,4.723258715106965,5.685771520496376,327.57142857142856,14.571428571428571
22053,CO,2020-06-04,300.0,18.0,5.20947652401486,5.554294255842641,319.85714285714283,13.0
22105,CO,2020-06-05,255.0,12.0,4.428055045412805,4.968848322667627,286.14285714285717,12.571428571428571
473,CO,2020-06-06,233.0,3.0,4.046026766984994,4.3412304366791705,250.0,12.0
421,CO,2020-06-07,153.0,0.0,2.6568330272476715,4.026181142131593,231.85714285714286,11.714285714285714
23665,CO,2020-06-08,182.0,16.0,3.160415757902399,3.9840091893181335,229.42857142857142,12.142857142857142
23509,CO,2020-06-09,164.0,10.0,2.84784716646152,3.8674161433044594,222.71428571428572,11.285714285714286
3801,CO,2020-06-10,152.0,19.0,2.622103183754234,3.5672510673969264,205.57142857142858,11.142857142857142
3853,CO,2020-06-11,148.0,10.0,2.570008418514078,3.1901841951825287,183.85714285714286,10.0
18205,CO,2020-06-12,175.0,0.0,3.0388613056754252,2.9917279466486173,172.42857142857142,8.285714285714286
18153,CO,2020-06-13,195.0,15.0,3.386159740609685,2.897461228595002,167.0,10.0
29021,CO,2020-06-14,113.0,1.0,1.9622361573789817,2.798233104328046,161.28571428571428,10.142857142857142
29073,CO,2020-06-15,169.0,7.0,2.9346717751951132,2.765983963941291,159.42857142857142,8.857142857142858
7961,CO,2020-06-16,143.0,12.0,2.483183809780485,2.713889198701143,156.42857142857142,9.142857142857142
7909,CO,2020-06-17,229.0,14.0,3.9765670799981194,2.907384041021698,167.42857142857142,8.428571428571429
16437,CO,2020-06-18,230.0,7.0,3.993932001744838,3.1108016957689495,179.14285714285714,8.0
16385,CO,2020-06-19,286.0,5.0,4.96636761956097,3.3861597406097417,195.0,8.714285714285714
28709,CO,2020-06-20,161.0,4.0,2.795752401221307,3.3018158349828304,190.14285714285714,7.142857142857143
28761,CO,2020-06-21,191.0,0.0,3.3167000536229807,3.4953106773034017,201.28571428571428,7.0
12173,CO,2020-06-22,166.0,4.0,2.8652120882081817,3.485387864876697,200.85714285714286,6.571428571428571
12121,CO,2020-06-23,188.0,14.0,3.264605288382768,3.5970195046770237,207.28571428571428,6.857142857142857
7337,CO,2020-06-24,262.0,2.0,4.549609497639722,3.6788827071972525,212.0,5.142857142857143
