,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10562,CT,2020-04-13,1346.0,48.0,37.752921441954754,,,
6350,CT,2020-04-14,608.0,69.0,17.053325558045287,,,
6298,CT,2020-04-15,766.0,197.0,21.484946395937698,,,
16854,CT,2020-04-16,1129.0,103.0,31.66645490250852,,,
16906,CT,2020-04-17,925.0,65.0,25.944615398423764,,,
8222,CT,2020-04-18,741.0,50.0,20.783740551602136,,,
8274,CT,2020-04-19,412.0,41.0,11.55587193962225,23.74883945544206,846.7142857142857,81.85714285714286
4530,CT,2020-04-20,1853.0,204.0,51.973375495436926,25.780332891653796,919.1428571428571,104.14285714285714
4478,CT,2020-04-21,545.0,92.0,15.286286910422746,25.527898799136292,910.1428571428571,107.42857142857143
19246,CT,2020-04-22,2109.0,121.0,59.1537231084061,30.909152615203205,1102.0,96.57142857142857
19298,CT,2020-04-23,631.0,95.0,17.698434936654508,28.913721191509776,1030.857142857143,95.42857142857143
30582,CT,2020-04-24,836.0,128.0,23.448322673602433,28.55710794510673,1018.1428571428571,104.42857142857143
30530,CT,2020-04-25,647.0,98.0,18.14720666246501,28.180460246658566,1004.7142857142857,111.28571428571429
9366,CT,2020-04-26,686.0,59.0,19.241087744128322,29.278348218730862,1043.857142857143,113.85714285714286
9418,CT,2020-04-27,728.0,88.0,20.419113524381032,24.77059650858002,883.1428571428571,97.28571428571429
17738,CT,2020-04-28,315.0,75.0,8.835193351895668,23.849011714504723,850.2857142857143,94.85714285714286
17790,CT,2020-04-29,455.0,82.0,12.761945952738188,17.22161497798074,614.0,89.28571428571429
13526,CT,2020-04-30,933.0,88.0,26.169001261328958,18.431695881505657,657.1428571428571,88.28571428571429
2762,CT,2020-05-01,1064.0,82.0,29.84331976640317,19.345266894762908,689.7142857142857,81.71428571428571
21274,CT,2020-05-02,523.0,97.0,14.669225787433106,18.848412484044065,672.0,81.57142857142857
21222,CT,2020-05-03,0.0,0.0,0.0,16.099685663454302,574.0,73.14285714285714
24342,CT,2020-05-04,686.0,120.0,19.241087744128322,15.931396266275344,568.0,77.71428571428571
24394,CT,2020-05-05,648.0,77.0,18.17525489532818,17.26569077247999,615.5714285714286,78.0
15034,CT,2020-05-06,374.0,85.0,10.490039090822165,16.94113264934913,604.0,78.42857142857143
14982,CT,2020-05-07,789.0,79.0,22.13005572903387,16.36414043044983,583.4285714285714,77.14285714285714
22834,CT,2020-05-08,627.0,77.0,17.58624200520171,14.613129321706765,521.0,76.42857142857143
22782,CT,2020-05-09,573.0,58.0,16.07163743059118,14.813473842157919,528.1428571428571,70.85714285714286
11862,CT,2020-05-10,570.0,35.0,15.98749273200167,17.097401375301015,609.5714285714286,75.85714285714286
11914,CT,2020-05-11,211.0,41.0,5.91817713412695,15.194128431015104,541.7142857142857,64.57142857142857
28970,CT,2020-05-12,568.0,33.0,15.931396266275442,14.873577198293285,530.2857142857143,58.285714285714285
28918,CT,2020-05-13,522.0,84.0,14.641177554569936,15.46659697882868,551.4285714285714,58.142857142857146
17634,CT,2020-05-14,609.0,94.0,17.081373813664868,14.745356705204538,525.7142857142857,60.285714285714285
17686,CT,2020-05-15,621.0,66.0,17.4179526080228,14.721315362750406,524.8571428571429,58.714285714285715
7182,CT,2020-05-16,618.0,54.0,17.333807909433403,14.901625431156438,531.2857142857143,58.142857142857146
7130,CT,2020-05-17,716.0,69.0,20.0825347300231,15.486631430873786,552.1428571428571,63.0
30062,CT,2020-05-18,697.0,42.0,19.54961830562297,17.43398016965893,621.5714285714286,63.142857142857146
30010,CT,2020-05-19,314.0,22.0,8.807145119032384,16.416230005767066,585.2857142857143,61.57142857142857
18466,CT,2020-05-20,587.0,57.0,16.46431269067557,16.676677882353584,594.5714285714286,57.714285714285715
18518,CT,2020-05-21,191.0,54.0,5.357212476863879,15.001797691382015,534.8571428571429,52.0
3594,CT,2020-05-22,432.0,54.0,12.116836596885378,14.24449540407667,507.85714285714283,50.285714285714285
3542,CT,2020-05-23,382.0,38.0,10.714424953727757,13.29886926754729,474.14285714285717,48.0
7806,CT,2020-05-24,446.0,18.0,12.509511856969311,12.217008857111036,435.57142857142856,40.714285714285715
7858,CT,2020-05-25,405.0,49.0,11.359534309580113,11.046996857676342,393.85714285714283,41.714285714285715
29178,CT,2020-05-26,430.0,27.0,12.060740131159264,11.51179614512304,410.42857142857144,42.42857142857143
29126,CT,2020-05-27,-15.0,34.0,-0.42072349294767264,9.099648118891148,324.42857142857144,39.142857142857146
6142,CT,2020-05-28,271.0,23.0,7.601071105916844,9.420199351612998,335.85714285714283,34.714285714285715
6090,CT,2020-05-29,203.0,42.0,5.6937912712216985,8.50262144794676,303.14285714285717,33.0
25798,CT,2020-05-30,260.0,44.0,7.292540544421627,8.013780818045884,285.7142857142857,33.857142857142854
25850,CT,2020-05-31,179.0,32.0,5.0206336825058315,6.943941078836815,247.57142857142858,35.857142857142854
13110,CT,2020-06-01,539.0,26.0,15.117997513243836,7.480864393645918,266.7142857142857,32.57142857142857
25746,CT,2020-06-02,239.0,2.0,6.703527654295385,6.715548325522507,239.42857142857142,29.0
25694,CT,2020-06-03,112.0,17.0,3.14140208067397,7.224423407468456,257.57142857142856,26.571428571428573
22054,CT,2020-06-04,148.0,18.0,4.151138463747884,6.731575887158605,240.0,25.857142857142858
22106,CT,2020-06-05,221.0,31.0,6.198659462758542,6.803699914521011,242.57142857142858,24.285714285714285
474,CT,2020-06-06,358.0,17.0,10.041267365011436,7.1963751746052695,256.57142857142856,20.428571428571427
422,CT,2020-06-07,150.0,16.0,4.207234929474225,7.080175352743611,252.42857142857142,18.142857142857142
23666,CT,2020-06-08,124.0,13.0,3.4779808750317898,5.417315832999033,193.14285714285714,16.285714285714285
23510,CT,2020-06-09,87.0,13.0,2.440196259095046,4.808268490827556,171.42857142857142,17.857142857142858
3802,CT,2020-06-10,168.0,23.0,4.712103121011069,5.032654353732856,179.42857142857142,18.714285714285715
3854,CT,2020-06-11,114.0,26.0,3.197498546400084,4.896420079826028,174.57142857142858,19.857142857142858
18206,CT,2020-06-12,228.0,13.0,6.39499709280085,4.924468312689214,175.57142857142858,17.285714285714285
18154,CT,2020-06-13,305.0,27.0,8.55471102326419,4.712103121011036,168.0,18.714285714285715
29022,CT,2020-06-14,94.0,15.0,2.6365338891368992,4.487717258105704,160.0,18.571428571428573
29074,CT,2020-06-15,147.0,3.0,4.123090230884827,4.579875737513281,163.28571428571428,17.142857142857142
7962,CT,2020-06-16,114.0,6.0,3.197498546400311,4.68806177855689,167.14285714285714,16.142857142857142
7910,CT,2020-06-17,80.0,9.0,2.2438586290527383,4.335455422562843,154.57142857142858,14.142857142857142
16438,CT,2020-06-18,11.0,7.0,0.3085305614947629,3.922745710433511,139.85714285714286,11.428571428571429
16386,CT,2020-06-19,117.0,12.0,3.2816432449899366,3.4779808750319523,124.0,11.285714285714286
28710,CT,2020-06-20,158.0,13.0,4.431620792379363,2.8889679849055483,103.0,9.285714285714286
28762,CT,2020-06-21,40.0,9.0,1.1219293145263691,2.6725959028183297,95.28571428571429,8.428571428571429
12174,CT,2020-06-22,27.0,3.0,0.7573022873054924,2.1917690537355674,78.14285714285714,8.428571428571429
12122,CT,2020-06-23,117.0,14.0,3.2816432449897093,2.2037897249626246,78.57142857142857,9.571428571428571
7338,CT,2020-06-24,14.0,10.0,0.392675260084161,1.9393349579671135,69.14285714285714,9.714285714285714
7390,CT,2020-06-25,81.0,11.0,2.2719068619160225,2.219817286598722,79.14285714285714,10.285714285714286
17582,CT,2020-06-26,65.0,9.0,1.8231351361055204,2.0114589853295195,71.71428571428571,9.857142857142858
17530,CT,2020-06-27,147.0,4.0,4.123090230884372,1.9673831908302353,70.14285714285714,8.571428571428571
9106,CT,2020-06-28,97.0,5.0,2.7206785877269795,2.195775944144608,78.28571428571429,8.0
8950,CT,2020-06-29,59.0,4.0,1.6548457389267242,2.3239964372333555,82.85714285714286,8.142857142857142
21014,CT,2020-06-30,152.0,2.0,4.263331395200112,2.464237601549127,87.85714285714286,6.428571428571429
26318,CT,2020-07-01,58.0,2.0,1.6267975060634399,2.6405407795461673,94.14285714285714,5.285714285714286
13682,CT,2020-07-02,74.0,2.0,2.0755692318737147,2.6124925466829803,93.14285714285714,4.0
13734,CT,2020-07-03,71.0,9.0,1.991424533284544,2.6365338891371266,94.0,4.0
1618,CT,2020-07-04,0.0,0.0,0.0,2.047520999010788,73.0,3.4285714285714284
1566,CT,2020-07-05,0.0,0.0,0.0,1.6588526293355048,59.142857142857146,2.7142857142857144
23146,CT,2020-07-06,259.0,3.0,7.26449231155857,2.460230711140054,87.71428571428571,2.5714285714285716
23198,CT,2020-07-07,57.0,0.0,1.5987492731999282,2.079576122282885,74.14285714285714,2.2857142857142856
15190,CT,2020-07-08,75.0,5.0,2.1036174647372263,2.1476932592362834,76.57142857142857,2.7142857142857144
15346,CT,2020-07-09,101.0,5.0,2.8328715191794345,2.2558793002799575,80.42857142857143,3.142857142857143
19090,CT,2020-07-10,78.0,0.0,2.187762163326397,2.2839275331430793,81.42857142857143,1.8571428571428572
19038,CT,2020-07-11,0.0,0.0,0.0,2.2839275331430793,81.42857142857143,1.8571428571428572
4686,CT,2020-07-12,0.0,0.0,0.0,2.2839275331430793,81.42857142857143,1.8571428571428572
4738,CT,2020-07-13,223.0,23.0,6.254755928484883,2.139679478418267,76.28571428571429,4.714285714285714
9522,CT,2020-07-14,20.0,1.0,0.5609646572631846,1.9914245332844465,71.0,4.857142857142857
9470,CT,2020-07-15,106.0,8.0,2.9731126834951738,2.1156381359641534,75.42857142857143,5.285714285714286
30322,CT,2020-07-16,114.0,9.0,3.197498546400084,2.167727711281389,77.28571428571429,5.857142857142857
30374,CT,2020-07-17,143.0,7.0,4.010897299432145,2.428175587867924,86.57142857142857,6.857142857142857
7598,CT,2020-07-18,0.0,0.0,0.0,2.428175587867924,86.57142857142857,6.857142857142857
7650,CT,2020-07-19,0.0,0.0,0.0,2.428175587867924,86.57142857142857,6.857142857142857
10770,CT,2020-07-20,162.0,10.0,4.543813723832045,2.183755272917519,77.85714285714286,5.0
10718,CT,2020-07-21,41.0,0.0,1.149977547389426,2.267899971506982,80.85714285714286,4.857142857142857
27306,CT,2020-07-22,127.0,0.0,3.5621255736216426,2.3520446700964777,83.85714285714286,3.7142857142857144
27358,CT,2020-07-23,9.0,4.0,0.2524340957684217,1.9313211771490972,68.85714285714286,3.0
16698,CT,2020-07-24,544.0,3.0,15.258238677559575,3.5380842311673013,126.14285714285714,2.4285714285714284
16646,CT,2020-07-25,0.0,0.0,0.0,3.5380842311673013,126.14285714285714,2.4285714285714284
6402,CT,2020-07-26,0.0,0.0,0.0,3.5380842311673013,126.14285714285714,2.4285714285714284
6454,CT,2020-07-27,207.0,5.0,5.8059842026741535,3.718394299573317,132.57142857142858,1.7142857142857142
29230,CT,2020-07-28,94.0,5.0,2.6365338891371266,3.93075949125156,140.14285714285714,2.4285714285714284
