,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10564,DC,2020-04-13,80.0,2.0,11.33547476484631,,,
6352,DC,2020-04-14,103.0,15.0,14.594423835153691,,,
6300,DC,2020-04-15,139.0,5.0,19.695387415021628,,,
16856,DC,2020-04-16,153.0,9.0,21.679095542466257,,,
16908,DC,2020-04-17,126.0,5.0,17.85337279967814,,,
8224,DC,2020-04-18,190.0,5.0,26.92175263443511,,,
8276,DC,2020-04-19,127.0,5.0,17.995066234596152,18.582081889456756,131.14285714285714,6.571428571428571
4532,DC,2020-04-20,134.0,9.0,18.98692027902274,19.6751455343391,138.85714285714286,7.571428571428571
4480,DC,2020-04-21,171.0,7.0,24.22957737099165,21.05159603945881,148.57142857142858,6.428571428571429
19248,DC,2020-04-22,108.0,15.0,15.302890971152635,20.424096547477525,144.14285714285714,7.857142857142857
19300,DC,2020-04-23,155.0,12.0,21.962482412302393,20.464580386025546,144.42857142857142,8.285714285714286
30584,DC,2020-04-24,167.0,14.0,23.66280363131932,21.29449907626,150.28571428571428,9.571428571428571
30532,DC,2020-04-25,171.0,12.0,24.229577370991706,20.9099026100538,147.57142857142858,10.571428571428571
9368,DC,2020-04-26,142.0,13.0,20.12046775836734,21.21353139916397,149.71428571428572,11.714285714285714
9420,DC,2020-04-27,51.0,7.0,7.226365180822086,19.53345209942102,137.85714285714286,11.428571428571429
17740,DC,2020-04-28,102.0,5.0,14.452730361644171,18.136759669514237,128.0,11.142857142857142
17792,DC,2020-04-29,112.0,15.0,15.869664710824964,18.217727346610282,128.57142857142858,11.142857142857142
13528,DC,2020-04-30,217.0,19.0,30.74747537722328,19.47272634159898,137.42857142857142,12.142857142857142
2764,DC,2020-05-01,335.0,7.0,47.467300697556766,22.8733687796329,161.42857142857142,11.142857142857142
21276,DC,2020-05-02,139.0,9.0,19.695387453613193,22.225627362864543,156.85714285714286,10.714285714285714
21224,DC,2020-05-03,219.0,11.0,31.030862247059417,23.78425514696341,167.85714285714286,10.428571428571429
24344,DC,2020-05-04,154.0,7.0,21.82078897738438,25.869172832186596,182.57142857142858,10.428571428571429
24396,DC,2020-05-05,152.0,6.0,21.537402107548132,26.881268795887163,189.71428571428572,10.571428571428571
