,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10565,FL,2020-04-13,1124.0,38.0,485.68696654143037,,,
6353,FL,2020-04-14,609.0,72.0,-477.52499155143033,,,
6301,FL,2020-04-15,883.0,25.0,4.158698219372994,,,
16857,FL,2020-04-16,832.0,72.0,3.9185015725342396,,,
16909,FL,2020-04-17,1416.0,57.0,6.668988253255407,,,
8225,FL,2020-04-18,733.0,23.0,3.452237563302404,,,
8277,FL,2020-04-19,822.0,26.0,3.8714041978643507,4.31882925661849,917.0,44.714285714285715
4533,FL,2020-04-20,745.0,48.0,3.508754412906285,-64.56377247602781,862.8571428571429,46.142857142857146
4481,FL,2020-04-21,810.0,45.0,3.814887348260484,4.199067366785164,891.5714285714286,42.285714285714285
19249,FL,2020-04-22,440.0,26.0,2.072284485474853,3.9010082619425726,828.2857142857143,42.42857142857143
19301,FL,2020-04-23,1339.0,94.0,6.306338468297298,4.242127818480152,900.7142857142857,45.57142857142857
30585,FL,2020-04-24,885.0,59.0,4.168117658284615,3.884860590627182,824.8571428571429,45.857142857142854
30533,FL,2020-04-25,306.0,9.0,1.441179664898442,3.597566605140902,763.8571428571429,43.857142857142854
9369,FL,2020-04-26,693.0,20.0,3.2638480646228345,3.510772871820685,745.4285714285714,43.0
9421,FL,2020-04-27,606.0,13.0,2.854100904994908,3.41725094211906,725.5714285714286,38.0
17741,FL,2020-04-28,710.0,83.0,3.343913601561667,3.3499689783049433,711.2857142857143,43.42857142857143
17793,FL,2020-04-29,345.0,47.0,1.6248594261109588,3.28605111268153,697.7142857142857,46.42857142857143
13529,FL,2020-04-30,497.0,50.0,2.3407395210931554,2.7195369773666522,577.4285714285714,40.142857142857146
2765,FL,2020-05-01,1038.0,46.0,4.888707490733822,2.822478382002253,599.2857142857143,38.285714285714285
21277,FL,2020-05-02,735.0,50.0,3.461657038236382,3.111118006764816,660.5714285714286,44.142857142857146
21225,FL,2020-05-03,615.0,15.0,2.896488542197801,3.0586380749898114,649.4285714285714,43.42857142857143
24345,FL,2020-05-04,819.0,20.0,3.857274985463391,3.2019486579138805,679.8571428571429,44.42857142857143
24397,FL,2020-05-05,542.0,72.0,2.552677707107648,3.0889149587061633,655.8571428571429,42.857142857142854
15037,FL,2020-05-06,563.0,68.0,2.6515821939144075,3.2355896398209416,687.0,45.857142857142854
14985,FL,2020-05-07,826.0,61.0,3.890243147732292,3.45694730076939,734.0,47.42857142857143
22837,FL,2020-05-08,371.0,69.0,1.7473126002526556,3.008176602129223,638.7142857142857,50.714285714285715
22785,FL,2020-05-09,802.0,46.0,3.7772094485245873,3.0532555178846814,648.2857142857143,50.142857142857146
11865,FL,2020-05-10,595.0,6.0,2.8022937928580234,3.039799125121856,645.4285714285714,48.857142857142854
11917,FL,2020-05-11,386.0,14.0,1.817958662257496,2.748468221806728,583.5714285714286,48.0
28973,FL,2020-05-12,941.0,44.0,4.431862956435964,3.016923257425059,640.5714285714286,44.0
28921,FL,2020-05-13,479.0,48.0,2.2559642466874266,2.9604064078212042,628.5714285714286,41.142857142857146
17637,FL,2020-05-14,808.0,48.0,1.4827809103830418,2.6164832310570256,626.0,39.285714285714285
17689,FL,2020-05-15,928.0,42.0,4.320753159422736,2.9841175966527516,705.5714285714286,35.42857142857143
7185,FL,2020-05-16,673.0,47.0,3.1334772373830617,2.8921558522039623,687.1428571428571,35.57142857142857
7133,FL,2020-05-17,777.0,9.0,3.617699574214896,3.008642392397801,713.1428571428571,36.0
30065,FL,2020-05-18,854.0,24.0,3.9762103428307967,3.31696406105113,780.0,37.42857142857143
30013,FL,2020-05-19,502.0,55.0,2.33730397201532,3.017741348991038,717.2857142857143,39.0
18469,FL,2020-05-20,527.0,44.0,2.453703572215346,3.045989824066455,724.1428571428571,38.42857142857143
18521,FL,2020-05-21,1204.0,48.0,5.605804745630252,3.6349932291017706,780.7142857142857,38.42857142857143
3597,FL,2020-05-22,776.0,46.0,3.6130435902069564,3.533891862070945,759.0,39.0
3545,FL,2020-05-23,676.0,43.0,3.147445189407051,3.5358872837886577,759.4285714285714,38.42857142857143
7809,FL,2020-05-24,740.0,4.0,3.4454281659189405,3.511277082603521,754.1428571428571,37.714285714285715
7861,FL,2020-05-25,879.0,15.0,4.092609943030794,3.527905596917807,757.7142857142857,36.42857142857143
29181,FL,2020-05-26,509.0,7.0,2.369895860071267,3.532561580925799,758.7142857142857,29.571428571428573
29129,FL,2020-05-27,379.0,60.0,1.7646179390314956,3.434120776185249,737.5714285714286,31.857142857142858
6145,FL,2020-05-28,651.0,45.0,3.031045589207082,3.0662980395533674,658.5714285714286,31.428571428571427
6093,FL,2020-05-29,1212.0,49.0,5.643052617694281,3.356299329194414,720.8571428571429,31.857142857142858
25801,FL,2020-05-30,927.0,34.0,4.31609717541474,3.523249612909798,756.7142857142857,30.571428571428573
25853,FL,2020-05-31,739.0,4.0,3.4407721819109724,3.5225844723372313,756.5714285714286,30.571428571428573
13113,FL,2020-06-01,667.0,9.0,3.1055413333350543,3.3815746709521255,726.2857142857143,29.714285714285715
25749,FL,2020-06-02,617.0,70.0,2.8727421329351728,3.453409852789826,741.7142857142857,38.714285714285715
25697,FL,2020-06-03,1317.0,36.0,6.13193093853414,4.0773117098616325,875.7142857142857,35.285714285714285
22057,FL,2020-06-04,1419.0,41.0,6.60684130735001,4.588139669596337,985.4285714285714,34.714285714285715
22109,FL,2020-06-05,1305.0,53.0,6.076059130438239,4.649997742845473,998.7142857142857,35.285714285714285
477,FL,2020-06-06,1270.0,28.0,5.913099690158219,4.878140959237399,1047.7142857142858,34.42857142857143
425,FL,2020-06-07,1180.0,12.0,5.494061129438364,5.171467951741312,1110.7142857142858,35.57142857142857
23669,FL,2020-06-08,966.0,12.0,4.49768055172666,5.370344982940113,1153.4285714285713,36.0
23513,FL,2020-06-09,1096.0,53.0,5.102958472766431,5.6889473172017215,1221.857142857143,33.57142857142857
3805,FL,2020-06-10,1371.0,36.0,6.383354074966121,5.724864908120575,1229.5714285714287,33.57142857142857
3857,FL,2020-06-11,1698.0,47.0,7.9058608455815715,5.910439127867941,1269.4285714285713,34.42857142857143
18209,FL,2020-06-12,1902.0,29.0,8.855681583213425,6.307528049692968,1354.7142857142858,31.0
18157,FL,2020-06-13,2581.0,48.0,12.01709472464438,7.179527340333848,1542.0,33.857142857142854
29025,FL,2020-06-14,2016.0,6.0,9.386463760125196,7.735584859003396,1661.4285714285713,33.0
29077,FL,2020-06-15,1758.0,7.0,8.185219886061532,8.262376192479806,1774.5714285714287,32.285714285714285
7965,FL,2020-06-16,2783.0,55.0,12.957603494260127,9.384468338407476,2015.5714285714287,32.57142857142857
7913,FL,2020-06-17,2610.0,25.0,12.15211826087642,10.208577507823234,2192.5714285714284,31.0
16441,FL,2020-06-18,3207.0,43.0,14.931740713651493,11.212274631833223,2408.1428571428573,30.428571428571427
16389,FL,2020-06-19,3822.0,43.0,17.79517087857073,12.48934453116998,2682.4285714285716,32.42857142857143
28713,FL,2020-06-20,4049.0,40.0,18.852079248386303,13.46577089170454,2892.1428571428573,31.285714285714285
28765,FL,2020-06-21,3494.0,17.0,16.26800812394714,14.448848657964819,3103.285714285714,32.857142857142854
12177,FL,2020-06-22,2926.0,12.0,13.623409207403938,15.22573284672802,3270.1428571428573,33.57142857142857
12125,FL,2020-06-23,3286.0,65.0,15.299563450283415,15.560298554731347,3342.0,35.0
7341,FL,2020-06-24,5511.0,43.0,25.65912786808036,17.48987135576048,3756.4285714285716,37.57142857142857
7393,FL,2020-06-25,5004.0,46.0,23.298543976024973,18.68512896467098,4013.1428571428573,38.0
17585,FL,2020-06-26,8942.0,39.0,41.63380899952358,22.09064869623567,4744.571428571428,37.42857142857143
17533,FL,2020-06-27,9585.0,24.0,44.62760671666672,25.772866905990018,5535.428571428572,35.142857142857146
9109,FL,2020-06-28,8530.0,29.0,39.715543588228115,29.12251482945873,6254.857142857143,36.857142857142854
8953,FL,2020-06-29,5266.0,28.0,24.518411786120623,30.6789437692754,6589.142857142857,39.142857142857146
21017,FL,2020-06-30,6093.0,58.0,28.36891056073557,32.545993356482846,6990.142857142857,38.142857142857146
26321,FL,2020-07-01,6563.0,45.0,30.557223044494776,33.24572123882776,7140.428571428572,38.42857142857143
13685,FL,2020-07-02,10109.0,67.0,47.06734233685802,36.641263861803914,7869.714285714285,41.42857142857143
13737,FL,2020-07-03,9488.0,67.0,44.175976267890746,37.0044306144278,7947.714285714285,45.42857142857143
1621,FL,2020-07-04,11458.0,18.0,53.3482647636481,38.25023890685371,8215.285714285714,44.57142857142857
1569,FL,2020-07-05,10059.0,29.0,46.83454313645791,39.26723884231511,8433.714285714286,44.57142857142857
23149,FL,2020-07-06,6336.0,47.0,29.500314674679203,39.978939254966335,8586.57142857143,47.285714285714285
23201,FL,2020-07-07,7347.0,63.0,34.20751450676585,40.813025532970656,8765.714285714286,48.0
15193,FL,2020-07-08,9989.0,48.0,46.508624255897985,43.09179713459969,9255.142857142857,48.42857142857143
15349,FL,2020-07-09,8935.0,120.0,41.60121711146758,42.31092210240105,9087.42857142857,56.0
19093,FL,2020-07-10,11433.0,93.0,53.23186516344822,43.60462051605212,9365.285714285714,59.714285714285715
19041,FL,2020-07-11,10360.0,95.0,48.23599432286528,42.87429616736886,9208.42857142857,70.71428571428571
4689,FL,2020-07-12,15300.0,45.0,71.23655532237899,46.360297908214726,9957.142857142857,73.0
4741,FL,2020-07-13,12624.0,35.0,58.777142116974346,50.542701828542604,10855.42857142857,71.28571428571429
9525,FL,2020-07-14,9194.0,132.0,42.80711696953904,51.77121646608163,11119.285714285714,81.14285714285714
9473,FL,2020-07-15,10181.0,112.0,47.40257318543422,51.89892345601538,11146.714285714286,90.28571428571429
30325,FL,2020-07-16,13965.0,156.0,65.02081667170023,55.244580536048616,11865.285714285714,95.42857142857143
30377,FL,2020-07-17,11466.0,128.0,53.385512635712075,55.266530174943455,11870.0,100.42857142857143
7601,FL,2020-07-18,10328.0,90.0,48.08700283460962,55.24524567662122,11865.42857142857,99.71428571428571
7653,FL,2020-07-19,12478.0,87.0,58.09736845180669,53.368218980825176,11462.285714285714,105.71428571428571
10773,FL,2020-07-20,10347.0,90.0,48.175466530761696,51.85369389708051,11137.0,113.57142857142857
10721,FL,2020-07-21,9440.0,134.0,43.95248903550669,52.01731847793303,11172.142857142857,113.85714285714286
27309,FL,2020-07-22,9785.0,139.0,45.558803518266586,51.7539228111948,11115.57142857143,117.71428571428571
27361,FL,2020-07-23,10249.0,173.0,47.719180097977414,49.28226044352011,10584.714285714286,120.14285714285714
16701,FL,2020-07-24,12444.0,135.0,57.939064995534864,49.932767923494794,10724.42857142857,121.14285714285714
16649,FL,2020-07-25,12199.0,124.0,56.798348913574955,51.177245934775556,10991.714285714286,126.0
6405,FL,2020-07-26,9344.0,77.0,43.505514570739024,49.09269538033732,10544.0,124.57142857142857
6457,FL,2020-07-27,8892.0,77.0,41.40100979912336,48.12491584724613,10336.142857142857,122.71428571428571
29233,FL,2020-07-28,9230.0,186.0,42.97473239382748,47.98523632700624,10306.142857142857,130.14285714285714
29337,FL,2020-07-29,9446.0,216.0,43.98042493955472,47.759753672904544,10257.714285714286,141.14285714285714
2089,FL,2020-07-30,9956.0,253.0,46.354976783634356,47.56486748514125,10215.857142857143,152.57142857142858
2037,FL,2020-07-31,9007.0,257.0,41.93644796004355,45.27877933721392,9724.857142857143,170.0
16493,FL,2020-08-01,9642.0,179.0,44.89299780512238,43.578014893149266,9359.57142857143,177.85714285714286
5937,FL,2020-08-02,7104.0,62.0,33.0761103928221,42.088100010589706,9039.57142857143,175.71428571428572
5885,FL,2020-08-03,4752.0,73.0,22.125236006009345,39.33441804014485,8448.142857142857,175.14285714285714
10929,FL,2020-08-04,5446.0,245.0,25.35648890756056,36.81752611353529,7907.571428571428,183.57142857142858
10981,FL,2020-08-05,5409.0,225.0,25.184217499264378,34.13235362206524,7330.857142857143,184.85714285714286
27725,FL,2020-08-06,7650.0,120.0,35.618277661189495,32.59853946171597,7001.428571428572,165.85714285714286
27673,FL,2020-08-07,7686.0,180.0,35.785893085477255,31.71988876534936,6812.714285714285,154.85714285714286
3909,FL,2020-08-08,8502.0,182.0,39.58517603600421,30.961628512618194,6649.857142857143,155.28571428571428
3753,FL,2020-08-09,6229.0,77.0,29.00212438582321,30.379630511618352,6524.857142857143,157.42857142857142
23565,FL,2020-08-10,4155.0,91.0,19.345613553234216,29.982541589793332,6439.571428571428,160.0
23617,FL,2020-08-11,5831.0,276.0,27.149042750640547,30.23862071023333,6494.571428571428,164.42857142857142
14309,FL,2020-08-12,8109.0,212.0,37.75537432086003,32.03450025617557,6880.285714285715,162.57142857142858
14257,FL,2020-08-13,6236.0,148.0,29.034716273879894,31.093991486559908,6678.285714285715,166.57142857142858
2193,FL,2020-08-14,6148.0,228.0,28.624989681175066,30.07100528594531,6458.571428571428,173.42857142857142
2245,FL,2020-08-15,6352.0,204.0,29.57481041880692,28.640953054917127,6151.428571428572,176.57142857142858
20445,FL,2020-08-16,3779.0,107.0,17.594963566226852,27.011358652117647,5801.428571428572,180.85714285714286
20393,FL,2020-08-17,2678.0,87.0,12.468725173420808,26.028946026430017,5590.428571428572,180.28571428571428
13061,FL,2020-08-18,3838.0,219.0,17.86966689604924,24.703320904345542,5305.714285714285,172.14285714285714
13009,FL,2020-08-19,4115.0,174.0,19.159373919563222,22.046749418446,4735.142857142857,166.71428571428572
