,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10566,GA,2020-04-13,863.0,32.0,8.511357619857833,,,
6354,GA,2020-04-14,1263.0,60.0,12.456366980142178,,,
6302,GA,2020-04-15,409.0,27.0,4.033772025220401,,,
16858,GA,2020-04-16,682.0,35.0,6.726240910082112,,,
16910,GA,2020-04-17,1525.0,63.0,15.04034807606331,,,
8226,GA,2020-04-18,475.0,23.0,4.684698581068915,,,
8278,GA,2020-04-19,632.0,14.0,6.233114743653772,8.240842705155503,835.5714285714286,36.285714285714285
4534,GA,2020-04-20,1106.0,88.0,10.907950801394122,8.583213159660687,870.2857142857143,44.285714285714285
4482,GA,2020-04-21,474.0,23.0,4.67483605774035,7.471565885031855,757.5714285714286,39.0
19250,GA,2020-04-22,1333.0,50.0,13.14674359697861,8.7734189667116,889.5714285714286,42.285714285714285
19302,GA,2020-04-23,669.0,33.0,6.598028106810801,8.755102851958554,887.7142857142857,42.0
30586,GA,2020-04-24,608.0,18.0,5.996414183768167,7.463112295916391,756.7142857142857,35.57142857142857
30534,GA,2020-04-25,731.0,8.0,7.20950455318183,7.823798863361093,793.2857142857143,33.42857142857143
9370,GA,2020-04-26,264.0,9.0,2.60370615874146,7.305311922659334,740.7142857142857,32.714285714285715
9422,GA,2020-04-27,816.0,79.0,8.047819036109956,6.896721670475882,699.2857142857143,31.428571428571427
17742,GA,2020-04-28,620.0,41.0,6.114764463710998,7.1024257284716885,720.1428571428571,34.0
17794,GA,2020-04-29,853.0,65.0,8.4127323992669,6.426138414512873,651.5714285714286,36.142857142857146
13530,GA,2020-04-30,489.0,31.0,4.822773907668818,6.172530671778304,625.8571428571429,35.857142857142854
2766,GA,2020-05-01,1225.0,37.0,12.0815910774935,7.041841656596209,714.0,38.57142857142857
21278,GA,2020-05-02,842.0,8.0,8.30424464265269,7.198233097949189,729.8571428571429,38.57142857142857
21226,GA,2020-05-03,334.0,7.0,3.2940827917410616,7.296858331234846,739.8571428571429,38.285714285714285
24346,GA,2020-05-04,786.0,62.0,7.751943336252964,7.254590374112419,735.5714285714286,35.857142857142854
24398,GA,2020-05-05,547.0,53.0,5.394800260725674,7.151738345114516,725.1428571428571,37.57142857142857
15038,GA,2020-05-06,745.0,28.0,7.3475798797816765,6.999573699473769,709.7142857142857,32.285714285714285
14986,GA,2020-05-07,875.0,28.0,8.629707912495462,7.543421414449004,764.8571428571429,31.857142857142858
22838,GA,2020-05-08,563.0,45.0,5.552600633982706,6.610708493947462,670.2857142857143,33.0
22786,GA,2020-05-09,407.0,3.0,4.014046994726414,5.99782311567228,608.1428571428571,32.285714285714285
11866,GA,2020-05-10,992.0,3.0,9.783623141937596,6.924900308557499,702.1428571428571,31.714285714285715
11918,GA,2020-05-11,422.0,38.0,4.16198484465491,6.412049095472063,650.1428571428571,28.285714285714285
28974,GA,2020-05-12,922.0,54.0,9.09324650893791,6.940398559502382,703.7142857142857,28.428571428571427
28922,GA,2020-05-13,503.0,19.0,4.960849234268778,6.599437038714825,669.1428571428571,27.142857142857142
17638,GA,2020-05-14,550.0,28.0,-10.550912162191366,3.859348456616707,622.7142857142857,27.142857142857142
17690,GA,2020-05-15,795.0,43.0,7.487692635020778,4.135790171050717,655.8571428571429,26.857142857142858
7186,GA,2020-05-16,440.0,10.0,4.144131772841661,4.154373710781466,660.5714285714286,27.857142857142858
7134,GA,2020-05-17,367.0,12.0,3.4565826378020574,3.250510781619247,571.2857142857143,29.142857142857142
30066,GA,2020-05-18,704.0,39.0,6.63061083654668,3.6031716376037854,611.5714285714286,29.285714285714285
30014,GA,2020-05-19,572.0,26.0,5.38737130469417,3.073760894140394,561.5714285714286,25.285714285714285
18470,GA,2020-05-20,946.0,22.0,8.909883311609576,3.6379086194747936,624.8571428571429,25.714285714285715
18522,GA,2020-05-21,862.0,78.0,8.118730882248997,6.305000482966274,669.4285714285714,32.857142857142854
3598,GA,2020-05-22,819.0,33.0,7.713736186266601,6.337292418858534,672.8571428571429,31.428571428571427
3546,GA,2020-05-23,760.0,14.0,7.158045789453752,6.767851564088834,718.5714285714286,32.0
7810,GA,2020-05-24,660.0,5.0,6.216197659262605,7.16208228144034,760.4285714285714,31.0
7862,GA,2020-05-25,498.0,21.0,4.690403688352603,6.884909831698329,731.0,28.428571428571427
29182,GA,2020-05-26,583.0,48.0,5.490974599015203,6.899710302315619,732.5714285714286,31.571428571428573
29130,GA,2020-05-27,655.0,37.0,6.169105252752956,6.508170579621817,691.0,33.714285714285715
6146,GA,2020-05-28,628.0,40.0,5.914806257601299,6.1933242046721455,657.5714285714286,28.285714285714285
6094,GA,2020-05-29,615.0,14.0,5.792366000676452,5.918842749587839,628.4285714285714,25.571428571428573
25802,GA,2020-05-30,450.0,17.0,4.238316585860844,5.501738577645995,584.1428571428571,26.0
25854,GA,2020-05-31,732.0,49.0,6.894328313000244,5.5986143853228,594.4285714285714,32.285714285714285
13114,GA,2020-06-01,839.0,41.0,7.90210581230491,6.057428974458844,643.1428571428571,35.142857142857146
25750,GA,2020-06-02,305.0,8.0,2.8726367970834303,5.683380717040019,603.4285714285714,29.428571428571427
25698,GA,2020-06-03,687.0,21.0,6.470496654414205,5.726436631563055,608.0,27.142857142857142
22058,GA,2020-06-04,965.0,26.0,9.088834456345921,6.179869231383715,656.1428571428571,25.142857142857142
22110,GA,2020-06-05,762.0,25.0,7.1768827520575655,6.377657338723874,677.1428571428571,26.714285714285715
478,GA,2020-06-06,738.0,4.0,6.950839200811799,6.765160569431154,718.2857142857143,24.857142857142858
426,GA,2020-06-07,539.0,2.0,5.076561421731014,6.505479584964121,690.7142857142857,18.142857142857142
23670,GA,2020-06-08,599.0,28.0,5.641670299845828,6.182560226041395,656.4285714285714,16.285714285714285
23514,GA,2020-06-09,752.0,77.0,7.082697939038496,6.7839975320349755,720.2857142857143,26.142857142857142
3806,GA,2020-06-10,731.0,44.0,6.884909831698337,6.843199414504137,726.5714285714286,29.428571428571427
3858,GA,2020-06-11,993.0,46.0,9.352551932799486,6.88087333971179,730.5714285714286,32.285714285714285
18210,GA,2020-06-12,810.0,43.0,7.628969854549496,6.945457211496351,737.4285714285714,34.857142857142854
