,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10567,HI,2020-04-13,5.0,0.0,0.35316071344324484,,,
6355,HI,2020-04-14,7.0,0.0,0.49442500655675303,,,
6303,HI,2020-04-15,13.0,0.0,0.918217864611627,,,
16859,HI,2020-04-16,6.0,0.0,0.4237928613505275,,,
16911,HI,2020-04-17,11.0,0.0,0.7769535791425994,,,
8227,HI,2020-04-18,33.0,0.0,2.330860737427834,,,
8279,HI,2020-04-19,6.0,1.0,0.4237928613505133,0.8173148034118712,11.571428571428571,0.14285714285714285
4535,HI,2020-04-20,4.0,0.0,0.2825285742336803,0.8072244978105049,11.428571428571429,0.14285714285714285
4483,HI,2020-04-21,2.0,0.0,0.14126428711683303,0.7567729664619449,10.714285714285714,0.14285714285714285
19251,HI,2020-04-22,6.0,2.0,0.4237928613505204,0.6861408231389297,9.714285714285714,0.42857142857142855
19303,HI,2020-04-23,4.0,0.0,0.28252857423367317,0.6659602106936647,9.428571428571429,0.42857142857142855
30587,HI,2020-04-24,5.0,1.0,0.35316071779209324,0.6054183733578782,8.571428571428571,0.5714285714285714
30535,HI,2020-04-25,4.0,0.0,0.2825285742336803,0.31279949290157055,4.428571428571429,0.5714285714285714
9371,HI,2020-04-26,1.0,1.0,0.07063214355842007,0.26234796178841435,3.7142857142857144,0.5714285714285714
9423,HI,2020-04-27,1.0,2.0,0.07063214355842007,0.23207704312052005,3.2857142857142856,0.8571428571428571
17743,HI,2020-04-28,2.0,0.0,0.14126428711683303,0.23207704312052005,3.2857142857142856,0.8571428571428571
17795,HI,2020-04-29,4.0,0.0,0.28252857423367317,0.21189643067525615,3.0,0.5714285714285714
13531,HI,2020-04-30,5.0,0.0,0.35316071779210034,0.2219867368978886,3.142857142857143,0.5714285714285714
2767,HI,2020-05-01,1.0,0.0,0.07063214355842007,0.18162551200736385,2.5714285714285716,0.42857142857142855
21279,HI,2020-05-02,1.0,0.0,0.07063214355842007,0.15135459333946955,2.142857142857143,0.42857142857142855
21227,HI,2020-05-03,0.0,1.0,0.0,0.1412642871168381,2.0,0.42857142857142855
24347,HI,2020-05-04,1.0,0.0,0.07063214355842007,0.1412642871168381,2.0,0.14285714285714285
24399,HI,2020-05-05,4.0,0.0,0.28252857423367317,0.16144489956210098,2.2857142857142856,0.14285714285714285
15039,HI,2020-05-06,1.0,0.0,0.07063214355842007,0.13117398089420768,1.8571428571428572,0.14285714285714285
14987,HI,2020-05-07,3.0,0.0,0.2118964306752602,0.1109933684489448,1.5714285714285714,0.14285714285714285
22839,HI,2020-05-08,0.0,0.0,0.0,0.10090306222631337,1.4285714285714286,0.14285714285714285
22787,HI,2020-05-09,2.0,0.0,0.14126428711684014,0.1109933684489448,1.5714285714285714,0.14285714285714285
11867,HI,2020-05-10,1.0,0.0,0.07063214355841296,0.12108367467157523,1.7142857142857142,0.0
11919,HI,2020-05-11,2.0,0.0,0.14126428711683303,0.13117398089420565,1.8571428571428572,0.0
