,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10571,IA,2020-04-13,123.0,0.0,4.693379245046003,,,
6359,IA,2020-04-14,189.0,8.0,7.211777864954001,,,
6307,IA,2020-04-15,96.0,4.0,3.663125262553663,,,
16863,IA,2020-04-16,146.0,7.0,5.57100300567059,,,
16915,IA,2020-04-17,191.0,4.0,7.288092973171814,,,
8231,IA,2020-04-18,181.0,10.0,6.9065174248382135,,,
8283,IA,2020-04-19,389.0,1.0,14.843288830177116,7.168169229487343,187.85714285714286,4.857142857142857
4539,IA,2020-04-20,257.0,4.0,9.8064915921736,7.898613850505571,207.0,5.428571428571429
4487,IA,2020-04-21,482.0,4.0,18.391941429679605,9.4957800740378,248.85714285714286,4.857142857142857
19255,IA,2020-04-22,107.0,7.0,4.082858367169564,9.555741946125787,250.42857142857142,5.285714285714286
19307,IA,2020-04-23,176.0,6.0,6.715729650671392,9.719274323983043,254.71428571428572,5.142857142857143
30591,IA,2020-04-24,521.0,11.0,19.880086068180674,11.51813048041288,301.85714285714283,6.142857142857143
30539,IA,2020-04-25,647.0,5.0,24.687937977184077,14.05833341646229,368.42857142857144,5.428571428571429
9375,IA,2020-04-26,384.0,6.0,14.652501056010323,14.031078020152748,367.7142857142857,6.142857142857143
9427,IA,2020-04-27,392.0,9.0,14.957761494677214,14.766973720510407,387.0,6.857142857142857
17747,IA,2020-04-28,508.0,9.0,19.384037855347003,14.908701781320035,390.7142857142857,7.571428571428571
17799,IA,2020-04-29,467.0,12.0,17.81957810717921,16.871090315607127,442.14285714285717,8.285714285714286
13535,IA,2020-04-30,302.0,14.0,11.523581559674824,17.55792630260762,460.14285714285717,9.428571428571429
2771,IA,2020-05-01,739.0,8.0,28.19843302185319,18.746261581703692,491.2857142857143,9.0
21283,IA,2020-05-02,759.0,5.0,28.96158411852042,19.356782459037454,507.2857142857143,9.0
21231,IA,2020-05-03,532.0,9.0,20.29981917134768,20.163542189799934,528.4285714285714,9.428571428571429
24351,IA,2020-05-04,528.0,4.0,20.147188952014233,20.90488896941951,547.8571428571429,8.714285714285714
24403,IA,2020-05-05,408.0,19.0,15.568282372010913,20.35978104322864,533.5714285714286,10.142857142857142
15043,IA,2020-05-06,293.0,12.0,11.180163566174599,19.411293251656552,508.7142857142857,10.142857142857142
14991,IA,2020-05-07,655.0,12.0,24.993198415850884,21.335524231110274,559.1428571428571,9.857142857142858
22843,IA,2020-05-08,398.0,12.0,15.186706823677412,19.47670620279945,510.42857142857144,10.428571428571429
22791,IA,2020-05-09,214.0,9.0,8.165716734339071,16.505868005059256,432.57142857142856,11.0
11871,IA,2020-05-10,288.0,13.0,10.98937579200782,15.175804665153562,397.7142857142857,11.571428571428571
