,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10568,ID,2020-04-13,19.0,0.0,1.1797600341547252,,,
6356,ID,2020-04-14,38.0,6.0,2.359520075845282,,,
6304,ID,2020-04-15,9.0,6.0,0.5588336994178889,,,
16860,ID,2020-04-16,114.0,2.0,7.07856022085106,,,
16912,ID,2020-04-17,22.0,0.0,1.3660379373572482,,,
8228,ID,2020-04-18,46.0,2.0,2.856261141746913,,,
8280,ID,2020-04-19,13.0,1.0,0.8072042357110831,2.3151681921548857,37.285714285714285,2.4285714285714284
4536,ID,2020-04-20,4.0,1.0,0.24837053406496068,2.1821125492849194,35.142857142857146,2.5714285714285716
4484,ID,2020-04-21,64.0,3.0,3.9739285450392003,2.4127423305983364,38.857142857142854,2.142857142857143
19252,ID,2020-04-22,30.0,3.0,1.862779005487127,2.5990202314653703,41.857142857142854,1.7142857142857142
19304,ID,2020-04-23,70.0,3.0,4.34648434613662,2.208723677934736,35.57142857142857,1.8571428571428572
30588,ID,2020-04-24,34.0,0.0,2.1111495395520876,2.315168192533999,37.285714285714285,1.8571428571428572
30536,ID,2020-04-25,17.0,2.0,1.0555747697760296,2.057927282252444,33.142857142857146,1.8571428571428572
9372,ID,2020-04-26,10.0,0.0,0.6209263351623804,2.031316153602629,32.714285714285715,1.7142857142857142
9424,ID,2020-04-27,0.0,0.0,0.0,1.9958346487362064,32.142857142857146,1.5714285714285714
17744,ID,2020-04-28,55.0,4.0,3.415094843393078,1.9160012627867604,30.857142857142858,1.7142857142857142
17796,ID,2020-04-29,0.0,0.0,0.0,1.6498899762885995,26.571428571428573,1.2857142857142858
13532,ID,2020-04-30,32.0,0.0,1.9869642725196002,1.3128156800575965,21.142857142857142,0.8571428571428571
2768,ID,2020-05-01,31.0,3.0,1.9248716390033564,1.2862045514077778,20.714285714285715,1.2857142857142858
21280,ID,2020-05-02,46.0,1.0,2.856261141746927,1.5434454616893345,24.857142857142858,1.1428571428571428
21228,ID,2020-05-03,0.0,0.0,0.0,1.4547416995232803,23.428571428571427,1.1428571428571428
24348,ID,2020-05-04,45.0,0.0,2.794168508230669,1.8539086292705187,29.857142857142858,1.1428571428571428
24400,ID,2020-05-05,21.0,1.0,1.3039453038410045,1.5523158379059367,25.0,0.7142857142857143
15040,ID,2020-05-06,31.0,1.0,1.9248716390033564,1.827297500620702,29.428571428571427,0.8571428571428571
14988,ID,2020-05-07,20.0,1.0,1.2418526703247608,1.7208529860214392,27.714285714285715,1.0
22840,ID,2020-05-08,0.0,0.0,0.0,1.445871323306674,23.285714285714285,0.5714285714285714
22788,ID,2020-05-09,27.0,0.0,1.67650110493841,1.2773341751911715,20.571428571428573,0.42857142857142855
11868,ID,2020-05-10,25.0,0.0,1.5523158379059225,1.4990935806063033,24.142857142857142,0.42857142857142855
