,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10570,IN,2020-04-13,431.0,35.0,6.586191890202201,,,
6358,IN,2020-04-14,168.0,46.0,2.5672395097978153,,,
6306,IN,2020-04-15,433.0,38.0,6.616754240807694,,,
16862,IN,2020-04-16,582.0,34.0,8.893651186110503,,,
16914,IN,2020-04-17,612.0,36.0,9.352086814260531,,,
8230,IN,2020-04-18,487.0,28.0,7.4419383636354155,,,
8282,IN,2020-04-19,570.0,37.0,8.710276934850498,7.166876991380666,469.0,36.285714285714285
4538,IN,2020-04-20,477.0,38.0,7.289126487585406,7.267296219578266,475.57142857142856,36.714285714285715
4486,IN,2020-04-21,409.0,50.0,6.250005730445338,7.793405679670769,510.0,37.285714285714285
19254,IN,2020-04-22,341.0,51.0,5.210884973305298,7.592567212884712,496.85714285714283,39.142857142857146
19306,IN,2020-04-23,601.0,38.0,9.183993750605538,7.634044722098289,499.57142857142856,39.714285714285715
30590,IN,2020-04-24,642.0,37.0,9.810522442410559,7.699535526119722,503.85714285714283,39.857142857142854
30538,IN,2020-04-25,718.0,42.0,10.971892700390612,8.20381471708475,536.8571428571429,41.857142857142854
9374,IN,2020-04-26,613.0,35.0,9.367368001865486,8.297684869515463,543.0,41.57142857142857
9426,IN,2020-04-27,949.0,43.0,14.501847037145836,9.328073519452667,610.4285714285714,42.285714285714285
17746,IN,2020-04-28,627.0,36.0,9.581304628335545,9.80397336200841,641.5714285714286,40.285714285714285
17798,IN,2020-04-29,594.0,44.0,9.077025437370537,10.356279142589159,677.7142857142857,39.285714285714285
13534,IN,2020-04-30,653.0,45.0,9.97861550606558,10.469796536226308,685.1428571428571,40.285714285714285
2770,IN,2020-05-01,795.0,37.0,12.14854414597562,10.803799636735603,707.0,40.285714285714285
21282,IN,2020-05-02,665.0,44.0,10.161989757325614,10.688099216297745,699.4285714285714,40.57142857142857
21230,IN,2020-05-03,638.0,36.0,9.74939769199051,10.742674886315607,703.0,40.714285714285715
24350,IN,2020-05-04,574.0,39.0,8.771401685270519,9.924039836047703,649.4285714285714,40.142857142857146
24402,IN,2020-05-05,526.0,39.0,8.03790468023044,9.703554129175545,635.0,40.57142857142857
15042,IN,2020-05-06,837.0,44.0,12.790354025385739,10.234029641749146,669.7142857142857,40.57142857142857
14990,IN,2020-05-07,633.0,34.0,9.672991753965562,10.190369105734858,666.8571428571429,39.0
22842,IN,2020-05-08,643.0,28.0,9.825803630015514,9.858549032026271,645.1428571428571,37.714285714285715
22790,IN,2020-05-09,586.0,33.0,8.954775936530496,9.686089914769825,633.8571428571429,36.142857142857146
11870,IN,2020-05-10,394.0,34.0,6.020787916370409,9.153431375395526,599.0,35.857142857142854
