,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10572,KS,2020-04-13,46.0,-2.0,1.8864148577166233,,,
6360,KS,2020-04-14,51.0,16.0,2.0914599522833797,,,
6308,KS,2020-04-15,63.0,-4.0,2.583568179903452,,,
16864,KS,2020-04-16,111.0,7.0,4.5520010760766425,,,
16916,KS,2020-04-17,115.0,4.0,4.71603715089023,,,
8232,KS,2020-04-18,91.0,2.0,3.7318207020087897,,,
8284,KS,2020-04-19,84.0,7.0,3.4447575710850344,3.286579927137736,80.14285714285714,4.285714285714286
4540,KS,2020-04-20,143.0,9.0,5.864289674585223,3.8548477581189644,94.0,5.857142857142857
4488,KS,2020-04-21,116.0,7.0,4.757046169593622,4.235645789163285,103.28571428571429,4.571428571428571
19256,KS,2020-04-22,167.0,3.0,6.8485061234666915,4.844922638243747,118.14285714285714,5.571428571428571
19308,KS,2020-04-23,390.0,1.0,15.993517294323354,6.4794249551361345,158.0,4.714285714285714
30592,KS,2020-04-24,238.0,5.0,9.760146451407607,7.200011998067189,175.57142857142858,4.857142857142857
30540,KS,2020-04-25,176.0,2.0,7.2175872917972015,7.697978653751248,187.71428571428572,4.857142857142857
9376,KS,2020-04-26,142.0,1.0,5.823280655881831,8.037767665865076,196.0,4.0
9428,KS,2020-04-27,196.0,5.0,8.03776766586509,8.3482645217622,203.57142857142858,3.4285714285714284
17748,KS,2020-04-28,179.0,1.0,7.340614347907376,8.717345690092737,212.57142857142858,2.5714285714285716
17800,KS,2020-04-29,187.0,7.0,7.668686497534537,8.834514314959572,215.42857142857142,3.142857142857143
13536,KS,2020-04-30,574.0,0.0,23.53917673574773,9.912465663734482,241.71428571428572,3.0
2772,KS,2020-05-01,221.0,6.0,9.062993133449908,9.812872332597667,239.28571428571428,3.142857142857143
21284,KS,2020-05-02,251.0,2.0,10.293263694551712,10.252254675848311,250.0,3.142857142857143
21232,KS,2020-05-03,271.0,2.0,11.113444068619572,11.007992306239418,268.42857142857144,3.2857142857142856
24352,KS,2020-05-04,227.0,12.0,9.309047245670229,11.18960367478301,272.85714285714283,4.285714285714286
24404,KS,2020-05-05,265.0,5.0,10.86738995639925,11.69342876171042,285.14285714285717,4.857142857142857
15044,KS,2020-05-06,345.0,3.0,14.148111452670605,12.619060898158429,307.7142857142857,4.285714285714286
14992,KS,2020-05-07,339.0,1.0,13.902057340450398,11.242329555973097,274.14285714285717,4.428571428571429
22844,KS,2020-05-08,335.0,3.0,13.73802126563669,11.910190717714064,290.42857142857144,4.0
22792,KS,2020-05-09,162.0,6.0,6.643461029949719,11.388790337056637,277.7142857142857,4.571428571428571
11872,KS,2020-05-10,122.0,0.0,5.003100281814,10.5158840817987,256.42857142857144,4.285714285714286
11924,KS,2020-05-11,208.0,6.0,8.529875890305789,10.404573888175207,253.71428571428572,3.4285714285714284
28980,KS,2020-05-12,81.0,4.0,3.3217305149748313,9.32662253940029,227.42857142857142,3.2857142857142856
28928,KS,2020-05-13,278.0,4.0,11.40050719954337,8.934107646096399,217.85714285714286,3.4285714285714284
17644,KS,2020-05-14,187.0,1.0,-43.83036330141482,0.6866189829727968,196.14285714285714,3.4285714285714284
17696,KS,2020-05-15,181.0,4.0,6.2128558747872376,-0.3884046442914106,174.14285714285714,3.5714285714285716
7192,KS,2020-05-16,53.0,2.0,1.8192340406835683,-1.0775799284722893,158.57142857142858,3.0
7140,KS,2020-05-17,14.0,0.0,0.48055238810513856,-1.7236581990021267,143.14285714285714,3.0
30072,KS,2020-05-18,350.0,3.0,12.01380970262727,-1.2259533686704864,163.42857142857142,2.5714285714285716
30020,KS,2020-05-19,50.0,1.0,1.7162585289468097,-1.4553065095316324,159.0,2.142857142857143
18476,KS,2020-05-20,154.0,3.0,5.286076269156013,-2.3287966424441118,141.28571428571428,2.0
18528,KS,2020-05-21,118.0,2.0,4.050370128314341,4.511308133231482,131.42857142857142,2.142857142857143
3604,KS,2020-05-22,284.0,1.0,9.748348444417559,5.016378500321529,146.14285714285714,1.7142857142857142
3552,KS,2020-05-23,37.0,0.0,1.2700313114206097,4.937920967569677,143.85714285714286,1.4285714285714286
7816,KS,2020-05-24,58.0,0.0,1.9908598935782607,5.1536791826372665,150.14285714285714,1.4285714285714286
7868,KS,2020-05-25,121.0,2.0,4.153345640051157,4.030755745126393,117.42857142857143,1.2857142857142858
29188,KS,2020-05-26,74.0,3.0,2.5400626228412193,4.148442044254166,120.85714285714286,1.5714285714285714
29136,KS,2020-05-27,92.0,3.0,3.157915693261998,3.844419104840735,112.0,1.5714285714285714
6152,KS,2020-05-28,80.0,1.0,2.74601364631485,3.6580824645550933,106.57142857142857,1.4285714285714286
6100,KS,2020-05-29,291.0,1.0,9.988624638470128,3.692407635134032,107.57142857142857,1.4285714285714286
25808,KS,2020-05-30,28.0,0.0,0.9611047762101634,3.648275272961111,106.28571428571429,1.4285714285714286
25860,KS,2020-05-31,10.0,0.0,0.3432517057893847,3.412902674705557,99.42857142857143,1.4285714285714286
13120,KS,2020-06-01,220.0,2.0,7.551537527365724,3.898358658607638,113.57142857142857,1.4285714285714286
25756,KS,2020-06-02,45.0,5.0,1.5446326760521174,3.7561543804949094,109.42857142857143,1.7142857142857142
25704,KS,2020-06-03,127.0,4.0,4.359296663524731,3.9277802333895857,114.42857142857143,1.8571428571428572
22064,KS,2020-06-04,75.0,1.0,2.5743877934201578,3.9032622544046296,113.71428571428571,1.8571428571428572
22116,KS,2020-06-05,139.0,5.0,4.771198710471992,3.1579156932620385,92.0,2.4285714285714284
484,KS,2020-06-06,55.0,1.0,1.8878843818414452,3.2903127797807934,95.85714285714286,2.5714285714285716
432,KS,2020-06-07,45.0,0.0,1.5446326760520606,3.4619386326754613,100.85714285714286,2.5714285714285716
23676,KS,2020-06-08,138.0,3.0,4.736873539893111,3.059843777322231,89.14285714285714,2.7142857142857144
23520,KS,2020-06-09,65.0,1.0,2.2311360876307162,3.1579156932620305,92.0,2.142857142857143
3812,KS,2020-06-10,141.0,3.0,4.839849051629869,3.2265660344199074,94.0,2.0
3864,KS,2020-06-11,73.0,3.0,2.505737452262281,3.216758842825925,93.71428571428571,2.2857142857142856
18216,KS,2020-06-12,150.0,0.0,5.148775586840259,3.2706983965928202,95.28571428571429,1.5714285714285714
18164,KS,2020-06-13,47.0,2.0,1.6132830172099375,3.2314696302168904,94.14285714285714,1.7142857142857142
29032,KS,2020-06-14,81.0,0.0,2.7803388168938454,3.407999078908574,99.28571428571429,1.7142857142857142
29084,KS,2020-06-15,218.0,1.0,7.482887186207847,3.800286742667822,110.71428571428571,1.4285714285714286
7972,KS,2020-06-16,92.0,0.0,3.157915693262055,3.9326838291865847,114.57142857142857,1.2857142857142858
7920,KS,2020-06-17,233.0,1.0,7.997764744891867,4.383814642509727,127.71428571428571,1.0
16448,KS,2020-06-18,109.0,4.0,3.741443593103895,4.560344091201387,132.85714285714286,1.1428571428571428
16396,KS,2020-06-19,268.0,3.0,9.199145715154714,5.138968395246309,149.71428571428572,1.5714285714285714
28720,KS,2020-06-20,76.0,2.0,2.6087129639990394,5.281172673359038,153.85714285714286,1.5714285714285714
28772,KS,2020-06-21,39.0,1.0,1.3386816525784866,5.075221649885415,147.85714285714286,1.7142857142857142
12184,KS,2020-06-22,292.0,1.0,10.022949809049067,5.438087738862732,158.42857142857142,1.7142857142857142
12132,KS,2020-06-23,109.0,2.0,3.741443593103895,5.521448867411566,160.85714285714286,2.0
7348,KS,2020-06-24,393.0,1.0,13.489792037521568,6.306024194930095,183.71428571428572,2.0
