,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10573,KY,2020-04-13,55.0,16.0,1.6066354609376532,,,
6361,KY,2020-04-14,30.0,-7.0,0.8763466190623461,,,
6309,KY,2020-04-15,162.0,9.0,4.732271724099206,,,
16865,KY,2020-04-16,225.0,14.0,6.572599620892461,,,
16917,KY,2020-04-17,87.0,8.0,2.541405186745081,,,
8233,KY,2020-04-18,185.0,7.0,5.404137466067127,,,
8285,KY,2020-04-19,253.0,2.0,7.3905231292701785,4.160559886724864,142.42857142857142,7.0
4541,KY,2020-04-20,90.0,8.0,2.6290398483569817,4.306617656356197,147.42857142857142,5.857142857142857
4489,KY,2020-04-21,154.0,17.0,4.498579296077509,4.824079467358364,165.14285714285714,9.285714285714286
19257,KY,2020-04-22,174.0,14.0,5.082810373490162,4.874156417271357,166.85714285714286,10.0
19309,KY,2020-04-23,101.0,6.0,2.9503669409339324,4.35669460584871,149.14285714285714,8.857142857142858
30593,KY,2020-04-24,300.0,9.0,8.763466161189967,5.245560459340837,179.57142857142858,9.0
30541,KY,2020-04-25,136.0,5.0,3.9727713264060895,5.041079582246403,172.57142857142858,8.714285714285714
9377,KY,2020-04-26,170.0,3.0,4.965964158007623,4.69471401492318,160.71428571428572,8.857142857142858
9429,KY,2020-04-27,71.0,5.0,2.074020324814967,4.615425511560035,158.0,8.428571428571429
17749,KY,2020-04-28,219.0,12.0,6.397330297668631,4.886675654644482,167.28571428571428,7.714285714285714
17801,KY,2020-04-29,162.0,9.0,4.732271727042573,4.836598705151969,165.57142857142858,7.0
13537,KY,2020-04-30,171.0,6.0,4.995175711878289,5.1287142438583055,175.57142857142858,7.0
2773,KY,2020-05-01,174.0,6.0,5.082810373490162,4.602906274186905,157.57142857142858,6.571428571428571
21285,KY,2020-05-02,-3.0,2.0,-0.08763466161190081,4.02284827589862,137.71428571428572,6.142857142857143
21233,KY,2020-05-03,251.0,5.0,7.332100021528902,4.360867684973089,149.28571428571428,6.428571428571429
24353,KY,2020-05-04,115.0,8.0,3.3593286951228265,4.54448316644564,155.57142857142858,6.857142857142857
24405,KY,2020-05-05,577.0,14.0,16.855066583355296,6.038445492972307,206.71428571428572,7.142857142857143
15045,KY,2020-05-06,112.0,8.0,3.2716940335109257,5.8297915367535,199.57142857142858,7.0
14993,KY,2020-05-07,195.0,11.0,5.696253004773467,5.929945435738525,203.0,7.714285714285714
22845,KY,2020-05-08,159.0,4.0,4.644637065430658,5.867349248872882,200.85714285714286,7.428571428571429
22793,KY,2020-05-09,152.0,6.0,4.440156188336175,6.514176513151178,223.0,8.0
11873,KY,2020-05-10,0.0,0.0,0.0,5.466733652932764,187.14285714285714,7.285714285714286
11925,KY,2020-05-11,237.0,7.0,6.923138267340107,5.975849306106661,204.57142857142858,7.142857142857143
28981,KY,2020-05-12,176.0,10.0,5.141233481231438,4.3024445772318245,147.28571428571428,6.571428571428571
28929,KY,2020-05-13,0.0,0.0,0.0,3.8350597153016923,131.28571428571428,5.428571428571429
17645,KY,2020-05-14,372.0,7.0,-38.46948199773763,-2.4743309993427505,156.57142857142858,4.857142857142857
17697,KY,2020-05-15,219.0,4.0,4.901880688224026,-2.4375819103722693,165.14285714285714,4.857142857142857
7193,KY,2020-05-16,244.0,2.0,5.461456109254215,-2.291681921669692,178.28571428571428,4.285714285714286
7141,KY,2020-05-17,0.0,0.0,0.0,-2.291681921669692,178.28571428571428,4.285714285714286
30073,KY,2020-05-18,247.0,12.0,5.528605159777811,-2.4909009370357347,179.71428571428572,5.0
30021,KY,2020-05-19,134.0,20.0,2.999324256721536,-2.7968879691085777,173.71428571428572,6.428571428571429
18477,KY,2020-05-20,98.0,10.0,2.1935356504381787,-2.483525733331695,187.71428571428572,7.857142857142857
18529,KY,2020-05-21,119.0,10.0,2.663579004103468,3.3926258383598906,151.57142857142858,8.285714285714286
3605,KY,2020-05-22,140.0,5.0,3.1336223577688145,3.1400175054377177,140.28571428571428,8.428571428571429
3553,KY,2020-05-23,145.0,0.0,3.245537441974818,2.823457695826375,126.14285714285714,8.142857142857142
7817,KY,2020-05-24,0.0,0.0,0.0,2.823457695826375,126.14285714285714,8.142857142857142
7869,KY,2020-05-25,0.0,0.0,0.0,2.0336569587152593,90.85714285714286,6.428571428571429
29189,KY,2020-05-26,380.0,3.0,8.505546399658158,2.8202601219919194,126.0,4.0
29137,KY,2020-05-27,126.0,6.0,2.820260121991936,2.909792189356742,130.0,3.4285714285714284
6153,KY,2020-05-28,108.0,9.0,2.417365818850243,2.87461887717771,128.42857142857142,3.2857142857142856
6101,KY,2020-05-29,279.0,9.0,6.244861698696383,3.3190816401673624,148.28571428571428,3.857142857142857
25809,KY,2020-05-30,240.0,13.0,5.3719240418893435,3.622851154440866,161.85714285714286,5.714285714285714
25861,KY,2020-05-31,0.0,0.0,0.0,3.622851154440866,161.85714285714286,5.714285714285714
13121,KY,2020-06-01,342.0,8.0,7.6549917596923365,4.716421405825486,210.71428571428572,6.857142857142857
25757,KY,2020-06-02,139.0,3.0,3.1112393409275967,3.9458061117211196,176.28571428571428,6.857142857142857
25705,KY,2020-06-03,225.0,8.0,5.036178789271247,4.26236592133245,190.42857142857142,7.142857142857143
22065,KY,2020-06-04,295.0,8.0,6.602989968155725,4.86031222837609,217.14285714285714,7.0
22117,KY,2020-06-05,272.0,8.0,6.088180580807887,4.837929211534877,216.14285714285714,6.857142857142857
485,KY,2020-06-06,310.0,4.0,6.938735220773822,5.0617593799469445,226.14285714285714,5.571428571428571
433,KY,2020-06-07,0.0,0.0,0.0,5.0617593799469445,226.14285714285714,5.571428571428571
23677,KY,2020-06-08,189.0,2.0,4.230390182987861,4.572530583274877,204.28571428571428,4.714285714285714
23521,KY,2020-06-09,231.0,5.0,5.170476890318525,4.866707376045009,217.42857142857142,5.0
