,state,date,cases,deaths,incidence,rolling_incidence,rolling_cases,rolling_deaths
10576,MD,2020-04-13,711.0,26.0,11.962980409339622,,,
6364,MD,2020-04-14,536.0,40.0,9.018506090660395,,,
6312,MD,2020-04-15,560.0,9.0,9.422318799742072,,,
16868,MD,2020-04-16,752.0,8.0,12.65282875691841,,,
16920,MD,2020-04-17,788.0,15.0,13.258549282515673,,,
8236,MD,2020-04-18,754.0,87.0,12.686479897229447,,,
8288,MD,2020-04-19,521.0,40.0,8.766122051003322,11.109683612486991,660.2857142857143,32.142857142857146
4544,MD,2020-04-20,837.0,121.0,14.083002220133977,11.4125438711719,678.2857142857143,45.714285714285715
4492,MD,2020-04-21,509.0,70.0,8.564215209137586,11.347645173811499,674.4285714285714,50.0
19260,MD,2020-04-22,582.0,46.0,9.792481830487503,11.400525606775131,677.5714285714286,55.285714285714285
19312,MD,2020-04-23,962.0,50.0,16.18619848956854,11.905292711439435,707.5714285714286,61.285714285714285
30596,MD,2020-04-24,879.0,50.0,14.78967616666398,12.124025123460623,720.5714285714286,66.28571428571429
30544,MD,2020-04-25,1150.0,77.0,19.349405678798178,13.075871663684726,777.1428571428571,64.85714285714286
9380,MD,2020-04-26,815.0,35.0,13.712839676713543,13.782545610214758,819.1428571428571,64.14285714285714
9432,MD,2020-04-27,906.0,35.0,15.24396656086185,13.948397658890169,829.0,51.857142857142854
17752,MD,2020-04-28,626.0,71.0,10.5328069173284,14.22962504577457,845.7142857142857,52.0
17804,MD,2020-04-29,736.0,62.0,12.38361963443083,14.599787589195046,867.7142857142857,54.285714285714285
13540,MD,2020-04-30,893.0,62.0,15.025234148840696,14.43393554051964,857.8571428571429,56.0
2776,MD,2020-05-01,1730.0,-60.0,29.1082363689747,16.479444140849743,979.4285714285714,40.285714285714285
21288,MD,2020-05-02,1001.0,171.0,16.84239572563206,16.12129986182601,958.1428571428571,53.714285714285715
21236,MD,2020-05-03,989.0,30.0,16.64048888376641,16.539535462833562,983.0,53.0
24356,MD,2020-05-04,946.0,36.0,15.916989367080987,16.635681578007727,988.7142857142857,53.142857142857146
24408,MD,2020-05-05,709.0,73.0,11.929329240233017,16.8351847669941,1000.5714285714286,53.42857142857143
15048,MD,2020-05-06,1046.0,47.0,17.599546382628603,17.580317159593783,1044.857142857143,51.285714285714285
14996,MD,2020-05-07,1211.0,66.0,20.375765458282217,18.344678775228285,1090.2857142857142,51.857142857142854
22848,MD,2020-05-08,1111.0,57.0,18.6932084427346,16.856817642908272,1001.8571428571429,68.57142857142857
22796,MD,2020-05-09,1049.0,54.0,17.650023093095,16.972192981117264,1008.7142857142857,51.857142857142854
11876,MD,2020-05-10,1053.0,30.0,17.717325373717017,17.12602676539592,1017.8571428571429,51.857142857142854
11928,MD,2020-05-11,786.0,39.0,13.224898142204665,16.7414423046993,995.0,52.285714285714285
28984,MD,2020-05-12,688.0,73.0,11.575992266967887,16.690965594232857,992.0,52.285714285714285
28932,MD,2020-05-13,751.0,53.0,12.636003186762991,15.981887994823483,949.8571428571429,53.142857142857146
17648,MD,2020-05-14,1091.0,57.0,8.130315237508967,14.232537963284447,932.7142857142857,51.857142857142854
17700,MD,2020-05-15,1083.0,45.0,17.913617657566988,14.121167851117645,928.7142857142857,50.142857142857146
7196,MD,2020-05-16,982.0,46.0,16.24300326844957,13.920165019025442,919.1428571428571,49.0
7144,MD,2020-05-17,836.0,35.0,13.828055735665771,13.364555070732406,888.1428571428571,49.714285714285715
30076,MD,2020-05-18,958.0,31.0,15.846025591827583,13.739001849249965,912.7142857142857,48.57142857142857
30024,MD,2020-05-19,1784.0,58.0,29.508673962234184,16.300813520002293,1069.2857142857142,46.42857142857143
18480,MD,2020-05-20,777.0,42.0,12.852152280636687,16.33169196198425,1073.0,44.857142857142854
18532,MD,2020-05-21,1208.0,36.0,19.98120972330662,18.024676888526773,1089.7142857142858,41.857142857142854
3608,MD,2020-05-22,893.0,48.0,14.770877717642975,17.575714039966197,1062.5714285714287,42.285714285714285
3556,MD,2020-05-23,1071.0,36.0,17.71512881925605,17.78601769008141,1075.2857142857142,40.857142857142854
7820,MD,2020-05-24,818.0,34.0,13.53032247819931,17.743484367586202,1072.7142857142858,40.714285714285715
7872,MD,2020-05-25,839.0,25.0,13.87767794524359,17.46229184664563,1055.7142857142858,39.857142857142854
29192,MD,2020-05-26,535.0,31.0,8.849294041365056,14.510951857950042,877.2857142857143,36.0
29140,MD,2020-05-27,736.0,59.0,12.17398208307418,14.414070401155398,871.4285714285714,38.42857142857143
6156,MD,2020-05-28,1286.0,36.0,21.27138717232799,14.598381465301307,882.5714285714286,38.42857142857143
6104,MD,2020-05-29,1279.0,38.0,21.15560201664664,15.510484936587545,937.7142857142857,37.0
25812,MD,2020-05-30,1027.0,43.0,16.987336412115724,15.406514592710355,931.4285714285714,38.0
25864,MD,2020-05-31,763.0,23.0,12.620581969273985,15.27655166286388,923.5714285714286,36.42857142857143
13124,MD,2020-06-01,549.0,20.0,9.080864352727872,14.591292578218779,882.1428571428571,35.714285714285715
25760,MD,2020-06-02,848.0,45.0,14.026544573976821,15.330899797163315,926.8571428571429,37.714285714285715
25708,MD,2020-06-03,807.0,44.0,13.348374376414085,15.498670124783303,937.0,35.57142857142857
22068,MD,2020-06-04,876.0,27.0,14.489685196702567,14.529855556836813,878.4285714285714,34.285714285714285
22120,MD,2020-06-05,912.0,34.0,15.085151711635376,13.662648370406632,826.0,33.714285714285715
488,MD,2020-06-06,712.0,38.0,11.777004406452193,12.918315226740415,781.0,33.0
436,MD,2020-06-07,491.0,9.0,8.121501634224842,12.275589464590537,742.1428571428571,31.0
23680,MD,2020-06-08,431.0,27.0,7.129057442669819,11.996759906010814,725.2857142857143,32.0
23524,MD,2020-06-09,500.0,35.0,8.270368262957959,11.174449004436692,675.5714285714286,30.571428571428573
3816,MD,2020-06-10,561.0,33.0,9.279353191038808,10.593160263668794,640.4285714285714,29.0
3868,MD,2020-06-11,732.0,31.0,12.107819136970647,10.252893683707091,619.8571428571429,29.571428571428573
18220,MD,2020-06-12,416.0,25.0,6.880946394780949,9.080864352727888,549.0,28.285714285714285
18168,MD,2020-06-13,692.0,26.0,11.446189675934079,9.033605105511015,546.1428571428571,26.571428571428573
29036,MD,2020-06-14,396.0,13.0,6.550131664262722,8.809123681230712,532.5714285714286,27.142857142857142
29088,MD,2020-06-15,331.0,8.0,5.474983790078113,8.572827445146183,518.2857142857143,24.428571428571427
7976,MD,2020-06-16,377.0,35.0,6.235857670270207,8.282183074762218,500.7142857142857,24.428571428571427
7924,MD,2020-06-17,560.0,14.0,9.262812454513096,8.279820112401401,500.57142857142856,21.714285714285715
16452,MD,2020-06-18,260.0,20.0,4.300591496738207,7.164501878082482,433.14285714285717,20.142857142857142
16400,MD,2020-06-19,319.0,14.0,5.27649495176729,6.93529452908053,419.2857142857143,18.571428571428573
28724,MD,2020-06-20,408.0,22.0,6.748620502573431,6.264213218600438,378.7142857142857,18.0
28776,MD,2020-06-21,350.0,14.0,5.789257784070969,6.1555169500016165,372.14285714285717,18.142857142857142
12188,MD,2020-06-22,297.0,8.0,4.912598748196842,6.075176229732863,367.2857142857143,18.142857142857142
12136,MD,2020-06-23,404.0,18.0,6.682457556470126,6.138976213475709,371.14285714285717,15.714285714285714
7352,MD,2020-06-24,330.0,16.0,5.458443053552628,5.595494870481356,338.2857142857143,16.0
7404,MD,2020-06-25,440.0,21.0,7.277924071402822,6.020828095433444,364.0,16.142857142857142
17596,MD,2020-06-26,338.0,13.0,5.590768945759464,6.065724380289469,366.7142857142857,16.0
17544,MD,2020-06-27,335.0,15.0,5.541146736181872,5.893228127947817,356.2857142857143,15.0
9120,MD,2020-06-28,327.0,11.0,5.408820843974581,5.838879993648334,353.0,14.571428571428571
8964,MD,2020-06-29,477.0,7.0,7.889931322861912,6.264213218600487,378.7142857142857,14.428571428571429
21028,MD,2020-06-30,305.0,15.0,5.044924640404361,6.030279944876805,364.57142857142856,14.0
26332,MD,2020-07-01,359.0,15.0,5.9381244128042,6.098805853341316,368.7142857142857,13.857142857142858
13696,MD,2020-07-02,505.0,7.0,8.353071945587317,6.252398406796244,378.0,11.857142857142858
13748,MD,2020-07-03,538.0,11.0,8.898916250942875,6.724990878965302,406.57142857142856,11.571428571428571
1632,MD,2020-07-04,380.0,13.0,6.285479879848026,6.831324185203324,413.0,11.285714285714286
